date,TTD_unscaled,TTD_monthly,isPartial,scale,TTD
2016-07-27,27,17.0,,0.17,4.590000000000001
2016-07-28,54,17.0,,0.17,9.180000000000001
2016-07-29,56,17.0,,0.17,9.520000000000001
2016-07-30,16,17.0,,0.17,2.72
2016-07-31,48,17.0,,0.17,8.16
2016-08-01,47,16.0,False,0.16,7.5200000000000005
2016-08-02,67,16.0,,0.16,10.72
2016-08-03,69,16.0,,0.16,11.040000000000001
2016-08-04,77,16.0,,0.16,12.32
2016-08-05,45,16.0,,0.16,7.2
2016-08-06,26,16.0,,0.16,4.16
2016-08-07,34,16.0,,0.16,5.44
2016-08-08,49,16.0,,0.16,7.84
2016-08-09,91,16.0,,0.16,14.56
2016-08-10,100,16.0,,0.16,16.0
2016-08-11,66,16.0,,0.16,10.56
2016-08-12,37,16.0,,0.16,5.92
2016-08-13,33,16.0,,0.16,5.28
2016-08-14,17,16.0,,0.16,2.72
2016-08-15,43,16.0,,0.16,6.88
2016-08-16,94,16.0,,0.16,15.040000000000001
2016-08-17,51,16.0,,0.16,8.16
2016-08-18,74,16.0,,0.16,11.84
2016-08-19,45,16.0,,0.16,7.2
2016-08-20,60,16.0,,0.16,9.6
2016-08-21,26,16.0,,0.16,4.16
2016-08-22,29,16.0,,0.16,4.64
2016-08-23,79,16.0,,0.16,12.64
2016-08-24,64,16.0,,0.16,10.24
2016-08-25,67,16.0,,0.16,10.72
2016-08-26,69,16.0,,0.16,11.040000000000001
2016-08-27,63,16.0,,0.16,10.08
2016-08-28,8,16.0,,0.16,1.28
2016-08-29,66,16.0,,0.16,10.56
2016-08-30,52,16.0,,0.16,8.32
2016-08-31,52,16.0,,0.16,8.32
2016-09-01,24,20.0,False,0.2,4.800000000000001
2016-09-02,20,20.0,,0.2,4.0
2016-09-03,12,20.0,,0.2,2.4000000000000004
2016-09-04,9,20.0,,0.2,1.8
2016-09-05,6,20.0,,0.2,1.2000000000000002
2016-09-06,29,20.0,,0.2,5.800000000000001
2016-09-07,19,20.0,,0.2,3.8000000000000003
2016-09-08,26,20.0,,0.2,5.2
2016-09-09,12,20.0,,0.2,2.4000000000000004
2016-09-10,20,20.0,,0.2,4.0
2016-09-11,11,20.0,,0.2,2.2
2016-09-12,19,20.0,,0.2,3.8000000000000003
2016-09-13,19,20.0,,0.2,3.8000000000000003
2016-09-14,19,20.0,,0.2,3.8000000000000003
2016-09-15,7,20.0,,0.2,1.4000000000000001
2016-09-16,20,20.0,,0.2,4.0
2016-09-17,14,20.0,,0.2,2.8000000000000003
2016-09-18,11,20.0,,0.2,2.2
2016-09-19,14,20.0,,0.2,2.8000000000000003
2016-09-20,26,20.0,,0.2,5.2
2016-09-21,100,20.0,,0.2,20.0
2016-09-22,58,20.0,,0.2,11.600000000000001
2016-09-23,52,20.0,,0.2,10.4
2016-09-24,9,20.0,,0.2,1.8
2016-09-25,6,20.0,,0.2,1.2000000000000002
2016-09-26,31,20.0,,0.2,6.2
2016-09-27,36,20.0,,0.2,7.2
2016-09-28,43,20.0,,0.2,8.6
2016-09-29,43,20.0,,0.2,8.6
2016-09-30,17,20.0,,0.2,3.4000000000000004
2016-10-01,23,19.0,False,0.19,4.37
2016-10-02,37,19.0,,0.19,7.03
2016-10-03,43,19.0,,0.19,8.17
2016-10-04,43,19.0,,0.19,8.17
2016-10-05,74,19.0,,0.19,14.06
2016-10-06,100,19.0,,0.19,19.0
2016-10-07,64,19.0,,0.19,12.16
2016-10-08,23,19.0,,0.19,4.37
2016-10-09,37,19.0,,0.19,7.03
2016-10-10,50,19.0,,0.19,9.5
2016-10-11,50,19.0,,0.19,9.5
2016-10-12,57,19.0,,0.19,10.83
2016-10-13,57,19.0,,0.19,10.83
2016-10-14,98,19.0,,0.19,18.62
2016-10-15,62,19.0,,0.19,11.78
2016-10-16,22,19.0,,0.19,4.18
2016-10-17,75,19.0,,0.19,14.25
2016-10-18,37,19.0,,0.19,7.03
2016-10-19,51,19.0,,0.19,9.69
2016-10-20,38,19.0,,0.19,7.22
2016-10-21,83,19.0,,0.19,15.77
2016-10-22,63,19.0,,0.19,11.97
2016-10-23,30,19.0,,0.19,5.7
2016-10-24,62,19.0,,0.19,11.78
2016-10-25,55,19.0,,0.19,10.45
2016-10-26,49,19.0,,0.19,9.31
2016-10-27,37,19.0,,0.19,7.03
2016-10-28,72,19.0,,0.19,13.68
2016-10-29,23,19.0,,0.19,4.37
2016-10-30,0,19.0,,0.19,0.0
2016-10-31,56,19.0,,0.19,10.64
2016-11-01,68,18.0,False,0.18,12.24
2016-11-02,37,18.0,,0.18,6.66
2016-11-03,68,18.0,,0.18,12.24
2016-11-04,89,18.0,,0.18,16.02
2016-11-05,40,18.0,,0.18,7.199999999999999
2016-11-06,77,18.0,,0.18,13.86
2016-11-07,63,18.0,,0.18,11.34
2016-11-08,77,18.0,,0.18,13.86
2016-11-09,30,18.0,,0.18,5.3999999999999995
2016-11-10,61,18.0,,0.18,10.98
2016-11-11,51,18.0,,0.18,9.18
2016-11-12,45,18.0,,0.18,8.1
2016-11-13,19,18.0,,0.18,3.42
2016-11-14,64,18.0,,0.18,11.52
2016-11-15,43,18.0,,0.18,7.739999999999999
2016-11-16,70,18.0,,0.18,12.6
2016-11-17,44,18.0,,0.18,7.92
2016-11-18,62,18.0,,0.18,11.16
2016-11-19,20,18.0,,0.18,3.5999999999999996
2016-11-20,32,18.0,,0.18,5.76
2016-11-21,38,18.0,,0.18,6.84
2016-11-22,50,18.0,,0.18,9.0
2016-11-23,76,18.0,,0.18,13.68
2016-11-24,26,18.0,,0.18,4.68
2016-11-25,48,18.0,,0.18,8.64
2016-11-26,61,18.0,,0.18,10.98
2016-11-27,56,18.0,,0.18,10.08
2016-11-28,49,18.0,,0.18,8.82
2016-11-29,100,18.0,,0.18,18.0
2016-11-30,31,18.0,,0.18,5.58
2016-12-01,36,18.0,False,0.18,6.4799999999999995
2016-12-02,52,18.0,,0.18,9.36
2016-12-03,28,18.0,,0.18,5.04
2016-12-04,31,18.0,,0.18,5.58
2016-12-05,49,18.0,,0.18,8.82
2016-12-06,67,18.0,,0.18,12.059999999999999
2016-12-07,43,18.0,,0.18,7.739999999999999
2016-12-08,51,18.0,,0.18,9.18
2016-12-09,53,18.0,,0.18,9.54
2016-12-10,29,18.0,,0.18,5.22
2016-12-11,14,18.0,,0.18,2.52
2016-12-12,30,18.0,,0.18,5.3999999999999995
2016-12-13,38,18.0,,0.18,6.84
2016-12-14,47,18.0,,0.18,8.459999999999999
2016-12-15,60,18.0,,0.18,10.799999999999999
2016-12-16,42,18.0,,0.18,7.56
2016-12-17,15,18.0,,0.18,2.6999999999999997
2016-12-18,29,18.0,,0.18,5.22
2016-12-19,41,18.0,,0.18,7.38
2016-12-20,13,18.0,,0.18,2.34
2016-12-21,100,18.0,,0.18,18.0
2016-12-22,27,18.0,,0.18,4.859999999999999
2016-12-23,59,18.0,,0.18,10.62
2016-12-24,20,18.0,,0.18,3.5999999999999996
2016-12-25,49,18.0,,0.18,8.82
2016-12-26,33,18.0,,0.18,5.9399999999999995
2016-12-27,60,18.0,,0.18,10.799999999999999
2016-12-28,48,18.0,,0.18,8.64
2016-12-29,38,18.0,,0.18,6.84
2016-12-30,36,18.0,,0.18,6.4799999999999995
2016-12-31,14,18.0,,0.18,2.52
2017-01-01,22,19.0,False,0.19,4.18
2017-01-02,44,19.0,,0.19,8.36
2017-01-03,45,19.0,,0.19,8.55
2017-01-04,100,19.0,,0.19,19.0
2017-01-05,42,19.0,,0.19,7.98
2017-01-06,64,19.0,,0.19,12.16
2017-01-07,37,19.0,,0.19,7.03
2017-01-08,41,19.0,,0.19,7.79
2017-01-09,70,19.0,,0.19,13.3
2017-01-10,35,19.0,,0.19,6.65
2017-01-11,49,19.0,,0.19,9.31
2017-01-12,40,19.0,,0.19,7.6
2017-01-13,64,19.0,,0.19,12.16
2017-01-14,48,19.0,,0.19,9.120000000000001
2017-01-15,40,19.0,,0.19,7.6
2017-01-16,41,19.0,,0.19,7.79
2017-01-17,22,19.0,,0.19,4.18
2017-01-18,35,19.0,,0.19,6.65
2017-01-19,44,19.0,,0.19,8.36
2017-01-20,17,19.0,,0.19,3.23
2017-01-21,46,19.0,,0.19,8.74
2017-01-22,30,19.0,,0.19,5.7
2017-01-23,42,19.0,,0.19,7.98
2017-01-24,70,19.0,,0.19,13.3
2017-01-25,52,19.0,,0.19,9.88
2017-01-26,52,19.0,,0.19,9.88
2017-01-27,58,19.0,,0.19,11.02
2017-01-28,31,19.0,,0.19,5.89
2017-01-29,10,19.0,,0.19,1.9
2017-01-30,89,19.0,,0.19,16.91
2017-01-31,91,19.0,,0.19,17.29
2017-02-01,82,18.0,False,0.18,14.76
2017-02-02,44,18.0,,0.18,7.92
2017-02-03,69,18.0,,0.18,12.42
2017-02-04,34,18.0,,0.18,6.12
2017-02-05,33,18.0,,0.18,5.9399999999999995
2017-02-06,54,18.0,,0.18,9.719999999999999
2017-02-07,60,18.0,,0.18,10.799999999999999
2017-02-08,62,18.0,,0.18,11.16
2017-02-09,62,18.0,,0.18,11.16
2017-02-10,58,18.0,,0.18,10.44
2017-02-11,7,18.0,,0.18,1.26
2017-02-12,81,18.0,,0.18,14.58
2017-02-13,65,18.0,,0.18,11.7
2017-02-14,56,18.0,,0.18,10.08
2017-02-15,40,18.0,,0.18,7.199999999999999
2017-02-16,95,18.0,,0.18,17.099999999999998
2017-02-17,62,18.0,,0.18,11.16
2017-02-18,53,18.0,,0.18,9.54
2017-02-19,21,18.0,,0.18,3.78
2017-02-20,93,18.0,,0.18,16.74
2017-02-21,55,18.0,,0.18,9.9
2017-02-22,71,18.0,,0.18,12.78
2017-02-23,55,18.0,,0.18,9.9
2017-02-24,97,18.0,,0.18,17.46
2017-02-25,79,18.0,,0.18,14.219999999999999
2017-02-26,38,18.0,,0.18,6.84
2017-02-27,62,18.0,,0.18,11.16
2017-02-28,100,18.0,,0.18,18.0
2017-03-01,62,23.0,False,0.23,14.26
2017-03-02,64,23.0,,0.23,14.72
2017-03-03,49,23.0,,0.23,11.270000000000001
2017-03-04,16,23.0,,0.23,3.68
2017-03-05,26,23.0,,0.23,5.98
2017-03-06,88,23.0,,0.23,20.240000000000002
2017-03-07,45,23.0,,0.23,10.35
2017-03-08,52,23.0,,0.23,11.96
2017-03-09,57,23.0,,0.23,13.110000000000001
2017-03-10,72,23.0,,0.23,16.560000000000002
2017-03-11,58,23.0,,0.23,13.34
2017-03-12,35,23.0,,0.23,8.05
2017-03-13,62,23.0,,0.23,14.26
2017-03-14,88,23.0,,0.23,20.240000000000002
2017-03-15,67,23.0,,0.23,15.41
2017-03-16,36,23.0,,0.23,8.280000000000001
2017-03-17,51,23.0,,0.23,11.73
2017-03-18,80,23.0,,0.23,18.400000000000002
2017-03-19,27,23.0,,0.23,6.21
2017-03-20,35,23.0,,0.23,8.05
2017-03-21,58,23.0,,0.23,13.34
2017-03-22,54,23.0,,0.23,12.42
2017-03-23,90,23.0,,0.23,20.7
2017-03-24,55,23.0,,0.23,12.65
2017-03-25,22,23.0,,0.23,5.0600000000000005
2017-03-26,32,23.0,,0.23,7.36
2017-03-27,75,23.0,,0.23,17.25
2017-03-28,67,23.0,,0.23,15.41
2017-03-29,63,23.0,,0.23,14.49
2017-03-30,100,23.0,,0.23,23.0
2017-03-31,50,23.0,,0.23,11.5
2017-04-01,46,18.0,False,0.18,8.28
2017-04-02,61,18.0,,0.18,10.98
2017-04-03,98,18.0,,0.18,17.64
2017-04-04,62,18.0,,0.18,11.16
2017-04-05,81,18.0,,0.18,14.58
2017-04-06,81,18.0,,0.18,14.58
2017-04-07,84,18.0,,0.18,15.12
2017-04-08,54,18.0,,0.18,9.719999999999999
2017-04-09,46,18.0,,0.18,8.28
2017-04-10,76,18.0,,0.18,13.68
2017-04-11,64,18.0,,0.18,11.52
2017-04-12,77,18.0,,0.18,13.86
2017-04-13,84,18.0,,0.18,15.12
2017-04-14,62,18.0,,0.18,11.16
2017-04-15,32,18.0,,0.18,5.76
2017-04-16,49,18.0,,0.18,8.82
2017-04-17,45,18.0,,0.18,8.1
2017-04-18,80,18.0,,0.18,14.399999999999999
2017-04-19,94,18.0,,0.18,16.919999999999998
2017-04-20,69,18.0,,0.18,12.42
2017-04-21,60,18.0,,0.18,10.799999999999999
2017-04-22,100,18.0,,0.18,18.0
2017-04-23,69,18.0,,0.18,12.42
2017-04-24,74,18.0,,0.18,13.32
2017-04-25,81,18.0,,0.18,14.58
2017-04-26,85,18.0,,0.18,15.299999999999999
2017-04-27,62,18.0,,0.18,11.16
2017-04-28,51,18.0,,0.18,9.18
2017-04-29,69,18.0,,0.18,12.42
2017-04-30,30,18.0,,0.18,5.3999999999999995
2017-05-01,29,25.0,False,0.25,7.25
2017-05-02,36,25.0,,0.25,9.0
2017-05-03,30,25.0,,0.25,7.5
2017-05-04,35,25.0,,0.25,8.75
2017-05-05,31,25.0,,0.25,7.75
2017-05-06,25,25.0,,0.25,6.25
2017-05-07,11,25.0,,0.25,2.75
2017-05-08,26,25.0,,0.25,6.5
2017-05-09,32,25.0,,0.25,8.0
2017-05-10,37,25.0,,0.25,9.25
2017-05-11,52,25.0,,0.25,13.0
2017-05-12,100,25.0,,0.25,25.0
2017-05-13,23,25.0,,0.25,5.75
2017-05-14,27,25.0,,0.25,6.75
2017-05-15,58,25.0,,0.25,14.5
2017-05-16,32,25.0,,0.25,8.0
2017-05-17,37,25.0,,0.25,9.25
2017-05-18,25,25.0,,0.25,6.25
2017-05-19,30,25.0,,0.25,7.5
2017-05-20,21,25.0,,0.25,5.25
2017-05-21,18,25.0,,0.25,4.5
2017-05-22,32,25.0,,0.25,8.0
2017-05-23,38,25.0,,0.25,9.5
2017-05-24,50,25.0,,0.25,12.5
2017-05-25,23,25.0,,0.25,5.75
2017-05-26,46,25.0,,0.25,11.5
2017-05-27,19,25.0,,0.25,4.75
2017-05-28,19,25.0,,0.25,4.75
2017-05-29,23,25.0,,0.25,5.75
2017-05-30,39,25.0,,0.25,9.75
2017-05-31,39,25.0,,0.25,9.75
2017-06-01,69,21.0,False,0.21,14.49
2017-06-02,85,21.0,,0.21,17.849999999999998
2017-06-03,35,21.0,,0.21,7.35
2017-06-04,34,21.0,,0.21,7.14
2017-06-05,79,21.0,,0.21,16.59
2017-06-06,44,21.0,,0.21,9.24
2017-06-07,62,21.0,,0.21,13.02
2017-06-08,57,21.0,,0.21,11.969999999999999
2017-06-09,84,21.0,,0.21,17.64
2017-06-10,48,21.0,,0.21,10.08
2017-06-11,77,21.0,,0.21,16.169999999999998
2017-06-12,79,21.0,,0.21,16.59
2017-06-13,67,21.0,,0.21,14.07
2017-06-14,56,21.0,,0.21,11.76
2017-06-15,82,21.0,,0.21,17.22
2017-06-16,100,21.0,,0.21,21.0
2017-06-17,55,21.0,,0.21,11.549999999999999
2017-06-18,21,21.0,,0.21,4.41
2017-06-19,74,21.0,,0.21,15.54
2017-06-20,54,21.0,,0.21,11.34
2017-06-21,77,21.0,,0.21,16.169999999999998
2017-06-22,38,21.0,,0.21,7.9799999999999995
2017-06-23,78,21.0,,0.21,16.38
2017-06-24,53,21.0,,0.21,11.129999999999999
2017-06-25,42,21.0,,0.21,8.82
2017-06-26,93,21.0,,0.21,19.529999999999998
2017-06-27,83,21.0,,0.21,17.43
2017-06-28,49,21.0,,0.21,10.29
2017-06-29,73,21.0,,0.21,15.33
2017-06-30,50,21.0,,0.21,10.5
2017-07-01,49,20.0,False,0.2,9.8
2017-07-02,62,20.0,,0.2,12.4
2017-07-03,75,20.0,,0.2,15.0
2017-07-04,38,20.0,,0.2,7.6000000000000005
2017-07-05,49,20.0,,0.2,9.8
2017-07-06,55,20.0,,0.2,11.0
2017-07-07,47,20.0,,0.2,9.4
2017-07-08,48,20.0,,0.2,9.600000000000001
2017-07-09,16,20.0,,0.2,3.2
2017-07-10,36,20.0,,0.2,7.2
2017-07-11,50,20.0,,0.2,10.0
2017-07-12,50,20.0,,0.2,10.0
2017-07-13,37,20.0,,0.2,7.4
2017-07-14,56,20.0,,0.2,11.200000000000001
2017-07-15,43,20.0,,0.2,8.6
2017-07-16,32,20.0,,0.2,6.4
2017-07-17,46,20.0,,0.2,9.200000000000001
2017-07-18,37,20.0,,0.2,7.4
2017-07-19,51,20.0,,0.2,10.200000000000001
2017-07-20,77,20.0,,0.2,15.4
2017-07-21,47,20.0,,0.2,9.4
2017-07-22,37,20.0,,0.2,7.4
2017-07-23,37,20.0,,0.2,7.4
2017-07-24,100,20.0,,0.2,20.0
2017-07-25,73,20.0,,0.2,14.600000000000001
2017-07-26,40,20.0,,0.2,8.0
2017-07-27,54,20.0,,0.2,10.8
2017-07-28,60,20.0,,0.2,12.0
2017-07-29,37,20.0,,0.2,7.4
2017-07-30,22,20.0,,0.2,4.4
2017-07-31,32,20.0,,0.2,6.4
2017-08-01,29,21.0,False,0.21,6.09
2017-08-02,35,21.0,,0.21,7.35
2017-08-03,37,21.0,,0.21,7.77
2017-08-04,31,21.0,,0.21,6.51
2017-08-05,22,21.0,,0.21,4.62
2017-08-06,80,21.0,,0.21,16.8
2017-08-07,47,21.0,,0.21,9.87
2017-08-08,18,21.0,,0.21,3.78
2017-08-09,78,21.0,,0.21,16.38
2017-08-10,85,21.0,,0.21,17.849999999999998
2017-08-11,100,21.0,,0.21,21.0
2017-08-12,17,21.0,,0.21,3.57
2017-08-13,22,21.0,,0.21,4.62
2017-08-14,49,21.0,,0.21,10.29
2017-08-15,38,21.0,,0.21,7.9799999999999995
2017-08-16,41,21.0,,0.21,8.61
2017-08-17,41,21.0,,0.21,8.61
2017-08-18,41,21.0,,0.21,8.61
2017-08-19,44,21.0,,0.21,9.24
2017-08-20,22,21.0,,0.21,4.62
2017-08-21,46,21.0,,0.21,9.66
2017-08-22,52,21.0,,0.21,10.92
2017-08-23,63,21.0,,0.21,13.229999999999999
2017-08-24,40,21.0,,0.21,8.4
2017-08-25,30,21.0,,0.21,6.3
2017-08-26,30,21.0,,0.21,6.3
2017-08-27,20,21.0,,0.21,4.2
2017-08-28,44,21.0,,0.21,9.24
2017-08-29,43,21.0,,0.21,9.03
2017-08-30,54,21.0,,0.21,11.34
2017-08-31,36,21.0,,0.21,7.56
2017-09-01,77,22.0,False,0.22,16.94
2017-09-02,29,22.0,,0.22,6.38
2017-09-03,24,22.0,,0.22,5.28
2017-09-04,49,22.0,,0.22,10.78
2017-09-05,33,22.0,,0.22,7.26
2017-09-06,65,22.0,,0.22,14.3
2017-09-07,100,22.0,,0.22,22.0
2017-09-08,96,22.0,,0.22,21.12
2017-09-09,22,22.0,,0.22,4.84
2017-09-10,17,22.0,,0.22,3.74
2017-09-11,100,22.0,,0.22,22.0
2017-09-12,92,22.0,,0.22,20.24
2017-09-13,77,22.0,,0.22,16.94
2017-09-14,73,22.0,,0.22,16.06
2017-09-15,50,22.0,,0.22,11.0
2017-09-16,23,22.0,,0.22,5.06
2017-09-17,34,22.0,,0.22,7.48
2017-09-18,67,22.0,,0.22,14.74
2017-09-19,72,22.0,,0.22,15.84
2017-09-20,71,22.0,,0.22,15.62
2017-09-21,82,22.0,,0.22,18.04
2017-09-22,85,22.0,,0.22,18.7
2017-09-23,59,22.0,,0.22,12.98
2017-09-24,29,22.0,,0.22,6.38
2017-09-25,87,22.0,,0.22,19.14
2017-09-26,48,22.0,,0.22,10.56
2017-09-27,78,22.0,,0.22,17.16
2017-09-28,78,22.0,,0.22,17.16
2017-09-29,89,22.0,,0.22,19.580000000000002
2017-09-30,48,22.0,,0.22,10.56
2017-10-01,21,20.0,False,0.2,4.2
2017-10-02,51,20.0,,0.2,10.200000000000001
2017-10-03,26,20.0,,0.2,5.2
2017-10-04,62,20.0,,0.2,12.4
2017-10-05,58,20.0,,0.2,11.600000000000001
2017-10-06,69,20.0,,0.2,13.8
2017-10-07,32,20.0,,0.2,6.4
2017-10-08,16,20.0,,0.2,3.2
2017-10-09,53,20.0,,0.2,10.600000000000001
2017-10-10,61,20.0,,0.2,12.200000000000001
2017-10-11,70,20.0,,0.2,14.0
2017-10-12,58,20.0,,0.2,11.600000000000001
2017-10-13,78,20.0,,0.2,15.600000000000001
2017-10-14,37,20.0,,0.2,7.4
2017-10-15,52,20.0,,0.2,10.4
2017-10-16,49,20.0,,0.2,9.8
2017-10-17,40,20.0,,0.2,8.0
2017-10-18,58,20.0,,0.2,11.600000000000001
2017-10-19,50,20.0,,0.2,10.0
2017-10-20,51,20.0,,0.2,10.200000000000001
2017-10-21,27,20.0,,0.2,5.4
2017-10-22,11,20.0,,0.2,2.2
2017-10-23,57,20.0,,0.2,11.4
2017-10-24,79,20.0,,0.2,15.8
2017-10-25,58,20.0,,0.2,11.600000000000001
2017-10-26,53,20.0,,0.2,10.600000000000001
2017-10-27,69,20.0,,0.2,13.8
2017-10-28,27,20.0,,0.2,5.4
2017-10-29,21,20.0,,0.2,4.2
2017-10-30,65,20.0,,0.2,13.0
2017-10-31,100,20.0,,0.2,20.0
2017-11-01,54,26.0,False,0.26,14.040000000000001
2017-11-02,49,26.0,,0.26,12.74
2017-11-03,35,26.0,,0.26,9.1
2017-11-04,35,26.0,,0.26,9.1
2017-11-05,24,26.0,,0.26,6.24
2017-11-06,34,26.0,,0.26,8.84
2017-11-07,28,26.0,,0.26,7.28
2017-11-08,56,26.0,,0.26,14.56
2017-11-09,62,26.0,,0.26,16.12
2017-11-10,100,26.0,,0.26,26.0
2017-11-11,50,26.0,,0.26,13.0
2017-11-12,37,26.0,,0.26,9.620000000000001
2017-11-13,43,26.0,,0.26,11.18
2017-11-14,41,26.0,,0.26,10.66
2017-11-15,41,26.0,,0.26,10.66
2017-11-16,46,26.0,,0.26,11.96
2017-11-17,43,26.0,,0.26,11.18
2017-11-18,50,26.0,,0.26,13.0
2017-11-19,25,26.0,,0.26,6.5
2017-11-20,26,26.0,,0.26,6.76
2017-11-21,52,26.0,,0.26,13.52
2017-11-22,48,26.0,,0.26,12.48
2017-11-23,47,26.0,,0.26,12.22
2017-11-24,30,26.0,,0.26,7.800000000000001
2017-11-25,12,26.0,,0.26,3.12
2017-11-26,9,26.0,,0.26,2.34
2017-11-27,29,26.0,,0.26,7.54
2017-11-28,20,26.0,,0.26,5.2
2017-11-29,38,26.0,,0.26,9.88
2017-11-30,39,26.0,,0.26,10.14
2017-12-01,40,22.0,False,0.22,8.8
2017-12-02,41,22.0,,0.22,9.02
2017-12-03,40,22.0,,0.22,8.8
2017-12-04,33,22.0,,0.22,7.26
2017-12-05,45,22.0,,0.22,9.9
2017-12-06,49,22.0,,0.22,10.78
2017-12-07,49,22.0,,0.22,10.78
2017-12-08,44,22.0,,0.22,9.68
2017-12-09,30,22.0,,0.22,6.6
2017-12-10,22,22.0,,0.22,4.84
2017-12-11,27,22.0,,0.22,5.94
2017-12-12,55,22.0,,0.22,12.1
2017-12-13,43,22.0,,0.22,9.46
2017-12-14,22,22.0,,0.22,4.84
2017-12-15,46,22.0,,0.22,10.12
2017-12-16,26,22.0,,0.22,5.72
2017-12-17,23,22.0,,0.22,5.06
2017-12-18,48,22.0,,0.22,10.56
2017-12-19,48,22.0,,0.22,10.56
2017-12-20,60,22.0,,0.22,13.2
2017-12-21,89,22.0,,0.22,19.580000000000002
2017-12-22,100,22.0,,0.22,22.0
2017-12-23,47,22.0,,0.22,10.34
2017-12-24,29,22.0,,0.22,6.38
2017-12-25,35,22.0,,0.22,7.7
2017-12-26,48,22.0,,0.22,10.56
2017-12-27,35,22.0,,0.22,7.7
2017-12-28,38,22.0,,0.22,8.36
