date,BNY_unscaled,BNY_monthly,isPartial,scale,BNY
2016-06-14,88,83.0,,0.83,73.03999999999999
2016-06-15,71,83.0,,0.83,58.93
2016-06-16,96,83.0,,0.83,79.67999999999999
2016-06-17,60,83.0,,0.83,49.8
2016-06-18,23,83.0,,0.83,19.09
2016-06-19,23,83.0,,0.83,19.09
2016-06-20,50,83.0,,0.83,41.5
2016-06-21,86,83.0,,0.83,71.38
2016-06-22,72,83.0,,0.83,59.76
2016-06-23,93,83.0,,0.83,77.19
2016-06-24,48,83.0,,0.83,39.839999999999996
2016-06-25,30,83.0,,0.83,24.9
2016-06-26,27,83.0,,0.83,22.41
2016-06-27,82,83.0,,0.83,68.06
2016-06-28,74,83.0,,0.83,61.419999999999995
2016-06-29,96,83.0,,0.83,79.67999999999999
2016-06-30,74,83.0,,0.83,61.419999999999995
2016-07-01,40,70.0,False,0.7,28.0
2016-07-02,46,70.0,,0.7,32.199999999999996
2016-07-03,3,70.0,,0.7,2.0999999999999996
2016-07-04,10,70.0,,0.7,7.0
2016-07-05,61,70.0,,0.7,42.699999999999996
2016-07-06,78,70.0,,0.7,54.599999999999994
2016-07-07,53,70.0,,0.7,37.099999999999994
2016-07-08,51,70.0,,0.7,35.699999999999996
2016-07-09,33,70.0,,0.7,23.099999999999998
2016-07-10,39,70.0,,0.7,27.299999999999997
2016-07-11,33,70.0,,0.7,23.099999999999998
2016-07-12,48,70.0,,0.7,33.599999999999994
2016-07-13,100,70.0,,0.7,70.0
2016-07-14,65,70.0,,0.7,45.5
2016-07-15,54,70.0,,0.7,37.8
2016-07-16,56,70.0,,0.7,39.199999999999996
2016-07-17,13,70.0,,0.7,9.1
2016-07-18,65,70.0,,0.7,45.5
2016-07-19,75,70.0,,0.7,52.5
2016-07-20,80,70.0,,0.7,56.0
2016-07-21,74,70.0,,0.7,51.8
2016-07-22,66,70.0,,0.7,46.199999999999996
2016-07-23,32,70.0,,0.7,22.4
2016-07-24,26,70.0,,0.7,18.2
2016-07-25,69,70.0,,0.7,48.3
2016-07-26,41,70.0,,0.7,28.7
2016-07-27,63,70.0,,0.7,44.099999999999994
2016-07-28,63,70.0,,0.7,44.099999999999994
2016-07-29,62,70.0,,0.7,43.4
2016-07-30,32,70.0,,0.7,22.4
2016-07-31,32,70.0,,0.7,22.4
2016-08-01,89,82.0,False,0.82,72.97999999999999
2016-08-02,72,82.0,,0.82,59.04
2016-08-03,86,82.0,,0.82,70.52
2016-08-04,87,82.0,,0.82,71.33999999999999
2016-08-05,86,82.0,,0.82,70.52
2016-08-06,27,82.0,,0.82,22.139999999999997
2016-08-07,23,82.0,,0.82,18.86
2016-08-08,46,82.0,,0.82,37.72
2016-08-09,94,82.0,,0.82,77.08
2016-08-10,80,82.0,,0.82,65.6
2016-08-11,76,82.0,,0.82,62.31999999999999
2016-08-12,82,82.0,,0.82,67.24
2016-08-13,29,82.0,,0.82,23.779999999999998
2016-08-14,19,82.0,,0.82,15.579999999999998
2016-08-15,67,82.0,,0.82,54.94
2016-08-16,87,82.0,,0.82,71.33999999999999
2016-08-17,71,82.0,,0.82,58.22
2016-08-18,50,82.0,,0.82,41.0
2016-08-19,57,82.0,,0.82,46.739999999999995
2016-08-20,35,82.0,,0.82,28.7
2016-08-21,19,82.0,,0.82,15.579999999999998
2016-08-22,100,82.0,,0.82,82.0
2016-08-23,89,82.0,,0.82,72.97999999999999
2016-08-24,85,82.0,,0.82,69.7
2016-08-25,74,82.0,,0.82,60.68
2016-08-26,61,82.0,,0.82,50.019999999999996
2016-08-27,25,82.0,,0.82,20.5
2016-08-28,25,82.0,,0.82,20.5
2016-08-29,76,82.0,,0.82,62.31999999999999
2016-08-30,67,82.0,,0.82,54.94
2016-08-31,76,82.0,,0.82,62.31999999999999
2016-09-01,51,69.0,False,0.69,35.19
2016-09-02,63,69.0,,0.69,43.47
2016-09-03,11,69.0,,0.69,7.59
2016-09-04,8,69.0,,0.69,5.52
2016-09-05,18,69.0,,0.69,12.419999999999998
2016-09-06,79,69.0,,0.69,54.51
2016-09-07,67,69.0,,0.69,46.23
2016-09-08,62,69.0,,0.69,42.779999999999994
2016-09-09,45,69.0,,0.69,31.049999999999997
2016-09-10,30,69.0,,0.69,20.7
2016-09-11,50,69.0,,0.69,34.5
2016-09-12,83,69.0,,0.69,57.269999999999996
2016-09-13,71,69.0,,0.69,48.989999999999995
2016-09-14,94,69.0,,0.69,64.86
2016-09-15,94,69.0,,0.69,64.86
2016-09-16,55,69.0,,0.69,37.949999999999996
2016-09-17,22,69.0,,0.69,15.18
2016-09-18,21,69.0,,0.69,14.489999999999998
2016-09-19,76,69.0,,0.69,52.44
2016-09-20,74,69.0,,0.69,51.059999999999995
2016-09-21,56,69.0,,0.69,38.64
2016-09-22,95,69.0,,0.69,65.55
2016-09-23,100,69.0,,0.69,69.0
2016-09-24,30,69.0,,0.69,20.7
2016-09-25,37,69.0,,0.69,25.529999999999998
2016-09-26,84,69.0,,0.69,57.959999999999994
2016-09-27,65,69.0,,0.69,44.849999999999994
2016-09-28,78,69.0,,0.69,53.81999999999999
2016-09-29,53,69.0,,0.69,36.57
2016-09-30,71,69.0,,0.69,48.989999999999995
2016-10-01,30,73.0,False,0.73,21.9
2016-10-02,18,73.0,,0.73,13.14
2016-10-03,86,73.0,,0.73,62.78
2016-10-04,86,73.0,,0.73,62.78
2016-10-05,86,73.0,,0.73,62.78
2016-10-06,84,73.0,,0.73,61.32
2016-10-07,85,73.0,,0.73,62.05
2016-10-08,26,73.0,,0.73,18.98
2016-10-09,22,73.0,,0.73,16.06
2016-10-10,59,73.0,,0.73,43.07
2016-10-11,63,73.0,,0.73,45.99
2016-10-12,54,73.0,,0.73,39.42
2016-10-13,88,73.0,,0.73,64.24
2016-10-14,65,73.0,,0.73,47.449999999999996
2016-10-15,8,73.0,,0.73,5.84
2016-10-16,47,73.0,,0.73,34.31
2016-10-17,96,73.0,,0.73,70.08
2016-10-18,77,73.0,,0.73,56.21
2016-10-19,94,73.0,,0.73,68.62
2016-10-20,100,73.0,,0.73,73.0
2016-10-21,60,73.0,,0.73,43.8
2016-10-22,43,73.0,,0.73,31.39
2016-10-23,41,73.0,,0.73,29.93
2016-10-24,64,73.0,,0.73,46.72
2016-10-25,82,73.0,,0.73,59.86
2016-10-26,73,73.0,,0.73,53.29
2016-10-27,89,73.0,,0.73,64.97
2016-10-28,58,73.0,,0.73,42.339999999999996
2016-10-29,26,73.0,,0.73,18.98
2016-10-30,33,73.0,,0.73,24.09
2016-10-31,96,73.0,,0.73,70.08
2016-11-01,82,72.0,False,0.72,59.04
2016-11-02,78,72.0,,0.72,56.16
2016-11-03,59,72.0,,0.72,42.48
2016-11-04,82,72.0,,0.72,59.04
2016-11-05,26,72.0,,0.72,18.72
2016-11-06,32,72.0,,0.72,23.04
2016-11-07,97,72.0,,0.72,69.84
2016-11-08,61,72.0,,0.72,43.92
2016-11-09,53,72.0,,0.72,38.16
2016-11-10,99,72.0,,0.72,71.28
2016-11-11,48,72.0,,0.72,34.56
2016-11-12,18,72.0,,0.72,12.959999999999999
2016-11-13,29,72.0,,0.72,20.88
2016-11-14,98,72.0,,0.72,70.56
2016-11-15,81,72.0,,0.72,58.32
2016-11-16,67,72.0,,0.72,48.239999999999995
2016-11-17,74,72.0,,0.72,53.28
2016-11-18,76,72.0,,0.72,54.72
2016-11-19,92,72.0,,0.72,66.24
2016-11-20,29,72.0,,0.72,20.88
2016-11-21,54,72.0,,0.72,38.879999999999995
2016-11-22,78,72.0,,0.72,56.16
2016-11-23,62,72.0,,0.72,44.64
2016-11-24,22,72.0,,0.72,15.84
2016-11-25,34,72.0,,0.72,24.48
2016-11-26,21,72.0,,0.72,15.12
2016-11-27,24,72.0,,0.72,17.28
2016-11-28,66,72.0,,0.72,47.519999999999996
2016-11-29,62,72.0,,0.72,44.64
2016-11-30,100,72.0,,0.72,72.0
2016-12-01,82,62.0,False,0.62,50.839999999999996
2016-12-02,59,62.0,,0.62,36.58
2016-12-03,29,62.0,,0.62,17.98
2016-12-04,19,62.0,,0.62,11.78
2016-12-05,98,62.0,,0.62,60.76
2016-12-06,71,62.0,,0.62,44.02
2016-12-07,64,62.0,,0.62,39.68
2016-12-08,72,62.0,,0.62,44.64
2016-12-09,93,62.0,,0.62,57.66
2016-12-10,34,62.0,,0.62,21.08
2016-12-11,40,62.0,,0.62,24.8
2016-12-12,86,62.0,,0.62,53.32
2016-12-13,100,62.0,,0.62,62.0
2016-12-14,89,62.0,,0.62,55.18
2016-12-15,66,62.0,,0.62,40.92
2016-12-16,44,62.0,,0.62,27.28
2016-12-17,30,62.0,,0.62,18.6
2016-12-18,29,62.0,,0.62,17.98
2016-12-19,86,62.0,,0.62,53.32
2016-12-20,88,62.0,,0.62,54.56
2016-12-21,91,62.0,,0.62,56.42
2016-12-22,86,62.0,,0.62,53.32
2016-12-23,55,62.0,,0.62,34.1
2016-12-24,31,62.0,,0.62,19.22
2016-12-25,43,62.0,,0.62,26.66
2016-12-26,66,62.0,,0.62,40.92
2016-12-27,52,62.0,,0.62,32.24
2016-12-28,95,62.0,,0.62,58.9
2016-12-29,66,62.0,,0.62,40.92
2016-12-30,23,62.0,,0.62,14.26
2016-12-31,16,62.0,,0.62,9.92
2017-01-01,16,71.0,False,0.71,11.36
2017-01-02,25,71.0,,0.71,17.75
2017-01-03,63,71.0,,0.71,44.73
2017-01-04,66,71.0,,0.71,46.86
2017-01-05,73,71.0,,0.71,51.83
2017-01-06,66,71.0,,0.71,46.86
2017-01-07,24,71.0,,0.71,17.04
2017-01-08,18,71.0,,0.71,12.78
2017-01-09,48,71.0,,0.71,34.08
2017-01-10,66,71.0,,0.71,46.86
2017-01-11,80,71.0,,0.71,56.8
2017-01-12,80,71.0,,0.71,56.8
2017-01-13,100,71.0,,0.71,71.0
2017-01-14,24,71.0,,0.71,17.04
2017-01-15,35,71.0,,0.71,24.849999999999998
2017-01-16,21,71.0,,0.71,14.91
2017-01-17,56,71.0,,0.71,39.76
2017-01-18,75,71.0,,0.71,53.25
2017-01-19,53,71.0,,0.71,37.629999999999995
2017-01-20,68,71.0,,0.71,48.28
2017-01-21,6,71.0,,0.71,4.26
2017-01-22,14,71.0,,0.71,9.94
2017-01-23,80,71.0,,0.71,56.8
2017-01-24,86,71.0,,0.71,61.059999999999995
2017-01-25,80,71.0,,0.71,56.8
2017-01-26,97,71.0,,0.71,68.86999999999999
2017-01-27,47,71.0,,0.71,33.37
2017-01-28,33,71.0,,0.71,23.43
2017-01-29,27,71.0,,0.71,19.169999999999998
2017-01-30,89,71.0,,0.71,63.19
2017-01-31,80,71.0,,0.71,56.8
2017-02-01,67,70.0,False,0.7,46.9
2017-02-02,65,70.0,,0.7,45.5
2017-02-03,91,70.0,,0.7,63.699999999999996
2017-02-04,38,70.0,,0.7,26.599999999999998
2017-02-05,54,70.0,,0.7,37.8
2017-02-06,68,70.0,,0.7,47.599999999999994
2017-02-07,76,70.0,,0.7,53.199999999999996
2017-02-08,100,70.0,,0.7,70.0
2017-02-09,86,70.0,,0.7,60.199999999999996
2017-02-10,65,70.0,,0.7,45.5
2017-02-11,21,70.0,,0.7,14.7
2017-02-12,28,70.0,,0.7,19.599999999999998
2017-02-13,72,70.0,,0.7,50.4
2017-02-14,94,70.0,,0.7,65.8
2017-02-15,61,70.0,,0.7,42.699999999999996
2017-02-16,77,70.0,,0.7,53.9
2017-02-17,61,70.0,,0.7,42.699999999999996
2017-02-18,51,70.0,,0.7,35.699999999999996
2017-02-19,28,70.0,,0.7,19.599999999999998
2017-02-20,27,70.0,,0.7,18.9
2017-02-21,82,70.0,,0.7,57.4
2017-02-22,98,70.0,,0.7,68.6
2017-02-23,88,70.0,,0.7,61.599999999999994
2017-02-24,59,70.0,,0.7,41.3
2017-02-25,30,70.0,,0.7,21.0
2017-02-26,29,70.0,,0.7,20.299999999999997
2017-02-27,60,70.0,,0.7,42.0
2017-02-28,75,70.0,,0.7,52.5
2017-03-01,78,71.0,False,0.71,55.379999999999995
2017-03-02,67,71.0,,0.71,47.57
2017-03-03,67,71.0,,0.71,47.57
2017-03-04,18,71.0,,0.71,12.78
2017-03-05,26,71.0,,0.71,18.46
2017-03-06,74,71.0,,0.71,52.54
2017-03-07,55,71.0,,0.71,39.05
2017-03-08,63,71.0,,0.71,44.73
2017-03-09,77,71.0,,0.71,54.669999999999995
2017-03-10,62,71.0,,0.71,44.019999999999996
2017-03-11,26,71.0,,0.71,18.46
2017-03-12,41,71.0,,0.71,29.11
2017-03-13,46,71.0,,0.71,32.66
2017-03-14,49,71.0,,0.71,34.79
2017-03-15,85,71.0,,0.71,60.349999999999994
2017-03-16,55,71.0,,0.71,39.05
2017-03-17,64,71.0,,0.71,45.44
2017-03-18,29,71.0,,0.71,20.59
2017-03-19,29,71.0,,0.71,20.59
2017-03-20,56,71.0,,0.71,39.76
2017-03-21,61,71.0,,0.71,43.309999999999995
2017-03-22,82,71.0,,0.71,58.22
2017-03-23,100,71.0,,0.71,71.0
2017-03-24,56,71.0,,0.71,39.76
2017-03-25,24,71.0,,0.71,17.04
2017-03-26,27,71.0,,0.71,19.169999999999998
2017-03-27,56,71.0,,0.71,39.76
2017-03-28,85,71.0,,0.71,60.349999999999994
2017-03-29,50,71.0,,0.71,35.5
2017-03-30,48,71.0,,0.71,34.08
2017-03-31,55,71.0,,0.71,39.05
2017-04-01,22,74.0,False,0.74,16.28
2017-04-02,22,74.0,,0.74,16.28
2017-04-03,66,74.0,,0.74,48.839999999999996
2017-04-04,100,74.0,,0.74,74.0
2017-04-05,64,74.0,,0.74,47.36
2017-04-06,76,74.0,,0.74,56.24
2017-04-07,72,74.0,,0.74,53.28
2017-04-08,14,74.0,,0.74,10.36
2017-04-09,27,74.0,,0.74,19.98
2017-04-10,50,74.0,,0.74,37.0
2017-04-11,55,74.0,,0.74,40.7
2017-04-12,57,74.0,,0.74,42.18
2017-04-13,69,74.0,,0.74,51.06
2017-04-14,30,74.0,,0.74,22.2
2017-04-15,20,74.0,,0.74,14.8
2017-04-16,32,74.0,,0.74,23.68
2017-04-17,73,74.0,,0.74,54.019999999999996
2017-04-18,64,74.0,,0.74,47.36
2017-04-19,87,74.0,,0.74,64.38
2017-04-20,63,74.0,,0.74,46.62
2017-04-21,54,74.0,,0.74,39.96
2017-04-22,27,74.0,,0.74,19.98
2017-04-23,22,74.0,,0.74,16.28
2017-04-24,55,74.0,,0.74,40.7
2017-04-25,71,74.0,,0.74,52.54
2017-04-26,76,74.0,,0.74,56.24
2017-04-27,53,74.0,,0.74,39.22
2017-04-28,57,74.0,,0.74,42.18
2017-04-29,22,74.0,,0.74,16.28
2017-04-30,19,74.0,,0.74,14.06
2017-05-01,74,68.0,False,0.68,50.32
2017-05-02,76,68.0,,0.68,51.68000000000001
2017-05-03,78,68.0,,0.68,53.040000000000006
2017-05-04,77,68.0,,0.68,52.36000000000001
2017-05-05,68,68.0,,0.68,46.24
2017-05-06,20,68.0,,0.68,13.600000000000001
2017-05-07,24,68.0,,0.68,16.32
2017-05-08,60,68.0,,0.68,40.800000000000004
2017-05-09,87,68.0,,0.68,59.160000000000004
2017-05-10,63,68.0,,0.68,42.84
2017-05-11,100,68.0,,0.68,68.0
2017-05-12,43,68.0,,0.68,29.240000000000002
2017-05-13,31,68.0,,0.68,21.080000000000002
2017-05-14,21,68.0,,0.68,14.280000000000001
2017-05-15,72,68.0,,0.68,48.96
2017-05-16,79,68.0,,0.68,53.720000000000006
2017-05-17,47,68.0,,0.68,31.96
2017-05-18,91,68.0,,0.68,61.88
2017-05-19,57,68.0,,0.68,38.760000000000005
2017-05-20,18,68.0,,0.68,12.24
2017-05-21,46,68.0,,0.68,31.28
2017-05-22,73,68.0,,0.68,49.64
2017-05-23,73,68.0,,0.68,49.64
2017-05-24,88,68.0,,0.68,59.84
2017-05-25,56,68.0,,0.68,38.080000000000005
2017-05-26,57,68.0,,0.68,38.760000000000005
2017-05-27,26,68.0,,0.68,17.68
2017-05-28,4,68.0,,0.68,2.72
2017-05-29,10,68.0,,0.68,6.800000000000001
2017-05-30,67,68.0,,0.68,45.56
2017-05-31,49,68.0,,0.68,33.32
2017-06-01,41,76.0,False,0.76,31.16
2017-06-02,50,76.0,,0.76,38.0
2017-06-03,21,76.0,,0.76,15.96
2017-06-04,31,76.0,,0.76,23.56
2017-06-05,100,76.0,,0.76,76.0
2017-06-06,93,76.0,,0.76,70.68
2017-06-07,77,76.0,,0.76,58.52
2017-06-08,61,76.0,,0.76,46.36
2017-06-09,80,76.0,,0.76,60.8
2017-06-10,39,76.0,,0.76,29.64
2017-06-11,25,76.0,,0.76,19.0
2017-06-12,64,76.0,,0.76,48.64
2017-06-13,59,76.0,,0.76,44.84
2017-06-14,66,76.0,,0.76,50.160000000000004
2017-06-15,96,76.0,,0.76,72.96000000000001
2017-06-16,93,76.0,,0.76,70.68
2017-06-17,42,76.0,,0.76,31.92
2017-06-18,39,76.0,,0.76,29.64
2017-06-19,79,76.0,,0.76,60.04
2017-06-20,66,76.0,,0.76,50.160000000000004
2017-06-21,76,76.0,,0.76,57.76
2017-06-22,56,76.0,,0.76,42.56
2017-06-23,54,76.0,,0.76,41.04
2017-06-24,17,76.0,,0.76,12.92
2017-06-25,29,76.0,,0.76,22.04
2017-06-26,80,76.0,,0.76,60.8
2017-06-27,84,76.0,,0.76,63.84
2017-06-28,78,76.0,,0.76,59.28
2017-06-29,87,76.0,,0.76,66.12
2017-06-30,69,76.0,,0.76,52.44
2017-07-01,11,76.0,False,0.76,8.36
2017-07-02,5,76.0,,0.76,3.8
2017-07-03,32,76.0,,0.76,24.32
2017-07-04,22,76.0,,0.76,16.72
2017-07-05,28,76.0,,0.76,21.28
2017-07-06,59,76.0,,0.76,44.84
2017-07-07,40,76.0,,0.76,30.4
2017-07-08,21,76.0,,0.76,15.96
2017-07-09,6,76.0,,0.76,4.5600000000000005
2017-07-10,42,76.0,,0.76,31.92
2017-07-11,52,76.0,,0.76,39.52
2017-07-12,39,76.0,,0.76,29.64
2017-07-13,28,76.0,,0.76,21.28
2017-07-14,40,76.0,,0.76,30.4
2017-07-15,17,76.0,,0.76,12.92
2017-07-16,13,76.0,,0.76,9.88
2017-07-17,100,76.0,,0.76,76.0
2017-07-18,63,76.0,,0.76,47.88
2017-07-19,58,76.0,,0.76,44.08
2017-07-20,47,76.0,,0.76,35.72
2017-07-21,45,76.0,,0.76,34.2
2017-07-22,28,76.0,,0.76,21.28
2017-07-23,17,76.0,,0.76,12.92
2017-07-24,51,76.0,,0.76,38.76
2017-07-25,48,76.0,,0.76,36.480000000000004
2017-07-26,62,76.0,,0.76,47.12
2017-07-27,38,76.0,,0.76,28.88
2017-07-28,62,76.0,,0.76,47.12
2017-07-29,15,76.0,,0.76,11.4
2017-07-30,17,76.0,,0.76,12.92
2017-07-31,51,76.0,,0.76,38.76
2017-08-01,67,72.0,False,0.72,48.239999999999995
2017-08-02,72,72.0,,0.72,51.839999999999996
2017-08-03,75,72.0,,0.72,54.0
2017-08-04,65,72.0,,0.72,46.8
2017-08-05,22,72.0,,0.72,15.84
2017-08-06,22,72.0,,0.72,15.84
2017-08-07,62,72.0,,0.72,44.64
2017-08-08,72,72.0,,0.72,51.839999999999996
2017-08-09,60,72.0,,0.72,43.199999999999996
2017-08-10,76,72.0,,0.72,54.72
2017-08-11,65,72.0,,0.72,46.8
2017-08-12,40,72.0,,0.72,28.799999999999997
2017-08-13,19,72.0,,0.72,13.68
2017-08-14,69,72.0,,0.72,49.68
2017-08-15,95,72.0,,0.72,68.39999999999999
2017-08-16,55,72.0,,0.72,39.6
2017-08-17,61,72.0,,0.72,43.92
2017-08-18,61,72.0,,0.72,43.92
2017-08-19,21,72.0,,0.72,15.12
2017-08-20,12,72.0,,0.72,8.64
2017-08-21,50,72.0,,0.72,36.0
2017-08-22,47,72.0,,0.72,33.839999999999996
2017-08-23,68,72.0,,0.72,48.96
2017-08-24,62,72.0,,0.72,44.64
2017-08-25,50,72.0,,0.72,36.0
2017-08-26,24,72.0,,0.72,17.28
2017-08-27,11,72.0,,0.72,7.92
2017-08-28,60,72.0,,0.72,43.199999999999996
2017-08-29,66,72.0,,0.72,47.519999999999996
2017-08-30,33,72.0,,0.72,23.759999999999998
2017-08-31,100,72.0,,0.72,72.0
2017-09-01,41,66.0,False,0.66,27.060000000000002
2017-09-02,12,66.0,,0.66,7.92
2017-09-03,41,66.0,,0.66,27.060000000000002
2017-09-04,23,66.0,,0.66,15.180000000000001
2017-09-05,83,66.0,,0.66,54.78
2017-09-06,56,66.0,,0.66,36.96
2017-09-07,48,66.0,,0.66,31.68
2017-09-08,48,66.0,,0.66,31.68
2017-09-09,27,66.0,,0.66,17.82
2017-09-10,21,66.0,,0.66,13.860000000000001
2017-09-11,66,66.0,,0.66,43.56
2017-09-12,77,66.0,,0.66,50.82
2017-09-13,61,66.0,,0.66,40.260000000000005
2017-09-14,73,66.0,,0.66,48.18
2017-09-15,50,66.0,,0.66,33.0
2017-09-16,34,66.0,,0.66,22.44
2017-09-17,21,66.0,,0.66,13.860000000000001
2017-09-18,76,66.0,,0.66,50.160000000000004
2017-09-19,66,66.0,,0.66,43.56
2017-09-20,78,66.0,,0.66,51.480000000000004
2017-09-21,67,66.0,,0.66,44.22
2017-09-22,88,66.0,,0.66,58.080000000000005
2017-09-23,28,66.0,,0.66,18.48
2017-09-24,12,66.0,,0.66,7.92
2017-09-25,44,66.0,,0.66,29.040000000000003
2017-09-26,100,66.0,,0.66,66.0
2017-09-27,67,66.0,,0.66,44.22
2017-09-28,83,66.0,,0.66,54.78
2017-09-29,90,66.0,,0.66,59.400000000000006
2017-09-30,25,66.0,,0.66,16.5
2017-10-01,8,74.0,False,0.74,5.92
2017-10-02,51,74.0,,0.74,37.74
2017-10-03,52,74.0,,0.74,38.48
2017-10-04,69,74.0,,0.74,51.06
2017-10-05,63,74.0,,0.74,46.62
2017-10-06,52,74.0,,0.74,38.48
2017-10-07,8,74.0,,0.74,5.92
2017-10-08,24,74.0,,0.74,17.759999999999998
2017-10-09,50,74.0,,0.74,37.0
2017-10-10,72,74.0,,0.74,53.28
2017-10-11,66,74.0,,0.74,48.839999999999996
2017-10-12,55,74.0,,0.74,40.7
2017-10-13,69,74.0,,0.74,51.06
2017-10-14,11,74.0,,0.74,8.14
2017-10-15,16,74.0,,0.74,11.84
2017-10-16,79,74.0,,0.74,58.46
2017-10-17,63,74.0,,0.74,46.62
2017-10-18,60,74.0,,0.74,44.4
2017-10-19,100,74.0,,0.74,74.0
2017-10-20,65,74.0,,0.74,48.1
2017-10-21,23,74.0,,0.74,17.02
2017-10-22,22,74.0,,0.74,16.28
2017-10-23,66,74.0,,0.74,48.839999999999996
2017-10-24,75,74.0,,0.74,55.5
2017-10-25,71,74.0,,0.74,52.54
2017-10-26,58,74.0,,0.74,42.92
2017-10-27,29,74.0,,0.74,21.46
2017-10-28,36,74.0,,0.74,26.64
2017-10-29,16,74.0,,0.74,11.84
2017-10-30,57,74.0,,0.74,42.18
2017-10-31,75,74.0,,0.74,55.5
2017-11-01,79,68.0,False,0.68,53.720000000000006
2017-11-02,55,68.0,,0.68,37.400000000000006
2017-11-03,85,68.0,,0.68,57.800000000000004
2017-11-04,27,68.0,,0.68,18.360000000000003
2017-11-05,30,68.0,,0.68,20.400000000000002
2017-11-06,62,68.0,,0.68,42.160000000000004
2017-11-07,90,68.0,,0.68,61.2
2017-11-08,47,68.0,,0.68,31.96
2017-11-09,70,68.0,,0.68,47.6
2017-11-10,75,68.0,,0.68,51.00000000000001
2017-11-11,14,68.0,,0.68,9.520000000000001
2017-11-12,20,68.0,,0.68,13.600000000000001
2017-11-13,69,68.0,,0.68,46.92
2017-11-14,100,68.0,,0.68,68.0
2017-11-15,67,68.0,,0.68,45.56
2017-11-16,81,68.0,,0.68,55.080000000000005
2017-11-17,64,68.0,,0.68,43.52
2017-11-18,40,68.0,,0.68,27.200000000000003
2017-11-19,40,68.0,,0.68,27.200000000000003
2017-11-20,78,68.0,,0.68,53.040000000000006
2017-11-21,83,68.0,,0.68,56.440000000000005
2017-11-22,55,68.0,,0.68,37.400000000000006
2017-11-23,7,68.0,,0.68,4.760000000000001
2017-11-24,55,68.0,,0.68,37.400000000000006
2017-11-25,30,68.0,,0.68,20.400000000000002
2017-11-26,16,68.0,,0.68,10.88
2017-11-27,53,68.0,,0.68,36.04
2017-11-28,93,68.0,,0.68,63.24
2017-11-29,80,68.0,,0.68,54.400000000000006
2017-11-30,93,68.0,,0.68,63.24
2017-12-01,67,59.0,False,0.59,39.53
2017-12-02,35,59.0,,0.59,20.65
2017-12-03,35,59.0,,0.59,20.65
2017-12-04,58,59.0,,0.59,34.22
2017-12-05,55,59.0,,0.59,32.449999999999996
2017-12-06,37,59.0,,0.59,21.83
2017-12-07,69,59.0,,0.59,40.71
2017-12-08,77,59.0,,0.59,45.43
2017-12-09,26,59.0,,0.59,15.34
2017-12-10,10,59.0,,0.59,5.8999999999999995
2017-12-11,47,59.0,,0.59,27.729999999999997
2017-12-12,100,59.0,,0.59,59.0
2017-12-13,42,59.0,,0.59,24.779999999999998
2017-12-14,60,59.0,,0.59,35.4
2017-12-15,73,59.0,,0.59,43.07
2017-12-16,39,59.0,,0.59,23.009999999999998
2017-12-17,29,59.0,,0.59,17.11
2017-12-18,74,59.0,,0.59,43.66
2017-12-19,70,59.0,,0.59,41.3
2017-12-20,69,59.0,,0.59,40.71
2017-12-21,44,59.0,,0.59,25.959999999999997
2017-12-22,40,59.0,,0.59,23.599999999999998
2017-12-23,27,59.0,,0.59,15.93
2017-12-24,7,59.0,,0.59,4.13
2017-12-25,11,59.0,,0.59,6.489999999999999
2017-12-26,51,59.0,,0.59,30.09
