date,FREE_unscaled,FREE_monthly,isPartial,scale,FREE
2016-07-07,85,100.0,,1.0,85.0
2016-07-08,80,100.0,,1.0,80.0
2016-07-09,88,100.0,,1.0,88.0
2016-07-10,91,100.0,,1.0,91.0
2016-07-11,87,100.0,,1.0,87.0
2016-07-12,83,100.0,,1.0,83.0
2016-07-13,84,100.0,,1.0,84.0
2016-07-14,80,100.0,,1.0,80.0
2016-07-15,79,100.0,,1.0,79.0
2016-07-16,86,100.0,,1.0,86.0
2016-07-17,88,100.0,,1.0,88.0
2016-07-18,83,100.0,,1.0,83.0
2016-07-19,79,100.0,,1.0,79.0
2016-07-20,81,100.0,,1.0,81.0
2016-07-21,82,100.0,,1.0,82.0
2016-07-22,82,100.0,,1.0,82.0
2016-07-23,88,100.0,,1.0,88.0
2016-07-24,91,100.0,,1.0,91.0
2016-07-25,81,100.0,,1.0,81.0
2016-07-26,83,100.0,,1.0,83.0
2016-07-27,83,100.0,,1.0,83.0
2016-07-28,83,100.0,,1.0,83.0
2016-07-29,82,100.0,,1.0,82.0
2016-07-30,89,100.0,,1.0,89.0
2016-07-31,92,100.0,,1.0,92.0
2016-08-01,91,90.0,False,0.9,81.9
2016-08-02,91,90.0,,0.9,81.9
2016-08-03,89,90.0,,0.9,80.10000000000001
2016-08-04,91,90.0,,0.9,81.9
2016-08-05,98,90.0,,0.9,88.2
2016-08-06,100,90.0,,0.9,90.0
2016-08-07,96,90.0,,0.9,86.4
2016-08-08,90,90.0,,0.9,81.0
2016-08-09,89,90.0,,0.9,80.10000000000001
2016-08-10,87,90.0,,0.9,78.3
2016-08-11,86,90.0,,0.9,77.4
2016-08-12,84,90.0,,0.9,75.60000000000001
2016-08-13,90,90.0,,0.9,81.0
2016-08-14,91,90.0,,0.9,81.9
2016-08-15,83,90.0,,0.9,74.7
2016-08-16,86,90.0,,0.9,77.4
2016-08-17,86,90.0,,0.9,77.4
2016-08-18,83,90.0,,0.9,74.7
2016-08-19,85,90.0,,0.9,76.5
2016-08-20,90,90.0,,0.9,81.0
2016-08-21,97,90.0,,0.9,87.3
2016-08-22,82,90.0,,0.9,73.8
2016-08-23,86,90.0,,0.9,77.4
2016-08-24,85,90.0,,0.9,76.5
2016-08-25,87,90.0,,0.9,78.3
2016-08-26,87,90.0,,0.9,78.3
2016-08-27,90,90.0,,0.9,81.0
2016-08-28,94,90.0,,0.9,84.60000000000001
2016-08-29,82,90.0,,0.9,73.8
2016-08-30,83,90.0,,0.9,74.7
2016-08-31,84,90.0,,0.9,75.60000000000001
2016-09-01,87,86.0,False,0.86,74.82
2016-09-02,85,86.0,,0.86,73.1
2016-09-03,93,86.0,,0.86,79.98
2016-09-04,99,86.0,,0.86,85.14
2016-09-05,96,86.0,,0.86,82.56
2016-09-06,85,86.0,,0.86,73.1
2016-09-07,86,86.0,,0.86,73.96
2016-09-08,86,86.0,,0.86,73.96
2016-09-09,88,86.0,,0.86,75.67999999999999
2016-09-10,97,86.0,,0.86,83.42
2016-09-11,100,86.0,,0.86,86.0
2016-09-12,85,86.0,,0.86,73.1
2016-09-13,86,86.0,,0.86,73.96
2016-09-14,85,86.0,,0.86,73.1
2016-09-15,86,86.0,,0.86,73.96
2016-09-16,88,86.0,,0.86,75.67999999999999
2016-09-17,95,86.0,,0.86,81.7
2016-09-18,100,86.0,,0.86,86.0
2016-09-19,87,86.0,,0.86,74.82
2016-09-20,86,86.0,,0.86,73.96
2016-09-21,84,86.0,,0.86,72.24
2016-09-22,84,86.0,,0.86,72.24
2016-09-23,85,86.0,,0.86,73.1
2016-09-24,93,86.0,,0.86,79.98
2016-09-25,98,86.0,,0.86,84.28
2016-09-26,86,86.0,,0.86,73.96
2016-09-27,87,86.0,,0.86,74.82
2016-09-28,85,86.0,,0.86,73.1
2016-09-29,85,86.0,,0.86,73.1
2016-09-30,85,86.0,,0.86,73.1
2016-10-01,93,85.0,False,0.85,79.05
2016-10-02,98,85.0,,0.85,83.3
2016-10-03,88,85.0,,0.85,74.8
2016-10-04,85,85.0,,0.85,72.25
2016-10-05,85,85.0,,0.85,72.25
2016-10-06,87,85.0,,0.85,73.95
2016-10-07,85,85.0,,0.85,72.25
2016-10-08,100,85.0,,0.85,85.0
2016-10-09,95,85.0,,0.85,80.75
2016-10-10,85,85.0,,0.85,72.25
2016-10-11,88,85.0,,0.85,74.8
2016-10-12,88,85.0,,0.85,74.8
2016-10-13,88,85.0,,0.85,74.8
2016-10-14,89,85.0,,0.85,75.64999999999999
2016-10-15,99,85.0,,0.85,84.14999999999999
2016-10-16,99,85.0,,0.85,84.14999999999999
2016-10-17,91,85.0,,0.85,77.35
2016-10-18,88,85.0,,0.85,74.8
2016-10-19,90,85.0,,0.85,76.5
2016-10-20,86,85.0,,0.85,73.1
2016-10-21,85,85.0,,0.85,72.25
2016-10-22,98,85.0,,0.85,83.3
2016-10-23,98,85.0,,0.85,83.3
2016-10-24,89,85.0,,0.85,75.64999999999999
2016-10-25,91,85.0,,0.85,77.35
2016-10-26,89,85.0,,0.85,75.64999999999999
2016-10-27,89,85.0,,0.85,75.64999999999999
2016-10-28,91,85.0,,0.85,77.35
2016-10-29,96,85.0,,0.85,81.6
2016-10-30,98,85.0,,0.85,83.3
2016-10-31,92,85.0,,0.85,78.2
2016-11-01,82,87.0,False,0.87,71.34
2016-11-02,84,87.0,,0.87,73.08
2016-11-03,86,87.0,,0.87,74.82
2016-11-04,84,87.0,,0.87,73.08
2016-11-05,89,87.0,,0.87,77.42999999999999
2016-11-06,92,87.0,,0.87,80.04
2016-11-07,78,87.0,,0.87,67.86
2016-11-08,84,87.0,,0.87,73.08
2016-11-09,60,87.0,,0.87,52.2
2016-11-10,84,87.0,,0.87,73.08
2016-11-11,100,87.0,,0.87,87.0
2016-11-12,91,87.0,,0.87,79.17
2016-11-13,91,87.0,,0.87,79.17
2016-11-14,80,87.0,,0.87,69.6
2016-11-15,84,87.0,,0.87,73.08
2016-11-16,82,87.0,,0.87,71.34
2016-11-17,83,87.0,,0.87,72.21
2016-11-18,82,87.0,,0.87,71.34
2016-11-19,89,87.0,,0.87,77.42999999999999
2016-11-20,95,87.0,,0.87,82.65
2016-11-21,83,87.0,,0.87,72.21
2016-11-22,87,87.0,,0.87,75.69
2016-11-23,85,87.0,,0.87,73.95
2016-11-24,84,87.0,,0.87,73.08
2016-11-25,82,87.0,,0.87,71.34
2016-11-26,88,87.0,,0.87,76.56
2016-11-27,91,87.0,,0.87,79.17
2016-11-28,81,87.0,,0.87,70.47
2016-11-29,81,87.0,,0.87,70.47
2016-11-30,81,87.0,,0.87,70.47
2016-12-01,86,86.0,False,0.86,73.96
2016-12-02,87,86.0,,0.86,74.82
2016-12-03,97,86.0,,0.86,83.42
2016-12-04,100,86.0,,0.86,86.0
2016-12-05,88,86.0,,0.86,75.67999999999999
2016-12-06,86,86.0,,0.86,73.96
2016-12-07,86,86.0,,0.86,73.96
2016-12-08,88,86.0,,0.86,75.67999999999999
2016-12-09,85,86.0,,0.86,73.1
2016-12-10,95,86.0,,0.86,81.7
2016-12-11,100,86.0,,0.86,86.0
2016-12-12,89,86.0,,0.86,76.53999999999999
2016-12-13,88,86.0,,0.86,75.67999999999999
2016-12-14,86,86.0,,0.86,73.96
2016-12-15,87,86.0,,0.86,74.82
2016-12-16,88,86.0,,0.86,75.67999999999999
2016-12-17,94,86.0,,0.86,80.84
2016-12-18,94,86.0,,0.86,80.84
2016-12-19,87,86.0,,0.86,74.82
2016-12-20,88,86.0,,0.86,75.67999999999999
2016-12-21,89,86.0,,0.86,76.53999999999999
2016-12-22,93,86.0,,0.86,79.98
2016-12-23,92,86.0,,0.86,79.12
2016-12-24,91,86.0,,0.86,78.26
2016-12-25,89,86.0,,0.86,76.53999999999999
2016-12-26,95,86.0,,0.86,81.7
2016-12-27,93,86.0,,0.86,79.98
2016-12-28,93,86.0,,0.86,79.98
2016-12-29,89,86.0,,0.86,76.53999999999999
2016-12-30,88,86.0,,0.86,75.67999999999999
2016-12-31,93,86.0,,0.86,79.98
2017-01-01,91,89.0,False,0.89,80.99
2017-01-02,99,89.0,,0.89,88.11
2017-01-03,91,89.0,,0.89,80.99
2017-01-04,87,89.0,,0.89,77.43
2017-01-05,88,89.0,,0.89,78.32000000000001
2017-01-06,86,89.0,,0.89,76.54
2017-01-07,93,89.0,,0.89,82.77
2017-01-08,97,89.0,,0.89,86.33
2017-01-09,84,89.0,,0.89,74.76
2017-01-10,86,89.0,,0.89,76.54
2017-01-11,86,89.0,,0.89,76.54
2017-01-12,85,89.0,,0.89,75.65
2017-01-13,85,89.0,,0.89,75.65
2017-01-14,95,89.0,,0.89,84.55
2017-01-15,97,89.0,,0.89,86.33
2017-01-16,94,89.0,,0.89,83.66
2017-01-17,87,89.0,,0.89,77.43
2017-01-18,86,89.0,,0.89,76.54
2017-01-19,91,89.0,,0.89,80.99
2017-01-20,84,89.0,,0.89,74.76
2017-01-21,100,89.0,,0.89,89.0
2017-01-22,100,89.0,,0.89,89.0
2017-01-23,88,89.0,,0.89,78.32000000000001
2017-01-24,89,89.0,,0.89,79.21000000000001
2017-01-25,86,89.0,,0.89,76.54
2017-01-26,89,89.0,,0.89,79.21000000000001
2017-01-27,89,89.0,,0.89,79.21000000000001
2017-01-28,93,89.0,,0.89,82.77
2017-01-29,100,89.0,,0.89,89.0
2017-01-30,87,89.0,,0.89,77.43
2017-01-31,89,89.0,,0.89,79.21000000000001
2017-02-01,90,85.0,False,0.85,76.5
2017-02-02,89,85.0,,0.85,75.64999999999999
2017-02-03,86,85.0,,0.85,73.1
2017-02-04,99,85.0,,0.85,84.14999999999999
2017-02-05,99,85.0,,0.85,84.14999999999999
2017-02-06,84,85.0,,0.85,71.39999999999999
2017-02-07,90,85.0,,0.85,76.5
2017-02-08,88,85.0,,0.85,74.8
2017-02-09,89,85.0,,0.85,75.64999999999999
2017-02-10,89,85.0,,0.85,75.64999999999999
2017-02-11,100,85.0,,0.85,85.0
2017-02-12,100,85.0,,0.85,85.0
2017-02-13,88,85.0,,0.85,74.8
2017-02-14,89,85.0,,0.85,75.64999999999999
2017-02-15,83,85.0,,0.85,70.55
2017-02-16,88,85.0,,0.85,74.8
2017-02-17,86,85.0,,0.85,73.1
2017-02-18,94,85.0,,0.85,79.89999999999999
2017-02-19,96,85.0,,0.85,81.6
2017-02-20,94,85.0,,0.85,79.89999999999999
2017-02-21,86,85.0,,0.85,73.1
2017-02-22,85,85.0,,0.85,72.25
2017-02-23,82,85.0,,0.85,69.7
2017-02-24,86,85.0,,0.85,73.1
2017-02-25,94,85.0,,0.85,79.89999999999999
2017-02-26,93,85.0,,0.85,79.05
2017-02-27,88,85.0,,0.85,74.8
2017-02-28,85,85.0,,0.85,72.25
2017-03-01,83,89.0,False,0.89,73.87
2017-03-02,89,89.0,,0.89,79.21000000000001
2017-03-03,85,89.0,,0.89,75.65
2017-03-04,94,89.0,,0.89,83.66
2017-03-05,99,89.0,,0.89,88.11
2017-03-06,90,89.0,,0.89,80.1
2017-03-07,97,89.0,,0.89,86.33
2017-03-08,93,89.0,,0.89,82.77
2017-03-09,97,89.0,,0.89,86.33
2017-03-10,95,89.0,,0.89,84.55
2017-03-11,100,89.0,,0.89,89.0
2017-03-12,98,89.0,,0.89,87.22
2017-03-13,89,89.0,,0.89,79.21000000000001
2017-03-14,90,89.0,,0.89,80.1
2017-03-15,92,89.0,,0.89,81.88
2017-03-16,88,89.0,,0.89,78.32000000000001
2017-03-17,85,89.0,,0.89,75.65
2017-03-18,91,89.0,,0.89,80.99
2017-03-19,96,89.0,,0.89,85.44
2017-03-20,93,89.0,,0.89,82.77
2017-03-21,92,89.0,,0.89,81.88
2017-03-22,90,89.0,,0.89,80.1
2017-03-23,88,89.0,,0.89,78.32000000000001
2017-03-24,87,89.0,,0.89,77.43
2017-03-25,96,89.0,,0.89,85.44
2017-03-26,100,89.0,,0.89,89.0
2017-03-27,88,89.0,,0.89,78.32000000000001
2017-03-28,88,89.0,,0.89,78.32000000000001
2017-03-29,87,89.0,,0.89,77.43
2017-03-30,88,89.0,,0.89,78.32000000000001
2017-03-31,87,89.0,,0.89,77.43
2017-04-01,92,87.0,False,0.87,80.04
2017-04-02,94,87.0,,0.87,81.78
2017-04-03,85,87.0,,0.87,73.95
2017-04-04,88,87.0,,0.87,76.56
2017-04-05,83,87.0,,0.87,72.21
2017-04-06,85,87.0,,0.87,73.95
2017-04-07,83,87.0,,0.87,72.21
2017-04-08,96,87.0,,0.87,83.52
2017-04-09,92,87.0,,0.87,80.04
2017-04-10,87,87.0,,0.87,75.69
2017-04-11,88,87.0,,0.87,76.56
2017-04-12,86,87.0,,0.87,74.82
2017-04-13,88,87.0,,0.87,76.56
2017-04-14,86,87.0,,0.87,74.82
2017-04-15,91,87.0,,0.87,79.17
2017-04-16,92,87.0,,0.87,80.04
2017-04-17,88,87.0,,0.87,76.56
2017-04-18,87,87.0,,0.87,75.69
2017-04-19,85,87.0,,0.87,73.95
2017-04-20,83,87.0,,0.87,72.21
2017-04-21,85,87.0,,0.87,73.95
2017-04-22,93,87.0,,0.87,80.91
2017-04-23,95,87.0,,0.87,82.65
2017-04-24,84,87.0,,0.87,73.08
2017-04-25,86,87.0,,0.87,74.82
2017-04-26,84,87.0,,0.87,73.08
2017-04-27,83,87.0,,0.87,72.21
2017-04-28,80,87.0,,0.87,69.6
2017-04-29,90,87.0,,0.87,78.3
2017-04-30,100,87.0,,0.87,87.0
2017-05-01,92,86.0,False,0.86,79.12
2017-05-02,90,86.0,,0.86,77.4
2017-05-03,91,86.0,,0.86,78.26
2017-05-04,90,86.0,,0.86,77.4
2017-05-05,89,86.0,,0.86,76.53999999999999
2017-05-06,96,86.0,,0.86,82.56
2017-05-07,99,86.0,,0.86,85.14
2017-05-08,87,86.0,,0.86,74.82
2017-05-09,88,86.0,,0.86,75.67999999999999
2017-05-10,88,86.0,,0.86,75.67999999999999
2017-05-11,88,86.0,,0.86,75.67999999999999
2017-05-12,87,86.0,,0.86,74.82
2017-05-13,95,86.0,,0.86,81.7
2017-05-14,100,86.0,,0.86,86.0
2017-05-15,84,86.0,,0.86,72.24
2017-05-16,84,86.0,,0.86,72.24
2017-05-17,83,86.0,,0.86,71.38
2017-05-18,82,86.0,,0.86,70.52
2017-05-19,82,86.0,,0.86,70.52
2017-05-20,91,86.0,,0.86,78.26
2017-05-21,94,86.0,,0.86,80.84
2017-05-22,87,86.0,,0.86,74.82
2017-05-23,87,86.0,,0.86,74.82
2017-05-24,86,86.0,,0.86,73.96
2017-05-25,86,86.0,,0.86,73.96
2017-05-26,86,86.0,,0.86,73.96
2017-05-27,94,86.0,,0.86,80.84
2017-05-28,93,86.0,,0.86,79.98
2017-05-29,95,86.0,,0.86,81.7
2017-05-30,89,86.0,,0.86,76.53999999999999
2017-05-31,86,86.0,,0.86,73.96
2017-06-01,87,86.0,False,0.86,74.82
2017-06-02,96,86.0,,0.86,82.56
2017-06-03,98,86.0,,0.86,84.28
2017-06-04,100,86.0,,0.86,86.0
2017-06-05,89,86.0,,0.86,76.53999999999999
2017-06-06,88,86.0,,0.86,75.67999999999999
2017-06-07,91,86.0,,0.86,78.26
2017-06-08,92,86.0,,0.86,79.12
2017-06-09,90,86.0,,0.86,77.4
2017-06-10,95,86.0,,0.86,81.7
2017-06-11,96,86.0,,0.86,82.56
2017-06-12,88,86.0,,0.86,75.67999999999999
2017-06-13,92,86.0,,0.86,79.12
2017-06-14,89,86.0,,0.86,76.53999999999999
2017-06-15,89,86.0,,0.86,76.53999999999999
2017-06-16,85,86.0,,0.86,73.1
2017-06-17,94,86.0,,0.86,80.84
2017-06-18,99,86.0,,0.86,85.14
2017-06-19,93,86.0,,0.86,79.98
2017-06-20,88,86.0,,0.86,75.67999999999999
2017-06-21,90,86.0,,0.86,77.4
2017-06-22,89,86.0,,0.86,76.53999999999999
2017-06-23,92,86.0,,0.86,79.12
2017-06-24,94,86.0,,0.86,80.84
2017-06-25,99,86.0,,0.86,85.14
2017-06-26,92,86.0,,0.86,79.12
2017-06-27,92,86.0,,0.86,79.12
2017-06-28,91,86.0,,0.86,78.26
2017-06-29,89,86.0,,0.86,76.53999999999999
2017-06-30,92,86.0,,0.86,79.12
2017-07-01,95,90.0,False,0.9,85.5
2017-07-02,96,90.0,,0.9,86.4
2017-07-03,90,90.0,,0.9,81.0
2017-07-04,93,90.0,,0.9,83.7
2017-07-05,86,90.0,,0.9,77.4
2017-07-06,87,90.0,,0.9,78.3
2017-07-07,86,90.0,,0.9,77.4
2017-07-08,91,90.0,,0.9,81.9
2017-07-09,95,90.0,,0.9,85.5
2017-07-10,87,90.0,,0.9,78.3
2017-07-11,95,90.0,,0.9,85.5
2017-07-12,88,90.0,,0.9,79.2
2017-07-13,84,90.0,,0.9,75.60000000000001
2017-07-14,85,90.0,,0.9,76.5
2017-07-15,89,90.0,,0.9,80.10000000000001
2017-07-16,98,90.0,,0.9,88.2
2017-07-17,88,90.0,,0.9,79.2
2017-07-18,89,90.0,,0.9,80.10000000000001
2017-07-19,89,90.0,,0.9,80.10000000000001
2017-07-20,86,90.0,,0.9,77.4
2017-07-21,85,90.0,,0.9,76.5
2017-07-22,92,90.0,,0.9,82.8
2017-07-23,93,90.0,,0.9,83.7
2017-07-24,89,90.0,,0.9,80.10000000000001
2017-07-25,89,90.0,,0.9,80.10000000000001
2017-07-26,86,90.0,,0.9,77.4
2017-07-27,87,90.0,,0.9,78.3
2017-07-28,87,90.0,,0.9,78.3
2017-07-29,100,90.0,,0.9,90.0
2017-07-30,96,90.0,,0.9,86.4
2017-07-31,87,90.0,,0.9,78.3
2017-08-01,73,88.0,False,0.88,64.24
2017-08-02,75,88.0,,0.88,66.0
2017-08-03,72,88.0,,0.88,63.36
2017-08-04,74,88.0,,0.88,65.12
2017-08-05,82,88.0,,0.88,72.16
2017-08-06,78,88.0,,0.88,68.64
2017-08-07,74,88.0,,0.88,65.12
2017-08-08,71,88.0,,0.88,62.48
2017-08-09,73,88.0,,0.88,64.24
2017-08-10,72,88.0,,0.88,63.36
2017-08-11,74,88.0,,0.88,65.12
2017-08-12,74,88.0,,0.88,65.12
2017-08-13,74,88.0,,0.88,65.12
2017-08-14,73,88.0,,0.88,64.24
2017-08-15,72,88.0,,0.88,63.36
2017-08-16,71,88.0,,0.88,62.48
2017-08-17,69,88.0,,0.88,60.72
2017-08-18,70,88.0,,0.88,61.6
2017-08-19,75,88.0,,0.88,66.0
2017-08-20,72,88.0,,0.88,63.36
2017-08-21,66,88.0,,0.88,58.08
2017-08-22,70,88.0,,0.88,61.6
2017-08-23,67,88.0,,0.88,58.96
2017-08-24,66,88.0,,0.88,58.08
2017-08-25,66,88.0,,0.88,58.08
2017-08-26,78,88.0,,0.88,68.64
2017-08-27,100,88.0,,0.88,88.0
2017-08-28,67,88.0,,0.88,58.96
2017-08-29,67,88.0,,0.88,58.96
2017-08-30,66,88.0,,0.88,58.08
2017-08-31,67,88.0,,0.88,58.96
2017-09-01,84,84.0,False,0.84,70.56
2017-09-02,87,84.0,,0.84,73.08
2017-09-03,91,84.0,,0.84,76.44
2017-09-04,93,84.0,,0.84,78.11999999999999
2017-09-05,78,84.0,,0.84,65.52
2017-09-06,77,84.0,,0.84,64.67999999999999
2017-09-07,78,84.0,,0.84,65.52
2017-09-08,79,84.0,,0.84,66.36
2017-09-09,86,84.0,,0.84,72.24
2017-09-10,93,84.0,,0.84,78.11999999999999
2017-09-11,79,84.0,,0.84,66.36
2017-09-12,81,84.0,,0.84,68.03999999999999
2017-09-13,84,84.0,,0.84,70.56
2017-09-14,83,84.0,,0.84,69.72
2017-09-15,81,84.0,,0.84,68.03999999999999
2017-09-16,91,84.0,,0.84,76.44
2017-09-17,100,84.0,,0.84,84.0
2017-09-18,82,84.0,,0.84,68.88
2017-09-19,83,84.0,,0.84,69.72
2017-09-20,80,84.0,,0.84,67.2
2017-09-21,82,84.0,,0.84,68.88
2017-09-22,83,84.0,,0.84,69.72
2017-09-23,88,84.0,,0.84,73.92
2017-09-24,90,84.0,,0.84,75.6
2017-09-25,82,84.0,,0.84,68.88
2017-09-26,85,84.0,,0.84,71.39999999999999
2017-09-27,82,84.0,,0.84,68.88
2017-09-28,82,84.0,,0.84,68.88
2017-09-29,82,84.0,,0.84,68.88
2017-09-30,89,84.0,,0.84,74.75999999999999
2017-10-01,99,85.0,False,0.85,84.14999999999999
2017-10-02,86,85.0,,0.85,73.1
2017-10-03,91,85.0,,0.85,77.35
2017-10-04,90,85.0,,0.85,76.5
2017-10-05,89,85.0,,0.85,75.64999999999999
2017-10-06,88,85.0,,0.85,74.8
2017-10-07,95,85.0,,0.85,80.75
2017-10-08,99,85.0,,0.85,84.14999999999999
2017-10-09,93,85.0,,0.85,79.05
2017-10-10,89,85.0,,0.85,75.64999999999999
2017-10-11,89,85.0,,0.85,75.64999999999999
2017-10-12,87,85.0,,0.85,73.95
2017-10-13,88,85.0,,0.85,74.8
2017-10-14,95,85.0,,0.85,80.75
2017-10-15,100,85.0,,0.85,85.0
2017-10-16,90,85.0,,0.85,76.5
2017-10-17,88,85.0,,0.85,74.8
2017-10-18,90,85.0,,0.85,76.5
2017-10-19,88,85.0,,0.85,74.8
2017-10-20,89,85.0,,0.85,75.64999999999999
2017-10-21,95,85.0,,0.85,80.75
2017-10-22,98,85.0,,0.85,83.3
2017-10-23,92,85.0,,0.85,78.2
2017-10-24,92,85.0,,0.85,78.2
2017-10-25,90,85.0,,0.85,76.5
2017-10-26,88,85.0,,0.85,74.8
2017-10-27,85,85.0,,0.85,72.25
2017-10-28,98,85.0,,0.85,83.3
2017-10-29,100,85.0,,0.85,85.0
2017-10-30,87,85.0,,0.85,73.95
2017-10-31,90,85.0,,0.85,76.5
2017-11-01,77,84.0,False,0.84,64.67999999999999
2017-11-02,78,84.0,,0.84,65.52
2017-11-03,78,84.0,,0.84,65.52
2017-11-04,81,84.0,,0.84,68.03999999999999
2017-11-05,86,84.0,,0.84,72.24
2017-11-06,78,84.0,,0.84,65.52
2017-11-07,79,84.0,,0.84,66.36
2017-11-08,76,84.0,,0.84,63.839999999999996
2017-11-09,80,84.0,,0.84,67.2
2017-11-10,87,84.0,,0.84,73.08
2017-11-11,100,84.0,,0.84,84.0
2017-11-12,92,84.0,,0.84,77.28
2017-11-13,76,84.0,,0.84,63.839999999999996
2017-11-14,74,84.0,,0.84,62.16
2017-11-15,79,84.0,,0.84,66.36
2017-11-16,76,84.0,,0.84,63.839999999999996
2017-11-17,75,84.0,,0.84,63.0
2017-11-18,79,84.0,,0.84,66.36
2017-11-19,86,84.0,,0.84,72.24
2017-11-20,77,84.0,,0.84,64.67999999999999
2017-11-21,78,84.0,,0.84,65.52
2017-11-22,82,84.0,,0.84,68.88
2017-11-23,77,84.0,,0.84,64.67999999999999
2017-11-24,78,84.0,,0.84,65.52
2017-11-25,82,84.0,,0.84,68.88
2017-11-26,85,84.0,,0.84,71.39999999999999
2017-11-27,75,84.0,,0.84,63.0
2017-11-28,76,84.0,,0.84,63.839999999999996
2017-11-29,74,84.0,,0.84,62.16
2017-11-30,74,84.0,,0.84,62.16
2017-12-01,84,82.0,False,0.82,68.88
2017-12-02,96,82.0,,0.82,78.72
2017-12-03,100,82.0,,0.82,82.0
2017-12-04,88,82.0,,0.82,72.16
2017-12-05,87,82.0,,0.82,71.33999999999999
2017-12-06,88,82.0,,0.82,72.16
2017-12-07,85,82.0,,0.82,69.7
2017-12-08,87,82.0,,0.82,71.33999999999999
2017-12-09,92,82.0,,0.82,75.44
2017-12-10,98,82.0,,0.82,80.36
2017-12-11,86,82.0,,0.82,70.52
2017-12-12,90,82.0,,0.82,73.8
2017-12-13,87,82.0,,0.82,71.33999999999999
2017-12-14,89,82.0,,0.82,72.97999999999999
2017-12-15,93,82.0,,0.82,76.25999999999999
2017-12-16,94,82.0,,0.82,77.08
2017-12-17,100,82.0,,0.82,82.0
2017-12-18,89,82.0,,0.82,72.97999999999999
2017-12-19,92,82.0,,0.82,75.44
2017-12-20,92,82.0,,0.82,75.44
2017-12-21,91,82.0,,0.82,74.61999999999999
2017-12-22,88,82.0,,0.82,72.16
2017-12-23,92,82.0,,0.82,75.44
2017-12-24,94,82.0,,0.82,77.08
2017-12-25,93,82.0,,0.82,76.25999999999999
2017-12-26,95,82.0,,0.82,77.89999999999999
2017-12-27,96,82.0,,0.82,78.72
2017-12-28,95,82.0,,0.82,77.89999999999999
2017-12-29,93,82.0,,0.82,76.25999999999999
2017-12-30,96,82.0,,0.82,78.72
2017-12-31,94,82.0,,0.82,77.08
