date,GT_unscaled,GT_monthly,isPartial,scale,GT
2016-06-15,73,85.0,,0.85,62.05
2016-06-16,72,85.0,,0.85,61.199999999999996
2016-06-17,66,85.0,,0.85,56.1
2016-06-18,90,85.0,,0.85,76.5
2016-06-19,100,85.0,,0.85,85.0
2016-06-20,74,85.0,,0.85,62.9
2016-06-21,73,85.0,,0.85,62.05
2016-06-22,75,85.0,,0.85,63.75
2016-06-23,70,85.0,,0.85,59.5
2016-06-24,78,85.0,,0.85,66.3
2016-06-25,88,85.0,,0.85,74.8
2016-06-26,91,85.0,,0.85,77.35
2016-06-27,73,85.0,,0.85,62.05
2016-06-28,79,85.0,,0.85,67.14999999999999
2016-06-29,77,85.0,,0.85,65.45
2016-06-30,71,85.0,,0.85,60.35
2016-07-01,77,84.0,False,0.84,64.67999999999999
2016-07-02,92,84.0,,0.84,77.28
2016-07-03,96,84.0,,0.84,80.64
2016-07-04,88,84.0,,0.84,73.92
2016-07-05,79,84.0,,0.84,66.36
2016-07-06,86,84.0,,0.84,72.24
2016-07-07,77,84.0,,0.84,64.67999999999999
2016-07-08,81,84.0,,0.84,68.03999999999999
2016-07-09,90,84.0,,0.84,75.6
2016-07-10,89,84.0,,0.84,74.75999999999999
2016-07-11,85,84.0,,0.84,71.39999999999999
2016-07-12,78,84.0,,0.84,65.52
2016-07-13,81,84.0,,0.84,68.03999999999999
2016-07-14,75,84.0,,0.84,63.0
2016-07-15,75,84.0,,0.84,63.0
2016-07-16,93,84.0,,0.84,78.11999999999999
2016-07-17,92,84.0,,0.84,77.28
2016-07-18,79,84.0,,0.84,66.36
2016-07-19,87,84.0,,0.84,73.08
2016-07-20,86,84.0,,0.84,72.24
2016-07-21,88,84.0,,0.84,73.92
2016-07-22,79,84.0,,0.84,66.36
2016-07-23,88,84.0,,0.84,73.92
2016-07-24,90,84.0,,0.84,75.6
2016-07-25,85,84.0,,0.84,71.39999999999999
2016-07-26,86,84.0,,0.84,72.24
2016-07-27,84,84.0,,0.84,70.56
2016-07-28,90,84.0,,0.84,75.6
2016-07-29,81,84.0,,0.84,68.03999999999999
2016-07-30,100,84.0,,0.84,84.0
2016-07-31,98,84.0,,0.84,82.32
2016-08-01,73,82.0,False,0.82,59.86
2016-08-02,86,82.0,,0.82,70.52
2016-08-03,89,82.0,,0.82,72.97999999999999
2016-08-04,84,82.0,,0.82,68.88
2016-08-05,82,82.0,,0.82,67.24
2016-08-06,88,82.0,,0.82,72.16
2016-08-07,85,82.0,,0.82,69.7
2016-08-08,73,82.0,,0.82,59.86
2016-08-09,66,82.0,,0.82,54.12
2016-08-10,77,82.0,,0.82,63.13999999999999
2016-08-11,73,82.0,,0.82,59.86
2016-08-12,80,82.0,,0.82,65.6
2016-08-13,84,82.0,,0.82,68.88
2016-08-14,85,82.0,,0.82,69.7
2016-08-15,70,82.0,,0.82,57.4
2016-08-16,79,82.0,,0.82,64.78
2016-08-17,74,82.0,,0.82,60.68
2016-08-18,73,82.0,,0.82,59.86
2016-08-19,80,82.0,,0.82,65.6
2016-08-20,91,82.0,,0.82,74.61999999999999
2016-08-21,90,82.0,,0.82,73.8
2016-08-22,80,82.0,,0.82,65.6
2016-08-23,81,82.0,,0.82,66.42
2016-08-24,79,82.0,,0.82,64.78
2016-08-25,84,82.0,,0.82,68.88
2016-08-26,86,82.0,,0.82,70.52
2016-08-27,100,82.0,,0.82,82.0
2016-08-28,97,82.0,,0.82,79.53999999999999
2016-08-29,83,82.0,,0.82,68.06
2016-08-30,82,82.0,,0.82,67.24
2016-08-31,83,82.0,,0.82,68.06
2016-09-01,79,85.0,False,0.85,67.14999999999999
2016-09-02,80,85.0,,0.85,68.0
2016-09-03,98,85.0,,0.85,83.3
2016-09-04,97,85.0,,0.85,82.45
2016-09-05,91,85.0,,0.85,77.35
2016-09-06,77,85.0,,0.85,65.45
2016-09-07,72,85.0,,0.85,61.199999999999996
2016-09-08,73,85.0,,0.85,62.05
2016-09-09,77,85.0,,0.85,65.45
2016-09-10,100,85.0,,0.85,85.0
2016-09-11,85,85.0,,0.85,72.25
2016-09-12,73,85.0,,0.85,62.05
2016-09-13,79,85.0,,0.85,67.14999999999999
2016-09-14,78,85.0,,0.85,66.3
2016-09-15,79,85.0,,0.85,67.14999999999999
2016-09-16,81,85.0,,0.85,68.85
2016-09-17,99,85.0,,0.85,84.14999999999999
2016-09-18,85,85.0,,0.85,72.25
2016-09-19,81,85.0,,0.85,68.85
2016-09-20,81,85.0,,0.85,68.85
2016-09-21,75,85.0,,0.85,63.75
2016-09-22,81,85.0,,0.85,68.85
2016-09-23,88,85.0,,0.85,74.8
2016-09-24,79,85.0,,0.85,67.14999999999999
2016-09-25,87,85.0,,0.85,73.95
2016-09-26,75,85.0,,0.85,63.75
2016-09-27,73,85.0,,0.85,62.05
2016-09-28,68,85.0,,0.85,57.8
2016-09-29,73,85.0,,0.85,62.05
2016-09-30,78,85.0,,0.85,66.3
2016-10-01,100,77.0,False,0.77,77.0
2016-10-02,79,77.0,,0.77,60.83
2016-10-03,68,77.0,,0.77,52.36
2016-10-04,67,77.0,,0.77,51.59
2016-10-05,76,77.0,,0.77,58.52
2016-10-06,70,77.0,,0.77,53.9
2016-10-07,78,77.0,,0.77,60.06
2016-10-08,84,77.0,,0.77,64.68
2016-10-09,75,77.0,,0.77,57.75
2016-10-10,70,77.0,,0.77,53.9
2016-10-11,80,77.0,,0.77,61.6
2016-10-12,71,77.0,,0.77,54.67
2016-10-13,76,77.0,,0.77,58.52
2016-10-14,74,77.0,,0.77,56.980000000000004
2016-10-15,95,77.0,,0.77,73.15
2016-10-16,83,77.0,,0.77,63.910000000000004
2016-10-17,71,77.0,,0.77,54.67
2016-10-18,78,77.0,,0.77,60.06
2016-10-19,78,77.0,,0.77,60.06
2016-10-20,67,77.0,,0.77,51.59
2016-10-21,67,77.0,,0.77,51.59
2016-10-22,80,77.0,,0.77,61.6
2016-10-23,86,77.0,,0.77,66.22
2016-10-24,71,77.0,,0.77,54.67
2016-10-25,79,77.0,,0.77,60.83
2016-10-26,75,77.0,,0.77,57.75
2016-10-27,71,77.0,,0.77,54.67
2016-10-28,71,77.0,,0.77,54.67
2016-10-29,83,77.0,,0.77,63.910000000000004
2016-10-30,73,77.0,,0.77,56.21
2016-10-31,68,77.0,,0.77,52.36
2016-11-01,66,76.0,False,0.76,50.160000000000004
2016-11-02,65,76.0,,0.76,49.4
2016-11-03,65,76.0,,0.76,49.4
2016-11-04,70,76.0,,0.76,53.2
2016-11-05,95,76.0,,0.76,72.2
2016-11-06,79,76.0,,0.76,60.04
2016-11-07,75,76.0,,0.76,57.0
2016-11-08,64,76.0,,0.76,48.64
2016-11-09,47,76.0,,0.76,35.72
2016-11-10,63,76.0,,0.76,47.88
2016-11-11,66,76.0,,0.76,50.160000000000004
2016-11-12,82,76.0,,0.76,62.32
2016-11-13,78,76.0,,0.76,59.28
2016-11-14,69,76.0,,0.76,52.44
2016-11-15,68,76.0,,0.76,51.68
2016-11-16,68,76.0,,0.76,51.68
2016-11-17,76,76.0,,0.76,57.76
2016-11-18,74,76.0,,0.76,56.24
2016-11-19,97,76.0,,0.76,73.72
2016-11-20,83,76.0,,0.76,63.08
2016-11-21,69,76.0,,0.76,52.44
2016-11-22,72,76.0,,0.76,54.72
2016-11-23,72,76.0,,0.76,54.72
2016-11-24,75,76.0,,0.76,57.0
2016-11-25,87,76.0,,0.76,66.12
2016-11-26,100,76.0,,0.76,76.0
2016-11-27,88,76.0,,0.76,66.88
2016-11-28,73,76.0,,0.76,55.480000000000004
2016-11-29,73,76.0,,0.76,55.480000000000004
2016-11-30,67,76.0,,0.76,50.92
2016-12-01,68,75.0,False,0.75,51.0
2016-12-02,76,75.0,,0.75,57.0
2016-12-03,92,75.0,,0.75,69.0
2016-12-04,81,75.0,,0.75,60.75
2016-12-05,83,75.0,,0.75,62.25
2016-12-06,77,75.0,,0.75,57.75
2016-12-07,82,75.0,,0.75,61.5
2016-12-08,80,75.0,,0.75,60.0
2016-12-09,72,75.0,,0.75,54.0
2016-12-10,86,75.0,,0.75,64.5
2016-12-11,82,75.0,,0.75,61.5
2016-12-12,69,75.0,,0.75,51.75
2016-12-13,74,75.0,,0.75,55.5
2016-12-14,82,75.0,,0.75,61.5
2016-12-15,77,75.0,,0.75,57.75
2016-12-16,73,75.0,,0.75,54.75
2016-12-17,88,75.0,,0.75,66.0
2016-12-18,82,75.0,,0.75,61.5
2016-12-19,71,75.0,,0.75,53.25
2016-12-20,82,75.0,,0.75,61.5
2016-12-21,83,75.0,,0.75,62.25
2016-12-22,86,75.0,,0.75,64.5
2016-12-23,81,75.0,,0.75,60.75
2016-12-24,80,75.0,,0.75,60.0
2016-12-25,86,75.0,,0.75,64.5
2016-12-26,84,75.0,,0.75,63.0
2016-12-27,85,75.0,,0.75,63.75
2016-12-28,78,75.0,,0.75,58.5
2016-12-29,72,75.0,,0.75,54.0
2016-12-30,93,75.0,,0.75,69.75
2016-12-31,100,75.0,,0.75,75.0
2017-01-01,72,81.0,False,0.81,58.32000000000001
2017-01-02,77,81.0,,0.81,62.370000000000005
2017-01-03,72,81.0,,0.81,58.32000000000001
2017-01-04,65,81.0,,0.81,52.650000000000006
2017-01-05,68,81.0,,0.81,55.080000000000005
2017-01-06,67,81.0,,0.81,54.27
2017-01-07,81,81.0,,0.81,65.61
2017-01-08,77,81.0,,0.81,62.370000000000005
2017-01-09,81,81.0,,0.81,65.61
2017-01-10,78,81.0,,0.81,63.18000000000001
2017-01-11,74,81.0,,0.81,59.940000000000005
2017-01-12,76,81.0,,0.81,61.56
2017-01-13,77,81.0,,0.81,62.370000000000005
2017-01-14,89,81.0,,0.81,72.09
2017-01-15,86,81.0,,0.81,69.66000000000001
2017-01-16,87,81.0,,0.81,70.47
2017-01-17,88,81.0,,0.81,71.28
2017-01-18,83,81.0,,0.81,67.23
2017-01-19,84,81.0,,0.81,68.04
2017-01-20,80,81.0,,0.81,64.80000000000001
2017-01-21,96,81.0,,0.81,77.76
2017-01-22,90,81.0,,0.81,72.9
2017-01-23,75,81.0,,0.81,60.75000000000001
2017-01-24,71,81.0,,0.81,57.510000000000005
2017-01-25,80,81.0,,0.81,64.80000000000001
2017-01-26,83,81.0,,0.81,67.23
2017-01-27,79,81.0,,0.81,63.99
2017-01-28,95,81.0,,0.81,76.95
2017-01-29,100,81.0,,0.81,81.0
2017-01-30,78,81.0,,0.81,63.18000000000001
2017-01-31,82,81.0,,0.81,66.42
2017-02-01,75,84.0,False,0.84,63.0
2017-02-02,73,84.0,,0.84,61.32
2017-02-03,73,84.0,,0.84,61.32
2017-02-04,89,84.0,,0.84,74.75999999999999
2017-02-05,98,84.0,,0.84,82.32
2017-02-06,100,84.0,,0.84,84.0
2017-02-07,74,84.0,,0.84,62.16
2017-02-08,69,84.0,,0.84,57.96
2017-02-09,74,84.0,,0.84,62.16
2017-02-10,77,84.0,,0.84,64.67999999999999
2017-02-11,90,84.0,,0.84,75.6
2017-02-12,87,84.0,,0.84,73.08
2017-02-13,73,84.0,,0.84,61.32
2017-02-14,71,84.0,,0.84,59.64
2017-02-15,72,84.0,,0.84,60.48
2017-02-16,75,84.0,,0.84,63.0
2017-02-17,80,84.0,,0.84,67.2
2017-02-18,91,84.0,,0.84,76.44
2017-02-19,92,84.0,,0.84,77.28
2017-02-20,84,84.0,,0.84,70.56
2017-02-21,80,84.0,,0.84,67.2
2017-02-22,76,84.0,,0.84,63.839999999999996
2017-02-23,76,84.0,,0.84,63.839999999999996
2017-02-24,79,84.0,,0.84,66.36
2017-02-25,88,84.0,,0.84,73.92
2017-02-26,87,84.0,,0.84,73.08
2017-02-27,78,84.0,,0.84,65.52
2017-02-28,78,84.0,,0.84,65.52
2017-03-01,77,83.0,False,0.83,63.91
2017-03-02,82,83.0,,0.83,68.06
2017-03-03,84,83.0,,0.83,69.72
2017-03-04,91,83.0,,0.83,75.53
2017-03-05,100,83.0,,0.83,83.0
2017-03-06,81,83.0,,0.83,67.22999999999999
2017-03-07,77,83.0,,0.83,63.91
2017-03-08,83,83.0,,0.83,68.89
2017-03-09,81,83.0,,0.83,67.22999999999999
2017-03-10,83,83.0,,0.83,68.89
2017-03-11,97,83.0,,0.83,80.50999999999999
2017-03-12,93,83.0,,0.83,77.19
2017-03-13,75,83.0,,0.83,62.25
2017-03-14,78,83.0,,0.83,64.74
2017-03-15,79,83.0,,0.83,65.57
2017-03-16,82,83.0,,0.83,68.06
2017-03-17,79,83.0,,0.83,65.57
2017-03-18,93,83.0,,0.83,77.19
2017-03-19,97,83.0,,0.83,80.50999999999999
2017-03-20,79,83.0,,0.83,65.57
2017-03-21,83,83.0,,0.83,68.89
2017-03-22,79,83.0,,0.83,65.57
2017-03-23,81,83.0,,0.83,67.22999999999999
2017-03-24,83,83.0,,0.83,68.89
2017-03-25,91,83.0,,0.83,75.53
2017-03-26,93,83.0,,0.83,77.19
2017-03-27,87,83.0,,0.83,72.21
2017-03-28,83,83.0,,0.83,68.89
2017-03-29,85,83.0,,0.83,70.55
2017-03-30,81,83.0,,0.83,67.22999999999999
2017-03-31,85,83.0,,0.83,70.55
2017-04-01,91,88.0,False,0.88,80.08
2017-04-02,92,88.0,,0.88,80.96
2017-04-03,82,88.0,,0.88,72.16
2017-04-04,80,88.0,,0.88,70.4
2017-04-05,78,88.0,,0.88,68.64
2017-04-06,80,88.0,,0.88,70.4
2017-04-07,81,88.0,,0.88,71.28
2017-04-08,96,88.0,,0.88,84.48
2017-04-09,92,88.0,,0.88,80.96
2017-04-10,89,88.0,,0.88,78.32000000000001
2017-04-11,84,88.0,,0.88,73.92
2017-04-12,90,88.0,,0.88,79.2
2017-04-13,89,88.0,,0.88,78.32000000000001
2017-04-14,91,88.0,,0.88,80.08
2017-04-15,95,88.0,,0.88,83.6
2017-04-16,100,88.0,,0.88,88.0
2017-04-17,87,88.0,,0.88,76.56
2017-04-18,85,88.0,,0.88,74.8
2017-04-19,81,88.0,,0.88,71.28
2017-04-20,82,88.0,,0.88,72.16
2017-04-21,87,88.0,,0.88,76.56
2017-04-22,94,88.0,,0.88,82.72
2017-04-23,95,88.0,,0.88,83.6
2017-04-24,82,88.0,,0.88,72.16
2017-04-25,82,88.0,,0.88,72.16
2017-04-26,75,88.0,,0.88,66.0
2017-04-27,83,88.0,,0.88,73.04
2017-04-28,82,88.0,,0.88,72.16
2017-04-29,95,88.0,,0.88,83.6
2017-04-30,96,88.0,,0.88,84.48
2017-05-01,65,90.0,False,0.9,58.5
2017-05-02,65,90.0,,0.9,58.5
2017-05-03,63,90.0,,0.9,56.7
2017-05-04,65,90.0,,0.9,58.5
2017-05-05,63,90.0,,0.9,56.7
2017-05-06,71,90.0,,0.9,63.9
2017-05-07,73,90.0,,0.9,65.7
2017-05-08,70,90.0,,0.9,63.0
2017-05-09,66,90.0,,0.9,59.4
2017-05-10,63,90.0,,0.9,56.7
2017-05-11,66,90.0,,0.9,59.4
2017-05-12,74,90.0,,0.9,66.60000000000001
2017-05-13,100,90.0,,0.9,90.0
2017-05-14,85,90.0,,0.9,76.5
2017-05-15,72,90.0,,0.9,64.8
2017-05-16,73,90.0,,0.9,65.7
2017-05-17,71,90.0,,0.9,63.9
2017-05-18,69,90.0,,0.9,62.1
2017-05-19,71,90.0,,0.9,63.9
2017-05-20,85,90.0,,0.9,76.5
2017-05-21,83,90.0,,0.9,74.7
2017-05-22,67,90.0,,0.9,60.300000000000004
2017-05-23,64,90.0,,0.9,57.6
2017-05-24,67,90.0,,0.9,60.300000000000004
2017-05-25,66,90.0,,0.9,59.4
2017-05-26,69,90.0,,0.9,62.1
2017-05-27,79,90.0,,0.9,71.10000000000001
2017-05-28,81,90.0,,0.9,72.9
2017-05-29,86,90.0,,0.9,77.4
2017-05-30,77,90.0,,0.9,69.3
2017-05-31,66,90.0,,0.9,59.4
2017-06-01,77,90.0,False,0.9,69.3
2017-06-02,81,90.0,,0.9,72.9
2017-06-03,94,90.0,,0.9,84.60000000000001
2017-06-04,87,90.0,,0.9,78.3
2017-06-05,77,90.0,,0.9,69.3
2017-06-06,74,90.0,,0.9,66.60000000000001
2017-06-07,77,90.0,,0.9,69.3
2017-06-08,71,90.0,,0.9,63.9
2017-06-09,80,90.0,,0.9,72.0
2017-06-10,90,90.0,,0.9,81.0
2017-06-11,89,90.0,,0.9,80.10000000000001
2017-06-12,76,90.0,,0.9,68.4
2017-06-13,74,90.0,,0.9,66.60000000000001
2017-06-14,75,90.0,,0.9,67.5
2017-06-15,81,90.0,,0.9,72.9
2017-06-16,84,90.0,,0.9,75.60000000000001
2017-06-17,92,90.0,,0.9,82.8
2017-06-18,100,90.0,,0.9,90.0
2017-06-19,80,90.0,,0.9,72.0
2017-06-20,82,90.0,,0.9,73.8
2017-06-21,83,90.0,,0.9,74.7
2017-06-22,80,90.0,,0.9,72.0
2017-06-23,81,90.0,,0.9,72.9
2017-06-24,94,90.0,,0.9,84.60000000000001
2017-06-25,97,90.0,,0.9,87.3
2017-06-26,81,90.0,,0.9,72.9
2017-06-27,82,90.0,,0.9,73.8
2017-06-28,86,90.0,,0.9,77.4
2017-06-29,80,90.0,,0.9,72.0
2017-06-30,81,90.0,,0.9,72.9
2017-07-01,91,89.0,False,0.89,80.99
2017-07-02,97,89.0,,0.89,86.33
2017-07-03,90,89.0,,0.89,80.1
2017-07-04,94,89.0,,0.89,83.66
2017-07-05,84,89.0,,0.89,74.76
2017-07-06,81,89.0,,0.89,72.09
2017-07-07,91,89.0,,0.89,80.99
2017-07-08,100,89.0,,0.89,89.0
2017-07-09,98,89.0,,0.89,87.22
2017-07-10,91,89.0,,0.89,80.99
2017-07-11,85,89.0,,0.89,75.65
2017-07-12,80,89.0,,0.89,71.2
2017-07-13,86,89.0,,0.89,76.54
2017-07-14,90,89.0,,0.89,80.1
2017-07-15,100,89.0,,0.89,89.0
2017-07-16,100,89.0,,0.89,89.0
2017-07-17,87,89.0,,0.89,77.43
2017-07-18,87,89.0,,0.89,77.43
2017-07-19,88,89.0,,0.89,78.32000000000001
2017-07-20,86,89.0,,0.89,76.54
2017-07-21,87,89.0,,0.89,77.43
2017-07-22,96,89.0,,0.89,85.44
2017-07-23,91,89.0,,0.89,80.99
2017-07-24,89,89.0,,0.89,79.21000000000001
2017-07-25,94,89.0,,0.89,83.66
2017-07-26,90,89.0,,0.89,80.1
2017-07-27,86,89.0,,0.89,76.54
2017-07-28,89,89.0,,0.89,79.21000000000001
2017-07-29,96,89.0,,0.89,85.44
2017-07-30,96,89.0,,0.89,85.44
2017-07-31,85,89.0,,0.89,75.65
2017-08-01,88,87.0,False,0.87,76.56
2017-08-02,85,87.0,,0.87,73.95
2017-08-03,86,87.0,,0.87,74.82
2017-08-04,87,87.0,,0.87,75.69
2017-08-05,99,87.0,,0.87,86.13
2017-08-06,100,87.0,,0.87,87.0
2017-08-07,87,87.0,,0.87,75.69
2017-08-08,89,87.0,,0.87,77.42999999999999
2017-08-09,82,87.0,,0.87,71.34
2017-08-10,81,87.0,,0.87,70.47
2017-08-11,86,87.0,,0.87,74.82
2017-08-12,95,87.0,,0.87,82.65
2017-08-13,91,87.0,,0.87,79.17
2017-08-14,85,87.0,,0.87,73.95
2017-08-15,85,87.0,,0.87,73.95
2017-08-16,83,87.0,,0.87,72.21
2017-08-17,85,87.0,,0.87,73.95
2017-08-18,88,87.0,,0.87,76.56
2017-08-19,97,87.0,,0.87,84.39
2017-08-20,99,87.0,,0.87,86.13
2017-08-21,76,87.0,,0.87,66.12
2017-08-22,80,87.0,,0.87,69.6
2017-08-23,84,87.0,,0.87,73.08
2017-08-24,86,87.0,,0.87,74.82
2017-08-25,84,87.0,,0.87,73.08
2017-08-26,94,87.0,,0.87,81.78
2017-08-27,85,87.0,,0.87,73.95
2017-08-28,84,87.0,,0.87,73.08
2017-08-29,84,87.0,,0.87,73.08
2017-08-30,84,87.0,,0.87,73.08
2017-08-31,81,87.0,,0.87,70.47
2017-09-01,79,80.0,False,0.8,63.2
2017-09-02,85,80.0,,0.8,68.0
2017-09-03,96,80.0,,0.8,76.80000000000001
2017-09-04,97,80.0,,0.8,77.60000000000001
2017-09-05,100,80.0,,0.8,80.0
2017-09-06,73,80.0,,0.8,58.400000000000006
2017-09-07,69,80.0,,0.8,55.2
2017-09-08,73,80.0,,0.8,58.400000000000006
2017-09-09,89,80.0,,0.8,71.2
2017-09-10,73,80.0,,0.8,58.400000000000006
2017-09-11,69,80.0,,0.8,55.2
2017-09-12,77,80.0,,0.8,61.6
2017-09-13,74,80.0,,0.8,59.2
2017-09-14,77,80.0,,0.8,61.6
2017-09-15,75,80.0,,0.8,60.0
2017-09-16,91,80.0,,0.8,72.8
2017-09-17,80,80.0,,0.8,64.0
2017-09-18,80,80.0,,0.8,64.0
2017-09-19,77,80.0,,0.8,61.6
2017-09-20,73,80.0,,0.8,58.400000000000006
2017-09-21,77,80.0,,0.8,61.6
2017-09-22,76,80.0,,0.8,60.800000000000004
2017-09-23,92,80.0,,0.8,73.60000000000001
2017-09-24,87,80.0,,0.8,69.60000000000001
2017-09-25,75,80.0,,0.8,60.0
2017-09-26,73,80.0,,0.8,58.400000000000006
2017-09-27,77,80.0,,0.8,61.6
2017-09-28,76,80.0,,0.8,60.800000000000004
2017-09-29,75,80.0,,0.8,60.0
2017-09-30,97,80.0,,0.8,77.60000000000001
2017-10-01,83,86.0,False,0.86,71.38
2017-10-02,66,86.0,,0.86,56.76
2017-10-03,77,86.0,,0.86,66.22
2017-10-04,69,86.0,,0.86,59.339999999999996
2017-10-05,78,86.0,,0.86,67.08
2017-10-06,74,86.0,,0.86,63.64
2017-10-07,92,86.0,,0.86,79.12
2017-10-08,78,86.0,,0.86,67.08
2017-10-09,82,86.0,,0.86,70.52
2017-10-10,75,86.0,,0.86,64.5
2017-10-11,78,86.0,,0.86,67.08
2017-10-12,75,86.0,,0.86,64.5
2017-10-13,81,86.0,,0.86,69.66
2017-10-14,100,86.0,,0.86,86.0
2017-10-15,82,86.0,,0.86,70.52
2017-10-16,78,86.0,,0.86,67.08
2017-10-17,73,86.0,,0.86,62.78
2017-10-18,80,86.0,,0.86,68.8
2017-10-19,85,86.0,,0.86,73.1
2017-10-20,79,86.0,,0.86,67.94
2017-10-21,99,86.0,,0.86,85.14
2017-10-22,87,86.0,,0.86,74.82
2017-10-23,80,86.0,,0.86,68.8
2017-10-24,78,86.0,,0.86,67.08
2017-10-25,79,86.0,,0.86,67.94
2017-10-26,78,86.0,,0.86,67.08
2017-10-27,75,86.0,,0.86,64.5
2017-10-28,85,86.0,,0.86,73.1
2017-10-29,87,86.0,,0.86,74.82
2017-10-30,72,86.0,,0.86,61.92
2017-10-31,70,86.0,,0.86,60.199999999999996
2017-11-01,66,83.0,False,0.83,54.779999999999994
2017-11-02,67,83.0,,0.83,55.61
2017-11-03,72,83.0,,0.83,59.76
2017-11-04,87,83.0,,0.83,72.21
2017-11-05,82,83.0,,0.83,68.06
2017-11-06,73,83.0,,0.83,60.589999999999996
2017-11-07,67,83.0,,0.83,55.61
2017-11-08,73,83.0,,0.83,60.589999999999996
2017-11-09,66,83.0,,0.83,54.779999999999994
2017-11-10,72,83.0,,0.83,59.76
2017-11-11,89,83.0,,0.83,73.86999999999999
2017-11-12,82,83.0,,0.83,68.06
2017-11-13,67,83.0,,0.83,55.61
2017-11-14,70,83.0,,0.83,58.099999999999994
2017-11-15,74,83.0,,0.83,61.419999999999995
2017-11-16,72,83.0,,0.83,59.76
2017-11-17,71,83.0,,0.83,58.93
2017-11-18,82,83.0,,0.83,68.06
2017-11-19,83,83.0,,0.83,68.89
2017-11-20,71,83.0,,0.83,58.93
2017-11-21,74,83.0,,0.83,61.419999999999995
2017-11-22,69,83.0,,0.83,57.269999999999996
2017-11-23,83,83.0,,0.83,68.89
2017-11-24,78,83.0,,0.83,64.74
2017-11-25,100,83.0,,0.83,83.0
2017-11-26,74,83.0,,0.83,61.419999999999995
2017-11-27,68,83.0,,0.83,56.44
2017-11-28,63,83.0,,0.83,52.29
2017-11-29,69,83.0,,0.83,57.269999999999996
2017-11-30,69,83.0,,0.83,57.269999999999996
2017-12-01,93,79.0,False,0.79,73.47
2017-12-02,100,79.0,,0.79,79.0
2017-12-03,99,79.0,,0.79,78.21000000000001
2017-12-04,87,79.0,,0.79,68.73
2017-12-05,83,79.0,,0.79,65.57000000000001
2017-12-06,80,79.0,,0.79,63.2
2017-12-07,86,79.0,,0.79,67.94
2017-12-08,80,79.0,,0.79,63.2
2017-12-09,84,79.0,,0.79,66.36
2017-12-10,94,79.0,,0.79,74.26
2017-12-11,79,79.0,,0.79,62.410000000000004
2017-12-12,82,79.0,,0.79,64.78
2017-12-13,74,79.0,,0.79,58.46
2017-12-14,77,79.0,,0.79,60.830000000000005
2017-12-15,85,79.0,,0.79,67.15
2017-12-16,93,79.0,,0.79,73.47
2017-12-17,93,79.0,,0.79,73.47
2017-12-18,84,79.0,,0.79,66.36
2017-12-19,82,79.0,,0.79,64.78
2017-12-20,84,79.0,,0.79,66.36
2017-12-21,87,79.0,,0.79,68.73
2017-12-22,79,79.0,,0.79,62.410000000000004
2017-12-23,93,79.0,,0.79,73.47
2017-12-24,88,79.0,,0.79,69.52000000000001
2017-12-25,94,79.0,,0.79,74.26
2017-12-26,91,79.0,,0.79,71.89
2017-12-27,95,79.0,,0.79,75.05
2017-12-28,90,79.0,,0.79,71.10000000000001
2017-12-29,90,79.0,,0.79,71.10000000000001
2017-12-30,97,79.0,,0.79,76.63000000000001
2017-12-31,84,79.0,,0.79,66.36
2018-01-01,63,82.0,False,0.82,51.66
2018-01-02,65,82.0,,0.82,53.3
