date,SA_unscaled,SA_monthly,isPartial,scale,SA
2016-09-03,82,80.0,,0.8,65.60000000000001
2016-09-04,88,80.0,,0.8,70.4
2016-09-05,93,80.0,,0.8,74.4
2016-09-06,97,80.0,,0.8,77.60000000000001
2016-09-07,94,80.0,,0.8,75.2
2016-09-08,84,80.0,,0.8,67.2
2016-09-09,97,80.0,,0.8,77.60000000000001
2016-09-10,86,80.0,,0.8,68.8
2016-09-11,88,80.0,,0.8,70.4
2016-09-12,99,80.0,,0.8,79.2
2016-09-13,95,80.0,,0.8,76.0
2016-09-14,99,80.0,,0.8,79.2
2016-09-15,92,80.0,,0.8,73.60000000000001
2016-09-16,84,80.0,,0.8,67.2
2016-09-17,87,80.0,,0.8,69.60000000000001
2016-09-18,87,80.0,,0.8,69.60000000000001
2016-09-19,95,80.0,,0.8,76.0
2016-09-20,95,80.0,,0.8,76.0
2016-09-21,94,80.0,,0.8,75.2
2016-09-22,84,80.0,,0.8,67.2
2016-09-23,91,80.0,,0.8,72.8
2016-09-24,86,80.0,,0.8,68.8
2016-09-25,79,80.0,,0.8,63.2
2016-09-26,79,80.0,,0.8,63.2
2016-09-27,87,80.0,,0.8,69.60000000000001
2016-09-28,100,80.0,,0.8,80.0
2016-09-29,90,80.0,,0.8,72.0
2016-09-30,89,80.0,,0.8,71.2
2016-10-01,90,76.0,False,0.76,68.4
2016-10-02,85,76.0,,0.76,64.6
2016-10-03,92,76.0,,0.76,69.92
2016-10-04,99,76.0,,0.76,75.24
2016-10-05,84,76.0,,0.76,63.84
2016-10-06,84,76.0,,0.76,63.84
2016-10-07,85,76.0,,0.76,64.6
2016-10-08,82,76.0,,0.76,62.32
2016-10-09,80,76.0,,0.76,60.8
2016-10-10,83,76.0,,0.76,63.08
2016-10-11,89,76.0,,0.76,67.64
2016-10-12,83,76.0,,0.76,63.08
2016-10-13,97,76.0,,0.76,73.72
2016-10-14,90,76.0,,0.76,68.4
2016-10-15,88,76.0,,0.76,66.88
2016-10-16,82,76.0,,0.76,62.32
2016-10-17,92,76.0,,0.76,69.92
2016-10-18,100,76.0,,0.76,76.0
2016-10-19,91,76.0,,0.76,69.16
2016-10-20,91,76.0,,0.76,69.16
2016-10-21,88,76.0,,0.76,66.88
2016-10-22,87,76.0,,0.76,66.12
2016-10-23,93,76.0,,0.76,70.68
2016-10-24,96,76.0,,0.76,72.96000000000001
2016-10-25,92,76.0,,0.76,69.92
2016-10-26,85,76.0,,0.76,64.6
2016-10-27,88,76.0,,0.76,66.88
2016-10-28,88,76.0,,0.76,66.88
2016-10-29,80,76.0,,0.76,60.8
2016-10-30,90,76.0,,0.76,68.4
2016-10-31,94,76.0,,0.76,71.44
2016-11-01,98,81.0,False,0.81,79.38000000000001
2016-11-02,88,81.0,,0.81,71.28
2016-11-03,89,81.0,,0.81,72.09
2016-11-04,92,81.0,,0.81,74.52000000000001
2016-11-05,87,81.0,,0.81,70.47
2016-11-06,88,81.0,,0.81,71.28
2016-11-07,91,81.0,,0.81,73.71000000000001
2016-11-08,94,81.0,,0.81,76.14
2016-11-09,74,81.0,,0.81,59.940000000000005
2016-11-10,92,81.0,,0.81,74.52000000000001
2016-11-11,88,81.0,,0.81,71.28
2016-11-12,94,81.0,,0.81,76.14
2016-11-13,92,81.0,,0.81,74.52000000000001
2016-11-14,96,81.0,,0.81,77.76
2016-11-15,96,81.0,,0.81,77.76
2016-11-16,100,81.0,,0.81,81.0
2016-11-17,96,81.0,,0.81,77.76
2016-11-18,88,81.0,,0.81,71.28
2016-11-19,85,81.0,,0.81,68.85000000000001
2016-11-20,83,81.0,,0.81,67.23
2016-11-21,97,81.0,,0.81,78.57000000000001
2016-11-22,99,81.0,,0.81,80.19000000000001
2016-11-23,100,81.0,,0.81,81.0
2016-11-24,96,81.0,,0.81,77.76
2016-11-25,88,81.0,,0.81,71.28
2016-11-26,87,81.0,,0.81,70.47
2016-11-27,90,81.0,,0.81,72.9
2016-11-28,91,81.0,,0.81,73.71000000000001
2016-11-29,95,81.0,,0.81,76.95
2016-11-30,92,81.0,,0.81,74.52000000000001
2016-12-01,94,81.0,False,0.81,76.14
2016-12-02,92,81.0,,0.81,74.52000000000001
2016-12-03,82,81.0,,0.81,66.42
2016-12-04,92,81.0,,0.81,74.52000000000001
2016-12-05,84,81.0,,0.81,68.04
2016-12-06,85,81.0,,0.81,68.85000000000001
2016-12-07,99,81.0,,0.81,80.19000000000001
2016-12-08,97,81.0,,0.81,78.57000000000001
2016-12-09,86,81.0,,0.81,69.66000000000001
2016-12-10,91,81.0,,0.81,73.71000000000001
2016-12-11,82,81.0,,0.81,66.42
2016-12-12,96,81.0,,0.81,77.76
2016-12-13,94,81.0,,0.81,76.14
2016-12-14,96,81.0,,0.81,77.76
2016-12-15,96,81.0,,0.81,77.76
2016-12-16,94,81.0,,0.81,76.14
2016-12-17,85,81.0,,0.81,68.85000000000001
2016-12-18,88,81.0,,0.81,71.28
2016-12-19,96,81.0,,0.81,77.76
2016-12-20,100,81.0,,0.81,81.0
2016-12-21,91,81.0,,0.81,73.71000000000001
2016-12-22,93,81.0,,0.81,75.33
2016-12-23,84,81.0,,0.81,68.04
2016-12-24,88,81.0,,0.81,71.28
2016-12-25,97,81.0,,0.81,78.57000000000001
2016-12-26,83,81.0,,0.81,67.23
2016-12-27,88,81.0,,0.81,71.28
2016-12-28,92,81.0,,0.81,74.52000000000001
2016-12-29,88,81.0,,0.81,71.28
2016-12-30,91,81.0,,0.81,73.71000000000001
2016-12-31,82,81.0,,0.81,66.42
2017-01-01,75,82.0,False,0.82,61.49999999999999
2017-01-02,76,82.0,,0.82,62.31999999999999
2017-01-03,88,82.0,,0.82,72.16
2017-01-04,88,82.0,,0.82,72.16
2017-01-05,93,82.0,,0.82,76.25999999999999
2017-01-06,79,82.0,,0.82,64.78
2017-01-07,83,82.0,,0.82,68.06
2017-01-08,81,82.0,,0.82,66.42
2017-01-09,78,82.0,,0.82,63.959999999999994
2017-01-10,82,82.0,,0.82,67.24
2017-01-11,85,82.0,,0.82,69.7
2017-01-12,82,82.0,,0.82,67.24
2017-01-13,89,82.0,,0.82,72.97999999999999
2017-01-14,85,82.0,,0.82,69.7
2017-01-15,88,82.0,,0.82,72.16
2017-01-16,84,82.0,,0.82,68.88
2017-01-17,86,82.0,,0.82,70.52
2017-01-18,83,82.0,,0.82,68.06
2017-01-19,89,82.0,,0.82,72.97999999999999
2017-01-20,79,82.0,,0.82,64.78
2017-01-21,86,82.0,,0.82,70.52
2017-01-22,81,82.0,,0.82,66.42
2017-01-23,87,82.0,,0.82,71.33999999999999
2017-01-24,100,82.0,,0.82,82.0
2017-01-25,90,82.0,,0.82,73.8
2017-01-26,85,82.0,,0.82,69.7
2017-01-27,88,82.0,,0.82,72.16
2017-01-28,93,82.0,,0.82,76.25999999999999
2017-01-29,83,82.0,,0.82,68.06
2017-01-30,88,82.0,,0.82,72.16
2017-01-31,84,82.0,,0.82,68.88
2017-02-01,88,85.0,False,0.85,74.8
2017-02-02,86,85.0,,0.85,73.1
2017-02-03,91,85.0,,0.85,77.35
2017-02-04,84,85.0,,0.85,71.39999999999999
2017-02-05,76,85.0,,0.85,64.6
2017-02-06,83,85.0,,0.85,70.55
2017-02-07,92,85.0,,0.85,78.2
2017-02-08,95,85.0,,0.85,80.75
2017-02-09,89,85.0,,0.85,75.64999999999999
2017-02-10,89,85.0,,0.85,75.64999999999999
2017-02-11,84,85.0,,0.85,71.39999999999999
2017-02-12,84,85.0,,0.85,71.39999999999999
2017-02-13,100,85.0,,0.85,85.0
2017-02-14,88,85.0,,0.85,74.8
2017-02-15,86,85.0,,0.85,73.1
2017-02-16,85,85.0,,0.85,72.25
2017-02-17,91,85.0,,0.85,77.35
2017-02-18,88,85.0,,0.85,74.8
2017-02-19,87,85.0,,0.85,73.95
2017-02-20,91,85.0,,0.85,77.35
2017-02-21,88,85.0,,0.85,74.8
2017-02-22,85,85.0,,0.85,72.25
2017-02-23,82,85.0,,0.85,69.7
2017-02-24,85,85.0,,0.85,72.25
2017-02-25,86,85.0,,0.85,73.1
2017-02-26,76,85.0,,0.85,64.6
2017-02-27,82,85.0,,0.85,69.7
2017-02-28,88,85.0,,0.85,74.8
2017-03-01,87,86.0,False,0.86,74.82
2017-03-02,91,86.0,,0.86,78.26
2017-03-03,84,86.0,,0.86,72.24
2017-03-04,87,86.0,,0.86,74.82
2017-03-05,90,86.0,,0.86,77.4
2017-03-06,87,86.0,,0.86,74.82
2017-03-07,85,86.0,,0.86,73.1
2017-03-08,88,86.0,,0.86,75.67999999999999
2017-03-09,88,86.0,,0.86,75.67999999999999
2017-03-10,94,86.0,,0.86,80.84
2017-03-11,85,86.0,,0.86,73.1
2017-03-12,92,86.0,,0.86,79.12
2017-03-13,84,86.0,,0.86,72.24
2017-03-14,87,86.0,,0.86,74.82
2017-03-15,89,86.0,,0.86,76.53999999999999
2017-03-16,89,86.0,,0.86,76.53999999999999
2017-03-17,82,86.0,,0.86,70.52
2017-03-18,86,86.0,,0.86,73.96
2017-03-19,84,86.0,,0.86,72.24
2017-03-20,86,86.0,,0.86,73.96
2017-03-21,90,86.0,,0.86,77.4
2017-03-22,94,86.0,,0.86,80.84
2017-03-23,92,86.0,,0.86,79.12
2017-03-24,91,86.0,,0.86,78.26
2017-03-25,80,86.0,,0.86,68.8
2017-03-26,82,86.0,,0.86,70.52
2017-03-27,89,86.0,,0.86,76.53999999999999
2017-03-28,95,86.0,,0.86,81.7
2017-03-29,100,86.0,,0.86,86.0
2017-03-30,93,86.0,,0.86,79.98
2017-03-31,87,86.0,,0.86,74.82
2017-04-01,88,85.0,False,0.85,74.8
2017-04-02,94,85.0,,0.85,79.89999999999999
2017-04-03,90,85.0,,0.85,76.5
2017-04-04,92,85.0,,0.85,78.2
2017-04-05,100,85.0,,0.85,85.0
2017-04-06,92,85.0,,0.85,78.2
2017-04-07,96,85.0,,0.85,81.6
2017-04-08,87,85.0,,0.85,73.95
2017-04-09,98,85.0,,0.85,83.3
2017-04-10,98,85.0,,0.85,83.3
2017-04-11,96,85.0,,0.85,81.6
2017-04-12,99,85.0,,0.85,84.14999999999999
2017-04-13,86,85.0,,0.85,73.1
2017-04-14,93,85.0,,0.85,79.05
2017-04-15,87,85.0,,0.85,73.95
2017-04-16,98,85.0,,0.85,83.3
2017-04-17,89,85.0,,0.85,75.64999999999999
2017-04-18,97,85.0,,0.85,82.45
2017-04-19,85,85.0,,0.85,72.25
2017-04-20,92,85.0,,0.85,78.2
2017-04-21,87,85.0,,0.85,73.95
2017-04-22,93,85.0,,0.85,79.05
2017-04-23,95,85.0,,0.85,80.75
2017-04-24,99,85.0,,0.85,84.14999999999999
2017-04-25,100,85.0,,0.85,85.0
2017-04-26,97,85.0,,0.85,82.45
2017-04-27,95,85.0,,0.85,80.75
2017-04-28,98,85.0,,0.85,83.3
2017-04-29,85,85.0,,0.85,72.25
2017-04-30,82,85.0,,0.85,69.7
2017-05-01,89,86.0,False,0.86,76.53999999999999
2017-05-02,97,86.0,,0.86,83.42
2017-05-03,98,86.0,,0.86,84.28
2017-05-04,99,86.0,,0.86,85.14
2017-05-05,90,86.0,,0.86,77.4
2017-05-06,92,86.0,,0.86,79.12
2017-05-07,93,86.0,,0.86,79.98
2017-05-08,93,86.0,,0.86,79.98
2017-05-09,91,86.0,,0.86,78.26
2017-05-10,100,86.0,,0.86,86.0
2017-05-11,91,86.0,,0.86,78.26
2017-05-12,100,86.0,,0.86,86.0
2017-05-13,85,86.0,,0.86,73.1
2017-05-14,91,86.0,,0.86,78.26
2017-05-15,92,86.0,,0.86,79.12
2017-05-16,96,86.0,,0.86,82.56
2017-05-17,87,86.0,,0.86,74.82
2017-05-18,96,86.0,,0.86,82.56
2017-05-19,96,86.0,,0.86,82.56
2017-05-20,95,86.0,,0.86,81.7
2017-05-21,88,86.0,,0.86,75.67999999999999
2017-05-22,95,86.0,,0.86,81.7
2017-05-23,93,86.0,,0.86,79.98
2017-05-24,97,86.0,,0.86,83.42
2017-05-25,94,86.0,,0.86,80.84
2017-05-26,87,86.0,,0.86,74.82
2017-05-27,94,86.0,,0.86,80.84
2017-05-28,88,86.0,,0.86,75.67999999999999
2017-05-29,93,86.0,,0.86,79.98
2017-05-30,94,86.0,,0.86,80.84
2017-05-31,93,86.0,,0.86,79.98
2017-06-01,59,88.0,False,0.88,51.92
2017-06-02,55,88.0,,0.88,48.4
2017-06-03,66,88.0,,0.88,58.08
2017-06-04,56,88.0,,0.88,49.28
2017-06-05,57,88.0,,0.88,50.160000000000004
2017-06-06,64,88.0,,0.88,56.32
2017-06-07,70,88.0,,0.88,61.6
2017-06-08,63,88.0,,0.88,55.44
2017-06-09,67,88.0,,0.88,58.96
2017-06-10,63,88.0,,0.88,55.44
2017-06-11,100,88.0,,0.88,88.0
2017-06-12,69,88.0,,0.88,60.72
2017-06-13,64,88.0,,0.88,56.32
2017-06-14,65,88.0,,0.88,57.2
2017-06-15,61,88.0,,0.88,53.68
2017-06-16,63,88.0,,0.88,55.44
2017-06-17,60,88.0,,0.88,52.8
2017-06-18,58,88.0,,0.88,51.04
2017-06-19,67,88.0,,0.88,58.96
2017-06-20,63,88.0,,0.88,55.44
2017-06-21,62,88.0,,0.88,54.56
2017-06-22,58,88.0,,0.88,51.04
2017-06-23,70,88.0,,0.88,61.6
2017-06-24,62,88.0,,0.88,54.56
2017-06-25,59,88.0,,0.88,51.92
2017-06-26,65,88.0,,0.88,57.2
2017-06-27,72,88.0,,0.88,63.36
2017-06-28,58,88.0,,0.88,51.04
2017-06-29,56,88.0,,0.88,49.28
2017-06-30,66,88.0,,0.88,58.08
2017-07-01,92,85.0,False,0.85,78.2
2017-07-02,85,85.0,,0.85,72.25
2017-07-03,90,85.0,,0.85,76.5
2017-07-04,89,85.0,,0.85,75.64999999999999
2017-07-05,87,85.0,,0.85,73.95
2017-07-06,90,85.0,,0.85,76.5
2017-07-07,99,85.0,,0.85,84.14999999999999
2017-07-08,94,85.0,,0.85,79.89999999999999
2017-07-09,97,85.0,,0.85,82.45
2017-07-10,97,85.0,,0.85,82.45
2017-07-11,93,85.0,,0.85,79.05
2017-07-12,93,85.0,,0.85,79.05
2017-07-13,91,85.0,,0.85,77.35
2017-07-14,94,85.0,,0.85,79.89999999999999
2017-07-15,92,85.0,,0.85,78.2
2017-07-16,95,85.0,,0.85,80.75
2017-07-17,100,85.0,,0.85,85.0
2017-07-18,95,85.0,,0.85,80.75
2017-07-19,89,85.0,,0.85,75.64999999999999
2017-07-20,84,85.0,,0.85,71.39999999999999
2017-07-21,80,85.0,,0.85,68.0
2017-07-22,74,85.0,,0.85,62.9
2017-07-23,83,85.0,,0.85,70.55
2017-07-24,98,85.0,,0.85,83.3
2017-07-25,94,85.0,,0.85,79.89999999999999
2017-07-26,83,85.0,,0.85,70.55
2017-07-27,85,85.0,,0.85,72.25
2017-07-28,93,85.0,,0.85,79.05
2017-07-29,85,85.0,,0.85,72.25
2017-07-30,92,85.0,,0.85,78.2
2017-07-31,96,85.0,,0.85,81.6
2017-08-01,95,82.0,False,0.82,77.89999999999999
2017-08-02,90,82.0,,0.82,73.8
2017-08-03,98,82.0,,0.82,80.36
2017-08-04,93,82.0,,0.82,76.25999999999999
2017-08-05,88,82.0,,0.82,72.16
2017-08-06,91,82.0,,0.82,74.61999999999999
2017-08-07,95,82.0,,0.82,77.89999999999999
2017-08-08,98,82.0,,0.82,80.36
2017-08-09,98,82.0,,0.82,80.36
2017-08-10,93,82.0,,0.82,76.25999999999999
2017-08-11,87,82.0,,0.82,71.33999999999999
2017-08-12,93,82.0,,0.82,76.25999999999999
2017-08-13,89,82.0,,0.82,72.97999999999999
2017-08-14,91,82.0,,0.82,74.61999999999999
2017-08-15,100,82.0,,0.82,82.0
2017-08-16,94,82.0,,0.82,77.08
2017-08-17,93,82.0,,0.82,76.25999999999999
2017-08-18,91,82.0,,0.82,74.61999999999999
2017-08-19,91,82.0,,0.82,74.61999999999999
2017-08-20,79,82.0,,0.82,64.78
2017-08-21,89,82.0,,0.82,72.97999999999999
2017-08-22,87,82.0,,0.82,71.33999999999999
2017-08-23,88,82.0,,0.82,72.16
2017-08-24,90,82.0,,0.82,73.8
2017-08-25,84,82.0,,0.82,68.88
2017-08-26,95,82.0,,0.82,77.89999999999999
2017-08-27,76,82.0,,0.82,62.31999999999999
2017-08-28,96,82.0,,0.82,78.72
2017-08-29,91,82.0,,0.82,74.61999999999999
2017-08-30,92,82.0,,0.82,75.44
2017-08-31,89,82.0,,0.82,72.97999999999999
2017-09-01,97,75.0,False,0.75,72.75
2017-09-02,86,75.0,,0.75,64.5
2017-09-03,91,75.0,,0.75,68.25
2017-09-04,86,75.0,,0.75,64.5
2017-09-05,100,75.0,,0.75,75.0
2017-09-06,95,75.0,,0.75,71.25
2017-09-07,84,75.0,,0.75,63.0
2017-09-08,84,75.0,,0.75,63.0
2017-09-09,94,75.0,,0.75,70.5
2017-09-10,79,75.0,,0.75,59.25
2017-09-11,92,75.0,,0.75,69.0
2017-09-12,97,75.0,,0.75,72.75
2017-09-13,97,75.0,,0.75,72.75
2017-09-14,94,75.0,,0.75,70.5
2017-09-15,90,75.0,,0.75,67.5
2017-09-16,80,75.0,,0.75,60.0
2017-09-17,87,75.0,,0.75,65.25
2017-09-18,95,75.0,,0.75,71.25
2017-09-19,89,75.0,,0.75,66.75
2017-09-20,88,75.0,,0.75,66.0
2017-09-21,91,75.0,,0.75,68.25
2017-09-22,94,75.0,,0.75,70.5
2017-09-23,91,75.0,,0.75,68.25
2017-09-24,77,75.0,,0.75,57.75
2017-09-25,89,75.0,,0.75,66.75
2017-09-26,91,75.0,,0.75,68.25
2017-09-27,87,75.0,,0.75,65.25
2017-09-28,95,75.0,,0.75,71.25
2017-09-29,87,75.0,,0.75,65.25
2017-09-30,92,75.0,,0.75,69.0
2017-10-01,84,81.0,False,0.81,68.04
2017-10-02,84,81.0,,0.81,68.04
2017-10-03,91,81.0,,0.81,73.71000000000001
2017-10-04,88,81.0,,0.81,71.28
2017-10-05,99,81.0,,0.81,80.19000000000001
2017-10-06,96,81.0,,0.81,77.76
2017-10-07,89,81.0,,0.81,72.09
2017-10-08,79,81.0,,0.81,63.99
2017-10-09,93,81.0,,0.81,75.33
2017-10-10,100,81.0,,0.81,81.0
2017-10-11,95,81.0,,0.81,76.95
2017-10-12,90,81.0,,0.81,72.9
2017-10-13,96,81.0,,0.81,77.76
2017-10-14,87,81.0,,0.81,70.47
2017-10-15,93,81.0,,0.81,75.33
2017-10-16,90,81.0,,0.81,72.9
2017-10-17,89,81.0,,0.81,72.09
2017-10-18,87,81.0,,0.81,70.47
2017-10-19,95,81.0,,0.81,76.95
2017-10-20,98,81.0,,0.81,79.38000000000001
2017-10-21,91,81.0,,0.81,73.71000000000001
2017-10-22,82,81.0,,0.81,66.42
2017-10-23,85,81.0,,0.81,68.85000000000001
2017-10-24,88,81.0,,0.81,71.28
2017-10-25,90,81.0,,0.81,72.9
2017-10-26,91,81.0,,0.81,73.71000000000001
2017-10-27,95,81.0,,0.81,76.95
2017-10-28,93,81.0,,0.81,75.33
2017-10-29,89,81.0,,0.81,72.09
2017-10-30,96,81.0,,0.81,77.76
2017-10-31,90,81.0,,0.81,72.9
2017-11-01,86,77.0,False,0.77,66.22
2017-11-02,88,77.0,,0.77,67.76
2017-11-03,96,77.0,,0.77,73.92
2017-11-04,85,77.0,,0.77,65.45
2017-11-05,91,77.0,,0.77,70.07000000000001
2017-11-06,89,77.0,,0.77,68.53
2017-11-07,90,77.0,,0.77,69.3
2017-11-08,100,77.0,,0.77,77.0
2017-11-09,98,77.0,,0.77,75.46000000000001
2017-11-10,93,77.0,,0.77,71.61
2017-11-11,93,77.0,,0.77,71.61
2017-11-12,90,77.0,,0.77,69.3
2017-11-13,91,77.0,,0.77,70.07000000000001
2017-11-14,99,77.0,,0.77,76.23
2017-11-15,95,77.0,,0.77,73.15
2017-11-16,86,77.0,,0.77,66.22
2017-11-17,84,77.0,,0.77,64.68
2017-11-18,80,77.0,,0.77,61.6
2017-11-19,80,77.0,,0.77,61.6
2017-11-20,92,77.0,,0.77,70.84
2017-11-21,90,77.0,,0.77,69.3
2017-11-22,77,77.0,,0.77,59.29
2017-11-23,79,77.0,,0.77,60.83
2017-11-24,78,77.0,,0.77,60.06
2017-11-25,79,77.0,,0.77,60.83
2017-11-26,79,77.0,,0.77,60.83
2017-11-27,77,77.0,,0.77,59.29
2017-11-28,91,77.0,,0.77,70.07000000000001
2017-11-29,88,77.0,,0.77,67.76
2017-11-30,89,77.0,,0.77,68.53
2017-12-01,90,74.0,False,0.74,66.6
2017-12-02,91,74.0,,0.74,67.34
2017-12-03,75,74.0,,0.74,55.5
2017-12-04,94,74.0,,0.74,69.56
2017-12-05,88,74.0,,0.74,65.12
2017-12-06,100,74.0,,0.74,74.0
2017-12-07,91,74.0,,0.74,67.34
2017-12-08,98,74.0,,0.74,72.52
2017-12-09,88,74.0,,0.74,65.12
2017-12-10,85,74.0,,0.74,62.9
2017-12-11,85,74.0,,0.74,62.9
2017-12-12,96,74.0,,0.74,71.03999999999999
2017-12-13,95,74.0,,0.74,70.3
2017-12-14,95,74.0,,0.74,70.3
2017-12-15,95,74.0,,0.74,70.3
2017-12-16,92,74.0,,0.74,68.08
2017-12-17,85,74.0,,0.74,62.9
2017-12-18,91,74.0,,0.74,67.34
2017-12-19,98,74.0,,0.74,72.52
2017-12-20,91,74.0,,0.74,67.34
2017-12-21,88,74.0,,0.74,65.12
2017-12-22,91,74.0,,0.74,67.34
2017-12-23,79,74.0,,0.74,58.46
2017-12-24,78,74.0,,0.74,57.72
2017-12-25,93,74.0,,0.74,68.82
2017-12-26,94,74.0,,0.74,69.56
2017-12-27,89,74.0,,0.74,65.86
2017-12-28,92,74.0,,0.74,68.08
2017-12-29,84,74.0,,0.74,62.16
2017-12-30,96,74.0,,0.74,71.03999999999999
2017-12-31,90,74.0,,0.74,66.6
2018-01-01,57,91.0,False,0.91,51.870000000000005
