date,FL_unscaled,FL_monthly,isPartial,scale,FL
2016-09-28,80,82.0,,0.82,65.6
2016-09-29,76,82.0,,0.82,62.31999999999999
2016-09-30,79,82.0,,0.82,64.78
2016-10-01,62,85.0,False,0.85,52.699999999999996
2016-10-02,56,85.0,,0.85,47.6
2016-10-03,64,85.0,,0.85,54.4
2016-10-04,67,85.0,,0.85,56.949999999999996
2016-10-05,75,85.0,,0.85,63.75
2016-10-06,100,85.0,,0.85,85.0
2016-10-07,100,85.0,,0.85,85.0
2016-10-08,74,85.0,,0.85,62.9
2016-10-09,59,85.0,,0.85,50.15
2016-10-10,66,85.0,,0.85,56.1
2016-10-11,63,85.0,,0.85,53.55
2016-10-12,63,85.0,,0.85,53.55
2016-10-13,65,85.0,,0.85,55.25
2016-10-14,64,85.0,,0.85,54.4
2016-10-15,64,85.0,,0.85,54.4
2016-10-16,54,85.0,,0.85,45.9
2016-10-17,65,85.0,,0.85,55.25
2016-10-18,68,85.0,,0.85,57.8
2016-10-19,66,85.0,,0.85,56.1
2016-10-20,64,85.0,,0.85,54.4
2016-10-21,63,85.0,,0.85,53.55
2016-10-22,62,85.0,,0.85,52.699999999999996
2016-10-23,54,85.0,,0.85,45.9
2016-10-24,63,85.0,,0.85,53.55
2016-10-25,64,85.0,,0.85,54.4
2016-10-26,64,85.0,,0.85,54.4
2016-10-27,62,85.0,,0.85,52.699999999999996
2016-10-28,64,85.0,,0.85,54.4
2016-10-29,64,85.0,,0.85,54.4
2016-10-30,55,85.0,,0.85,46.75
2016-10-31,62,85.0,,0.85,52.699999999999996
2016-11-01,97,77.0,False,0.77,74.69
2016-11-02,96,77.0,,0.77,73.92
2016-11-03,95,77.0,,0.77,73.15
2016-11-04,100,77.0,,0.77,77.0
2016-11-05,94,77.0,,0.77,72.38
2016-11-06,90,77.0,,0.77,69.3
2016-11-07,98,77.0,,0.77,75.46000000000001
2016-11-08,96,77.0,,0.77,73.92
2016-11-09,74,77.0,,0.77,56.980000000000004
2016-11-10,93,77.0,,0.77,71.61
2016-11-11,93,77.0,,0.77,71.61
2016-11-12,91,77.0,,0.77,70.07000000000001
2016-11-13,83,77.0,,0.77,63.910000000000004
2016-11-14,96,77.0,,0.77,73.92
2016-11-15,95,77.0,,0.77,73.15
2016-11-16,96,77.0,,0.77,73.92
2016-11-17,95,77.0,,0.77,73.15
2016-11-18,96,77.0,,0.77,73.92
2016-11-19,91,77.0,,0.77,70.07000000000001
2016-11-20,85,77.0,,0.77,65.45
2016-11-21,94,77.0,,0.77,72.38
2016-11-22,94,77.0,,0.77,72.38
2016-11-23,91,77.0,,0.77,70.07000000000001
2016-11-24,69,77.0,,0.77,53.13
2016-11-25,83,77.0,,0.77,63.910000000000004
2016-11-26,83,77.0,,0.77,63.910000000000004
2016-11-27,86,77.0,,0.77,66.22
2016-11-28,92,77.0,,0.77,70.84
2016-11-29,94,77.0,,0.77,72.38
2016-11-30,94,77.0,,0.77,72.38
2016-12-01,79,82.0,False,0.82,64.78
2016-12-02,77,82.0,,0.82,63.13999999999999
2016-12-03,78,82.0,,0.82,63.959999999999994
2016-12-04,72,82.0,,0.82,59.04
2016-12-05,80,82.0,,0.82,65.6
2016-12-06,81,82.0,,0.82,66.42
2016-12-07,79,82.0,,0.82,64.78
2016-12-08,82,82.0,,0.82,67.24
2016-12-09,77,82.0,,0.82,63.13999999999999
2016-12-10,78,82.0,,0.82,63.959999999999994
2016-12-11,70,82.0,,0.82,57.4
2016-12-12,79,82.0,,0.82,64.78
2016-12-13,83,82.0,,0.82,68.06
2016-12-14,82,82.0,,0.82,67.24
2016-12-15,83,82.0,,0.82,68.06
2016-12-16,82,82.0,,0.82,67.24
2016-12-17,82,82.0,,0.82,67.24
2016-12-18,75,82.0,,0.82,61.49999999999999
2016-12-19,88,82.0,,0.82,72.16
2016-12-20,93,82.0,,0.82,76.25999999999999
2016-12-21,87,82.0,,0.82,71.33999999999999
2016-12-22,88,82.0,,0.82,72.16
2016-12-23,84,82.0,,0.82,68.88
2016-12-24,76,82.0,,0.82,62.31999999999999
2016-12-25,70,82.0,,0.82,57.4
2016-12-26,88,82.0,,0.82,72.16
2016-12-27,95,82.0,,0.82,77.89999999999999
2016-12-28,100,82.0,,0.82,82.0
2016-12-29,96,82.0,,0.82,78.72
2016-12-30,97,82.0,,0.82,79.53999999999999
2016-12-31,82,82.0,,0.82,67.24
2017-01-01,79,89.0,False,0.89,70.31
2017-01-02,94,89.0,,0.89,83.66
2017-01-03,100,89.0,,0.89,89.0
2017-01-04,97,89.0,,0.89,86.33
2017-01-05,100,89.0,,0.89,89.0
2017-01-06,100,89.0,,0.89,89.0
2017-01-07,94,89.0,,0.89,83.66
2017-01-08,84,89.0,,0.89,74.76
2017-01-09,95,89.0,,0.89,84.55
2017-01-10,93,89.0,,0.89,82.77
2017-01-11,92,89.0,,0.89,81.88
2017-01-12,93,89.0,,0.89,82.77
2017-01-13,96,89.0,,0.89,85.44
2017-01-14,92,89.0,,0.89,81.88
2017-01-15,82,89.0,,0.89,72.98
2017-01-16,93,89.0,,0.89,82.77
2017-01-17,94,89.0,,0.89,83.66
2017-01-18,92,89.0,,0.89,81.88
2017-01-19,92,89.0,,0.89,81.88
2017-01-20,84,89.0,,0.89,74.76
2017-01-21,86,89.0,,0.89,76.54
2017-01-22,86,89.0,,0.89,76.54
2017-01-23,98,89.0,,0.89,87.22
2017-01-24,93,89.0,,0.89,82.77
2017-01-25,89,89.0,,0.89,79.21000000000001
2017-01-26,91,89.0,,0.89,80.99
2017-01-27,94,89.0,,0.89,83.66
2017-01-28,87,89.0,,0.89,77.43
2017-01-29,87,89.0,,0.89,77.43
2017-01-30,90,89.0,,0.89,80.1
2017-01-31,92,89.0,,0.89,81.88
2017-02-01,92,91.0,False,0.91,83.72
2017-02-02,89,91.0,,0.91,80.99000000000001
2017-02-03,91,91.0,,0.91,82.81
2017-02-04,90,91.0,,0.91,81.9
2017-02-05,78,91.0,,0.91,70.98
2017-02-06,87,91.0,,0.91,79.17
2017-02-07,93,91.0,,0.91,84.63000000000001
2017-02-08,94,91.0,,0.91,85.54
2017-02-09,92,91.0,,0.91,83.72
2017-02-10,91,91.0,,0.91,82.81
2017-02-11,93,91.0,,0.91,84.63000000000001
2017-02-12,85,91.0,,0.91,77.35000000000001
2017-02-13,95,91.0,,0.91,86.45
2017-02-14,90,91.0,,0.91,81.9
2017-02-15,91,91.0,,0.91,82.81
2017-02-16,94,91.0,,0.91,85.54
2017-02-17,97,91.0,,0.91,88.27
2017-02-18,100,91.0,,0.91,91.0
2017-02-19,95,91.0,,0.91,86.45
2017-02-20,100,91.0,,0.91,91.0
2017-02-21,96,91.0,,0.91,87.36
2017-02-22,99,91.0,,0.91,90.09
2017-02-23,97,91.0,,0.91,88.27
2017-02-24,97,91.0,,0.91,88.27
2017-02-25,95,91.0,,0.91,86.45
2017-02-26,82,91.0,,0.91,74.62
2017-02-27,93,91.0,,0.91,84.63000000000001
2017-02-28,95,91.0,,0.91,86.45
2017-03-01,92,97.0,False,0.97,89.24
2017-03-02,95,97.0,,0.97,92.14999999999999
2017-03-03,94,97.0,,0.97,91.17999999999999
2017-03-04,94,97.0,,0.97,91.17999999999999
2017-03-05,88,97.0,,0.97,85.36
2017-03-06,97,97.0,,0.97,94.09
2017-03-07,96,97.0,,0.97,93.12
2017-03-08,92,97.0,,0.97,89.24
2017-03-09,95,97.0,,0.97,92.14999999999999
2017-03-10,96,97.0,,0.97,93.12
2017-03-11,96,97.0,,0.97,93.12
2017-03-12,90,97.0,,0.97,87.3
2017-03-13,100,97.0,,0.97,97.0
2017-03-14,98,97.0,,0.97,95.06
2017-03-15,100,97.0,,0.97,97.0
2017-03-16,94,97.0,,0.97,91.17999999999999
2017-03-17,94,97.0,,0.97,91.17999999999999
2017-03-18,89,97.0,,0.97,86.33
2017-03-19,86,97.0,,0.97,83.42
2017-03-20,98,97.0,,0.97,95.06
2017-03-21,93,97.0,,0.97,90.21
2017-03-22,92,97.0,,0.97,89.24
2017-03-23,94,97.0,,0.97,91.17999999999999
2017-03-24,96,97.0,,0.97,93.12
2017-03-25,94,97.0,,0.97,91.17999999999999
2017-03-26,88,97.0,,0.97,85.36
2017-03-27,98,97.0,,0.97,95.06
2017-03-28,96,97.0,,0.97,93.12
2017-03-29,93,97.0,,0.97,90.21
2017-03-30,95,97.0,,0.97,92.14999999999999
2017-03-31,93,97.0,,0.97,90.21
2017-04-01,88,89.0,False,0.89,78.32000000000001
2017-04-02,85,89.0,,0.89,75.65
2017-04-03,96,89.0,,0.89,85.44
2017-04-04,91,89.0,,0.89,80.99
2017-04-05,93,89.0,,0.89,82.77
2017-04-06,94,89.0,,0.89,83.66
2017-04-07,91,89.0,,0.89,80.99
2017-04-08,98,89.0,,0.89,87.22
2017-04-09,87,89.0,,0.89,77.43
2017-04-10,100,89.0,,0.89,89.0
2017-04-11,93,89.0,,0.89,82.77
2017-04-12,91,89.0,,0.89,80.99
2017-04-13,90,89.0,,0.89,80.1
2017-04-14,94,89.0,,0.89,83.66
2017-04-15,86,89.0,,0.89,76.54
2017-04-16,82,89.0,,0.89,72.98
2017-04-17,95,89.0,,0.89,84.55
2017-04-18,90,89.0,,0.89,80.1
2017-04-19,89,89.0,,0.89,79.21000000000001
2017-04-20,86,89.0,,0.89,76.54
2017-04-21,95,89.0,,0.89,84.55
2017-04-22,88,89.0,,0.89,78.32000000000001
2017-04-23,86,89.0,,0.89,76.54
2017-04-24,92,89.0,,0.89,81.88
2017-04-25,93,89.0,,0.89,82.77
2017-04-26,86,89.0,,0.89,76.54
2017-04-27,86,89.0,,0.89,76.54
2017-04-28,88,89.0,,0.89,78.32000000000001
2017-04-29,84,89.0,,0.89,74.76
2017-04-30,80,89.0,,0.89,71.2
2017-05-01,90,92.0,False,0.92,82.8
2017-05-02,86,92.0,,0.92,79.12
2017-05-03,86,92.0,,0.92,79.12
2017-05-04,88,92.0,,0.92,80.96000000000001
2017-05-05,89,92.0,,0.92,81.88000000000001
2017-05-06,81,92.0,,0.92,74.52000000000001
2017-05-07,78,92.0,,0.92,71.76
2017-05-08,92,92.0,,0.92,84.64
2017-05-09,86,92.0,,0.92,79.12
2017-05-10,87,92.0,,0.92,80.04
2017-05-11,85,92.0,,0.92,78.2
2017-05-12,88,92.0,,0.92,80.96000000000001
2017-05-13,90,92.0,,0.92,82.8
2017-05-14,76,92.0,,0.92,69.92
2017-05-15,88,92.0,,0.92,80.96000000000001
2017-05-16,88,92.0,,0.92,80.96000000000001
2017-05-17,85,92.0,,0.92,78.2
2017-05-18,83,92.0,,0.92,76.36
2017-05-19,84,92.0,,0.92,77.28
2017-05-20,84,92.0,,0.92,77.28
2017-05-21,83,92.0,,0.92,76.36
2017-05-22,90,92.0,,0.92,82.8
2017-05-23,88,92.0,,0.92,80.96000000000001
2017-05-24,89,92.0,,0.92,81.88000000000001
2017-05-25,89,92.0,,0.92,81.88000000000001
2017-05-26,90,92.0,,0.92,82.8
2017-05-27,90,92.0,,0.92,82.8
2017-05-28,82,92.0,,0.92,75.44
2017-05-29,87,92.0,,0.92,80.04
2017-05-30,100,92.0,,0.92,92.0
2017-05-31,95,92.0,,0.92,87.4
2017-06-01,91,100.0,False,1.0,91.0
2017-06-02,90,100.0,,1.0,90.0
2017-06-03,87,100.0,,1.0,87.0
2017-06-04,80,100.0,,1.0,80.0
2017-06-05,95,100.0,,1.0,95.0
2017-06-06,95,100.0,,1.0,95.0
2017-06-07,92,100.0,,1.0,92.0
2017-06-08,91,100.0,,1.0,91.0
2017-06-09,90,100.0,,1.0,90.0
2017-06-10,86,100.0,,1.0,86.0
2017-06-11,84,100.0,,1.0,84.0
2017-06-12,98,100.0,,1.0,98.0
2017-06-13,90,100.0,,1.0,90.0
2017-06-14,89,100.0,,1.0,89.0
2017-06-15,90,100.0,,1.0,90.0
2017-06-16,91,100.0,,1.0,91.0
2017-06-17,84,100.0,,1.0,84.0
2017-06-18,77,100.0,,1.0,77.0
2017-06-19,98,100.0,,1.0,98.0
2017-06-20,94,100.0,,1.0,94.0
2017-06-21,95,100.0,,1.0,95.0
2017-06-22,92,100.0,,1.0,92.0
2017-06-23,93,100.0,,1.0,93.0
2017-06-24,85,100.0,,1.0,85.0
2017-06-25,86,100.0,,1.0,86.0
2017-06-26,100,100.0,,1.0,100.0
2017-06-27,92,100.0,,1.0,92.0
2017-06-28,93,100.0,,1.0,93.0
2017-06-29,93,100.0,,1.0,93.0
2017-06-30,93,100.0,,1.0,93.0
2017-07-01,88,96.0,False,0.96,84.47999999999999
2017-07-02,87,96.0,,0.96,83.52
2017-07-03,99,96.0,,0.96,95.03999999999999
2017-07-04,85,96.0,,0.96,81.6
2017-07-05,99,96.0,,0.96,95.03999999999999
2017-07-06,91,96.0,,0.96,87.36
2017-07-07,94,96.0,,0.96,90.24
2017-07-08,89,96.0,,0.96,85.44
2017-07-09,84,96.0,,0.96,80.64
2017-07-10,97,96.0,,0.96,93.11999999999999
2017-07-11,90,96.0,,0.96,86.39999999999999
2017-07-12,94,96.0,,0.96,90.24
2017-07-13,92,96.0,,0.96,88.32
2017-07-14,100,96.0,,0.96,96.0
2017-07-15,90,96.0,,0.96,86.39999999999999
2017-07-16,81,96.0,,0.96,77.75999999999999
2017-07-17,94,96.0,,0.96,90.24
2017-07-18,92,96.0,,0.96,88.32
2017-07-19,90,96.0,,0.96,86.39999999999999
2017-07-20,92,96.0,,0.96,88.32
2017-07-21,95,96.0,,0.96,91.2
2017-07-22,88,96.0,,0.96,84.47999999999999
2017-07-23,81,96.0,,0.96,77.75999999999999
2017-07-24,95,96.0,,0.96,91.2
2017-07-25,92,96.0,,0.96,88.32
2017-07-26,88,96.0,,0.96,84.47999999999999
2017-07-27,90,96.0,,0.96,86.39999999999999
2017-07-28,90,96.0,,0.96,86.39999999999999
2017-07-29,86,96.0,,0.96,82.56
2017-07-30,80,96.0,,0.96,76.8
2017-07-31,93,96.0,,0.96,89.28
2017-08-01,99,88.0,False,0.88,87.12
2017-08-02,97,88.0,,0.88,85.36
2017-08-03,98,88.0,,0.88,86.24
2017-08-04,98,88.0,,0.88,86.24
2017-08-05,89,88.0,,0.88,78.32000000000001
2017-08-06,83,88.0,,0.88,73.04
2017-08-07,100,88.0,,0.88,88.0
2017-08-08,96,88.0,,0.88,84.48
2017-08-09,93,88.0,,0.88,81.84
2017-08-10,95,88.0,,0.88,83.6
2017-08-11,92,88.0,,0.88,80.96
2017-08-12,84,88.0,,0.88,73.92
2017-08-13,77,88.0,,0.88,67.76
2017-08-14,93,88.0,,0.88,81.84
2017-08-15,92,88.0,,0.88,80.96
2017-08-16,91,88.0,,0.88,80.08
2017-08-17,92,88.0,,0.88,80.96
2017-08-18,89,88.0,,0.88,78.32000000000001
2017-08-19,87,88.0,,0.88,76.56
2017-08-20,80,88.0,,0.88,70.4
2017-08-21,94,88.0,,0.88,82.72
2017-08-22,90,88.0,,0.88,79.2
2017-08-23,89,88.0,,0.88,78.32000000000001
2017-08-24,90,88.0,,0.88,79.2
2017-08-25,86,88.0,,0.88,75.68
2017-08-26,79,88.0,,0.88,69.52
2017-08-27,69,88.0,,0.88,60.72
2017-08-28,88,88.0,,0.88,77.44
2017-08-29,84,88.0,,0.88,73.92
2017-08-30,84,88.0,,0.88,73.92
2017-08-31,82,88.0,,0.88,72.16
2017-09-01,54,93.0,False,0.93,50.220000000000006
2017-09-02,52,93.0,,0.93,48.36
2017-09-03,50,93.0,,0.93,46.5
2017-09-04,47,93.0,,0.93,43.71
2017-09-05,63,93.0,,0.93,58.59
2017-09-06,66,93.0,,0.93,61.38
2017-09-07,76,93.0,,0.93,70.68
2017-09-08,82,93.0,,0.93,76.26
2017-09-09,92,93.0,,0.93,85.56
2017-09-10,100,93.0,,0.93,93.0
2017-09-11,100,93.0,,0.93,93.0
2017-09-12,71,93.0,,0.93,66.03
2017-09-13,64,93.0,,0.93,59.52
2017-09-14,59,93.0,,0.93,54.870000000000005
2017-09-15,57,93.0,,0.93,53.010000000000005
2017-09-16,52,93.0,,0.93,48.36
2017-09-17,45,93.0,,0.93,41.85
2017-09-18,54,93.0,,0.93,50.220000000000006
2017-09-19,52,93.0,,0.93,48.36
2017-09-20,51,93.0,,0.93,47.43
2017-09-21,51,93.0,,0.93,47.43
2017-09-22,51,93.0,,0.93,47.43
2017-09-23,49,93.0,,0.93,45.57
2017-09-24,43,93.0,,0.93,39.99
2017-09-25,53,93.0,,0.93,49.29
2017-09-26,53,93.0,,0.93,49.29
2017-09-27,50,93.0,,0.93,46.5
2017-09-28,53,93.0,,0.93,49.29
2017-09-29,52,93.0,,0.93,48.36
2017-09-30,51,93.0,,0.93,47.43
2017-10-01,83,81.0,False,0.81,67.23
2017-10-02,89,81.0,,0.81,72.09
2017-10-03,91,81.0,,0.81,73.71000000000001
2017-10-04,95,81.0,,0.81,76.95
2017-10-05,94,81.0,,0.81,76.14
2017-10-06,99,81.0,,0.81,80.19000000000001
2017-10-07,97,81.0,,0.81,78.57000000000001
2017-10-08,86,81.0,,0.81,69.66000000000001
2017-10-09,99,81.0,,0.81,80.19000000000001
2017-10-10,99,81.0,,0.81,80.19000000000001
2017-10-11,93,81.0,,0.81,75.33
2017-10-12,98,81.0,,0.81,79.38000000000001
2017-10-13,98,81.0,,0.81,79.38000000000001
2017-10-14,91,81.0,,0.81,73.71000000000001
2017-10-15,83,81.0,,0.81,67.23
2017-10-16,100,81.0,,0.81,81.0
2017-10-17,100,81.0,,0.81,81.0
2017-10-18,96,81.0,,0.81,77.76
2017-10-19,98,81.0,,0.81,79.38000000000001
2017-10-20,100,81.0,,0.81,81.0
2017-10-21,93,81.0,,0.81,75.33
2017-10-22,80,81.0,,0.81,64.80000000000001
2017-10-23,96,81.0,,0.81,77.76
2017-10-24,94,81.0,,0.81,76.14
2017-10-25,95,81.0,,0.81,76.95
2017-10-26,94,81.0,,0.81,76.14
2017-10-27,96,81.0,,0.81,77.76
2017-10-28,100,81.0,,0.81,81.0
2017-10-29,86,81.0,,0.81,69.66000000000001
2017-10-30,93,81.0,,0.81,75.33
2017-10-31,93,81.0,,0.81,75.33
2017-11-01,93,78.0,False,0.78,72.54
2017-11-02,91,78.0,,0.78,70.98
2017-11-03,96,78.0,,0.78,74.88
2017-11-04,88,78.0,,0.78,68.64
2017-11-05,81,78.0,,0.78,63.18
2017-11-06,98,78.0,,0.78,76.44
2017-11-07,96,78.0,,0.78,74.88
2017-11-08,97,78.0,,0.78,75.66
2017-11-09,97,78.0,,0.78,75.66
2017-11-10,100,78.0,,0.78,78.0
2017-11-11,91,78.0,,0.78,70.98
2017-11-12,81,78.0,,0.78,63.18
2017-11-13,94,78.0,,0.78,73.32000000000001
2017-11-14,94,78.0,,0.78,73.32000000000001
2017-11-15,92,78.0,,0.78,71.76
2017-11-16,91,78.0,,0.78,70.98
2017-11-17,92,78.0,,0.78,71.76
2017-11-18,88,78.0,,0.78,68.64
2017-11-19,77,78.0,,0.78,60.06
2017-11-20,90,78.0,,0.78,70.2
2017-11-21,93,78.0,,0.78,72.54
2017-11-22,91,78.0,,0.78,70.98
2017-11-23,68,78.0,,0.78,53.04
2017-11-24,83,78.0,,0.78,64.74000000000001
2017-11-25,81,78.0,,0.78,63.18
2017-11-26,75,78.0,,0.78,58.5
2017-11-27,85,78.0,,0.78,66.3
2017-11-28,89,78.0,,0.78,69.42
2017-11-29,88,78.0,,0.78,68.64
2017-11-30,88,78.0,,0.78,68.64
2017-12-01,77,82.0,False,0.82,63.13999999999999
2017-12-02,75,82.0,,0.82,61.49999999999999
2017-12-03,66,82.0,,0.82,54.12
2017-12-04,80,82.0,,0.82,65.6
2017-12-05,81,82.0,,0.82,66.42
2017-12-06,77,82.0,,0.82,63.13999999999999
2017-12-07,80,82.0,,0.82,65.6
2017-12-08,84,82.0,,0.82,68.88
2017-12-09,82,82.0,,0.82,67.24
2017-12-10,72,82.0,,0.82,59.04
2017-12-11,76,82.0,,0.82,62.31999999999999
2017-12-12,79,82.0,,0.82,64.78
2017-12-13,76,82.0,,0.82,62.31999999999999
2017-12-14,80,82.0,,0.82,65.6
2017-12-15,80,82.0,,0.82,65.6
2017-12-16,81,82.0,,0.82,66.42
2017-12-17,75,82.0,,0.82,61.49999999999999
2017-12-18,89,82.0,,0.82,72.97999999999999
2017-12-19,85,82.0,,0.82,69.7
2017-12-20,85,82.0,,0.82,69.7
2017-12-21,88,82.0,,0.82,72.16
2017-12-22,82,82.0,,0.82,67.24
2017-12-23,80,82.0,,0.82,65.6
2017-12-24,73,82.0,,0.82,59.86
2017-12-25,68,82.0,,0.82,55.76
2017-12-26,92,82.0,,0.82,75.44
2017-12-27,100,82.0,,0.82,82.0
2017-12-28,100,82.0,,0.82,82.0
2017-12-29,95,82.0,,0.82,77.89999999999999
