date,WWE_unscaled,WWE_monthly,isPartial,scale,WWE
2016-09-10,67,79.0,,0.79,52.93
2016-09-11,79,79.0,,0.79,62.410000000000004
2016-09-12,100,79.0,,0.79,79.0
2016-09-13,73,79.0,,0.79,57.67
2016-09-14,63,79.0,,0.79,49.77
2016-09-15,55,79.0,,0.79,43.45
2016-09-16,51,79.0,,0.79,40.29
2016-09-17,60,79.0,,0.79,47.400000000000006
2016-09-18,59,79.0,,0.79,46.61
2016-09-19,50,79.0,,0.79,39.5
2016-09-20,67,79.0,,0.79,52.93
2016-09-21,56,79.0,,0.79,44.24
2016-09-22,48,79.0,,0.79,37.92
2016-09-23,49,79.0,,0.79,38.71
2016-09-24,58,79.0,,0.79,45.82
2016-09-25,71,79.0,,0.79,56.09
2016-09-26,91,79.0,,0.79,71.89
2016-09-27,66,79.0,,0.79,52.14
2016-09-28,57,79.0,,0.79,45.03
2016-09-29,48,79.0,,0.79,37.92
2016-09-30,51,79.0,,0.79,40.29
2016-10-01,62,82.0,False,0.82,50.839999999999996
2016-10-02,62,82.0,,0.82,50.839999999999996
2016-10-03,55,82.0,,0.82,45.099999999999994
2016-10-04,70,82.0,,0.82,57.4
2016-10-05,60,82.0,,0.82,49.199999999999996
2016-10-06,51,82.0,,0.82,41.82
2016-10-07,47,82.0,,0.82,38.54
2016-10-08,58,82.0,,0.82,47.559999999999995
2016-10-09,71,82.0,,0.82,58.22
2016-10-10,100,82.0,,0.82,82.0
2016-10-11,90,82.0,,0.82,73.8
2016-10-12,78,82.0,,0.82,63.959999999999994
2016-10-13,61,82.0,,0.82,50.019999999999996
2016-10-14,59,82.0,,0.82,48.379999999999995
2016-10-15,70,82.0,,0.82,57.4
2016-10-16,67,82.0,,0.82,54.94
2016-10-17,62,82.0,,0.82,50.839999999999996
2016-10-18,85,82.0,,0.82,69.7
2016-10-19,66,82.0,,0.82,54.12
2016-10-20,53,82.0,,0.82,43.46
2016-10-21,52,82.0,,0.82,42.64
2016-10-22,58,82.0,,0.82,47.559999999999995
2016-10-23,60,82.0,,0.82,49.199999999999996
2016-10-24,53,82.0,,0.82,43.46
2016-10-25,61,82.0,,0.82,50.019999999999996
2016-10-26,52,82.0,,0.82,42.64
2016-10-27,45,82.0,,0.82,36.9
2016-10-28,46,82.0,,0.82,37.72
2016-10-29,53,82.0,,0.82,43.46
2016-10-30,68,82.0,,0.82,55.76
2016-10-31,92,82.0,,0.82,75.44
2016-11-01,44,75.0,False,0.75,33.0
2016-11-02,33,75.0,,0.75,24.75
2016-11-03,29,75.0,,0.75,21.75
2016-11-04,28,75.0,,0.75,21.0
2016-11-05,32,75.0,,0.75,24.0
2016-11-06,32,75.0,,0.75,24.0
2016-11-07,27,75.0,,0.75,20.25
2016-11-08,35,75.0,,0.75,26.25
2016-11-09,27,75.0,,0.75,20.25
2016-11-10,30,75.0,,0.75,22.5
2016-11-11,29,75.0,,0.75,21.75
2016-11-12,33,75.0,,0.75,24.75
2016-11-13,35,75.0,,0.75,26.25
2016-11-14,32,75.0,,0.75,24.0
2016-11-15,41,75.0,,0.75,30.75
2016-11-16,42,75.0,,0.75,31.5
2016-11-17,31,75.0,,0.75,23.25
2016-11-18,30,75.0,,0.75,22.5
2016-11-19,38,75.0,,0.75,28.5
2016-11-20,52,75.0,,0.75,39.0
2016-11-21,100,75.0,,0.75,75.0
2016-11-22,53,75.0,,0.75,39.75
2016-11-23,43,75.0,,0.75,32.25
2016-11-24,41,75.0,,0.75,30.75
2016-11-25,39,75.0,,0.75,29.25
2016-11-26,37,75.0,,0.75,27.75
2016-11-27,37,75.0,,0.75,27.75
2016-11-28,30,75.0,,0.75,22.5
2016-11-29,42,75.0,,0.75,31.5
2016-11-30,38,75.0,,0.75,28.5
2016-12-01,46,81.0,False,0.81,37.260000000000005
2016-12-02,46,81.0,,0.81,37.260000000000005
2016-12-03,56,81.0,,0.81,45.36
2016-12-04,64,81.0,,0.81,51.84
2016-12-05,80,81.0,,0.81,64.80000000000001
2016-12-06,64,81.0,,0.81,51.84
2016-12-07,60,81.0,,0.81,48.6
2016-12-08,55,81.0,,0.81,44.550000000000004
2016-12-09,47,81.0,,0.81,38.07
2016-12-10,58,81.0,,0.81,46.980000000000004
2016-12-11,59,81.0,,0.81,47.790000000000006
2016-12-12,53,81.0,,0.81,42.93
2016-12-13,66,81.0,,0.81,53.46
2016-12-14,60,81.0,,0.81,48.6
2016-12-15,58,81.0,,0.81,46.980000000000004
2016-12-16,49,81.0,,0.81,39.690000000000005
2016-12-17,57,81.0,,0.81,46.17
2016-12-18,67,81.0,,0.81,54.27
2016-12-19,100,81.0,,0.81,81.0
2016-12-20,74,81.0,,0.81,59.940000000000005
2016-12-21,65,81.0,,0.81,52.650000000000006
2016-12-22,57,81.0,,0.81,46.17
2016-12-23,56,81.0,,0.81,45.36
2016-12-24,56,81.0,,0.81,45.36
2016-12-25,60,81.0,,0.81,48.6
2016-12-26,62,81.0,,0.81,50.220000000000006
2016-12-27,74,81.0,,0.81,59.940000000000005
2016-12-28,74,81.0,,0.81,59.940000000000005
2016-12-29,57,81.0,,0.81,46.17
2016-12-30,54,81.0,,0.81,43.74
2016-12-31,58,81.0,,0.81,46.980000000000004
2017-01-01,28,81.0,False,0.81,22.68
2017-01-02,31,81.0,,0.81,25.110000000000003
2017-01-03,37,81.0,,0.81,29.970000000000002
2017-01-04,31,81.0,,0.81,25.110000000000003
2017-01-05,28,81.0,,0.81,22.68
2017-01-06,24,81.0,,0.81,19.44
2017-01-07,30,81.0,,0.81,24.3
2017-01-08,31,81.0,,0.81,25.110000000000003
2017-01-09,27,81.0,,0.81,21.87
2017-01-10,37,81.0,,0.81,29.970000000000002
2017-01-11,31,81.0,,0.81,25.110000000000003
2017-01-12,26,81.0,,0.81,21.060000000000002
2017-01-13,25,81.0,,0.81,20.25
2017-01-14,31,81.0,,0.81,25.110000000000003
2017-01-15,33,81.0,,0.81,26.73
2017-01-16,34,81.0,,0.81,27.540000000000003
2017-01-17,38,81.0,,0.81,30.78
2017-01-18,32,81.0,,0.81,25.92
2017-01-19,26,81.0,,0.81,21.060000000000002
2017-01-20,26,81.0,,0.81,21.060000000000002
2017-01-21,31,81.0,,0.81,25.110000000000003
2017-01-22,30,81.0,,0.81,24.3
2017-01-23,28,81.0,,0.81,22.68
2017-01-24,37,81.0,,0.81,29.970000000000002
2017-01-25,31,81.0,,0.81,25.110000000000003
2017-01-26,27,81.0,,0.81,21.87
2017-01-27,28,81.0,,0.81,22.68
2017-01-28,34,81.0,,0.81,27.540000000000003
2017-01-29,61,81.0,,0.81,49.410000000000004
2017-01-30,100,81.0,,0.81,81.0
2017-01-31,44,81.0,,0.81,35.64
2017-02-01,60,74.0,False,0.74,44.4
2017-02-02,45,74.0,,0.74,33.3
2017-02-03,44,74.0,,0.74,32.56
2017-02-04,56,74.0,,0.74,41.44
2017-02-05,52,74.0,,0.74,38.48
2017-02-06,41,74.0,,0.74,30.34
2017-02-07,61,74.0,,0.74,45.14
2017-02-08,54,74.0,,0.74,39.96
2017-02-09,43,74.0,,0.74,31.82
2017-02-10,44,74.0,,0.74,32.56
2017-02-11,50,74.0,,0.74,37.0
2017-02-12,68,74.0,,0.74,50.32
2017-02-13,100,74.0,,0.74,74.0
2017-02-14,69,74.0,,0.74,51.06
2017-02-15,59,74.0,,0.74,43.66
2017-02-16,45,74.0,,0.74,33.3
2017-02-17,47,74.0,,0.74,34.78
2017-02-18,56,74.0,,0.74,41.44
2017-02-19,57,74.0,,0.74,42.18
2017-02-20,51,74.0,,0.74,37.74
2017-02-21,67,74.0,,0.74,49.58
2017-02-22,58,74.0,,0.74,42.92
2017-02-23,40,74.0,,0.74,29.6
2017-02-24,42,74.0,,0.74,31.08
2017-02-25,47,74.0,,0.74,34.78
2017-02-26,54,74.0,,0.74,39.96
2017-02-27,49,74.0,,0.74,36.26
2017-02-28,58,74.0,,0.74,42.92
2017-03-01,41,85.0,False,0.85,34.85
2017-03-02,32,85.0,,0.85,27.2
2017-03-03,31,85.0,,0.85,26.349999999999998
2017-03-04,41,85.0,,0.85,34.85
2017-03-05,53,85.0,,0.85,45.05
2017-03-06,100,85.0,,0.85,85.0
2017-03-07,51,85.0,,0.85,43.35
2017-03-08,41,85.0,,0.85,34.85
2017-03-09,33,85.0,,0.85,28.05
2017-03-10,31,85.0,,0.85,26.349999999999998
2017-03-11,39,85.0,,0.85,33.15
2017-03-12,41,85.0,,0.85,34.85
2017-03-13,36,85.0,,0.85,30.599999999999998
2017-03-14,50,85.0,,0.85,42.5
2017-03-15,43,85.0,,0.85,36.55
2017-03-16,32,85.0,,0.85,27.2
2017-03-17,44,85.0,,0.85,37.4
2017-03-18,84,85.0,,0.85,71.39999999999999
2017-03-19,65,85.0,,0.85,55.25
2017-03-20,61,85.0,,0.85,51.85
2017-03-21,70,85.0,,0.85,59.5
2017-03-22,57,85.0,,0.85,48.449999999999996
2017-03-23,46,85.0,,0.85,39.1
2017-03-24,43,85.0,,0.85,36.55
2017-03-25,47,85.0,,0.85,39.949999999999996
2017-03-26,48,85.0,,0.85,40.8
2017-03-27,43,85.0,,0.85,36.55
2017-03-28,61,85.0,,0.85,51.85
2017-03-29,53,85.0,,0.85,45.05
2017-03-30,45,85.0,,0.85,38.25
2017-03-31,48,85.0,,0.85,40.8
2017-04-01,36,89.0,False,0.89,32.04
2017-04-02,64,89.0,,0.89,56.96
2017-04-03,100,89.0,,0.89,89.0
2017-04-04,49,89.0,,0.89,43.61
2017-04-05,31,89.0,,0.89,27.59
2017-04-06,25,89.0,,0.89,22.25
2017-04-07,22,89.0,,0.89,19.580000000000002
2017-04-08,26,89.0,,0.89,23.14
2017-04-09,25,89.0,,0.89,22.25
2017-04-10,24,89.0,,0.89,21.36
2017-04-11,34,89.0,,0.89,30.26
2017-04-12,29,89.0,,0.89,25.81
2017-04-13,22,89.0,,0.89,19.580000000000002
2017-04-14,21,89.0,,0.89,18.69
2017-04-15,23,89.0,,0.89,20.47
2017-04-16,22,89.0,,0.89,19.580000000000002
2017-04-17,21,89.0,,0.89,18.69
2017-04-18,27,89.0,,0.89,24.03
2017-04-19,24,89.0,,0.89,21.36
2017-04-20,19,89.0,,0.89,16.91
2017-04-21,19,89.0,,0.89,16.91
2017-04-22,23,89.0,,0.89,20.47
2017-04-23,24,89.0,,0.89,21.36
2017-04-24,20,89.0,,0.89,17.8
2017-04-25,24,89.0,,0.89,21.36
2017-04-26,21,89.0,,0.89,18.69
2017-04-27,17,89.0,,0.89,15.13
2017-04-28,17,89.0,,0.89,15.13
2017-04-29,20,89.0,,0.89,17.8
2017-04-30,29,89.0,,0.89,25.81
2017-05-01,100,70.0,False,0.7,70.0
2017-05-02,65,70.0,,0.7,45.5
2017-05-03,54,70.0,,0.7,37.8
2017-05-04,52,70.0,,0.7,36.4
2017-05-05,52,70.0,,0.7,36.4
2017-05-06,55,70.0,,0.7,38.5
2017-05-07,54,70.0,,0.7,37.8
2017-05-08,47,70.0,,0.7,32.9
2017-05-09,55,70.0,,0.7,38.5
2017-05-10,50,70.0,,0.7,35.0
2017-05-11,44,70.0,,0.7,30.799999999999997
2017-05-12,43,70.0,,0.7,30.099999999999998
2017-05-13,49,70.0,,0.7,34.3
2017-05-14,52,70.0,,0.7,36.4
2017-05-15,46,70.0,,0.7,32.199999999999996
2017-05-16,58,70.0,,0.7,40.599999999999994
2017-05-17,47,70.0,,0.7,32.9
2017-05-18,39,70.0,,0.7,27.299999999999997
2017-05-19,41,70.0,,0.7,28.7
2017-05-20,49,70.0,,0.7,34.3
2017-05-21,72,70.0,,0.7,50.4
2017-05-22,83,70.0,,0.7,58.099999999999994
2017-05-23,58,70.0,,0.7,40.599999999999994
2017-05-24,51,70.0,,0.7,35.699999999999996
2017-05-25,42,70.0,,0.7,29.4
2017-05-26,44,70.0,,0.7,30.799999999999997
2017-05-27,46,70.0,,0.7,32.199999999999996
2017-05-28,50,70.0,,0.7,35.0
2017-05-29,53,70.0,,0.7,37.099999999999994
2017-05-30,59,70.0,,0.7,41.3
2017-05-31,57,70.0,,0.7,39.9
2017-06-01,46,72.0,False,0.72,33.12
2017-06-02,45,72.0,,0.72,32.4
2017-06-03,52,72.0,,0.72,37.44
2017-06-04,71,72.0,,0.72,51.12
2017-06-05,89,72.0,,0.72,64.08
2017-06-06,66,72.0,,0.72,47.519999999999996
2017-06-07,59,72.0,,0.72,42.48
2017-06-08,44,72.0,,0.72,31.68
2017-06-09,46,72.0,,0.72,33.12
2017-06-10,45,72.0,,0.72,32.4
2017-06-11,49,72.0,,0.72,35.28
2017-06-12,50,72.0,,0.72,36.0
2017-06-13,61,72.0,,0.72,43.92
2017-06-14,55,72.0,,0.72,39.6
2017-06-15,47,72.0,,0.72,33.839999999999996
2017-06-16,45,72.0,,0.72,32.4
2017-06-17,66,72.0,,0.72,47.519999999999996
2017-06-18,76,72.0,,0.72,54.72
2017-06-19,100,72.0,,0.72,72.0
2017-06-20,73,72.0,,0.72,52.559999999999995
2017-06-21,62,72.0,,0.72,44.64
2017-06-22,46,72.0,,0.72,33.12
2017-06-23,44,72.0,,0.72,31.68
2017-06-24,49,72.0,,0.72,35.28
2017-06-25,54,72.0,,0.72,38.879999999999995
2017-06-26,54,72.0,,0.72,38.879999999999995
2017-06-27,87,72.0,,0.72,62.64
2017-06-28,69,72.0,,0.72,49.68
2017-06-29,51,72.0,,0.72,36.72
2017-06-30,48,72.0,,0.72,34.56
2017-07-01,40,74.0,False,0.74,29.6
2017-07-02,53,74.0,,0.74,39.22
2017-07-03,53,74.0,,0.74,39.22
2017-07-04,64,74.0,,0.74,47.36
2017-07-05,58,74.0,,0.74,42.92
2017-07-06,47,74.0,,0.74,34.78
2017-07-07,42,74.0,,0.74,31.08
2017-07-08,54,74.0,,0.74,39.96
2017-07-09,67,74.0,,0.74,49.58
2017-07-10,100,74.0,,0.74,74.0
2017-07-11,66,74.0,,0.74,48.839999999999996
2017-07-12,53,74.0,,0.74,39.22
2017-07-13,43,74.0,,0.74,31.82
2017-07-14,45,74.0,,0.74,33.3
2017-07-15,45,74.0,,0.74,33.3
2017-07-16,50,74.0,,0.74,37.0
2017-07-17,47,74.0,,0.74,34.78
2017-07-18,69,74.0,,0.74,51.06
2017-07-19,53,74.0,,0.74,39.22
2017-07-20,45,74.0,,0.74,33.3
2017-07-21,40,74.0,,0.74,29.6
2017-07-22,42,74.0,,0.74,31.08
2017-07-23,62,74.0,,0.74,45.88
2017-07-24,91,74.0,,0.74,67.34
2017-07-25,62,74.0,,0.74,45.88
2017-07-26,52,74.0,,0.74,38.48
2017-07-27,43,74.0,,0.74,31.82
2017-07-28,41,74.0,,0.74,30.34
2017-07-29,42,74.0,,0.74,31.08
2017-07-30,45,74.0,,0.74,33.3
2017-07-31,43,74.0,,0.74,31.82
2017-08-01,53,70.0,False,0.7,37.099999999999994
2017-08-02,50,70.0,,0.7,35.0
2017-08-03,40,70.0,,0.7,28.0
2017-08-04,40,70.0,,0.7,28.0
2017-08-05,43,70.0,,0.7,30.099999999999998
2017-08-06,44,70.0,,0.7,30.799999999999997
2017-08-07,42,70.0,,0.7,29.4
2017-08-08,51,70.0,,0.7,35.699999999999996
2017-08-09,47,70.0,,0.7,32.9
2017-08-10,38,70.0,,0.7,26.599999999999998
2017-08-11,36,70.0,,0.7,25.2
2017-08-12,40,70.0,,0.7,28.0
2017-08-13,46,70.0,,0.7,32.199999999999996
2017-08-14,46,70.0,,0.7,32.199999999999996
2017-08-15,58,70.0,,0.7,40.599999999999994
2017-08-16,50,70.0,,0.7,35.0
2017-08-17,42,70.0,,0.7,29.4
2017-08-18,39,70.0,,0.7,27.299999999999997
2017-08-19,48,70.0,,0.7,33.599999999999994
2017-08-20,79,70.0,,0.7,55.3
2017-08-21,100,70.0,,0.7,70.0
2017-08-22,63,70.0,,0.7,44.099999999999994
2017-08-23,53,70.0,,0.7,37.099999999999994
2017-08-24,42,70.0,,0.7,29.4
2017-08-25,38,70.0,,0.7,26.599999999999998
2017-08-26,41,70.0,,0.7,28.7
2017-08-27,43,70.0,,0.7,30.099999999999998
2017-08-28,38,70.0,,0.7,26.599999999999998
2017-08-29,51,70.0,,0.7,35.699999999999996
2017-08-30,44,70.0,,0.7,30.799999999999997
2017-08-31,35,70.0,,0.7,24.5
2017-09-01,37,59.0,False,0.59,21.83
2017-09-02,41,59.0,,0.59,24.189999999999998
2017-09-03,47,59.0,,0.59,27.729999999999997
2017-09-04,46,59.0,,0.59,27.139999999999997
2017-09-05,57,59.0,,0.59,33.629999999999995
2017-09-06,49,59.0,,0.59,28.91
2017-09-07,36,59.0,,0.59,21.24
2017-09-08,35,59.0,,0.59,20.65
2017-09-09,39,59.0,,0.59,23.009999999999998
2017-09-10,41,59.0,,0.59,24.189999999999998
2017-09-11,37,59.0,,0.59,21.83
2017-09-12,52,59.0,,0.59,30.68
2017-09-13,48,59.0,,0.59,28.32
2017-09-14,39,59.0,,0.59,23.009999999999998
2017-09-15,37,59.0,,0.59,21.83
2017-09-16,41,59.0,,0.59,24.189999999999998
2017-09-17,45,59.0,,0.59,26.549999999999997
2017-09-18,44,59.0,,0.59,25.959999999999997
2017-09-19,57,59.0,,0.59,33.629999999999995
2017-09-20,48,59.0,,0.59,28.32
2017-09-21,39,59.0,,0.59,23.009999999999998
2017-09-22,37,59.0,,0.59,21.83
2017-09-23,45,59.0,,0.59,26.549999999999997
2017-09-24,64,59.0,,0.59,37.76
2017-09-25,100,59.0,,0.59,59.0
2017-09-26,61,59.0,,0.59,35.989999999999995
2017-09-27,47,59.0,,0.59,27.729999999999997
2017-09-28,39,59.0,,0.59,23.009999999999998
2017-09-29,35,59.0,,0.59,20.65
2017-09-30,42,59.0,,0.59,24.779999999999998
2017-10-01,46,72.0,False,0.72,33.12
2017-10-02,39,72.0,,0.72,28.08
2017-10-03,55,72.0,,0.72,39.6
2017-10-04,46,72.0,,0.72,33.12
2017-10-05,39,72.0,,0.72,28.08
2017-10-06,36,72.0,,0.72,25.919999999999998
2017-10-07,43,72.0,,0.72,30.959999999999997
2017-10-08,56,72.0,,0.72,40.32
2017-10-09,84,72.0,,0.72,60.48
2017-10-10,64,72.0,,0.72,46.08
2017-10-11,54,72.0,,0.72,38.879999999999995
2017-10-12,43,72.0,,0.72,30.959999999999997
2017-10-13,50,72.0,,0.72,36.0
2017-10-14,54,72.0,,0.72,38.879999999999995
2017-10-15,53,72.0,,0.72,38.16
2017-10-16,49,72.0,,0.72,35.28
2017-10-17,69,72.0,,0.72,49.68
2017-10-18,54,72.0,,0.72,38.879999999999995
2017-10-19,48,72.0,,0.72,34.56
2017-10-20,51,72.0,,0.72,36.72
2017-10-21,63,72.0,,0.72,45.36
2017-10-22,73,72.0,,0.72,52.559999999999995
2017-10-23,100,72.0,,0.72,72.0
2017-10-24,66,72.0,,0.72,47.519999999999996
2017-10-25,53,72.0,,0.72,38.16
2017-10-26,42,72.0,,0.72,30.24
2017-10-27,40,72.0,,0.72,28.799999999999997
2017-10-28,47,72.0,,0.72,33.839999999999996
2017-10-29,58,72.0,,0.72,41.76
2017-10-30,49,72.0,,0.72,35.28
2017-10-31,61,72.0,,0.72,43.92
2017-11-01,44,70.0,False,0.7,30.799999999999997
2017-11-02,35,70.0,,0.7,24.5
2017-11-03,36,70.0,,0.7,25.2
2017-11-04,43,70.0,,0.7,30.099999999999998
2017-11-05,43,70.0,,0.7,30.099999999999998
2017-11-06,41,70.0,,0.7,28.7
2017-11-07,52,70.0,,0.7,36.4
2017-11-08,49,70.0,,0.7,34.3
2017-11-09,39,70.0,,0.7,27.299999999999997
2017-11-10,38,70.0,,0.7,26.599999999999998
2017-11-11,44,70.0,,0.7,30.799999999999997
2017-11-12,42,70.0,,0.7,29.4
2017-11-13,40,70.0,,0.7,28.0
2017-11-14,55,70.0,,0.7,38.5
2017-11-15,50,70.0,,0.7,35.0
2017-11-16,40,70.0,,0.7,28.0
2017-11-17,37,70.0,,0.7,25.9
2017-11-18,45,70.0,,0.7,31.499999999999996
2017-11-19,62,70.0,,0.7,43.4
2017-11-20,100,70.0,,0.7,70.0
2017-11-21,73,70.0,,0.7,51.099999999999994
2017-11-22,58,70.0,,0.7,40.599999999999994
2017-11-23,49,70.0,,0.7,34.3
2017-11-24,47,70.0,,0.7,32.9
2017-11-25,47,70.0,,0.7,32.9
2017-11-26,49,70.0,,0.7,34.3
2017-11-27,39,70.0,,0.7,27.299999999999997
2017-11-28,53,70.0,,0.7,37.099999999999994
2017-11-29,44,70.0,,0.7,30.799999999999997
2017-11-30,35,70.0,,0.7,24.5
2017-12-01,52,65.0,False,0.65,33.800000000000004
2017-12-02,61,65.0,,0.65,39.65
2017-12-03,63,65.0,,0.65,40.95
2017-12-04,53,65.0,,0.65,34.45
2017-12-05,79,65.0,,0.65,51.35
2017-12-06,66,65.0,,0.65,42.9
2017-12-07,57,65.0,,0.65,37.050000000000004
2017-12-08,53,65.0,,0.65,34.45
2017-12-09,61,65.0,,0.65,39.65
2017-12-10,67,65.0,,0.65,43.550000000000004
2017-12-11,59,65.0,,0.65,38.35
2017-12-12,82,65.0,,0.65,53.300000000000004
2017-12-13,66,65.0,,0.65,42.9
2017-12-14,61,65.0,,0.65,39.65
2017-12-15,59,65.0,,0.65,38.35
2017-12-16,63,65.0,,0.65,40.95
2017-12-17,73,65.0,,0.65,47.45
2017-12-18,97,65.0,,0.65,63.050000000000004
2017-12-19,84,65.0,,0.65,54.6
2017-12-20,78,65.0,,0.65,50.7
2017-12-21,61,65.0,,0.65,39.65
2017-12-22,65,65.0,,0.65,42.25
2017-12-23,62,65.0,,0.65,40.300000000000004
