date,IP_unscaled,IP_monthly,isPartial,scale,IP
2016-08-05,94,92.0,,0.92,86.48
2016-08-06,70,92.0,,0.92,64.4
2016-08-07,62,92.0,,0.92,57.04
2016-08-08,85,92.0,,0.92,78.2
2016-08-09,94,92.0,,0.92,86.48
2016-08-10,94,92.0,,0.92,86.48
2016-08-11,94,92.0,,0.92,86.48
2016-08-12,87,92.0,,0.92,80.04
2016-08-13,69,92.0,,0.92,63.480000000000004
2016-08-14,69,92.0,,0.92,63.480000000000004
2016-08-15,89,92.0,,0.92,81.88000000000001
2016-08-16,87,92.0,,0.92,80.04
2016-08-17,90,92.0,,0.92,82.8
2016-08-18,86,92.0,,0.92,79.12
2016-08-19,88,92.0,,0.92,80.96000000000001
2016-08-20,68,92.0,,0.92,62.56
2016-08-21,73,92.0,,0.92,67.16
2016-08-22,94,92.0,,0.92,86.48
2016-08-23,93,92.0,,0.92,85.56
2016-08-24,91,92.0,,0.92,83.72
2016-08-25,95,92.0,,0.92,87.4
2016-08-26,93,92.0,,0.92,85.56
2016-08-27,73,92.0,,0.92,67.16
2016-08-28,69,92.0,,0.92,63.480000000000004
2016-08-29,82,92.0,,0.92,75.44
2016-08-30,88,92.0,,0.92,80.96000000000001
2016-08-31,86,92.0,,0.92,79.12
2016-09-01,92,87.0,False,0.87,80.04
2016-09-02,90,87.0,,0.87,78.3
2016-09-03,77,87.0,,0.87,66.99
2016-09-04,72,87.0,,0.87,62.64
2016-09-05,77,87.0,,0.87,66.99
2016-09-06,90,87.0,,0.87,78.3
2016-09-07,96,87.0,,0.87,83.52
2016-09-08,100,87.0,,0.87,87.0
2016-09-09,90,87.0,,0.87,78.3
2016-09-10,74,87.0,,0.87,64.38
2016-09-11,69,87.0,,0.87,60.03
2016-09-12,92,87.0,,0.87,80.04
2016-09-13,97,87.0,,0.87,84.39
2016-09-14,100,87.0,,0.87,87.0
2016-09-15,96,87.0,,0.87,83.52
2016-09-16,90,87.0,,0.87,78.3
2016-09-17,75,87.0,,0.87,65.25
2016-09-18,74,87.0,,0.87,64.38
2016-09-19,91,87.0,,0.87,79.17
2016-09-20,96,87.0,,0.87,83.52
2016-09-21,96,87.0,,0.87,83.52
2016-09-22,99,87.0,,0.87,86.13
2016-09-23,89,87.0,,0.87,77.42999999999999
2016-09-24,78,87.0,,0.87,67.86
2016-09-25,76,87.0,,0.87,66.12
2016-09-26,88,87.0,,0.87,76.56
2016-09-27,91,87.0,,0.87,79.17
2016-09-28,93,87.0,,0.87,80.91
2016-09-29,95,87.0,,0.87,82.65
2016-09-30,93,87.0,,0.87,80.91
2016-10-01,73,86.0,False,0.86,62.78
2016-10-02,75,86.0,,0.86,64.5
2016-10-03,87,86.0,,0.86,74.82
2016-10-04,94,86.0,,0.86,80.84
2016-10-05,89,86.0,,0.86,76.53999999999999
2016-10-06,94,86.0,,0.86,80.84
2016-10-07,83,86.0,,0.86,71.38
2016-10-08,74,86.0,,0.86,63.64
2016-10-09,69,86.0,,0.86,59.339999999999996
2016-10-10,89,86.0,,0.86,76.53999999999999
2016-10-11,99,86.0,,0.86,85.14
2016-10-12,93,86.0,,0.86,79.98
2016-10-13,96,86.0,,0.86,82.56
2016-10-14,89,86.0,,0.86,76.53999999999999
2016-10-15,76,86.0,,0.86,65.36
2016-10-16,69,86.0,,0.86,59.339999999999996
2016-10-17,94,86.0,,0.86,80.84
2016-10-18,92,86.0,,0.86,79.12
2016-10-19,95,86.0,,0.86,81.7
2016-10-20,90,86.0,,0.86,77.4
2016-10-21,99,86.0,,0.86,85.14
2016-10-22,78,86.0,,0.86,67.08
2016-10-23,78,86.0,,0.86,67.08
2016-10-24,100,86.0,,0.86,86.0
2016-10-25,95,86.0,,0.86,81.7
2016-10-26,100,86.0,,0.86,86.0
2016-10-27,97,86.0,,0.86,83.42
2016-10-28,94,86.0,,0.86,80.84
2016-10-29,75,86.0,,0.86,64.5
2016-10-30,74,86.0,,0.86,63.64
2016-10-31,88,86.0,,0.86,75.67999999999999
2016-11-01,90,87.0,False,0.87,78.3
2016-11-02,94,87.0,,0.87,81.78
2016-11-03,93,87.0,,0.87,80.91
2016-11-04,89,87.0,,0.87,77.42999999999999
2016-11-05,71,87.0,,0.87,61.77
2016-11-06,65,87.0,,0.87,56.55
2016-11-07,92,87.0,,0.87,80.04
2016-11-08,89,87.0,,0.87,77.42999999999999
2016-11-09,65,87.0,,0.87,56.55
2016-11-10,92,87.0,,0.87,80.04
2016-11-11,88,87.0,,0.87,76.56
2016-11-12,72,87.0,,0.87,62.64
2016-11-13,71,87.0,,0.87,61.77
2016-11-14,93,87.0,,0.87,80.91
2016-11-15,98,87.0,,0.87,85.26
2016-11-16,89,87.0,,0.87,77.42999999999999
2016-11-17,96,87.0,,0.87,83.52
2016-11-18,94,87.0,,0.87,81.78
2016-11-19,76,87.0,,0.87,66.12
2016-11-20,76,87.0,,0.87,66.12
2016-11-21,92,87.0,,0.87,80.04
2016-11-22,99,87.0,,0.87,86.13
2016-11-23,93,87.0,,0.87,80.91
2016-11-24,71,87.0,,0.87,61.77
2016-11-25,74,87.0,,0.87,64.38
2016-11-26,69,87.0,,0.87,60.03
2016-11-27,72,87.0,,0.87,62.64
2016-11-28,87,87.0,,0.87,75.69
2016-11-29,93,87.0,,0.87,80.91
2016-11-30,100,87.0,,0.87,87.0
2016-12-01,82,96.0,False,0.96,78.72
2016-12-02,79,96.0,,0.96,75.84
2016-12-03,73,96.0,,0.96,70.08
2016-12-04,69,96.0,,0.96,66.24
2016-12-05,81,96.0,,0.96,77.75999999999999
2016-12-06,94,96.0,,0.96,90.24
2016-12-07,100,96.0,,0.96,96.0
2016-12-08,94,96.0,,0.96,90.24
2016-12-09,92,96.0,,0.96,88.32
2016-12-10,77,96.0,,0.96,73.92
2016-12-11,79,96.0,,0.96,75.84
2016-12-12,86,96.0,,0.96,82.56
2016-12-13,91,96.0,,0.96,87.36
2016-12-14,95,96.0,,0.96,91.2
2016-12-15,91,96.0,,0.96,87.36
2016-12-16,88,96.0,,0.96,84.47999999999999
2016-12-17,83,96.0,,0.96,79.67999999999999
2016-12-18,78,96.0,,0.96,74.88
2016-12-19,92,96.0,,0.96,88.32
2016-12-20,94,96.0,,0.96,90.24
2016-12-21,98,96.0,,0.96,94.08
2016-12-22,96,96.0,,0.96,92.16
2016-12-23,82,96.0,,0.96,78.72
2016-12-24,66,96.0,,0.96,63.36
2016-12-25,66,96.0,,0.96,63.36
2016-12-26,74,96.0,,0.96,71.03999999999999
2016-12-27,79,96.0,,0.96,75.84
2016-12-28,89,96.0,,0.96,85.44
2016-12-29,87,96.0,,0.96,83.52
2016-12-30,80,96.0,,0.96,76.8
2016-12-31,67,96.0,,0.96,64.32
2017-01-01,68,93.0,False,0.93,63.24
2017-01-02,77,93.0,,0.93,71.61
2017-01-03,94,93.0,,0.93,87.42
2017-01-04,94,93.0,,0.93,87.42
2017-01-05,94,93.0,,0.93,87.42
2017-01-06,88,93.0,,0.93,81.84
2017-01-07,78,93.0,,0.93,72.54
2017-01-08,73,93.0,,0.93,67.89
2017-01-09,89,93.0,,0.93,82.77000000000001
2017-01-10,95,93.0,,0.93,88.35000000000001
2017-01-11,93,93.0,,0.93,86.49000000000001
2017-01-12,92,93.0,,0.93,85.56
2017-01-13,90,93.0,,0.93,83.7
2017-01-14,80,93.0,,0.93,74.4
2017-01-15,70,93.0,,0.93,65.10000000000001
2017-01-16,96,93.0,,0.93,89.28
2017-01-17,95,93.0,,0.93,88.35000000000001
2017-01-18,96,93.0,,0.93,89.28
2017-01-19,100,93.0,,0.93,93.0
2017-01-20,90,93.0,,0.93,83.7
2017-01-21,76,93.0,,0.93,70.68
2017-01-22,77,93.0,,0.93,71.61
2017-01-23,92,93.0,,0.93,85.56
2017-01-24,100,93.0,,0.93,93.0
2017-01-25,98,93.0,,0.93,91.14
2017-01-26,91,93.0,,0.93,84.63000000000001
2017-01-27,89,93.0,,0.93,82.77000000000001
2017-01-28,76,93.0,,0.93,70.68
2017-01-29,78,93.0,,0.93,72.54
2017-01-30,85,93.0,,0.93,79.05
2017-01-31,95,93.0,,0.93,88.35000000000001
2017-02-01,96,88.0,False,0.88,84.48
2017-02-02,99,88.0,,0.88,87.12
2017-02-03,97,88.0,,0.88,85.36
2017-02-04,83,88.0,,0.88,73.04
2017-02-05,82,88.0,,0.88,72.16
2017-02-06,85,88.0,,0.88,74.8
2017-02-07,100,88.0,,0.88,88.0
2017-02-08,98,88.0,,0.88,86.24
2017-02-09,97,88.0,,0.88,85.36
2017-02-10,96,88.0,,0.88,84.48
2017-02-11,82,88.0,,0.88,72.16
2017-02-12,86,88.0,,0.88,75.68
2017-02-13,94,88.0,,0.88,82.72
2017-02-14,94,88.0,,0.88,82.72
2017-02-15,96,88.0,,0.88,84.48
2017-02-16,97,88.0,,0.88,85.36
2017-02-17,98,88.0,,0.88,86.24
2017-02-18,81,88.0,,0.88,71.28
2017-02-19,72,88.0,,0.88,63.36
2017-02-20,84,88.0,,0.88,73.92
2017-02-21,94,88.0,,0.88,82.72
2017-02-22,92,88.0,,0.88,80.96
2017-02-23,95,88.0,,0.88,83.6
2017-02-24,94,88.0,,0.88,82.72
2017-02-25,81,88.0,,0.88,71.28
2017-02-26,76,88.0,,0.88,66.88
2017-02-27,92,88.0,,0.88,80.96
2017-02-28,93,88.0,,0.88,81.84
2017-03-01,89,91.0,False,0.91,80.99000000000001
2017-03-02,96,91.0,,0.91,87.36
2017-03-03,93,91.0,,0.91,84.63000000000001
2017-03-04,77,91.0,,0.91,70.07000000000001
2017-03-05,74,91.0,,0.91,67.34
2017-03-06,89,91.0,,0.91,80.99000000000001
2017-03-07,88,91.0,,0.91,80.08
2017-03-08,94,91.0,,0.91,85.54
2017-03-09,92,91.0,,0.91,83.72
2017-03-10,88,91.0,,0.91,80.08
2017-03-11,73,91.0,,0.91,66.43
2017-03-12,71,91.0,,0.91,64.61
2017-03-13,87,91.0,,0.91,79.17
2017-03-14,93,91.0,,0.91,84.63000000000001
2017-03-15,96,91.0,,0.91,87.36
2017-03-16,92,91.0,,0.91,83.72
2017-03-17,88,91.0,,0.91,80.08
2017-03-18,74,91.0,,0.91,67.34
2017-03-19,69,91.0,,0.91,62.79
2017-03-20,94,91.0,,0.91,85.54
2017-03-21,97,91.0,,0.91,88.27
2017-03-22,93,91.0,,0.91,84.63000000000001
2017-03-23,92,91.0,,0.91,83.72
2017-03-24,90,91.0,,0.91,81.9
2017-03-25,67,91.0,,0.91,60.97
2017-03-26,72,91.0,,0.91,65.52
2017-03-27,90,91.0,,0.91,81.9
2017-03-28,95,91.0,,0.91,86.45
2017-03-29,91,91.0,,0.91,82.81
2017-03-30,100,91.0,,0.91,91.0
2017-03-31,87,91.0,,0.91,79.17
2017-04-01,71,87.0,False,0.87,61.77
2017-04-02,76,87.0,,0.87,66.12
2017-04-03,90,87.0,,0.87,78.3
2017-04-04,100,87.0,,0.87,87.0
2017-04-05,97,87.0,,0.87,84.39
2017-04-06,98,87.0,,0.87,85.26
2017-04-07,93,87.0,,0.87,80.91
2017-04-08,78,87.0,,0.87,67.86
2017-04-09,72,87.0,,0.87,62.64
2017-04-10,89,87.0,,0.87,77.42999999999999
2017-04-11,93,87.0,,0.87,80.91
2017-04-12,94,87.0,,0.87,81.78
2017-04-13,90,87.0,,0.87,78.3
2017-04-14,85,87.0,,0.87,73.95
2017-04-15,69,87.0,,0.87,60.03
2017-04-16,66,87.0,,0.87,57.42
2017-04-17,90,87.0,,0.87,78.3
2017-04-18,89,87.0,,0.87,77.42999999999999
2017-04-19,92,87.0,,0.87,80.04
2017-04-20,94,87.0,,0.87,81.78
2017-04-21,88,87.0,,0.87,76.56
2017-04-22,68,87.0,,0.87,59.16
2017-04-23,68,87.0,,0.87,59.16
2017-04-24,88,87.0,,0.87,76.56
2017-04-25,91,87.0,,0.87,79.17
2017-04-26,90,87.0,,0.87,78.3
2017-04-27,93,87.0,,0.87,80.91
2017-04-28,87,87.0,,0.87,75.69
2017-04-29,68,87.0,,0.87,59.16
2017-04-30,70,87.0,,0.87,60.9
2017-05-01,87,88.0,False,0.88,76.56
2017-05-02,97,88.0,,0.88,85.36
2017-05-03,90,88.0,,0.88,79.2
2017-05-04,94,88.0,,0.88,82.72
2017-05-05,100,88.0,,0.88,88.0
2017-05-06,85,88.0,,0.88,74.8
2017-05-07,89,88.0,,0.88,78.32000000000001
2017-05-08,91,88.0,,0.88,80.08
2017-05-09,98,88.0,,0.88,86.24
2017-05-10,92,88.0,,0.88,80.96
2017-05-11,92,88.0,,0.88,80.96
2017-05-12,92,88.0,,0.88,80.96
2017-05-13,69,88.0,,0.88,60.72
2017-05-14,66,88.0,,0.88,58.08
2017-05-15,87,88.0,,0.88,76.56
2017-05-16,91,88.0,,0.88,80.08
2017-05-17,85,88.0,,0.88,74.8
2017-05-18,88,88.0,,0.88,77.44
2017-05-19,84,88.0,,0.88,73.92
2017-05-20,67,88.0,,0.88,58.96
2017-05-21,64,88.0,,0.88,56.32
2017-05-22,85,88.0,,0.88,74.8
2017-05-23,91,88.0,,0.88,80.08
2017-05-24,85,88.0,,0.88,74.8
2017-05-25,96,88.0,,0.88,84.48
2017-05-26,88,88.0,,0.88,77.44
2017-05-27,67,88.0,,0.88,58.96
2017-05-28,67,88.0,,0.88,58.96
2017-05-29,70,88.0,,0.88,61.6
2017-05-30,84,88.0,,0.88,73.92
2017-05-31,86,88.0,,0.88,75.68
2017-06-01,90,91.0,False,0.91,81.9
2017-06-02,86,91.0,,0.91,78.26
2017-06-03,69,91.0,,0.91,62.79
2017-06-04,68,91.0,,0.91,61.88
2017-06-05,89,91.0,,0.91,80.99000000000001
2017-06-06,93,91.0,,0.91,84.63000000000001
2017-06-07,95,91.0,,0.91,86.45
2017-06-08,90,91.0,,0.91,81.9
2017-06-09,93,91.0,,0.91,84.63000000000001
2017-06-10,68,91.0,,0.91,61.88
2017-06-11,67,91.0,,0.91,60.97
2017-06-12,93,91.0,,0.91,84.63000000000001
2017-06-13,87,91.0,,0.91,79.17
2017-06-14,95,91.0,,0.91,86.45
2017-06-15,96,91.0,,0.91,87.36
2017-06-16,89,91.0,,0.91,80.99000000000001
2017-06-17,67,91.0,,0.91,60.97
2017-06-18,68,91.0,,0.91,61.88
2017-06-19,95,91.0,,0.91,86.45
2017-06-20,95,91.0,,0.91,86.45
2017-06-21,97,91.0,,0.91,88.27
2017-06-22,94,91.0,,0.91,85.54
2017-06-23,86,91.0,,0.91,78.26
2017-06-24,72,91.0,,0.91,65.52
2017-06-25,68,91.0,,0.91,61.88
2017-06-26,96,91.0,,0.91,87.36
2017-06-27,98,91.0,,0.91,89.18
2017-06-28,100,91.0,,0.91,91.0
2017-06-29,97,91.0,,0.91,88.27
2017-06-30,87,91.0,,0.91,79.17
2017-07-01,64,89.0,False,0.89,56.96
2017-07-02,66,89.0,,0.89,58.74
2017-07-03,81,89.0,,0.89,72.09
2017-07-04,69,89.0,,0.89,61.410000000000004
2017-07-05,86,89.0,,0.89,76.54
2017-07-06,94,89.0,,0.89,83.66
2017-07-07,89,89.0,,0.89,79.21000000000001
2017-07-08,68,89.0,,0.89,60.52
2017-07-09,68,89.0,,0.89,60.52
2017-07-10,89,89.0,,0.89,79.21000000000001
2017-07-11,94,89.0,,0.89,83.66
2017-07-12,94,89.0,,0.89,83.66
2017-07-13,93,89.0,,0.89,82.77
2017-07-14,87,89.0,,0.89,77.43
2017-07-15,66,89.0,,0.89,58.74
2017-07-16,70,89.0,,0.89,62.300000000000004
2017-07-17,90,89.0,,0.89,80.1
2017-07-18,100,89.0,,0.89,89.0
2017-07-19,97,89.0,,0.89,86.33
2017-07-20,94,89.0,,0.89,83.66
2017-07-21,90,89.0,,0.89,80.1
2017-07-22,68,89.0,,0.89,60.52
2017-07-23,65,89.0,,0.89,57.85
2017-07-24,90,89.0,,0.89,80.1
2017-07-25,95,89.0,,0.89,84.55
2017-07-26,95,89.0,,0.89,84.55
2017-07-27,96,89.0,,0.89,85.44
2017-07-28,89,89.0,,0.89,79.21000000000001
2017-07-29,67,89.0,,0.89,59.63
2017-07-30,67,89.0,,0.89,59.63
2017-07-31,92,89.0,,0.89,81.88
2017-08-01,100,91.0,False,0.91,91.0
2017-08-02,96,91.0,,0.91,87.36
2017-08-03,97,91.0,,0.91,88.27
2017-08-04,86,91.0,,0.91,78.26
2017-08-05,68,91.0,,0.91,61.88
2017-08-06,64,91.0,,0.91,58.24
2017-08-07,94,91.0,,0.91,85.54
2017-08-08,94,91.0,,0.91,85.54
2017-08-09,97,91.0,,0.91,88.27
2017-08-10,98,91.0,,0.91,89.18
2017-08-11,87,91.0,,0.91,79.17
2017-08-12,68,91.0,,0.91,61.88
2017-08-13,69,91.0,,0.91,62.79
2017-08-14,95,91.0,,0.91,86.45
2017-08-15,95,91.0,,0.91,86.45
2017-08-16,94,91.0,,0.91,85.54
2017-08-17,91,91.0,,0.91,82.81
2017-08-18,81,91.0,,0.91,73.71000000000001
2017-08-19,66,91.0,,0.91,60.06
2017-08-20,62,91.0,,0.91,56.42
2017-08-21,80,91.0,,0.91,72.8
2017-08-22,89,91.0,,0.91,80.99000000000001
2017-08-23,93,91.0,,0.91,84.63000000000001
2017-08-24,90,91.0,,0.91,81.9
2017-08-25,85,91.0,,0.91,77.35000000000001
2017-08-26,66,91.0,,0.91,60.06
2017-08-27,63,91.0,,0.91,57.330000000000005
2017-08-28,87,91.0,,0.91,79.17
2017-08-29,90,91.0,,0.91,81.9
2017-08-30,91,91.0,,0.91,82.81
2017-08-31,93,91.0,,0.91,84.63000000000001
2017-09-01,90,85.0,False,0.85,76.5
2017-09-02,74,85.0,,0.85,62.9
2017-09-03,72,85.0,,0.85,61.199999999999996
2017-09-04,69,85.0,,0.85,58.65
2017-09-05,92,85.0,,0.85,78.2
2017-09-06,96,85.0,,0.85,81.6
2017-09-07,95,85.0,,0.85,80.75
2017-09-08,91,85.0,,0.85,77.35
2017-09-09,69,85.0,,0.85,58.65
2017-09-10,65,85.0,,0.85,55.25
2017-09-11,93,85.0,,0.85,79.05
2017-09-12,96,85.0,,0.85,81.6
2017-09-13,92,85.0,,0.85,78.2
2017-09-14,97,85.0,,0.85,82.45
2017-09-15,95,85.0,,0.85,80.75
2017-09-16,69,85.0,,0.85,58.65
2017-09-17,69,85.0,,0.85,58.65
2017-09-18,89,85.0,,0.85,75.64999999999999
2017-09-19,98,85.0,,0.85,83.3
2017-09-20,90,85.0,,0.85,76.5
2017-09-21,94,85.0,,0.85,79.89999999999999
2017-09-22,94,85.0,,0.85,79.89999999999999
2017-09-23,72,85.0,,0.85,61.199999999999996
2017-09-24,67,85.0,,0.85,56.949999999999996
2017-09-25,96,85.0,,0.85,81.6
2017-09-26,99,85.0,,0.85,84.14999999999999
2017-09-27,100,85.0,,0.85,85.0
2017-09-28,94,85.0,,0.85,79.89999999999999
2017-09-29,93,85.0,,0.85,79.05
2017-09-30,71,85.0,,0.85,60.35
2017-10-01,66,85.0,False,0.85,56.1
2017-10-02,80,85.0,,0.85,68.0
2017-10-03,94,85.0,,0.85,79.89999999999999
2017-10-04,90,85.0,,0.85,76.5
2017-10-05,97,85.0,,0.85,82.45
2017-10-06,88,85.0,,0.85,74.8
2017-10-07,67,85.0,,0.85,56.949999999999996
2017-10-08,71,85.0,,0.85,60.35
2017-10-09,88,85.0,,0.85,74.8
2017-10-10,100,85.0,,0.85,85.0
2017-10-11,97,85.0,,0.85,82.45
2017-10-12,99,85.0,,0.85,84.14999999999999
2017-10-13,95,85.0,,0.85,80.75
2017-10-14,66,85.0,,0.85,56.1
2017-10-15,68,85.0,,0.85,57.8
2017-10-16,92,85.0,,0.85,78.2
2017-10-17,94,85.0,,0.85,79.89999999999999
2017-10-18,92,85.0,,0.85,78.2
2017-10-19,99,85.0,,0.85,84.14999999999999
2017-10-20,85,85.0,,0.85,72.25
2017-10-21,69,85.0,,0.85,58.65
2017-10-22,68,85.0,,0.85,57.8
2017-10-23,84,85.0,,0.85,71.39999999999999
2017-10-24,92,85.0,,0.85,78.2
2017-10-25,94,85.0,,0.85,79.89999999999999
2017-10-26,90,85.0,,0.85,76.5
2017-10-27,83,85.0,,0.85,70.55
2017-10-28,68,85.0,,0.85,57.8
2017-10-29,67,85.0,,0.85,56.949999999999996
2017-10-30,85,85.0,,0.85,72.25
2017-10-31,94,85.0,,0.85,79.89999999999999
2017-11-01,100,82.0,False,0.82,82.0
2017-11-02,95,82.0,,0.82,77.89999999999999
2017-11-03,91,82.0,,0.82,74.61999999999999
2017-11-04,69,82.0,,0.82,56.58
2017-11-05,72,82.0,,0.82,59.04
2017-11-06,98,82.0,,0.82,80.36
2017-11-07,99,82.0,,0.82,81.17999999999999
2017-11-08,98,82.0,,0.82,80.36
2017-11-09,98,82.0,,0.82,80.36
2017-11-10,91,82.0,,0.82,74.61999999999999
2017-11-11,75,82.0,,0.82,61.49999999999999
2017-11-12,71,82.0,,0.82,58.22
2017-11-13,98,82.0,,0.82,80.36
2017-11-14,96,82.0,,0.82,78.72
2017-11-15,95,82.0,,0.82,77.89999999999999
2017-11-16,100,82.0,,0.82,82.0
2017-11-17,88,82.0,,0.82,72.16
2017-11-18,70,82.0,,0.82,57.4
2017-11-19,76,82.0,,0.82,62.31999999999999
2017-11-20,89,82.0,,0.82,72.97999999999999
2017-11-21,95,82.0,,0.82,77.89999999999999
2017-11-22,95,82.0,,0.82,77.89999999999999
2017-11-23,71,82.0,,0.82,58.22
2017-11-24,70,82.0,,0.82,57.4
2017-11-25,68,82.0,,0.82,55.76
2017-11-26,70,82.0,,0.82,57.4
2017-11-27,87,82.0,,0.82,71.33999999999999
2017-11-28,96,82.0,,0.82,78.72
2017-11-29,95,82.0,,0.82,77.89999999999999
2017-11-30,99,82.0,,0.82,81.17999999999999
2017-12-01,90,79.0,False,0.79,71.10000000000001
2017-12-02,76,79.0,,0.79,60.040000000000006
2017-12-03,68,79.0,,0.79,53.72
2017-12-04,90,79.0,,0.79,71.10000000000001
2017-12-05,97,79.0,,0.79,76.63000000000001
2017-12-06,98,79.0,,0.79,77.42
2017-12-07,97,79.0,,0.79,76.63000000000001
2017-12-08,90,79.0,,0.79,71.10000000000001
2017-12-09,75,79.0,,0.79,59.25
2017-12-10,66,79.0,,0.79,52.14
2017-12-11,87,79.0,,0.79,68.73
2017-12-12,98,79.0,,0.79,77.42
2017-12-13,96,79.0,,0.79,75.84
2017-12-14,94,79.0,,0.79,74.26
2017-12-15,87,79.0,,0.79,68.73
2017-12-16,80,79.0,,0.79,63.2
2017-12-17,68,79.0,,0.79,53.72
2017-12-18,89,79.0,,0.79,70.31
2017-12-19,100,79.0,,0.79,79.0
2017-12-20,95,79.0,,0.79,75.05
2017-12-21,95,79.0,,0.79,75.05
2017-12-22,82,79.0,,0.79,64.78
2017-12-23,67,79.0,,0.79,52.93
2017-12-24,67,79.0,,0.79,52.93
2017-12-25,76,79.0,,0.79,60.040000000000006
2017-12-26,90,79.0,,0.79,71.10000000000001
2017-12-27,86,79.0,,0.79,67.94
2017-12-28,90,79.0,,0.79,71.10000000000001
2017-12-29,87,79.0,,0.79,68.73
2017-12-30,71,79.0,,0.79,56.09
2017-12-31,70,79.0,,0.79,55.300000000000004
2018-01-01,64,82.0,False,0.82,52.48
2018-01-02,90,82.0,,0.82,73.8
