date,JD_unscaled,JD_monthly,isPartial,scale,JD
2016-06-23,86,72.0,,0.72,61.919999999999995
2016-06-24,90,72.0,,0.72,64.8
2016-06-25,73,72.0,,0.72,52.559999999999995
2016-06-26,72,72.0,,0.72,51.839999999999996
2016-06-27,80,72.0,,0.72,57.599999999999994
2016-06-28,85,72.0,,0.72,61.199999999999996
2016-06-29,75,72.0,,0.72,54.0
2016-06-30,81,72.0,,0.72,58.32
2016-07-01,76,70.0,False,0.7,53.199999999999996
2016-07-02,73,70.0,,0.7,51.099999999999994
2016-07-03,65,70.0,,0.7,45.5
2016-07-04,65,70.0,,0.7,45.5
2016-07-05,68,70.0,,0.7,47.599999999999994
2016-07-06,80,70.0,,0.7,56.0
2016-07-07,90,70.0,,0.7,62.99999999999999
2016-07-08,91,70.0,,0.7,63.699999999999996
2016-07-09,74,70.0,,0.7,51.8
2016-07-10,66,70.0,,0.7,46.199999999999996
2016-07-11,85,70.0,,0.7,59.49999999999999
2016-07-12,84,70.0,,0.7,58.8
2016-07-13,78,70.0,,0.7,54.599999999999994
2016-07-14,74,70.0,,0.7,51.8
2016-07-15,69,70.0,,0.7,48.3
2016-07-16,68,70.0,,0.7,47.599999999999994
2016-07-17,66,70.0,,0.7,46.199999999999996
2016-07-18,72,70.0,,0.7,50.4
2016-07-19,79,70.0,,0.7,55.3
2016-07-20,88,70.0,,0.7,61.599999999999994
2016-07-21,82,70.0,,0.7,57.4
2016-07-22,90,70.0,,0.7,62.99999999999999
2016-07-23,78,70.0,,0.7,54.599999999999994
2016-07-24,78,70.0,,0.7,54.599999999999994
2016-07-25,77,70.0,,0.7,53.9
2016-07-26,88,70.0,,0.7,61.599999999999994
2016-07-27,90,70.0,,0.7,62.99999999999999
2016-07-28,100,70.0,,0.7,70.0
2016-07-29,92,70.0,,0.7,64.39999999999999
2016-07-30,86,70.0,,0.7,60.199999999999996
2016-07-31,80,70.0,,0.7,56.0
2016-08-01,80,76.0,False,0.76,60.8
2016-08-02,78,76.0,,0.76,59.28
2016-08-03,85,76.0,,0.76,64.6
2016-08-04,100,76.0,,0.76,76.0
2016-08-05,86,76.0,,0.76,65.36
2016-08-06,82,76.0,,0.76,62.32
2016-08-07,67,76.0,,0.76,50.92
2016-08-08,74,76.0,,0.76,56.24
2016-08-09,70,76.0,,0.76,53.2
2016-08-10,76,76.0,,0.76,57.76
2016-08-11,83,76.0,,0.76,63.08
2016-08-12,92,76.0,,0.76,69.92
2016-08-13,78,76.0,,0.76,59.28
2016-08-14,74,76.0,,0.76,56.24
2016-08-15,73,76.0,,0.76,55.480000000000004
2016-08-16,81,76.0,,0.76,61.56
2016-08-17,74,76.0,,0.76,56.24
2016-08-18,79,76.0,,0.76,60.04
2016-08-19,74,76.0,,0.76,56.24
2016-08-20,74,76.0,,0.76,56.24
2016-08-21,66,76.0,,0.76,50.160000000000004
2016-08-22,74,76.0,,0.76,56.24
2016-08-23,86,76.0,,0.76,65.36
2016-08-24,75,76.0,,0.76,57.0
2016-08-25,79,76.0,,0.76,60.04
2016-08-26,83,76.0,,0.76,63.08
2016-08-27,64,76.0,,0.76,48.64
2016-08-28,70,76.0,,0.76,53.2
2016-08-29,79,76.0,,0.76,60.04
2016-08-30,82,76.0,,0.76,62.32
2016-08-31,82,76.0,,0.76,62.32
2016-09-01,97,68.0,False,0.68,65.96000000000001
2016-09-02,89,68.0,,0.68,60.52
2016-09-03,86,68.0,,0.68,58.480000000000004
2016-09-04,77,68.0,,0.68,52.36000000000001
2016-09-05,76,68.0,,0.68,51.68000000000001
2016-09-06,86,68.0,,0.68,58.480000000000004
2016-09-07,78,68.0,,0.68,53.040000000000006
2016-09-08,79,68.0,,0.68,53.720000000000006
2016-09-09,87,68.0,,0.68,59.160000000000004
2016-09-10,91,68.0,,0.68,61.88
2016-09-11,71,68.0,,0.68,48.28
2016-09-12,100,68.0,,0.68,68.0
2016-09-13,85,68.0,,0.68,57.800000000000004
2016-09-14,82,68.0,,0.68,55.760000000000005
2016-09-15,93,68.0,,0.68,63.24
2016-09-16,86,68.0,,0.68,58.480000000000004
2016-09-17,84,68.0,,0.68,57.120000000000005
2016-09-18,65,68.0,,0.68,44.2
2016-09-19,91,68.0,,0.68,61.88
2016-09-20,89,68.0,,0.68,60.52
2016-09-21,87,68.0,,0.68,59.160000000000004
2016-09-22,90,68.0,,0.68,61.2
2016-09-23,95,68.0,,0.68,64.60000000000001
2016-09-24,79,68.0,,0.68,53.720000000000006
2016-09-25,69,68.0,,0.68,46.92
2016-09-26,82,68.0,,0.68,55.760000000000005
2016-09-27,86,68.0,,0.68,58.480000000000004
2016-09-28,83,68.0,,0.68,56.440000000000005
2016-09-29,83,68.0,,0.68,56.440000000000005
2016-09-30,81,68.0,,0.68,55.080000000000005
2016-10-01,74,66.0,False,0.66,48.84
2016-10-02,62,66.0,,0.66,40.92
2016-10-03,75,66.0,,0.66,49.5
2016-10-04,85,66.0,,0.66,56.1
2016-10-05,70,66.0,,0.66,46.2
2016-10-06,77,66.0,,0.66,50.82
2016-10-07,76,66.0,,0.66,50.160000000000004
2016-10-08,71,66.0,,0.66,46.86
2016-10-09,63,66.0,,0.66,41.580000000000005
2016-10-10,79,66.0,,0.66,52.14
2016-10-11,75,66.0,,0.66,49.5
2016-10-12,78,66.0,,0.66,51.480000000000004
2016-10-13,84,66.0,,0.66,55.440000000000005
2016-10-14,82,66.0,,0.66,54.120000000000005
2016-10-15,81,66.0,,0.66,53.46
2016-10-16,66,66.0,,0.66,43.56
2016-10-17,79,66.0,,0.66,52.14
2016-10-18,78,66.0,,0.66,51.480000000000004
2016-10-19,100,66.0,,0.66,66.0
2016-10-20,90,66.0,,0.66,59.400000000000006
2016-10-21,73,66.0,,0.66,48.18
2016-10-22,77,66.0,,0.66,50.82
2016-10-23,60,66.0,,0.66,39.6
2016-10-24,87,66.0,,0.66,57.42
2016-10-25,80,66.0,,0.66,52.800000000000004
2016-10-26,76,66.0,,0.66,50.160000000000004
2016-10-27,86,66.0,,0.66,56.760000000000005
2016-10-28,84,66.0,,0.66,55.440000000000005
2016-10-29,72,66.0,,0.66,47.52
2016-10-30,64,66.0,,0.66,42.24
2016-10-31,73,66.0,,0.66,48.18
2016-11-01,93,64.0,False,0.64,59.52
2016-11-02,100,64.0,,0.64,64.0
2016-11-03,87,64.0,,0.64,55.68
2016-11-04,89,64.0,,0.64,56.96
2016-11-05,77,64.0,,0.64,49.28
2016-11-06,69,64.0,,0.64,44.160000000000004
2016-11-07,87,64.0,,0.64,55.68
2016-11-08,81,64.0,,0.64,51.84
2016-11-09,59,64.0,,0.64,37.76
2016-11-10,88,64.0,,0.64,56.32
2016-11-11,85,64.0,,0.64,54.4
2016-11-12,68,64.0,,0.64,43.52
2016-11-13,81,64.0,,0.64,51.84
2016-11-14,82,64.0,,0.64,52.480000000000004
2016-11-15,95,64.0,,0.64,60.800000000000004
2016-11-16,98,64.0,,0.64,62.72
2016-11-17,97,64.0,,0.64,62.08
2016-11-18,96,64.0,,0.64,61.44
2016-11-19,79,64.0,,0.64,50.56
2016-11-20,60,64.0,,0.64,38.4
2016-11-21,90,64.0,,0.64,57.6
2016-11-22,76,64.0,,0.64,48.64
2016-11-23,89,64.0,,0.64,56.96
2016-11-24,55,64.0,,0.64,35.2
2016-11-25,78,64.0,,0.64,49.92
2016-11-26,67,64.0,,0.64,42.88
2016-11-27,69,64.0,,0.64,44.160000000000004
2016-11-28,81,64.0,,0.64,51.84
2016-11-29,88,64.0,,0.64,56.32
2016-11-30,98,64.0,,0.64,62.72
2016-12-01,48,71.0,False,0.71,34.08
2016-12-02,51,71.0,,0.71,36.21
2016-12-03,66,71.0,,0.71,46.86
2016-12-04,45,71.0,,0.71,31.95
2016-12-05,44,71.0,,0.71,31.24
2016-12-06,48,71.0,,0.71,34.08
2016-12-07,53,71.0,,0.71,37.629999999999995
2016-12-08,47,71.0,,0.71,33.37
2016-12-09,47,71.0,,0.71,33.37
2016-12-10,48,71.0,,0.71,34.08
2016-12-11,47,71.0,,0.71,33.37
2016-12-12,41,71.0,,0.71,29.11
2016-12-13,49,71.0,,0.71,34.79
2016-12-14,46,71.0,,0.71,32.66
2016-12-15,44,71.0,,0.71,31.24
2016-12-16,46,71.0,,0.71,32.66
2016-12-17,43,71.0,,0.71,30.529999999999998
2016-12-18,37,71.0,,0.71,26.27
2016-12-19,49,71.0,,0.71,34.79
2016-12-20,48,71.0,,0.71,34.08
2016-12-21,48,71.0,,0.71,34.08
2016-12-22,50,71.0,,0.71,35.5
2016-12-23,75,71.0,,0.71,53.25
2016-12-24,100,71.0,,0.71,71.0
2016-12-25,54,71.0,,0.71,38.339999999999996
2016-12-26,46,71.0,,0.71,32.66
2016-12-27,47,71.0,,0.71,33.37
2016-12-28,55,71.0,,0.71,39.05
2016-12-29,44,71.0,,0.71,31.24
2016-12-30,51,71.0,,0.71,36.21
2016-12-31,49,71.0,,0.71,34.79
2017-01-01,70,68.0,False,0.68,47.6
2017-01-02,78,68.0,,0.68,53.040000000000006
2017-01-03,69,68.0,,0.68,46.92
2017-01-04,72,68.0,,0.68,48.96
2017-01-05,82,68.0,,0.68,55.760000000000005
2017-01-06,77,68.0,,0.68,52.36000000000001
2017-01-07,70,68.0,,0.68,47.6
2017-01-08,89,68.0,,0.68,60.52
2017-01-09,81,68.0,,0.68,55.080000000000005
2017-01-10,87,68.0,,0.68,59.160000000000004
2017-01-11,79,68.0,,0.68,53.720000000000006
2017-01-12,73,68.0,,0.68,49.64
2017-01-13,76,68.0,,0.68,51.68000000000001
2017-01-14,74,68.0,,0.68,50.32
2017-01-15,69,68.0,,0.68,46.92
2017-01-16,100,68.0,,0.68,68.0
2017-01-17,82,68.0,,0.68,55.760000000000005
2017-01-18,81,68.0,,0.68,55.080000000000005
2017-01-19,72,68.0,,0.68,48.96
2017-01-20,79,68.0,,0.68,53.720000000000006
2017-01-21,66,68.0,,0.68,44.88
2017-01-22,67,68.0,,0.68,45.56
2017-01-23,79,68.0,,0.68,53.720000000000006
2017-01-24,85,68.0,,0.68,57.800000000000004
2017-01-25,80,68.0,,0.68,54.400000000000006
2017-01-26,80,68.0,,0.68,54.400000000000006
2017-01-27,80,68.0,,0.68,54.400000000000006
2017-01-28,76,68.0,,0.68,51.68000000000001
2017-01-29,68,68.0,,0.68,46.24
2017-01-30,74,68.0,,0.68,50.32
2017-01-31,78,68.0,,0.68,53.040000000000006
2017-02-01,70,70.0,False,0.7,49.0
2017-02-02,66,70.0,,0.7,46.199999999999996
2017-02-03,76,70.0,,0.7,53.199999999999996
2017-02-04,68,70.0,,0.7,47.599999999999994
2017-02-05,73,70.0,,0.7,51.099999999999994
2017-02-06,69,70.0,,0.7,48.3
2017-02-07,77,70.0,,0.7,53.9
2017-02-08,82,70.0,,0.7,57.4
2017-02-09,75,70.0,,0.7,52.5
2017-02-10,79,70.0,,0.7,55.3
2017-02-11,75,70.0,,0.7,52.5
2017-02-12,63,70.0,,0.7,44.099999999999994
2017-02-13,75,70.0,,0.7,52.5
2017-02-14,66,70.0,,0.7,46.199999999999996
2017-02-15,82,70.0,,0.7,57.4
2017-02-16,83,70.0,,0.7,58.099999999999994
2017-02-17,74,70.0,,0.7,51.8
2017-02-18,68,70.0,,0.7,47.599999999999994
2017-02-19,72,70.0,,0.7,50.4
2017-02-20,77,70.0,,0.7,53.9
2017-02-21,81,70.0,,0.7,56.699999999999996
2017-02-22,80,70.0,,0.7,56.0
2017-02-23,84,70.0,,0.7,58.8
2017-02-24,88,70.0,,0.7,61.599999999999994
2017-02-25,80,70.0,,0.7,56.0
2017-02-26,74,70.0,,0.7,51.8
2017-02-27,73,70.0,,0.7,51.099999999999994
2017-02-28,100,70.0,,0.7,70.0
2017-03-01,94,77.0,False,0.77,72.38
2017-03-02,91,77.0,,0.77,70.07000000000001
2017-03-03,93,77.0,,0.77,71.61
2017-03-04,77,77.0,,0.77,59.29
2017-03-05,72,77.0,,0.77,55.44
2017-03-06,89,77.0,,0.77,68.53
2017-03-07,77,77.0,,0.77,59.29
2017-03-08,88,77.0,,0.77,67.76
2017-03-09,84,77.0,,0.77,64.68
2017-03-10,78,77.0,,0.77,60.06
2017-03-11,72,77.0,,0.77,55.44
2017-03-12,74,77.0,,0.77,56.980000000000004
2017-03-13,73,77.0,,0.77,56.21
2017-03-14,78,77.0,,0.77,60.06
2017-03-15,79,77.0,,0.77,60.83
2017-03-16,95,77.0,,0.77,73.15
2017-03-17,100,77.0,,0.77,77.0
2017-03-18,80,77.0,,0.77,61.6
2017-03-19,76,77.0,,0.77,58.52
2017-03-20,99,77.0,,0.77,76.23
2017-03-21,94,77.0,,0.77,72.38
2017-03-22,94,77.0,,0.77,72.38
2017-03-23,92,77.0,,0.77,70.84
2017-03-24,88,77.0,,0.77,67.76
2017-03-25,80,77.0,,0.77,61.6
2017-03-26,77,77.0,,0.77,59.29
2017-03-27,89,77.0,,0.77,68.53
2017-03-28,90,77.0,,0.77,69.3
2017-03-29,80,77.0,,0.77,61.6
2017-03-30,84,77.0,,0.77,64.68
2017-03-31,88,77.0,,0.77,67.76
2017-04-01,75,73.0,False,0.73,54.75
2017-04-02,81,73.0,,0.73,59.129999999999995
2017-04-03,96,73.0,,0.73,70.08
2017-04-04,95,73.0,,0.73,69.35
2017-04-05,93,73.0,,0.73,67.89
2017-04-06,97,73.0,,0.73,70.81
2017-04-07,87,73.0,,0.73,63.51
2017-04-08,93,73.0,,0.73,67.89
2017-04-09,78,73.0,,0.73,56.94
2017-04-10,96,73.0,,0.73,70.08
2017-04-11,85,73.0,,0.73,62.05
2017-04-12,89,73.0,,0.73,64.97
2017-04-13,93,73.0,,0.73,67.89
2017-04-14,90,73.0,,0.73,65.7
2017-04-15,88,73.0,,0.73,64.24
2017-04-16,76,73.0,,0.73,55.48
2017-04-17,96,73.0,,0.73,70.08
2017-04-18,82,73.0,,0.73,59.86
2017-04-19,94,73.0,,0.73,68.62
2017-04-20,88,73.0,,0.73,64.24
2017-04-21,98,73.0,,0.73,71.53999999999999
2017-04-22,81,73.0,,0.73,59.129999999999995
2017-04-23,82,73.0,,0.73,59.86
2017-04-24,90,73.0,,0.73,65.7
2017-04-25,93,73.0,,0.73,67.89
2017-04-26,96,73.0,,0.73,70.08
2017-04-27,100,73.0,,0.73,73.0
2017-04-28,95,73.0,,0.73,69.35
2017-04-29,83,73.0,,0.73,60.589999999999996
2017-04-30,88,73.0,,0.73,64.24
2017-05-01,93,76.0,False,0.76,70.68
2017-05-02,82,76.0,,0.76,62.32
2017-05-03,92,76.0,,0.76,69.92
2017-05-04,77,76.0,,0.76,58.52
2017-05-05,89,76.0,,0.76,67.64
2017-05-06,75,76.0,,0.76,57.0
2017-05-07,78,76.0,,0.76,59.28
2017-05-08,93,76.0,,0.76,70.68
2017-05-09,87,76.0,,0.76,66.12
2017-05-10,94,76.0,,0.76,71.44
2017-05-11,90,76.0,,0.76,68.4
2017-05-12,88,76.0,,0.76,66.88
2017-05-13,87,76.0,,0.76,66.12
2017-05-14,80,76.0,,0.76,60.8
2017-05-15,92,76.0,,0.76,69.92
2017-05-16,91,76.0,,0.76,69.16
2017-05-17,99,76.0,,0.76,75.24
2017-05-18,98,76.0,,0.76,74.48
2017-05-19,87,76.0,,0.76,66.12
2017-05-20,76,76.0,,0.76,57.76
2017-05-21,84,76.0,,0.76,63.84
2017-05-22,95,76.0,,0.76,72.2
2017-05-23,100,76.0,,0.76,76.0
2017-05-24,94,76.0,,0.76,71.44
2017-05-25,93,76.0,,0.76,70.68
2017-05-26,85,76.0,,0.76,64.6
2017-05-27,85,76.0,,0.76,64.6
2017-05-28,68,76.0,,0.76,51.68
2017-05-29,79,76.0,,0.76,60.04
2017-05-30,95,76.0,,0.76,72.2
2017-05-31,88,76.0,,0.76,66.88
2017-06-01,81,79.0,False,0.79,63.99
2017-06-02,77,79.0,,0.79,60.830000000000005
2017-06-03,81,79.0,,0.79,63.99
2017-06-04,66,79.0,,0.79,52.14
2017-06-05,78,79.0,,0.79,61.620000000000005
2017-06-06,86,79.0,,0.79,67.94
2017-06-07,75,79.0,,0.79,59.25
2017-06-08,85,79.0,,0.79,67.15
2017-06-09,82,79.0,,0.79,64.78
2017-06-10,69,79.0,,0.79,54.510000000000005
2017-06-11,66,79.0,,0.79,52.14
2017-06-12,85,79.0,,0.79,67.15
2017-06-13,81,79.0,,0.79,63.99
2017-06-14,72,79.0,,0.79,56.88
2017-06-15,76,79.0,,0.79,60.040000000000006
2017-06-16,85,79.0,,0.79,67.15
2017-06-17,70,79.0,,0.79,55.300000000000004
2017-06-18,63,79.0,,0.79,49.77
2017-06-19,81,79.0,,0.79,63.99
2017-06-20,81,79.0,,0.79,63.99
2017-06-21,75,79.0,,0.79,59.25
2017-06-22,78,79.0,,0.79,61.620000000000005
2017-06-23,100,79.0,,0.79,79.0
2017-06-24,75,79.0,,0.79,59.25
2017-06-25,91,79.0,,0.79,71.89
2017-06-26,97,79.0,,0.79,76.63000000000001
2017-06-27,88,79.0,,0.79,69.52000000000001
2017-06-28,76,79.0,,0.79,60.040000000000006
2017-06-29,87,79.0,,0.79,68.73
2017-06-30,75,79.0,,0.79,59.25
2017-07-01,36,83.0,False,0.83,29.88
2017-07-02,36,83.0,,0.83,29.88
2017-07-03,46,83.0,,0.83,38.18
2017-07-04,37,83.0,,0.83,30.709999999999997
2017-07-05,44,83.0,,0.83,36.519999999999996
2017-07-06,49,83.0,,0.83,40.669999999999995
2017-07-07,50,83.0,,0.83,41.5
2017-07-08,40,83.0,,0.83,33.199999999999996
2017-07-09,36,83.0,,0.83,29.88
2017-07-10,53,83.0,,0.83,43.989999999999995
2017-07-11,50,83.0,,0.83,41.5
2017-07-12,47,83.0,,0.83,39.01
2017-07-13,46,83.0,,0.83,38.18
2017-07-14,46,83.0,,0.83,38.18
2017-07-15,44,83.0,,0.83,36.519999999999996
2017-07-16,40,83.0,,0.83,33.199999999999996
2017-07-17,51,83.0,,0.83,42.33
2017-07-18,97,83.0,,0.83,80.50999999999999
2017-07-19,100,83.0,,0.83,83.0
2017-07-20,68,83.0,,0.83,56.44
2017-07-21,49,83.0,,0.83,40.669999999999995
2017-07-22,44,83.0,,0.83,36.519999999999996
2017-07-23,50,83.0,,0.83,41.5
2017-07-24,55,83.0,,0.83,45.65
2017-07-25,50,83.0,,0.83,41.5
2017-07-26,54,83.0,,0.83,44.82
2017-07-27,52,83.0,,0.83,43.16
2017-07-28,52,83.0,,0.83,43.16
2017-07-29,43,83.0,,0.83,35.69
2017-07-30,42,83.0,,0.83,34.86
2017-07-31,55,83.0,,0.83,45.65
2017-08-01,84,77.0,False,0.77,64.68
2017-08-02,76,77.0,,0.77,58.52
2017-08-03,85,77.0,,0.77,65.45
2017-08-04,79,77.0,,0.77,60.83
2017-08-05,75,77.0,,0.77,57.75
2017-08-06,73,77.0,,0.77,56.21
2017-08-07,87,77.0,,0.77,66.99
2017-08-08,85,77.0,,0.77,65.45
2017-08-09,85,77.0,,0.77,65.45
2017-08-10,82,77.0,,0.77,63.14
2017-08-11,85,77.0,,0.77,65.45
2017-08-12,71,77.0,,0.77,54.67
2017-08-13,71,77.0,,0.77,54.67
2017-08-14,100,77.0,,0.77,77.0
2017-08-15,85,77.0,,0.77,65.45
2017-08-16,75,77.0,,0.77,57.75
2017-08-17,84,77.0,,0.77,64.68
2017-08-18,89,77.0,,0.77,68.53
2017-08-19,80,77.0,,0.77,61.6
2017-08-20,63,77.0,,0.77,48.51
2017-08-21,73,77.0,,0.77,56.21
2017-08-22,82,77.0,,0.77,63.14
2017-08-23,82,77.0,,0.77,63.14
2017-08-24,84,77.0,,0.77,64.68
2017-08-25,85,77.0,,0.77,65.45
2017-08-26,67,77.0,,0.77,51.59
2017-08-27,59,77.0,,0.77,45.43
2017-08-28,82,77.0,,0.77,63.14
2017-08-29,78,77.0,,0.77,60.06
2017-08-30,87,77.0,,0.77,66.99
2017-08-31,87,77.0,,0.77,66.99
2017-09-01,66,79.0,False,0.79,52.14
2017-09-02,53,79.0,,0.79,41.870000000000005
2017-09-03,60,79.0,,0.79,47.400000000000006
2017-09-04,57,79.0,,0.79,45.03
2017-09-05,100,79.0,,0.79,79.0
2017-09-06,65,79.0,,0.79,51.35
2017-09-07,63,79.0,,0.79,49.77
2017-09-08,61,79.0,,0.79,48.190000000000005
2017-09-09,50,79.0,,0.79,39.5
2017-09-10,49,79.0,,0.79,38.71
2017-09-11,65,79.0,,0.79,51.35
2017-09-12,68,79.0,,0.79,53.72
2017-09-13,62,79.0,,0.79,48.980000000000004
2017-09-14,75,79.0,,0.79,59.25
2017-09-15,67,79.0,,0.79,52.93
2017-09-16,55,79.0,,0.79,43.45
2017-09-17,54,79.0,,0.79,42.660000000000004
2017-09-18,68,79.0,,0.79,53.72
2017-09-19,57,79.0,,0.79,45.03
2017-09-20,61,79.0,,0.79,48.190000000000005
2017-09-21,67,79.0,,0.79,52.93
2017-09-22,63,79.0,,0.79,49.77
2017-09-23,64,79.0,,0.79,50.56
2017-09-24,58,79.0,,0.79,45.82
2017-09-25,70,79.0,,0.79,55.300000000000004
2017-09-26,59,79.0,,0.79,46.61
2017-09-27,73,79.0,,0.79,57.67
2017-09-28,70,79.0,,0.79,55.300000000000004
2017-09-29,73,79.0,,0.79,57.67
2017-09-30,62,79.0,,0.79,48.980000000000004
2017-10-01,68,78.0,False,0.78,53.04
2017-10-02,100,78.0,,0.78,78.0
2017-10-03,90,78.0,,0.78,70.2
2017-10-04,98,78.0,,0.78,76.44
2017-10-05,98,78.0,,0.78,76.44
2017-10-06,82,78.0,,0.78,63.96
2017-10-07,74,78.0,,0.78,57.72
2017-10-08,85,78.0,,0.78,66.3
2017-10-09,83,78.0,,0.78,64.74000000000001
2017-10-10,76,78.0,,0.78,59.28
2017-10-11,74,78.0,,0.78,57.72
2017-10-12,76,78.0,,0.78,59.28
2017-10-13,75,78.0,,0.78,58.5
2017-10-14,65,78.0,,0.78,50.7
2017-10-15,77,78.0,,0.78,60.06
2017-10-16,83,78.0,,0.78,64.74000000000001
2017-10-17,86,78.0,,0.78,67.08
2017-10-18,78,78.0,,0.78,60.84
2017-10-19,84,78.0,,0.78,65.52
2017-10-20,80,78.0,,0.78,62.400000000000006
2017-10-21,68,78.0,,0.78,53.04
2017-10-22,60,78.0,,0.78,46.800000000000004
2017-10-23,75,78.0,,0.78,58.5
2017-10-24,72,78.0,,0.78,56.160000000000004
2017-10-25,75,78.0,,0.78,58.5
2017-10-26,78,78.0,,0.78,60.84
2017-10-27,82,78.0,,0.78,63.96
2017-10-28,72,78.0,,0.78,56.160000000000004
2017-10-29,69,78.0,,0.78,53.82
2017-10-30,77,78.0,,0.78,60.06
2017-10-31,83,78.0,,0.78,64.74000000000001
2017-11-01,77,77.0,False,0.77,59.29
2017-11-02,84,77.0,,0.77,64.68
2017-11-03,83,77.0,,0.77,63.910000000000004
2017-11-04,68,77.0,,0.77,52.36
2017-11-05,62,77.0,,0.77,47.74
2017-11-06,81,77.0,,0.77,62.370000000000005
2017-11-07,81,77.0,,0.77,62.370000000000005
2017-11-08,78,77.0,,0.77,60.06
2017-11-09,86,77.0,,0.77,66.22
2017-11-10,86,77.0,,0.77,66.22
2017-11-11,66,77.0,,0.77,50.82
2017-11-12,66,77.0,,0.77,50.82
2017-11-13,100,77.0,,0.77,77.0
2017-11-14,85,77.0,,0.77,65.45
2017-11-15,92,77.0,,0.77,70.84
2017-11-16,85,77.0,,0.77,65.45
2017-11-17,83,77.0,,0.77,63.910000000000004
2017-11-18,69,77.0,,0.77,53.13
2017-11-19,57,77.0,,0.77,43.89
2017-11-20,67,77.0,,0.77,51.59
2017-11-21,70,77.0,,0.77,53.9
2017-11-22,71,77.0,,0.77,54.67
2017-11-23,63,77.0,,0.77,48.51
2017-11-24,69,77.0,,0.77,53.13
2017-11-25,67,77.0,,0.77,51.59
2017-11-26,78,77.0,,0.77,60.06
2017-11-27,65,77.0,,0.77,50.050000000000004
2017-11-28,67,77.0,,0.77,51.59
2017-11-29,79,77.0,,0.77,60.83
2017-11-30,78,77.0,,0.77,60.06
2017-12-01,79,72.0,False,0.72,56.879999999999995
2017-12-02,65,72.0,,0.72,46.8
2017-12-03,65,72.0,,0.72,46.8
2017-12-04,81,72.0,,0.72,58.32
2017-12-05,80,72.0,,0.72,57.599999999999994
2017-12-06,84,72.0,,0.72,60.48
2017-12-07,76,72.0,,0.72,54.72
2017-12-08,83,72.0,,0.72,59.76
2017-12-09,72,72.0,,0.72,51.839999999999996
2017-12-10,69,72.0,,0.72,49.68
2017-12-11,80,72.0,,0.72,57.599999999999994
2017-12-12,73,72.0,,0.72,52.559999999999995
2017-12-13,100,72.0,,0.72,72.0
2017-12-14,96,72.0,,0.72,69.12
2017-12-15,87,72.0,,0.72,62.64
2017-12-16,72,72.0,,0.72,51.839999999999996
2017-12-17,58,72.0,,0.72,41.76
2017-12-18,90,72.0,,0.72,64.8
2017-12-19,86,72.0,,0.72,61.919999999999995
2017-12-20,86,72.0,,0.72,61.919999999999995
2017-12-21,90,72.0,,0.72,64.8
2017-12-22,78,72.0,,0.72,56.16
2017-12-23,70,72.0,,0.72,50.4
2017-12-24,62,72.0,,0.72,44.64
2017-12-25,53,72.0,,0.72,38.16
