date,MUST_unscaled,MUST_monthly,isPartial,scale,MUST
2016-10-05,87,80.0,,0.8,69.60000000000001
2016-10-06,86,80.0,,0.8,68.8
2016-10-07,77,80.0,,0.8,61.6
2016-10-08,64,80.0,,0.8,51.2
2016-10-09,69,80.0,,0.8,55.2
2016-10-10,83,80.0,,0.8,66.4
2016-10-11,84,80.0,,0.8,67.2
2016-10-12,89,80.0,,0.8,71.2
2016-10-13,88,80.0,,0.8,70.4
2016-10-14,80,80.0,,0.8,64.0
2016-10-15,58,80.0,,0.8,46.400000000000006
2016-10-16,76,80.0,,0.8,60.800000000000004
2016-10-17,89,80.0,,0.8,71.2
2016-10-18,95,80.0,,0.8,76.0
2016-10-19,87,80.0,,0.8,69.60000000000001
2016-10-20,85,80.0,,0.8,68.0
2016-10-21,82,80.0,,0.8,65.60000000000001
2016-10-22,66,80.0,,0.8,52.800000000000004
2016-10-23,68,80.0,,0.8,54.400000000000006
2016-10-24,100,80.0,,0.8,80.0
2016-10-25,91,80.0,,0.8,72.8
2016-10-26,86,80.0,,0.8,68.8
2016-10-27,90,80.0,,0.8,72.0
2016-10-28,82,80.0,,0.8,65.60000000000001
2016-10-29,64,80.0,,0.8,51.2
2016-10-30,70,80.0,,0.8,56.0
2016-10-31,95,80.0,,0.8,76.0
2016-11-01,84,79.0,False,0.79,66.36
2016-11-02,85,79.0,,0.79,67.15
2016-11-03,86,79.0,,0.79,67.94
2016-11-04,79,79.0,,0.79,62.410000000000004
2016-11-05,58,79.0,,0.79,45.82
2016-11-06,70,79.0,,0.79,55.300000000000004
2016-11-07,85,79.0,,0.79,67.15
2016-11-08,94,79.0,,0.79,74.26
2016-11-09,73,79.0,,0.79,57.67
2016-11-10,84,79.0,,0.79,66.36
2016-11-11,75,79.0,,0.79,59.25
2016-11-12,62,79.0,,0.79,48.980000000000004
2016-11-13,74,79.0,,0.79,58.46
2016-11-14,95,79.0,,0.79,75.05
2016-11-15,100,79.0,,0.79,79.0
2016-11-16,89,79.0,,0.79,70.31
2016-11-17,87,79.0,,0.79,68.73
2016-11-18,79,79.0,,0.79,62.410000000000004
2016-11-19,63,79.0,,0.79,49.77
2016-11-20,67,79.0,,0.79,52.93
2016-11-21,79,79.0,,0.79,62.410000000000004
2016-11-22,82,79.0,,0.79,64.78
2016-11-23,60,79.0,,0.79,47.400000000000006
2016-11-24,49,79.0,,0.79,38.71
2016-11-25,50,79.0,,0.79,39.5
2016-11-26,58,79.0,,0.79,45.82
2016-11-27,67,79.0,,0.79,52.93
2016-11-28,85,79.0,,0.79,67.15
2016-11-29,94,79.0,,0.79,74.26
2016-11-30,93,79.0,,0.79,73.47
2016-12-01,88,73.0,False,0.73,64.24
2016-12-02,84,73.0,,0.73,61.32
2016-12-03,63,73.0,,0.73,45.99
2016-12-04,74,73.0,,0.73,54.019999999999996
2016-12-05,100,73.0,,0.73,73.0
2016-12-06,97,73.0,,0.73,70.81
2016-12-07,93,73.0,,0.73,67.89
2016-12-08,96,73.0,,0.73,70.08
2016-12-09,83,73.0,,0.73,60.589999999999996
2016-12-10,66,73.0,,0.73,48.18
2016-12-11,78,73.0,,0.73,56.94
2016-12-12,87,73.0,,0.73,63.51
2016-12-13,91,73.0,,0.73,66.42999999999999
2016-12-14,90,73.0,,0.73,65.7
2016-12-15,82,73.0,,0.73,59.86
2016-12-16,75,73.0,,0.73,54.75
2016-12-17,58,73.0,,0.73,42.339999999999996
2016-12-18,62,73.0,,0.73,45.26
2016-12-19,67,73.0,,0.73,48.91
2016-12-20,74,73.0,,0.73,54.019999999999996
2016-12-21,67,73.0,,0.73,48.91
2016-12-22,59,73.0,,0.73,43.07
2016-12-23,57,73.0,,0.73,41.61
2016-12-24,48,73.0,,0.73,35.04
2016-12-25,50,73.0,,0.73,36.5
2016-12-26,56,73.0,,0.73,40.879999999999995
2016-12-27,58,73.0,,0.73,42.339999999999996
2016-12-28,56,73.0,,0.73,40.879999999999995
2016-12-29,63,73.0,,0.73,45.99
2016-12-30,59,73.0,,0.73,43.07
2016-12-31,55,73.0,,0.73,40.15
2017-01-01,51,76.0,False,0.76,38.76
2017-01-02,59,76.0,,0.76,44.84
2017-01-03,66,76.0,,0.76,50.160000000000004
2017-01-04,63,76.0,,0.76,47.88
2017-01-05,73,76.0,,0.76,55.480000000000004
2017-01-06,68,76.0,,0.76,51.68
2017-01-07,58,76.0,,0.76,44.08
2017-01-08,60,76.0,,0.76,45.6
2017-01-09,71,76.0,,0.76,53.96
2017-01-10,77,76.0,,0.76,58.52
2017-01-11,81,76.0,,0.76,61.56
2017-01-12,81,76.0,,0.76,61.56
2017-01-13,77,76.0,,0.76,58.52
2017-01-14,61,76.0,,0.76,46.36
2017-01-15,71,76.0,,0.76,53.96
2017-01-16,74,76.0,,0.76,56.24
2017-01-17,82,76.0,,0.76,62.32
2017-01-18,80,76.0,,0.76,60.8
2017-01-19,84,76.0,,0.76,63.84
2017-01-20,78,76.0,,0.76,59.28
2017-01-21,65,76.0,,0.76,49.4
2017-01-22,76,76.0,,0.76,57.76
2017-01-23,87,76.0,,0.76,66.12
2017-01-24,94,76.0,,0.76,71.44
2017-01-25,88,76.0,,0.76,66.88
2017-01-26,91,76.0,,0.76,69.16
2017-01-27,82,76.0,,0.76,62.32
2017-01-28,73,76.0,,0.76,55.480000000000004
2017-01-29,85,76.0,,0.76,64.6
2017-01-30,99,76.0,,0.76,75.24
2017-01-31,100,76.0,,0.76,76.0
2017-02-01,100,87.0,False,0.87,87.0
2017-02-02,97,87.0,,0.87,84.39
2017-02-03,91,87.0,,0.87,79.17
2017-02-04,69,87.0,,0.87,60.03
2017-02-05,81,87.0,,0.87,70.47
2017-02-06,86,87.0,,0.87,74.82
2017-02-07,97,87.0,,0.87,84.39
2017-02-08,94,87.0,,0.87,81.78
2017-02-09,96,87.0,,0.87,83.52
2017-02-10,85,87.0,,0.87,73.95
2017-02-11,72,87.0,,0.87,62.64
2017-02-12,80,87.0,,0.87,69.6
2017-02-13,97,87.0,,0.87,84.39
2017-02-14,93,87.0,,0.87,80.91
2017-02-15,86,87.0,,0.87,74.82
2017-02-16,95,87.0,,0.87,82.65
2017-02-17,84,87.0,,0.87,73.08
2017-02-18,68,87.0,,0.87,59.16
2017-02-19,79,87.0,,0.87,68.73
2017-02-20,90,87.0,,0.87,78.3
2017-02-21,92,87.0,,0.87,80.04
2017-02-22,94,87.0,,0.87,81.78
2017-02-23,92,87.0,,0.87,80.04
2017-02-24,87,87.0,,0.87,75.69
2017-02-25,75,87.0,,0.87,65.25
2017-02-26,81,87.0,,0.87,70.47
2017-02-27,100,87.0,,0.87,87.0
2017-02-28,97,87.0,,0.87,84.39
2017-03-01,100,84.0,False,0.84,84.0
2017-03-02,100,84.0,,0.84,84.0
2017-03-03,93,84.0,,0.84,78.11999999999999
2017-03-04,70,84.0,,0.84,58.8
2017-03-05,85,84.0,,0.84,71.39999999999999
2017-03-06,99,84.0,,0.84,83.16
2017-03-07,95,84.0,,0.84,79.8
2017-03-08,98,84.0,,0.84,82.32
2017-03-09,94,84.0,,0.84,78.96
2017-03-10,92,84.0,,0.84,77.28
2017-03-11,71,84.0,,0.84,59.64
2017-03-12,84,84.0,,0.84,70.56
2017-03-13,94,84.0,,0.84,78.96
2017-03-14,89,84.0,,0.84,74.75999999999999
2017-03-15,86,84.0,,0.84,72.24
2017-03-16,81,84.0,,0.84,68.03999999999999
2017-03-17,78,84.0,,0.84,65.52
2017-03-18,63,84.0,,0.84,52.919999999999995
2017-03-19,85,84.0,,0.84,71.39999999999999
2017-03-20,89,84.0,,0.84,74.75999999999999
2017-03-21,95,84.0,,0.84,79.8
2017-03-22,90,84.0,,0.84,75.6
2017-03-23,92,84.0,,0.84,77.28
2017-03-24,87,84.0,,0.84,73.08
2017-03-25,72,84.0,,0.84,60.48
2017-03-26,78,84.0,,0.84,65.52
2017-03-27,94,84.0,,0.84,78.96
2017-03-28,94,84.0,,0.84,78.96
2017-03-29,97,84.0,,0.84,81.48
2017-03-30,93,84.0,,0.84,78.11999999999999
2017-03-31,82,84.0,,0.84,68.88
2017-04-01,65,83.0,False,0.83,53.949999999999996
2017-04-02,78,83.0,,0.83,64.74
2017-04-03,93,83.0,,0.83,77.19
2017-04-04,93,83.0,,0.83,77.19
2017-04-05,91,83.0,,0.83,75.53
2017-04-06,89,83.0,,0.83,73.86999999999999
2017-04-07,83,83.0,,0.83,68.89
2017-04-08,69,83.0,,0.83,57.269999999999996
2017-04-09,76,83.0,,0.83,63.08
2017-04-10,100,83.0,,0.83,83.0
2017-04-11,90,83.0,,0.83,74.7
2017-04-12,91,83.0,,0.83,75.53
2017-04-13,86,83.0,,0.83,71.38
2017-04-14,77,83.0,,0.83,63.91
2017-04-15,69,83.0,,0.83,57.269999999999996
2017-04-16,75,83.0,,0.83,62.25
2017-04-17,98,83.0,,0.83,81.33999999999999
2017-04-18,92,83.0,,0.83,76.36
2017-04-19,93,83.0,,0.83,77.19
2017-04-20,89,83.0,,0.83,73.86999999999999
2017-04-21,86,83.0,,0.83,71.38
2017-04-22,69,83.0,,0.83,57.269999999999996
2017-04-23,78,83.0,,0.83,64.74
2017-04-24,98,83.0,,0.83,81.33999999999999
2017-04-25,98,83.0,,0.83,81.33999999999999
2017-04-26,91,83.0,,0.83,75.53
2017-04-27,97,83.0,,0.83,80.50999999999999
2017-04-28,83,83.0,,0.83,68.89
2017-04-29,68,83.0,,0.83,56.44
2017-04-30,83,83.0,,0.83,68.89
2017-05-01,100,77.0,False,0.77,77.0
2017-05-02,100,77.0,,0.77,77.0
2017-05-03,95,77.0,,0.77,73.15
2017-05-04,95,77.0,,0.77,73.15
2017-05-05,88,77.0,,0.77,67.76
2017-05-06,71,77.0,,0.77,54.67
2017-05-07,78,77.0,,0.77,60.06
2017-05-08,96,77.0,,0.77,73.92
2017-05-09,93,77.0,,0.77,71.61
2017-05-10,88,77.0,,0.77,67.76
2017-05-11,92,77.0,,0.77,70.84
2017-05-12,82,77.0,,0.77,63.14
2017-05-13,68,77.0,,0.77,52.36
2017-05-14,73,77.0,,0.77,56.21
2017-05-15,86,77.0,,0.77,66.22
2017-05-16,81,77.0,,0.77,62.370000000000005
2017-05-17,81,77.0,,0.77,62.370000000000005
2017-05-18,80,77.0,,0.77,61.6
2017-05-19,71,77.0,,0.77,54.67
2017-05-20,63,77.0,,0.77,48.51
2017-05-21,65,77.0,,0.77,50.050000000000004
2017-05-22,84,77.0,,0.77,64.68
2017-05-23,77,77.0,,0.77,59.29
2017-05-24,79,77.0,,0.77,60.83
2017-05-25,82,77.0,,0.77,63.14
2017-05-26,78,77.0,,0.77,60.06
2017-05-27,60,77.0,,0.77,46.2
2017-05-28,67,77.0,,0.77,51.59
2017-05-29,71,77.0,,0.77,54.67
2017-05-30,74,77.0,,0.77,56.980000000000004
2017-05-31,81,77.0,,0.77,62.370000000000005
2017-06-01,92,66.0,False,0.66,60.720000000000006
2017-06-02,89,66.0,,0.66,58.74
2017-06-03,81,66.0,,0.66,53.46
2017-06-04,86,66.0,,0.66,56.760000000000005
2017-06-05,84,66.0,,0.66,55.440000000000005
2017-06-06,89,66.0,,0.66,58.74
2017-06-07,100,66.0,,0.66,66.0
2017-06-08,89,66.0,,0.66,58.74
2017-06-09,90,66.0,,0.66,59.400000000000006
2017-06-10,86,66.0,,0.66,56.760000000000005
2017-06-11,84,66.0,,0.66,55.440000000000005
2017-06-12,96,66.0,,0.66,63.36
2017-06-13,93,66.0,,0.66,61.38
2017-06-14,96,66.0,,0.66,63.36
2017-06-15,100,66.0,,0.66,66.0
2017-06-16,90,66.0,,0.66,59.400000000000006
2017-06-17,79,66.0,,0.66,52.14
2017-06-18,80,66.0,,0.66,52.800000000000004
2017-06-19,97,66.0,,0.66,64.02
2017-06-20,91,66.0,,0.66,60.06
2017-06-21,95,66.0,,0.66,62.7
2017-06-22,98,66.0,,0.66,64.68
2017-06-23,88,66.0,,0.66,58.080000000000005
2017-06-24,84,66.0,,0.66,55.440000000000005
2017-06-25,90,66.0,,0.66,59.400000000000006
2017-06-26,88,66.0,,0.66,58.080000000000005
2017-06-27,97,66.0,,0.66,64.02
2017-06-28,91,66.0,,0.66,60.06
2017-06-29,89,66.0,,0.66,58.74
2017-06-30,90,66.0,,0.66,59.400000000000006
2017-07-01,95,65.0,False,0.65,61.75
2017-07-02,90,65.0,,0.65,58.5
2017-07-03,95,65.0,,0.65,61.75
2017-07-04,82,65.0,,0.65,53.300000000000004
2017-07-05,92,65.0,,0.65,59.800000000000004
2017-07-06,96,65.0,,0.65,62.400000000000006
2017-07-07,92,65.0,,0.65,59.800000000000004
2017-07-08,87,65.0,,0.65,56.550000000000004
2017-07-09,91,65.0,,0.65,59.15
2017-07-10,91,65.0,,0.65,59.15
2017-07-11,93,65.0,,0.65,60.45
2017-07-12,88,65.0,,0.65,57.2
2017-07-13,91,65.0,,0.65,59.15
2017-07-14,88,65.0,,0.65,57.2
2017-07-15,86,65.0,,0.65,55.9
2017-07-16,92,65.0,,0.65,59.800000000000004
2017-07-17,94,65.0,,0.65,61.1
2017-07-18,97,65.0,,0.65,63.050000000000004
2017-07-19,95,65.0,,0.65,61.75
2017-07-20,100,65.0,,0.65,65.0
2017-07-21,91,65.0,,0.65,59.15
2017-07-22,82,65.0,,0.65,53.300000000000004
2017-07-23,92,65.0,,0.65,59.800000000000004
2017-07-24,88,65.0,,0.65,57.2
2017-07-25,95,65.0,,0.65,61.75
2017-07-26,100,65.0,,0.65,65.0
2017-07-27,90,65.0,,0.65,58.5
2017-07-28,91,65.0,,0.65,59.15
2017-07-29,88,65.0,,0.65,57.2
2017-07-30,92,65.0,,0.65,59.800000000000004
2017-07-31,89,65.0,,0.65,57.85
2017-08-01,87,66.0,False,0.66,57.42
2017-08-02,92,66.0,,0.66,60.720000000000006
2017-08-03,83,66.0,,0.66,54.78
2017-08-04,79,66.0,,0.66,52.14
2017-08-05,77,66.0,,0.66,50.82
2017-08-06,76,66.0,,0.66,50.160000000000004
2017-08-07,85,66.0,,0.66,56.1
2017-08-08,86,66.0,,0.66,56.760000000000005
2017-08-09,82,66.0,,0.66,54.120000000000005
2017-08-10,83,66.0,,0.66,54.78
2017-08-11,78,66.0,,0.66,51.480000000000004
2017-08-12,71,66.0,,0.66,46.86
2017-08-13,78,66.0,,0.66,51.480000000000004
2017-08-14,78,66.0,,0.66,51.480000000000004
2017-08-15,82,66.0,,0.66,54.120000000000005
2017-08-16,91,66.0,,0.66,60.06
2017-08-17,84,66.0,,0.66,55.440000000000005
2017-08-18,79,66.0,,0.66,52.14
2017-08-19,76,66.0,,0.66,50.160000000000004
2017-08-20,77,66.0,,0.66,50.82
2017-08-21,73,66.0,,0.66,48.18
2017-08-22,92,66.0,,0.66,60.720000000000006
2017-08-23,90,66.0,,0.66,59.400000000000006
2017-08-24,89,66.0,,0.66,58.74
2017-08-25,82,66.0,,0.66,54.120000000000005
2017-08-26,68,66.0,,0.66,44.88
2017-08-27,76,66.0,,0.66,50.160000000000004
2017-08-28,90,66.0,,0.66,59.400000000000006
2017-08-29,93,66.0,,0.66,61.38
2017-08-30,100,66.0,,0.66,66.0
2017-08-31,95,66.0,,0.66,62.7
2017-09-01,74,77.0,False,0.77,56.980000000000004
2017-09-02,62,77.0,,0.77,47.74
2017-09-03,67,77.0,,0.77,51.59
2017-09-04,71,77.0,,0.77,54.67
2017-09-05,79,77.0,,0.77,60.83
2017-09-06,82,77.0,,0.77,63.14
2017-09-07,80,77.0,,0.77,61.6
2017-09-08,72,77.0,,0.77,55.44
2017-09-09,66,77.0,,0.77,50.82
2017-09-10,66,77.0,,0.77,50.82
2017-09-11,81,77.0,,0.77,62.370000000000005
2017-09-12,89,77.0,,0.77,68.53
2017-09-13,91,77.0,,0.77,70.07000000000001
2017-09-14,86,77.0,,0.77,66.22
2017-09-15,83,77.0,,0.77,63.910000000000004
2017-09-16,69,77.0,,0.77,53.13
2017-09-17,73,77.0,,0.77,56.21
2017-09-18,90,77.0,,0.77,69.3
2017-09-19,92,77.0,,0.77,70.84
2017-09-20,91,77.0,,0.77,70.07000000000001
2017-09-21,89,77.0,,0.77,68.53
2017-09-22,88,77.0,,0.77,67.76
2017-09-23,64,77.0,,0.77,49.28
2017-09-24,76,77.0,,0.77,58.52
2017-09-25,100,77.0,,0.77,77.0
2017-09-26,96,77.0,,0.77,73.92
2017-09-27,95,77.0,,0.77,73.15
2017-09-28,94,77.0,,0.77,72.38
2017-09-29,82,77.0,,0.77,63.14
2017-09-30,66,77.0,,0.77,50.82
2017-10-01,78,80.0,False,0.8,62.400000000000006
2017-10-02,100,80.0,,0.8,80.0
2017-10-03,97,80.0,,0.8,77.60000000000001
2017-10-04,92,80.0,,0.8,73.60000000000001
2017-10-05,97,80.0,,0.8,77.60000000000001
2017-10-06,84,80.0,,0.8,67.2
2017-10-07,71,80.0,,0.8,56.800000000000004
2017-10-08,73,80.0,,0.8,58.400000000000006
2017-10-09,88,80.0,,0.8,70.4
2017-10-10,95,80.0,,0.8,76.0
2017-10-11,86,80.0,,0.8,68.8
2017-10-12,94,80.0,,0.8,75.2
2017-10-13,85,80.0,,0.8,68.0
2017-10-14,66,80.0,,0.8,52.800000000000004
2017-10-15,78,80.0,,0.8,62.400000000000006
2017-10-16,99,80.0,,0.8,79.2
2017-10-17,97,80.0,,0.8,77.60000000000001
2017-10-18,98,80.0,,0.8,78.4
2017-10-19,98,80.0,,0.8,78.4
2017-10-20,85,80.0,,0.8,68.0
2017-10-21,66,80.0,,0.8,52.800000000000004
2017-10-22,72,80.0,,0.8,57.6
2017-10-23,93,80.0,,0.8,74.4
2017-10-24,96,80.0,,0.8,76.80000000000001
2017-10-25,99,80.0,,0.8,79.2
2017-10-26,92,80.0,,0.8,73.60000000000001
2017-10-27,85,80.0,,0.8,68.0
2017-10-28,63,80.0,,0.8,50.400000000000006
2017-10-29,72,80.0,,0.8,57.6
2017-10-30,97,80.0,,0.8,77.60000000000001
2017-10-31,93,80.0,,0.8,74.4
2017-11-01,94,78.0,False,0.78,73.32000000000001
2017-11-02,95,78.0,,0.78,74.10000000000001
2017-11-03,88,78.0,,0.78,68.64
2017-11-04,70,78.0,,0.78,54.6
2017-11-05,73,78.0,,0.78,56.940000000000005
2017-11-06,99,78.0,,0.78,77.22
2017-11-07,99,78.0,,0.78,77.22
2017-11-08,91,78.0,,0.78,70.98
2017-11-09,98,78.0,,0.78,76.44
2017-11-10,84,78.0,,0.78,65.52
2017-11-11,67,78.0,,0.78,52.260000000000005
2017-11-12,81,78.0,,0.78,63.18
2017-11-13,99,78.0,,0.78,77.22
2017-11-14,97,78.0,,0.78,75.66
2017-11-15,99,78.0,,0.78,77.22
2017-11-16,99,78.0,,0.78,77.22
2017-11-17,85,78.0,,0.78,66.3
2017-11-18,65,78.0,,0.78,50.7
2017-11-19,73,78.0,,0.78,56.940000000000005
2017-11-20,90,78.0,,0.78,70.2
2017-11-21,87,78.0,,0.78,67.86
2017-11-22,65,78.0,,0.78,50.7
2017-11-23,50,78.0,,0.78,39.0
2017-11-24,55,78.0,,0.78,42.9
2017-11-25,65,78.0,,0.78,50.7
2017-11-26,73,78.0,,0.78,56.940000000000005
2017-11-27,88,78.0,,0.78,68.64
2017-11-28,100,78.0,,0.78,78.0
2017-11-29,97,78.0,,0.78,75.66
2017-11-30,95,78.0,,0.78,74.10000000000001
2017-12-01,89,69.0,False,0.69,61.41
2017-12-02,65,69.0,,0.69,44.849999999999994
2017-12-03,73,69.0,,0.69,50.37
2017-12-04,98,69.0,,0.69,67.61999999999999
2017-12-05,95,69.0,,0.69,65.55
2017-12-06,100,69.0,,0.69,69.0
2017-12-07,97,69.0,,0.69,66.92999999999999
2017-12-08,87,69.0,,0.69,60.029999999999994
2017-12-09,66,69.0,,0.69,45.54
2017-12-10,70,69.0,,0.69,48.3
2017-12-11,94,69.0,,0.69,64.86
2017-12-12,96,69.0,,0.69,66.24
2017-12-13,88,69.0,,0.69,60.72
2017-12-14,91,69.0,,0.69,62.78999999999999
2017-12-15,78,69.0,,0.69,53.81999999999999
2017-12-16,59,69.0,,0.69,40.709999999999994
2017-12-17,58,69.0,,0.69,40.019999999999996
2017-12-18,72,69.0,,0.69,49.67999999999999
2017-12-19,72,69.0,,0.69,49.67999999999999
2017-12-20,68,69.0,,0.69,46.919999999999995
2017-12-21,66,69.0,,0.69,45.54
2017-12-22,62,69.0,,0.69,42.779999999999994
2017-12-23,47,69.0,,0.69,32.43
2017-12-24,50,69.0,,0.69,34.5
