date,CALL_unscaled,CALL_monthly,isPartial,scale,CALL
2016-06-25,75,76.0,,0.76,57.0
2016-06-26,67,76.0,,0.76,50.92
2016-06-27,88,76.0,,0.76,66.88
2016-06-28,95,76.0,,0.76,72.2
2016-06-29,96,76.0,,0.76,72.96000000000001
2016-06-30,95,76.0,,0.76,72.2
2016-07-01,80,74.0,False,0.74,59.2
2016-07-02,61,74.0,,0.74,45.14
2016-07-03,57,74.0,,0.74,42.18
2016-07-04,57,74.0,,0.74,42.18
2016-07-05,75,74.0,,0.74,55.5
2016-07-06,76,74.0,,0.74,56.24
2016-07-07,75,74.0,,0.74,55.5
2016-07-08,77,74.0,,0.74,56.98
2016-07-09,62,74.0,,0.74,45.88
2016-07-10,58,74.0,,0.74,42.92
2016-07-11,77,74.0,,0.74,56.98
2016-07-12,78,74.0,,0.74,57.72
2016-07-13,80,74.0,,0.74,59.2
2016-07-14,77,74.0,,0.74,56.98
2016-07-15,78,74.0,,0.74,57.72
2016-07-16,62,74.0,,0.74,45.88
2016-07-17,57,74.0,,0.74,42.18
2016-07-18,91,74.0,,0.74,67.34
2016-07-19,89,74.0,,0.74,65.86
2016-07-20,84,74.0,,0.74,62.16
2016-07-21,81,74.0,,0.74,59.94
2016-07-22,80,74.0,,0.74,59.2
2016-07-23,59,74.0,,0.74,43.66
2016-07-24,55,74.0,,0.74,40.7
2016-07-25,77,74.0,,0.74,56.98
2016-07-26,100,74.0,,0.74,74.0
2016-07-27,88,74.0,,0.74,65.12
2016-07-28,83,74.0,,0.74,61.42
2016-07-29,79,74.0,,0.74,58.46
2016-07-30,62,74.0,,0.74,45.88
2016-07-31,59,74.0,,0.74,43.66
2016-08-01,75,69.0,False,0.69,51.74999999999999
2016-08-02,76,69.0,,0.69,52.44
2016-08-03,75,69.0,,0.69,51.74999999999999
2016-08-04,76,69.0,,0.69,52.44
2016-08-05,69,69.0,,0.69,47.61
2016-08-06,54,69.0,,0.69,37.26
2016-08-07,51,69.0,,0.69,35.19
2016-08-08,63,69.0,,0.69,43.47
2016-08-09,67,69.0,,0.69,46.23
2016-08-10,65,69.0,,0.69,44.849999999999994
2016-08-11,68,69.0,,0.69,46.919999999999995
2016-08-12,67,69.0,,0.69,46.23
2016-08-13,54,69.0,,0.69,37.26
2016-08-14,50,69.0,,0.69,34.5
2016-08-15,61,69.0,,0.69,42.089999999999996
2016-08-16,66,69.0,,0.69,45.54
2016-08-17,67,69.0,,0.69,46.23
2016-08-18,61,69.0,,0.69,42.089999999999996
2016-08-19,62,69.0,,0.69,42.779999999999994
2016-08-20,54,69.0,,0.69,37.26
2016-08-21,51,69.0,,0.69,35.19
2016-08-22,60,69.0,,0.69,41.4
2016-08-23,62,69.0,,0.69,42.779999999999994
2016-08-24,69,69.0,,0.69,47.61
2016-08-25,100,69.0,,0.69,69.0
2016-08-26,90,69.0,,0.69,62.099999999999994
2016-08-27,62,69.0,,0.69,42.779999999999994
2016-08-28,57,69.0,,0.69,39.33
2016-08-29,74,69.0,,0.69,51.059999999999995
2016-08-30,76,69.0,,0.69,52.44
2016-08-31,75,69.0,,0.69,51.74999999999999
2016-09-01,97,73.0,False,0.73,70.81
2016-09-02,97,73.0,,0.73,70.81
2016-09-03,81,73.0,,0.73,59.129999999999995
2016-09-04,77,73.0,,0.73,56.21
2016-09-05,80,73.0,,0.73,58.4
2016-09-06,96,73.0,,0.73,70.08
2016-09-07,93,73.0,,0.73,67.89
2016-09-08,99,73.0,,0.73,72.27
2016-09-09,95,73.0,,0.73,69.35
2016-09-10,82,73.0,,0.73,59.86
2016-09-11,71,73.0,,0.73,51.83
2016-09-12,92,73.0,,0.73,67.16
2016-09-13,96,73.0,,0.73,70.08
2016-09-14,96,73.0,,0.73,70.08
2016-09-15,93,73.0,,0.73,67.89
2016-09-16,96,73.0,,0.73,70.08
2016-09-17,80,73.0,,0.73,58.4
2016-09-18,75,73.0,,0.73,54.75
2016-09-19,95,73.0,,0.73,69.35
2016-09-20,97,73.0,,0.73,70.81
2016-09-21,96,73.0,,0.73,70.08
2016-09-22,97,73.0,,0.73,70.81
2016-09-23,98,73.0,,0.73,71.53999999999999
2016-09-24,78,73.0,,0.73,56.94
2016-09-25,73,73.0,,0.73,53.29
2016-09-26,92,73.0,,0.73,67.16
2016-09-27,94,73.0,,0.73,68.62
2016-09-28,100,73.0,,0.73,73.0
2016-09-29,99,73.0,,0.73,72.27
2016-09-30,100,73.0,,0.73,73.0
2016-10-01,81,76.0,False,0.76,61.56
2016-10-02,73,76.0,,0.76,55.480000000000004
2016-10-03,90,76.0,,0.76,68.4
2016-10-04,97,76.0,,0.76,73.72
2016-10-05,91,76.0,,0.76,69.16
2016-10-06,99,76.0,,0.76,75.24
2016-10-07,100,76.0,,0.76,76.0
2016-10-08,80,76.0,,0.76,60.8
2016-10-09,73,76.0,,0.76,55.480000000000004
2016-10-10,86,76.0,,0.76,65.36
2016-10-11,93,76.0,,0.76,70.68
2016-10-12,97,76.0,,0.76,73.72
2016-10-13,92,76.0,,0.76,69.92
2016-10-14,97,76.0,,0.76,73.72
2016-10-15,85,76.0,,0.76,64.6
2016-10-16,76,76.0,,0.76,57.76
2016-10-17,93,76.0,,0.76,70.68
2016-10-18,93,76.0,,0.76,70.68
2016-10-19,97,76.0,,0.76,73.72
2016-10-20,96,76.0,,0.76,72.96000000000001
2016-10-21,99,76.0,,0.76,75.24
2016-10-22,80,76.0,,0.76,60.8
2016-10-23,74,76.0,,0.76,56.24
2016-10-24,92,76.0,,0.76,69.92
2016-10-25,91,76.0,,0.76,69.16
2016-10-26,93,76.0,,0.76,70.68
2016-10-27,93,76.0,,0.76,70.68
2016-10-28,96,76.0,,0.76,72.96000000000001
2016-10-29,77,76.0,,0.76,58.52
2016-10-30,75,76.0,,0.76,57.0
2016-10-31,87,76.0,,0.76,66.12
2016-11-01,75,74.0,False,0.74,55.5
2016-11-02,76,74.0,,0.74,56.24
2016-11-03,83,74.0,,0.74,61.42
2016-11-04,100,74.0,,0.74,74.0
2016-11-05,86,74.0,,0.74,63.64
2016-11-06,75,74.0,,0.74,55.5
2016-11-07,81,74.0,,0.74,59.94
2016-11-08,79,74.0,,0.74,58.46
2016-11-09,67,74.0,,0.74,49.58
2016-11-10,79,74.0,,0.74,58.46
2016-11-11,76,74.0,,0.74,56.24
2016-11-12,72,74.0,,0.74,53.28
2016-11-13,69,74.0,,0.74,51.06
2016-11-14,74,74.0,,0.74,54.76
2016-11-15,80,74.0,,0.74,59.2
2016-11-16,78,74.0,,0.74,57.72
2016-11-17,78,74.0,,0.74,57.72
2016-11-18,79,74.0,,0.74,58.46
2016-11-19,65,74.0,,0.74,48.1
2016-11-20,60,74.0,,0.74,44.4
2016-11-21,72,74.0,,0.74,53.28
2016-11-22,78,74.0,,0.74,57.72
2016-11-23,78,74.0,,0.74,57.72
2016-11-24,65,74.0,,0.74,48.1
2016-11-25,75,74.0,,0.74,55.5
2016-11-26,72,74.0,,0.74,53.28
2016-11-27,64,74.0,,0.74,47.36
2016-11-28,75,74.0,,0.74,55.5
2016-11-29,73,74.0,,0.74,54.019999999999996
2016-11-30,76,74.0,,0.74,56.24
2016-12-01,78,88.0,False,0.88,68.64
2016-12-02,77,88.0,,0.88,67.76
2016-12-03,74,88.0,,0.88,65.12
2016-12-04,68,88.0,,0.88,59.84
2016-12-05,73,88.0,,0.88,64.24
2016-12-06,78,88.0,,0.88,68.64
2016-12-07,79,88.0,,0.88,69.52
2016-12-08,93,88.0,,0.88,81.84
2016-12-09,93,88.0,,0.88,81.84
2016-12-10,90,88.0,,0.88,79.2
2016-12-11,80,88.0,,0.88,70.4
2016-12-12,90,88.0,,0.88,79.2
2016-12-13,92,88.0,,0.88,80.96
2016-12-14,93,88.0,,0.88,81.84
2016-12-15,94,88.0,,0.88,82.72
2016-12-16,96,88.0,,0.88,84.48
2016-12-17,92,88.0,,0.88,80.96
2016-12-18,79,88.0,,0.88,69.52
2016-12-19,92,88.0,,0.88,80.96
2016-12-20,95,88.0,,0.88,83.6
2016-12-21,97,88.0,,0.88,85.36
2016-12-22,99,88.0,,0.88,87.12
2016-12-23,100,88.0,,0.88,88.0
2016-12-24,95,88.0,,0.88,83.6
2016-12-25,86,88.0,,0.88,75.68
2016-12-26,86,88.0,,0.88,75.68
2016-12-27,92,88.0,,0.88,80.96
2016-12-28,95,88.0,,0.88,83.6
2016-12-29,91,88.0,,0.88,80.08
2016-12-30,95,88.0,,0.88,83.6
2016-12-31,80,88.0,,0.88,70.4
2017-01-01,71,87.0,False,0.87,61.77
2017-01-02,81,87.0,,0.87,70.47
2017-01-03,88,87.0,,0.87,76.56
2017-01-04,91,87.0,,0.87,79.17
2017-01-05,94,87.0,,0.87,81.78
2017-01-06,92,87.0,,0.87,80.04
2017-01-07,87,87.0,,0.87,75.69
2017-01-08,77,87.0,,0.87,66.99
2017-01-09,89,87.0,,0.87,77.42999999999999
2017-01-10,91,87.0,,0.87,79.17
2017-01-11,96,87.0,,0.87,83.52
2017-01-12,95,87.0,,0.87,82.65
2017-01-13,96,87.0,,0.87,83.52
2017-01-14,85,87.0,,0.87,73.95
2017-01-15,77,87.0,,0.87,66.99
2017-01-16,90,87.0,,0.87,78.3
2017-01-17,93,87.0,,0.87,80.91
2017-01-18,93,87.0,,0.87,80.91
2017-01-19,95,87.0,,0.87,82.65
2017-01-20,88,87.0,,0.87,76.56
2017-01-21,82,87.0,,0.87,71.34
2017-01-22,77,87.0,,0.87,66.99
2017-01-23,89,87.0,,0.87,77.42999999999999
2017-01-24,92,87.0,,0.87,80.04
2017-01-25,92,87.0,,0.87,80.04
2017-01-26,93,87.0,,0.87,80.91
2017-01-27,97,87.0,,0.87,84.39
2017-01-28,89,87.0,,0.87,77.42999999999999
2017-01-29,77,87.0,,0.87,66.99
2017-01-30,92,87.0,,0.87,80.04
2017-01-31,100,87.0,,0.87,87.0
2017-02-01,96,86.0,False,0.86,82.56
2017-02-02,99,86.0,,0.86,85.14
2017-02-03,96,86.0,,0.86,82.56
2017-02-04,89,86.0,,0.86,76.53999999999999
2017-02-05,79,86.0,,0.86,67.94
2017-02-06,86,86.0,,0.86,73.96
2017-02-07,94,86.0,,0.86,80.84
2017-02-08,93,86.0,,0.86,79.98
2017-02-09,94,86.0,,0.86,80.84
2017-02-10,97,86.0,,0.86,83.42
2017-02-11,88,86.0,,0.86,75.67999999999999
2017-02-12,75,86.0,,0.86,64.5
2017-02-13,87,86.0,,0.86,74.82
2017-02-14,91,86.0,,0.86,78.26
2017-02-15,93,86.0,,0.86,79.98
2017-02-16,97,86.0,,0.86,83.42
2017-02-17,100,86.0,,0.86,86.0
2017-02-18,86,86.0,,0.86,73.96
2017-02-19,78,86.0,,0.86,67.08
2017-02-20,90,86.0,,0.86,77.4
2017-02-21,92,86.0,,0.86,79.12
2017-02-22,92,86.0,,0.86,79.12
2017-02-23,92,86.0,,0.86,79.12
2017-02-24,95,86.0,,0.86,81.7
2017-02-25,84,86.0,,0.86,72.24
2017-02-26,72,86.0,,0.86,61.92
2017-02-27,86,86.0,,0.86,73.96
2017-02-28,94,86.0,,0.86,80.84
2017-03-01,93,88.0,False,0.88,81.84
2017-03-02,100,88.0,,0.88,88.0
2017-03-03,100,88.0,,0.88,88.0
2017-03-04,90,88.0,,0.88,79.2
2017-03-05,79,88.0,,0.88,69.52
2017-03-06,90,88.0,,0.88,79.2
2017-03-07,96,88.0,,0.88,84.48
2017-03-08,96,88.0,,0.88,84.48
2017-03-09,94,88.0,,0.88,82.72
2017-03-10,95,88.0,,0.88,83.6
2017-03-11,87,88.0,,0.88,76.56
2017-03-12,76,88.0,,0.88,66.88
2017-03-13,91,88.0,,0.88,80.08
2017-03-14,93,88.0,,0.88,81.84
2017-03-15,95,88.0,,0.88,83.6
2017-03-16,90,88.0,,0.88,79.2
2017-03-17,94,88.0,,0.88,82.72
2017-03-18,82,88.0,,0.88,72.16
2017-03-19,73,88.0,,0.88,64.24
2017-03-20,90,88.0,,0.88,79.2
2017-03-21,91,88.0,,0.88,80.08
2017-03-22,89,88.0,,0.88,78.32000000000001
2017-03-23,92,88.0,,0.88,80.96
2017-03-24,93,88.0,,0.88,81.84
2017-03-25,83,88.0,,0.88,73.04
2017-03-26,76,88.0,,0.88,66.88
2017-03-27,88,88.0,,0.88,77.44
2017-03-28,97,88.0,,0.88,85.36
2017-03-29,93,88.0,,0.88,81.84
2017-03-30,95,88.0,,0.88,83.6
2017-03-31,91,88.0,,0.88,80.08
2017-04-01,69,88.0,False,0.88,60.72
2017-04-02,63,88.0,,0.88,55.44
2017-04-03,76,88.0,,0.88,66.88
2017-04-04,75,88.0,,0.88,66.0
2017-04-05,75,88.0,,0.88,66.0
2017-04-06,74,88.0,,0.88,65.12
2017-04-07,74,88.0,,0.88,65.12
2017-04-08,68,88.0,,0.88,59.84
2017-04-09,60,88.0,,0.88,52.8
2017-04-10,76,88.0,,0.88,66.88
2017-04-11,84,88.0,,0.88,73.92
2017-04-12,80,88.0,,0.88,70.4
2017-04-13,75,88.0,,0.88,66.0
2017-04-14,75,88.0,,0.88,66.0
2017-04-15,65,88.0,,0.88,57.2
2017-04-16,61,88.0,,0.88,53.68
2017-04-17,75,88.0,,0.88,66.0
2017-04-18,80,88.0,,0.88,70.4
2017-04-19,78,88.0,,0.88,68.64
2017-04-20,72,88.0,,0.88,63.36
2017-04-21,82,88.0,,0.88,72.16
2017-04-22,76,88.0,,0.88,66.88
2017-04-23,65,88.0,,0.88,57.2
2017-04-24,78,88.0,,0.88,68.64
2017-04-25,81,88.0,,0.88,71.28
2017-04-26,100,88.0,,0.88,88.0
2017-04-27,92,88.0,,0.88,80.96
2017-04-28,79,88.0,,0.88,69.52
2017-04-29,69,88.0,,0.88,60.72
2017-04-30,64,88.0,,0.88,56.32
2017-05-01,88,86.0,False,0.86,75.67999999999999
2017-05-02,96,86.0,,0.86,82.56
2017-05-03,94,86.0,,0.86,80.84
2017-05-04,96,86.0,,0.86,82.56
2017-05-05,91,86.0,,0.86,78.26
2017-05-06,81,86.0,,0.86,69.66
2017-05-07,75,86.0,,0.86,64.5
2017-05-08,87,86.0,,0.86,74.82
2017-05-09,100,86.0,,0.86,86.0
2017-05-10,91,86.0,,0.86,78.26
2017-05-11,90,86.0,,0.86,77.4
2017-05-12,89,86.0,,0.86,76.53999999999999
2017-05-13,77,86.0,,0.86,66.22
2017-05-14,74,86.0,,0.86,63.64
2017-05-15,85,86.0,,0.86,73.1
2017-05-16,92,86.0,,0.86,79.12
2017-05-17,90,86.0,,0.86,77.4
2017-05-18,87,86.0,,0.86,74.82
2017-05-19,85,86.0,,0.86,73.1
2017-05-20,75,86.0,,0.86,64.5
2017-05-21,68,86.0,,0.86,58.48
2017-05-22,86,86.0,,0.86,73.96
2017-05-23,94,86.0,,0.86,80.84
2017-05-24,89,86.0,,0.86,76.53999999999999
2017-05-25,89,86.0,,0.86,76.53999999999999
2017-05-26,88,86.0,,0.86,75.67999999999999
2017-05-27,73,86.0,,0.86,62.78
2017-05-28,63,86.0,,0.86,54.18
2017-05-29,71,86.0,,0.86,61.06
2017-05-30,94,86.0,,0.86,80.84
2017-05-31,92,86.0,,0.86,79.12
2017-06-01,89,87.0,False,0.87,77.42999999999999
2017-06-02,89,87.0,,0.87,77.42999999999999
2017-06-03,71,87.0,,0.87,61.77
2017-06-04,64,87.0,,0.87,55.68
2017-06-05,82,87.0,,0.87,71.34
2017-06-06,87,87.0,,0.87,75.69
2017-06-07,87,87.0,,0.87,75.69
2017-06-08,85,87.0,,0.87,73.95
2017-06-09,88,87.0,,0.87,76.56
2017-06-10,69,87.0,,0.87,60.03
2017-06-11,64,87.0,,0.87,55.68
2017-06-12,83,87.0,,0.87,72.21
2017-06-13,92,87.0,,0.87,80.04
2017-06-14,90,87.0,,0.87,78.3
2017-06-15,86,87.0,,0.87,74.82
2017-06-16,88,87.0,,0.87,76.56
2017-06-17,73,87.0,,0.87,63.51
2017-06-18,69,87.0,,0.87,60.03
2017-06-19,85,87.0,,0.87,73.95
2017-06-20,100,87.0,,0.87,87.0
2017-06-21,93,87.0,,0.87,80.91
2017-06-22,87,87.0,,0.87,75.69
2017-06-23,87,87.0,,0.87,75.69
2017-06-24,76,87.0,,0.87,66.12
2017-06-25,67,87.0,,0.87,58.29
2017-06-26,85,87.0,,0.87,73.95
2017-06-27,89,87.0,,0.87,77.42999999999999
2017-06-28,88,87.0,,0.87,76.56
2017-06-29,85,87.0,,0.87,73.95
2017-06-30,83,87.0,,0.87,72.21
2017-07-01,72,79.0,False,0.79,56.88
2017-07-02,66,79.0,,0.79,52.14
2017-07-03,82,79.0,,0.79,64.78
2017-07-04,66,79.0,,0.79,52.14
2017-07-05,85,79.0,,0.79,67.15
2017-07-06,88,79.0,,0.79,69.52000000000001
2017-07-07,87,79.0,,0.79,68.73
2017-07-08,68,79.0,,0.79,53.72
2017-07-09,64,79.0,,0.79,50.56
2017-07-10,87,79.0,,0.79,68.73
2017-07-11,89,79.0,,0.79,70.31
2017-07-12,91,79.0,,0.79,71.89
2017-07-13,95,79.0,,0.79,75.05
2017-07-14,95,79.0,,0.79,75.05
2017-07-15,81,79.0,,0.79,63.99
2017-07-16,66,79.0,,0.79,52.14
2017-07-17,92,79.0,,0.79,72.68
2017-07-18,96,79.0,,0.79,75.84
2017-07-19,98,79.0,,0.79,77.42
2017-07-20,95,79.0,,0.79,75.05
2017-07-21,95,79.0,,0.79,75.05
2017-07-22,80,79.0,,0.79,63.2
2017-07-23,69,79.0,,0.79,54.510000000000005
2017-07-24,92,79.0,,0.79,72.68
2017-07-25,100,79.0,,0.79,79.0
2017-07-26,98,79.0,,0.79,77.42
2017-07-27,97,79.0,,0.79,76.63000000000001
2017-07-28,97,79.0,,0.79,76.63000000000001
2017-07-29,77,79.0,,0.79,60.830000000000005
2017-07-30,69,79.0,,0.79,54.510000000000005
2017-07-31,91,79.0,,0.79,71.89
2017-08-01,98,84.0,False,0.84,82.32
2017-08-02,100,84.0,,0.84,84.0
2017-08-03,98,84.0,,0.84,82.32
2017-08-04,94,84.0,,0.84,78.96
2017-08-05,78,84.0,,0.84,65.52
2017-08-06,66,84.0,,0.84,55.44
2017-08-07,89,84.0,,0.84,74.75999999999999
2017-08-08,91,84.0,,0.84,76.44
2017-08-09,90,84.0,,0.84,75.6
2017-08-10,96,84.0,,0.84,80.64
2017-08-11,91,84.0,,0.84,76.44
2017-08-12,76,84.0,,0.84,63.839999999999996
2017-08-13,67,84.0,,0.84,56.28
2017-08-14,92,84.0,,0.84,77.28
2017-08-15,93,84.0,,0.84,78.11999999999999
2017-08-16,94,84.0,,0.84,78.96
2017-08-17,94,84.0,,0.84,78.96
2017-08-18,92,84.0,,0.84,77.28
2017-08-19,78,84.0,,0.84,65.52
2017-08-20,68,84.0,,0.84,57.12
2017-08-21,80,84.0,,0.84,67.2
2017-08-22,93,84.0,,0.84,78.11999999999999
2017-08-23,95,84.0,,0.84,79.8
2017-08-24,95,84.0,,0.84,79.8
2017-08-25,100,84.0,,0.84,84.0
2017-08-26,84,84.0,,0.84,70.56
2017-08-27,69,84.0,,0.84,57.96
2017-08-28,87,84.0,,0.84,73.08
2017-08-29,86,84.0,,0.84,72.24
2017-08-30,91,84.0,,0.84,76.44
2017-08-31,96,84.0,,0.84,80.64
2017-09-01,100,82.0,False,0.82,82.0
2017-09-02,86,82.0,,0.82,70.52
2017-09-03,78,82.0,,0.82,63.959999999999994
2017-09-04,78,82.0,,0.82,63.959999999999994
2017-09-05,89,82.0,,0.82,72.97999999999999
2017-09-06,87,82.0,,0.82,71.33999999999999
2017-09-07,88,82.0,,0.82,72.16
2017-09-08,87,82.0,,0.82,71.33999999999999
2017-09-09,75,82.0,,0.82,61.49999999999999
2017-09-10,66,82.0,,0.82,54.12
2017-09-11,83,82.0,,0.82,68.06
2017-09-12,88,82.0,,0.82,72.16
2017-09-13,92,82.0,,0.82,75.44
2017-09-14,91,82.0,,0.82,74.61999999999999
2017-09-15,91,82.0,,0.82,74.61999999999999
2017-09-16,82,82.0,,0.82,67.24
2017-09-17,70,82.0,,0.82,57.4
2017-09-18,88,82.0,,0.82,72.16
2017-09-19,93,82.0,,0.82,76.25999999999999
2017-09-20,93,82.0,,0.82,76.25999999999999
2017-09-21,93,82.0,,0.82,76.25999999999999
2017-09-22,99,82.0,,0.82,81.17999999999999
2017-09-23,84,82.0,,0.82,68.88
2017-09-24,71,82.0,,0.82,58.22
2017-09-25,90,82.0,,0.82,73.8
2017-09-26,93,82.0,,0.82,76.25999999999999
2017-09-27,93,82.0,,0.82,76.25999999999999
2017-09-28,93,82.0,,0.82,76.25999999999999
2017-09-29,98,82.0,,0.82,80.36
2017-09-30,83,82.0,,0.82,68.06
2017-10-01,75,83.0,False,0.83,62.25
2017-10-02,87,83.0,,0.83,72.21
2017-10-03,91,83.0,,0.83,75.53
2017-10-04,92,83.0,,0.83,76.36
2017-10-05,90,83.0,,0.83,74.7
2017-10-06,93,83.0,,0.83,77.19
2017-10-07,81,83.0,,0.83,67.22999999999999
2017-10-08,74,83.0,,0.83,61.419999999999995
2017-10-09,89,83.0,,0.83,73.86999999999999
2017-10-10,90,83.0,,0.83,74.7
2017-10-11,89,83.0,,0.83,73.86999999999999
2017-10-12,92,83.0,,0.83,76.36
2017-10-13,91,83.0,,0.83,75.53
2017-10-14,78,83.0,,0.83,64.74
2017-10-15,77,83.0,,0.83,63.91
2017-10-16,95,83.0,,0.83,78.85
2017-10-17,93,83.0,,0.83,77.19
2017-10-18,94,83.0,,0.83,78.02
2017-10-19,97,83.0,,0.83,80.50999999999999
2017-10-20,100,83.0,,0.83,83.0
2017-10-21,86,83.0,,0.83,71.38
2017-10-22,75,83.0,,0.83,62.25
2017-10-23,96,83.0,,0.83,79.67999999999999
2017-10-24,96,83.0,,0.83,79.67999999999999
2017-10-25,94,83.0,,0.83,78.02
2017-10-26,95,83.0,,0.83,78.85
2017-10-27,97,83.0,,0.83,80.50999999999999
2017-10-28,80,83.0,,0.83,66.39999999999999
2017-10-29,79,83.0,,0.83,65.57
2017-10-30,93,83.0,,0.83,77.19
2017-10-31,99,83.0,,0.83,82.17
2017-11-01,56,100.0,False,1.0,56.0
2017-11-02,65,100.0,,1.0,65.0
2017-11-03,100,100.0,,1.0,100.0
2017-11-04,89,100.0,,1.0,89.0
2017-11-05,63,100.0,,1.0,63.0
2017-11-06,63,100.0,,1.0,63.0
2017-11-07,63,100.0,,1.0,63.0
2017-11-08,60,100.0,,1.0,60.0
2017-11-09,58,100.0,,1.0,58.0
2017-11-10,65,100.0,,1.0,65.0
2017-11-11,58,100.0,,1.0,58.0
2017-11-12,55,100.0,,1.0,55.0
2017-11-13,57,100.0,,1.0,57.0
2017-11-14,58,100.0,,1.0,58.0
2017-11-15,61,100.0,,1.0,61.0
2017-11-16,60,100.0,,1.0,60.0
2017-11-17,58,100.0,,1.0,58.0
2017-11-18,51,100.0,,1.0,51.0
2017-11-19,48,100.0,,1.0,48.0
2017-11-20,54,100.0,,1.0,54.0
2017-11-21,60,100.0,,1.0,60.0
2017-11-22,58,100.0,,1.0,58.0
2017-11-23,53,100.0,,1.0,53.0
2017-11-24,64,100.0,,1.0,64.0
2017-11-25,57,100.0,,1.0,57.0
2017-11-26,50,100.0,,1.0,50.0
2017-11-27,57,100.0,,1.0,57.0
2017-11-28,58,100.0,,1.0,58.0
2017-11-29,58,100.0,,1.0,58.0
2017-11-30,59,100.0,,1.0,59.0
2017-12-01,100,86.0,False,0.86,86.0
2017-12-02,94,86.0,,0.86,80.84
2017-12-03,85,86.0,,0.86,73.1
2017-12-04,97,86.0,,0.86,83.42
2017-12-05,100,86.0,,0.86,86.0
2017-12-06,97,86.0,,0.86,83.42
2017-12-07,95,86.0,,0.86,81.7
2017-12-08,97,86.0,,0.86,83.42
2017-12-09,93,86.0,,0.86,79.98
2017-12-10,84,86.0,,0.86,72.24
2017-12-11,92,86.0,,0.86,79.12
2017-12-12,97,86.0,,0.86,83.42
2017-12-13,93,86.0,,0.86,79.98
2017-12-14,90,86.0,,0.86,77.4
2017-12-15,89,86.0,,0.86,76.53999999999999
2017-12-16,83,86.0,,0.86,71.38
2017-12-17,75,86.0,,0.86,64.5
2017-12-18,90,86.0,,0.86,77.4
2017-12-19,89,86.0,,0.86,76.53999999999999
2017-12-20,90,86.0,,0.86,77.4
2017-12-21,92,86.0,,0.86,79.12
2017-12-22,93,86.0,,0.86,79.98
2017-12-23,89,86.0,,0.86,76.53999999999999
2017-12-24,83,86.0,,0.86,71.38
2017-12-25,88,86.0,,0.86,75.67999999999999
2017-12-26,97,86.0,,0.86,83.42
2017-12-27,97,86.0,,0.86,83.42
2017-12-28,94,86.0,,0.86,80.84
2017-12-29,93,86.0,,0.86,79.98
2017-12-30,89,86.0,,0.86,76.53999999999999
2017-12-31,80,86.0,,0.86,68.8
2018-01-01,80,84.0,False,0.84,67.2
2018-01-02,90,84.0,,0.84,75.6
2018-01-03,94,84.0,,0.84,78.96
2018-01-04,94,84.0,,0.84,78.96
2018-01-05,91,84.0,,0.84,76.44
2018-01-06,89,84.0,,0.84,74.75999999999999
