date,MCD_unscaled,MCD_monthly,isPartial,scale,MCD
2016-07-07,40,69.0,,0.69,27.599999999999998
2016-07-08,49,69.0,,0.69,33.809999999999995
2016-07-09,30,69.0,,0.69,20.7
2016-07-10,30,69.0,,0.69,20.7
2016-07-11,52,69.0,,0.69,35.879999999999995
2016-07-12,44,69.0,,0.69,30.36
2016-07-13,34,69.0,,0.69,23.459999999999997
2016-07-14,46,69.0,,0.69,31.74
2016-07-15,47,69.0,,0.69,32.43
2016-07-16,33,69.0,,0.69,22.77
2016-07-17,25,69.0,,0.69,17.25
2016-07-18,46,69.0,,0.69,31.74
2016-07-19,61,69.0,,0.69,42.089999999999996
2016-07-20,66,69.0,,0.69,45.54
2016-07-21,45,69.0,,0.69,31.049999999999997
2016-07-22,58,69.0,,0.69,40.019999999999996
2016-07-23,41,69.0,,0.69,28.29
2016-07-24,32,69.0,,0.69,22.08
2016-07-25,47,69.0,,0.69,32.43
2016-07-26,100,69.0,,0.69,69.0
2016-07-27,72,69.0,,0.69,49.67999999999999
2016-07-28,51,69.0,,0.69,35.19
2016-07-29,53,69.0,,0.69,36.57
2016-07-30,38,69.0,,0.69,26.22
2016-07-31,35,69.0,,0.69,24.15
2016-08-01,100,61.0,False,0.61,61.0
2016-08-02,76,61.0,,0.61,46.36
2016-08-03,76,61.0,,0.61,46.36
2016-08-04,77,61.0,,0.61,46.97
2016-08-05,49,61.0,,0.61,29.89
2016-08-06,40,61.0,,0.61,24.4
2016-08-07,42,61.0,,0.61,25.62
2016-08-08,64,61.0,,0.61,39.04
2016-08-09,55,61.0,,0.61,33.55
2016-08-10,73,61.0,,0.61,44.53
2016-08-11,66,61.0,,0.61,40.26
2016-08-12,46,61.0,,0.61,28.06
2016-08-13,41,61.0,,0.61,25.009999999999998
2016-08-14,49,61.0,,0.61,29.89
2016-08-15,69,61.0,,0.61,42.089999999999996
2016-08-16,72,61.0,,0.61,43.92
2016-08-17,68,61.0,,0.61,41.48
2016-08-18,66,61.0,,0.61,40.26
2016-08-19,59,61.0,,0.61,35.99
2016-08-20,52,61.0,,0.61,31.72
2016-08-21,36,61.0,,0.61,21.96
2016-08-22,63,61.0,,0.61,38.43
2016-08-23,66,61.0,,0.61,40.26
2016-08-24,65,61.0,,0.61,39.65
2016-08-25,53,61.0,,0.61,32.33
2016-08-26,52,61.0,,0.61,31.72
2016-08-27,37,61.0,,0.61,22.57
2016-08-28,52,61.0,,0.61,31.72
2016-08-29,36,61.0,,0.61,21.96
2016-08-30,65,61.0,,0.61,39.65
2016-08-31,59,61.0,,0.61,35.99
2016-09-01,56,59.0,False,0.59,33.04
2016-09-02,44,59.0,,0.59,25.959999999999997
2016-09-03,48,59.0,,0.59,28.32
2016-09-04,67,59.0,,0.59,39.53
2016-09-05,50,59.0,,0.59,29.5
2016-09-06,63,59.0,,0.59,37.169999999999995
2016-09-07,71,59.0,,0.59,41.89
2016-09-08,76,59.0,,0.59,44.839999999999996
2016-09-09,57,59.0,,0.59,33.629999999999995
2016-09-10,48,59.0,,0.59,28.32
2016-09-11,59,59.0,,0.59,34.809999999999995
2016-09-12,75,59.0,,0.59,44.25
2016-09-13,64,59.0,,0.59,37.76
2016-09-14,55,59.0,,0.59,32.449999999999996
2016-09-15,44,59.0,,0.59,25.959999999999997
2016-09-16,68,59.0,,0.59,40.12
2016-09-17,36,59.0,,0.59,21.24
2016-09-18,55,59.0,,0.59,32.449999999999996
2016-09-19,63,59.0,,0.59,37.169999999999995
2016-09-20,55,59.0,,0.59,32.449999999999996
2016-09-21,64,59.0,,0.59,37.76
2016-09-22,75,59.0,,0.59,44.25
2016-09-23,76,59.0,,0.59,44.839999999999996
2016-09-24,89,59.0,,0.59,52.51
2016-09-25,91,59.0,,0.59,53.69
2016-09-26,100,59.0,,0.59,59.0
2016-09-27,76,59.0,,0.59,44.839999999999996
2016-09-28,68,59.0,,0.59,40.12
2016-09-29,87,59.0,,0.59,51.33
2016-09-30,45,59.0,,0.59,26.549999999999997
2016-10-01,34,57.0,False,0.57,19.38
2016-10-02,57,57.0,,0.57,32.489999999999995
2016-10-03,58,57.0,,0.57,33.059999999999995
2016-10-04,98,57.0,,0.57,55.85999999999999
2016-10-05,51,57.0,,0.57,29.069999999999997
2016-10-06,44,57.0,,0.57,25.08
2016-10-07,47,57.0,,0.57,26.79
2016-10-08,47,57.0,,0.57,26.79
2016-10-09,30,57.0,,0.57,17.099999999999998
2016-10-10,41,57.0,,0.57,23.369999999999997
2016-10-11,76,57.0,,0.57,43.31999999999999
2016-10-12,32,57.0,,0.57,18.24
2016-10-13,61,57.0,,0.57,34.769999999999996
2016-10-14,60,57.0,,0.57,34.199999999999996
2016-10-15,28,57.0,,0.57,15.959999999999999
2016-10-16,28,57.0,,0.57,15.959999999999999
2016-10-17,51,57.0,,0.57,29.069999999999997
2016-10-18,64,57.0,,0.57,36.48
2016-10-19,52,57.0,,0.57,29.639999999999997
2016-10-20,87,57.0,,0.57,49.589999999999996
2016-10-21,100,57.0,,0.57,56.99999999999999
2016-10-22,46,57.0,,0.57,26.22
2016-10-23,42,57.0,,0.57,23.939999999999998
2016-10-24,54,57.0,,0.57,30.779999999999998
2016-10-25,63,57.0,,0.57,35.91
2016-10-26,44,57.0,,0.57,25.08
2016-10-27,49,57.0,,0.57,27.929999999999996
2016-10-28,48,57.0,,0.57,27.36
2016-10-29,34,57.0,,0.57,19.38
2016-10-30,26,57.0,,0.57,14.819999999999999
2016-10-31,46,57.0,,0.57,26.22
2016-11-01,50,61.0,False,0.61,30.5
2016-11-02,56,61.0,,0.61,34.16
2016-11-03,55,61.0,,0.61,33.55
2016-11-04,87,61.0,,0.61,53.07
2016-11-05,59,61.0,,0.61,35.99
2016-11-06,47,61.0,,0.61,28.669999999999998
2016-11-07,91,61.0,,0.61,55.51
2016-11-08,86,61.0,,0.61,52.46
2016-11-09,65,61.0,,0.61,39.65
2016-11-10,84,61.0,,0.61,51.24
2016-11-11,86,61.0,,0.61,52.46
2016-11-12,65,61.0,,0.61,39.65
2016-11-13,67,61.0,,0.61,40.87
2016-11-14,78,61.0,,0.61,47.58
2016-11-15,83,61.0,,0.61,50.629999999999995
2016-11-16,90,61.0,,0.61,54.9
2016-11-17,81,61.0,,0.61,49.41
2016-11-18,100,61.0,,0.61,61.0
2016-11-19,56,61.0,,0.61,34.16
2016-11-20,79,61.0,,0.61,48.19
2016-11-21,77,61.0,,0.61,46.97
2016-11-22,89,61.0,,0.61,54.29
2016-11-23,86,61.0,,0.61,52.46
2016-11-24,78,61.0,,0.61,47.58
2016-11-25,74,61.0,,0.61,45.14
2016-11-26,57,61.0,,0.61,34.769999999999996
2016-11-27,58,61.0,,0.61,35.38
2016-11-28,61,61.0,,0.61,37.21
2016-11-29,91,61.0,,0.61,55.51
2016-11-30,94,61.0,,0.61,57.339999999999996
2016-12-01,78,54.0,False,0.54,42.120000000000005
2016-12-02,77,54.0,,0.54,41.580000000000005
2016-12-03,60,54.0,,0.54,32.400000000000006
2016-12-04,64,54.0,,0.54,34.56
2016-12-05,90,54.0,,0.54,48.6
2016-12-06,69,54.0,,0.54,37.260000000000005
2016-12-07,71,54.0,,0.54,38.34
2016-12-08,75,54.0,,0.54,40.5
2016-12-09,81,54.0,,0.54,43.74
2016-12-10,60,54.0,,0.54,32.400000000000006
2016-12-11,59,54.0,,0.54,31.860000000000003
2016-12-12,87,54.0,,0.54,46.980000000000004
2016-12-13,70,54.0,,0.54,37.800000000000004
2016-12-14,55,54.0,,0.54,29.700000000000003
2016-12-15,75,54.0,,0.54,40.5
2016-12-16,69,54.0,,0.54,37.260000000000005
2016-12-17,57,54.0,,0.54,30.78
2016-12-18,51,54.0,,0.54,27.540000000000003
2016-12-19,62,54.0,,0.54,33.480000000000004
2016-12-20,81,54.0,,0.54,43.74
2016-12-21,90,54.0,,0.54,48.6
2016-12-22,84,54.0,,0.54,45.36
2016-12-23,56,54.0,,0.54,30.240000000000002
2016-12-24,65,54.0,,0.54,35.1
2016-12-25,61,54.0,,0.54,32.940000000000005
2016-12-26,46,54.0,,0.54,24.840000000000003
2016-12-27,100,54.0,,0.54,54.0
2016-12-28,54,54.0,,0.54,29.160000000000004
2016-12-29,72,54.0,,0.54,38.88
2016-12-30,26,54.0,,0.54,14.040000000000001
2016-12-31,47,54.0,,0.54,25.380000000000003
2017-01-01,28,55.0,False,0.55,15.400000000000002
2017-01-02,19,55.0,,0.55,10.450000000000001
2017-01-03,51,55.0,,0.55,28.05
2017-01-04,58,55.0,,0.55,31.900000000000002
2017-01-05,43,55.0,,0.55,23.650000000000002
2017-01-06,47,55.0,,0.55,25.85
2017-01-07,23,55.0,,0.55,12.65
2017-01-08,37,55.0,,0.55,20.35
2017-01-09,49,55.0,,0.55,26.950000000000003
2017-01-10,62,55.0,,0.55,34.1
2017-01-11,50,55.0,,0.55,27.500000000000004
2017-01-12,62,55.0,,0.55,34.1
2017-01-13,48,55.0,,0.55,26.400000000000002
2017-01-14,36,55.0,,0.55,19.8
2017-01-15,21,55.0,,0.55,11.55
2017-01-16,26,55.0,,0.55,14.3
2017-01-17,43,55.0,,0.55,23.650000000000002
2017-01-18,47,55.0,,0.55,25.85
2017-01-19,42,55.0,,0.55,23.1
2017-01-20,49,55.0,,0.55,26.950000000000003
2017-01-21,35,55.0,,0.55,19.25
2017-01-22,47,55.0,,0.55,25.85
2017-01-23,100,55.0,,0.55,55.00000000000001
2017-01-24,49,55.0,,0.55,26.950000000000003
2017-01-25,50,55.0,,0.55,27.500000000000004
2017-01-26,50,55.0,,0.55,27.500000000000004
2017-01-27,59,55.0,,0.55,32.45
2017-01-28,23,55.0,,0.55,12.65
2017-01-29,34,55.0,,0.55,18.700000000000003
2017-01-30,51,55.0,,0.55,28.05
2017-01-31,59,55.0,,0.55,32.45
2017-02-01,85,54.0,False,0.54,45.900000000000006
2017-02-02,82,54.0,,0.54,44.28
2017-02-03,83,54.0,,0.54,44.82
2017-02-04,59,54.0,,0.54,31.860000000000003
2017-02-05,58,54.0,,0.54,31.32
2017-02-06,71,54.0,,0.54,38.34
2017-02-07,79,54.0,,0.54,42.660000000000004
2017-02-08,96,54.0,,0.54,51.84
2017-02-09,81,54.0,,0.54,43.74
2017-02-10,81,54.0,,0.54,43.74
2017-02-11,69,54.0,,0.54,37.260000000000005
2017-02-12,60,54.0,,0.54,32.400000000000006
2017-02-13,100,54.0,,0.54,54.0
2017-02-14,78,54.0,,0.54,42.120000000000005
2017-02-15,98,54.0,,0.54,52.92
2017-02-16,96,54.0,,0.54,51.84
2017-02-17,75,54.0,,0.54,40.5
2017-02-18,93,54.0,,0.54,50.220000000000006
2017-02-19,36,54.0,,0.54,19.44
2017-02-20,63,54.0,,0.54,34.02
2017-02-21,91,54.0,,0.54,49.14
2017-02-22,88,54.0,,0.54,47.52
2017-02-23,82,54.0,,0.54,44.28
2017-02-24,62,54.0,,0.54,33.480000000000004
2017-02-25,34,54.0,,0.54,18.36
2017-02-26,53,54.0,,0.54,28.62
2017-02-27,97,54.0,,0.54,52.38
2017-02-28,97,54.0,,0.54,52.38
2017-03-01,100,63.0,False,0.63,63.0
2017-03-02,81,63.0,,0.63,51.03
2017-03-03,72,63.0,,0.63,45.36
2017-03-04,63,63.0,,0.63,39.69
2017-03-05,60,63.0,,0.63,37.8
2017-03-06,43,63.0,,0.63,27.09
2017-03-07,57,63.0,,0.63,35.910000000000004
2017-03-08,70,63.0,,0.63,44.1
2017-03-09,64,63.0,,0.63,40.32
2017-03-10,55,63.0,,0.63,34.65
2017-03-11,63,63.0,,0.63,39.69
2017-03-12,42,63.0,,0.63,26.46
2017-03-13,70,63.0,,0.63,44.1
2017-03-14,77,63.0,,0.63,48.51
2017-03-15,89,63.0,,0.63,56.07
2017-03-16,76,63.0,,0.63,47.88
2017-03-17,84,63.0,,0.63,52.92
2017-03-18,51,63.0,,0.63,32.13
2017-03-19,45,63.0,,0.63,28.35
2017-03-20,73,63.0,,0.63,45.99
2017-03-21,60,63.0,,0.63,37.8
2017-03-22,65,63.0,,0.63,40.95
2017-03-23,73,63.0,,0.63,45.99
2017-03-24,71,63.0,,0.63,44.73
2017-03-25,53,63.0,,0.63,33.39
2017-03-26,57,63.0,,0.63,35.910000000000004
2017-03-27,71,63.0,,0.63,44.73
2017-03-28,69,63.0,,0.63,43.47
2017-03-29,83,63.0,,0.63,52.29
2017-03-30,77,63.0,,0.63,48.51
2017-03-31,73,63.0,,0.63,45.99
2017-04-01,11,96.0,False,0.96,10.559999999999999
2017-04-02,15,96.0,,0.96,14.399999999999999
2017-04-03,13,96.0,,0.96,12.48
2017-04-04,14,96.0,,0.96,13.44
2017-04-05,12,96.0,,0.96,11.52
2017-04-06,14,96.0,,0.96,13.44
2017-04-07,13,96.0,,0.96,12.48
2017-04-08,10,96.0,,0.96,9.6
2017-04-09,9,96.0,,0.96,8.64
2017-04-10,10,96.0,,0.96,9.6
2017-04-11,16,96.0,,0.96,15.36
2017-04-12,12,96.0,,0.96,11.52
2017-04-13,14,96.0,,0.96,13.44
2017-04-14,9,96.0,,0.96,8.64
2017-04-15,8,96.0,,0.96,7.68
2017-04-16,11,96.0,,0.96,10.559999999999999
2017-04-17,7,96.0,,0.96,6.72
2017-04-18,13,96.0,,0.96,12.48
2017-04-19,18,96.0,,0.96,17.28
2017-04-20,14,96.0,,0.96,13.44
2017-04-21,17,96.0,,0.96,16.32
2017-04-22,13,96.0,,0.96,12.48
2017-04-23,28,96.0,,0.96,26.88
2017-04-24,37,96.0,,0.96,35.519999999999996
2017-04-25,48,96.0,,0.96,46.08
2017-04-26,100,96.0,,0.96,96.0
2017-04-27,27,96.0,,0.96,25.919999999999998
2017-04-28,19,96.0,,0.96,18.24
2017-04-29,14,96.0,,0.96,13.44
2017-04-30,7,96.0,,0.96,6.72
2017-05-01,75,70.0,False,0.7,52.5
2017-05-02,81,70.0,,0.7,56.699999999999996
2017-05-03,77,70.0,,0.7,53.9
2017-05-04,71,70.0,,0.7,49.699999999999996
2017-05-05,84,70.0,,0.7,58.8
2017-05-06,43,70.0,,0.7,30.099999999999998
2017-05-07,51,70.0,,0.7,35.699999999999996
2017-05-08,80,70.0,,0.7,56.0
2017-05-09,76,70.0,,0.7,53.199999999999996
2017-05-10,79,70.0,,0.7,55.3
2017-05-11,68,70.0,,0.7,47.599999999999994
2017-05-12,59,70.0,,0.7,41.3
2017-05-13,54,70.0,,0.7,37.8
2017-05-14,45,70.0,,0.7,31.499999999999996
2017-05-15,85,70.0,,0.7,59.49999999999999
2017-05-16,100,70.0,,0.7,70.0
2017-05-17,51,70.0,,0.7,35.699999999999996
2017-05-18,78,70.0,,0.7,54.599999999999994
2017-05-19,66,70.0,,0.7,46.199999999999996
2017-05-20,50,70.0,,0.7,35.0
2017-05-21,37,70.0,,0.7,25.9
2017-05-22,68,70.0,,0.7,47.599999999999994
2017-05-23,91,70.0,,0.7,63.699999999999996
2017-05-24,82,70.0,,0.7,57.4
2017-05-25,86,70.0,,0.7,60.199999999999996
2017-05-26,76,70.0,,0.7,53.199999999999996
2017-05-27,48,70.0,,0.7,33.599999999999994
2017-05-28,53,70.0,,0.7,37.099999999999994
2017-05-29,60,70.0,,0.7,42.0
2017-05-30,56,70.0,,0.7,39.199999999999996
2017-05-31,52,70.0,,0.7,36.4
2017-06-01,90,66.0,False,0.66,59.400000000000006
2017-06-02,83,66.0,,0.66,54.78
2017-06-03,54,66.0,,0.66,35.64
2017-06-04,71,66.0,,0.66,46.86
2017-06-05,93,66.0,,0.66,61.38
2017-06-06,77,66.0,,0.66,50.82
2017-06-07,97,66.0,,0.66,64.02
2017-06-08,73,66.0,,0.66,48.18
2017-06-09,100,66.0,,0.66,66.0
2017-06-10,70,66.0,,0.66,46.2
2017-06-11,60,66.0,,0.66,39.6
2017-06-12,100,66.0,,0.66,66.0
2017-06-13,74,66.0,,0.66,48.84
2017-06-14,76,66.0,,0.66,50.160000000000004
2017-06-15,60,66.0,,0.66,39.6
2017-06-16,74,66.0,,0.66,48.84
2017-06-17,61,66.0,,0.66,40.260000000000005
2017-06-18,52,66.0,,0.66,34.32
2017-06-19,89,66.0,,0.66,58.74
2017-06-20,73,66.0,,0.66,48.18
2017-06-21,69,66.0,,0.66,45.54
2017-06-22,77,66.0,,0.66,50.82
2017-06-23,68,66.0,,0.66,44.88
2017-06-24,58,66.0,,0.66,38.28
2017-06-25,52,66.0,,0.66,34.32
2017-06-26,91,66.0,,0.66,60.06
2017-06-27,78,66.0,,0.66,51.480000000000004
2017-06-28,89,66.0,,0.66,58.74
2017-06-29,87,66.0,,0.66,57.42
2017-06-30,61,66.0,,0.66,40.260000000000005
2017-07-01,28,63.0,False,0.63,17.64
2017-07-02,32,63.0,,0.63,20.16
2017-07-03,37,63.0,,0.63,23.31
2017-07-04,19,63.0,,0.63,11.97
2017-07-05,27,63.0,,0.63,17.01
2017-07-06,34,63.0,,0.63,21.42
2017-07-07,32,63.0,,0.63,20.16
2017-07-08,37,63.0,,0.63,23.31
2017-07-09,29,63.0,,0.63,18.27
2017-07-10,34,63.0,,0.63,21.42
2017-07-11,33,63.0,,0.63,20.79
2017-07-12,48,63.0,,0.63,30.240000000000002
2017-07-13,34,63.0,,0.63,21.42
2017-07-14,38,63.0,,0.63,23.94
2017-07-15,34,63.0,,0.63,21.42
2017-07-16,28,63.0,,0.63,17.64
2017-07-17,37,63.0,,0.63,23.31
2017-07-18,35,63.0,,0.63,22.05
2017-07-19,34,63.0,,0.63,21.42
2017-07-20,41,63.0,,0.63,25.830000000000002
2017-07-21,38,63.0,,0.63,23.94
2017-07-22,26,63.0,,0.63,16.38
2017-07-23,21,63.0,,0.63,13.23
2017-07-24,34,63.0,,0.63,21.42
2017-07-25,100,63.0,,0.63,63.0
2017-07-26,54,63.0,,0.63,34.02
2017-07-27,39,63.0,,0.63,24.57
2017-07-28,55,63.0,,0.63,34.65
2017-07-29,29,63.0,,0.63,18.27
2017-07-30,28,63.0,,0.63,17.64
2017-07-31,33,63.0,,0.63,20.79
2017-08-01,94,61.0,False,0.61,57.339999999999996
2017-08-02,84,61.0,,0.61,51.24
2017-08-03,88,61.0,,0.61,53.68
2017-08-04,54,61.0,,0.61,32.94
2017-08-05,43,61.0,,0.61,26.23
2017-08-06,48,61.0,,0.61,29.28
2017-08-07,79,61.0,,0.61,48.19
2017-08-08,100,61.0,,0.61,61.0
2017-08-09,90,61.0,,0.61,54.9
2017-08-10,76,61.0,,0.61,46.36
2017-08-11,86,61.0,,0.61,52.46
2017-08-12,68,61.0,,0.61,41.48
2017-08-13,45,61.0,,0.61,27.45
2017-08-14,68,61.0,,0.61,41.48
2017-08-15,90,61.0,,0.61,54.9
2017-08-16,93,61.0,,0.61,56.73
2017-08-17,80,61.0,,0.61,48.8
2017-08-18,63,61.0,,0.61,38.43
2017-08-19,54,61.0,,0.61,32.94
2017-08-20,63,61.0,,0.61,38.43
2017-08-21,56,61.0,,0.61,34.16
2017-08-22,89,61.0,,0.61,54.29
2017-08-23,69,61.0,,0.61,42.089999999999996
2017-08-24,70,61.0,,0.61,42.699999999999996
2017-08-25,64,61.0,,0.61,39.04
2017-08-26,69,61.0,,0.61,42.089999999999996
2017-08-27,42,61.0,,0.61,25.62
2017-08-28,68,61.0,,0.61,41.48
2017-08-29,64,61.0,,0.61,39.04
2017-08-30,83,61.0,,0.61,50.629999999999995
2017-08-31,61,61.0,,0.61,37.21
2017-09-01,53,59.0,False,0.59,31.27
2017-09-02,36,59.0,,0.59,21.24
2017-09-03,23,59.0,,0.59,13.569999999999999
2017-09-04,25,59.0,,0.59,14.75
2017-09-05,44,59.0,,0.59,25.959999999999997
2017-09-06,49,59.0,,0.59,28.91
2017-09-07,45,59.0,,0.59,26.549999999999997
2017-09-08,59,59.0,,0.59,34.809999999999995
2017-09-09,40,59.0,,0.59,23.599999999999998
2017-09-10,20,59.0,,0.59,11.799999999999999
2017-09-11,54,59.0,,0.59,31.86
2017-09-12,100,59.0,,0.59,59.0
2017-09-13,61,59.0,,0.59,35.989999999999995
2017-09-14,47,59.0,,0.59,27.729999999999997
2017-09-15,45,59.0,,0.59,26.549999999999997
2017-09-16,41,59.0,,0.59,24.189999999999998
2017-09-17,28,59.0,,0.59,16.52
2017-09-18,60,59.0,,0.59,35.4
2017-09-19,64,59.0,,0.59,37.76
2017-09-20,64,59.0,,0.59,37.76
2017-09-21,71,59.0,,0.59,41.89
2017-09-22,57,59.0,,0.59,33.629999999999995
2017-09-23,45,59.0,,0.59,26.549999999999997
2017-09-24,30,59.0,,0.59,17.7
2017-09-25,58,59.0,,0.59,34.22
2017-09-26,47,59.0,,0.59,27.729999999999997
2017-09-27,62,59.0,,0.59,36.58
2017-09-28,56,59.0,,0.59,33.04
2017-09-29,62,59.0,,0.59,36.58
2017-09-30,26,59.0,,0.59,15.34
2017-10-01,33,68.0,False,0.68,22.44
2017-10-02,54,68.0,,0.68,36.720000000000006
2017-10-03,51,68.0,,0.68,34.68
2017-10-04,62,68.0,,0.68,42.160000000000004
2017-10-05,29,68.0,,0.68,19.720000000000002
2017-10-06,51,68.0,,0.68,34.68
2017-10-07,59,68.0,,0.68,40.120000000000005
2017-10-08,46,68.0,,0.68,31.28
2017-10-09,49,68.0,,0.68,33.32
2017-10-10,54,68.0,,0.68,36.720000000000006
2017-10-11,47,68.0,,0.68,31.96
2017-10-12,49,68.0,,0.68,33.32
2017-10-13,40,68.0,,0.68,27.200000000000003
2017-10-14,34,68.0,,0.68,23.12
2017-10-15,35,68.0,,0.68,23.8
2017-10-16,46,68.0,,0.68,31.28
2017-10-17,61,68.0,,0.68,41.480000000000004
2017-10-18,43,68.0,,0.68,29.240000000000002
2017-10-19,50,68.0,,0.68,34.0
2017-10-20,67,68.0,,0.68,45.56
2017-10-21,29,68.0,,0.68,19.720000000000002
2017-10-22,38,68.0,,0.68,25.840000000000003
2017-10-23,51,68.0,,0.68,34.68
2017-10-24,100,68.0,,0.68,68.0
2017-10-25,87,68.0,,0.68,59.160000000000004
2017-10-26,50,68.0,,0.68,34.0
2017-10-27,52,68.0,,0.68,35.36
2017-10-28,26,68.0,,0.68,17.68
2017-10-29,35,68.0,,0.68,23.8
2017-10-30,46,68.0,,0.68,31.28
2017-10-31,40,68.0,,0.68,27.200000000000003
2017-11-01,90,64.0,False,0.64,57.6
2017-11-02,61,64.0,,0.64,39.04
2017-11-03,76,64.0,,0.64,48.64
2017-11-04,36,64.0,,0.64,23.04
2017-11-05,38,64.0,,0.64,24.32
2017-11-06,88,64.0,,0.64,56.32
2017-11-07,78,64.0,,0.64,49.92
2017-11-08,76,64.0,,0.64,48.64
2017-11-09,70,64.0,,0.64,44.800000000000004
2017-11-10,76,64.0,,0.64,48.64
2017-11-11,51,64.0,,0.64,32.64
2017-11-12,43,64.0,,0.64,27.52
2017-11-13,84,64.0,,0.64,53.76
2017-11-14,79,64.0,,0.64,50.56
2017-11-15,80,64.0,,0.64,51.2
2017-11-16,85,64.0,,0.64,54.4
2017-11-17,76,64.0,,0.64,48.64
2017-11-18,55,64.0,,0.64,35.2
2017-11-19,37,64.0,,0.64,23.68
2017-11-20,57,64.0,,0.64,36.480000000000004
2017-11-21,100,64.0,,0.64,64.0
2017-11-22,68,64.0,,0.64,43.52
2017-11-23,57,64.0,,0.64,36.480000000000004
2017-11-24,62,64.0,,0.64,39.68
2017-11-25,37,64.0,,0.64,23.68
2017-11-26,34,64.0,,0.64,21.76
2017-11-27,43,64.0,,0.64,27.52
2017-11-28,72,64.0,,0.64,46.08
2017-11-29,84,64.0,,0.64,53.76
2017-11-30,85,64.0,,0.64,54.4
2017-12-01,79,62.0,False,0.62,48.98
2017-12-02,50,62.0,,0.62,31.0
2017-12-03,57,62.0,,0.62,35.339999999999996
2017-12-04,100,62.0,,0.62,62.0
2017-12-05,80,62.0,,0.62,49.6
2017-12-06,82,62.0,,0.62,50.839999999999996
2017-12-07,97,62.0,,0.62,60.14
2017-12-08,64,62.0,,0.62,39.68
2017-12-09,49,62.0,,0.62,30.38
2017-12-10,43,62.0,,0.62,26.66
2017-12-11,78,62.0,,0.62,48.36
2017-12-12,78,62.0,,0.62,48.36
2017-12-13,77,62.0,,0.62,47.74
2017-12-14,76,62.0,,0.62,47.12
2017-12-15,73,62.0,,0.62,45.26
2017-12-16,51,62.0,,0.62,31.62
2017-12-17,43,62.0,,0.62,26.66
2017-12-18,73,62.0,,0.62,45.26
2017-12-19,91,62.0,,0.62,56.42
2017-12-20,61,62.0,,0.62,37.82
2017-12-21,70,62.0,,0.62,43.4
2017-12-22,54,62.0,,0.62,33.48
