date,DE_unscaled,DE_monthly,isPartial,scale,DE
2016-07-04,100,79.0,,0.79,79.0
2016-07-05,89,79.0,,0.79,70.31
2016-07-06,89,79.0,,0.79,70.31
2016-07-07,87,79.0,,0.79,68.73
2016-07-08,85,79.0,,0.79,67.15
2016-07-09,95,79.0,,0.79,75.05
2016-07-10,93,79.0,,0.79,73.47
2016-07-11,85,79.0,,0.79,67.15
2016-07-12,89,79.0,,0.79,70.31
2016-07-13,91,79.0,,0.79,71.89
2016-07-14,90,79.0,,0.79,71.10000000000001
2016-07-15,90,79.0,,0.79,71.10000000000001
2016-07-16,93,79.0,,0.79,73.47
2016-07-17,93,79.0,,0.79,73.47
2016-07-18,89,79.0,,0.79,70.31
2016-07-19,91,79.0,,0.79,71.89
2016-07-20,92,79.0,,0.79,72.68
2016-07-21,89,79.0,,0.79,70.31
2016-07-22,84,79.0,,0.79,66.36
2016-07-23,93,79.0,,0.79,73.47
2016-07-24,91,79.0,,0.79,71.89
2016-07-25,83,79.0,,0.79,65.57000000000001
2016-07-26,84,79.0,,0.79,66.36
2016-07-27,82,79.0,,0.79,64.78
2016-07-28,85,79.0,,0.79,67.15
2016-07-29,82,79.0,,0.79,64.78
2016-07-30,85,79.0,,0.79,67.15
2016-07-31,84,79.0,,0.79,66.36
2016-08-01,86,77.0,False,0.77,66.22
2016-08-02,90,77.0,,0.77,69.3
2016-08-03,87,77.0,,0.77,66.99
2016-08-04,90,77.0,,0.77,69.3
2016-08-05,89,77.0,,0.77,68.53
2016-08-06,100,77.0,,0.77,77.0
2016-08-07,93,77.0,,0.77,71.61
2016-08-08,89,77.0,,0.77,68.53
2016-08-09,90,77.0,,0.77,69.3
2016-08-10,90,77.0,,0.77,69.3
2016-08-11,89,77.0,,0.77,68.53
2016-08-12,85,77.0,,0.77,65.45
2016-08-13,90,77.0,,0.77,69.3
2016-08-14,92,77.0,,0.77,70.84
2016-08-15,85,77.0,,0.77,65.45
2016-08-16,87,77.0,,0.77,66.99
2016-08-17,89,77.0,,0.77,68.53
2016-08-18,90,77.0,,0.77,69.3
2016-08-19,89,77.0,,0.77,68.53
2016-08-20,93,77.0,,0.77,71.61
2016-08-21,91,77.0,,0.77,70.07000000000001
2016-08-22,87,77.0,,0.77,66.99
2016-08-23,86,77.0,,0.77,66.22
2016-08-24,87,77.0,,0.77,66.99
2016-08-25,92,77.0,,0.77,70.84
2016-08-26,89,77.0,,0.77,68.53
2016-08-27,91,77.0,,0.77,70.07000000000001
2016-08-28,95,77.0,,0.77,73.15
2016-08-29,94,77.0,,0.77,72.38
2016-08-30,92,77.0,,0.77,70.84
2016-08-31,88,77.0,,0.77,67.76
2016-09-01,92,76.0,False,0.76,69.92
2016-09-02,91,76.0,,0.76,69.16
2016-09-03,98,76.0,,0.76,74.48
2016-09-04,98,76.0,,0.76,74.48
2016-09-05,100,76.0,,0.76,76.0
2016-09-06,96,76.0,,0.76,72.96000000000001
2016-09-07,91,76.0,,0.76,69.16
2016-09-08,92,76.0,,0.76,69.92
2016-09-09,90,76.0,,0.76,68.4
2016-09-10,98,76.0,,0.76,74.48
2016-09-11,91,76.0,,0.76,69.16
2016-09-12,92,76.0,,0.76,69.92
2016-09-13,95,76.0,,0.76,72.2
2016-09-14,95,76.0,,0.76,72.2
2016-09-15,92,76.0,,0.76,69.92
2016-09-16,94,76.0,,0.76,71.44
2016-09-17,94,76.0,,0.76,71.44
2016-09-18,94,76.0,,0.76,71.44
2016-09-19,92,76.0,,0.76,69.92
2016-09-20,91,76.0,,0.76,69.16
2016-09-21,94,76.0,,0.76,71.44
2016-09-22,91,76.0,,0.76,69.16
2016-09-23,90,76.0,,0.76,68.4
2016-09-24,92,76.0,,0.76,69.92
2016-09-25,92,76.0,,0.76,69.92
2016-09-26,90,76.0,,0.76,68.4
2016-09-27,93,76.0,,0.76,70.68
2016-09-28,95,76.0,,0.76,72.2
2016-09-29,94,76.0,,0.76,71.44
2016-09-30,94,76.0,,0.76,71.44
2016-10-01,93,78.0,False,0.78,72.54
2016-10-02,95,78.0,,0.78,74.10000000000001
2016-10-03,90,78.0,,0.78,70.2
2016-10-04,92,78.0,,0.78,71.76
2016-10-05,91,78.0,,0.78,70.98
2016-10-06,89,78.0,,0.78,69.42
2016-10-07,92,78.0,,0.78,71.76
2016-10-08,93,78.0,,0.78,72.54
2016-10-09,93,78.0,,0.78,72.54
2016-10-10,90,78.0,,0.78,70.2
2016-10-11,93,78.0,,0.78,72.54
2016-10-12,93,78.0,,0.78,72.54
2016-10-13,90,78.0,,0.78,70.2
2016-10-14,92,78.0,,0.78,71.76
2016-10-15,95,78.0,,0.78,74.10000000000001
2016-10-16,94,78.0,,0.78,73.32000000000001
2016-10-17,91,78.0,,0.78,70.98
2016-10-18,94,78.0,,0.78,73.32000000000001
2016-10-19,93,78.0,,0.78,72.54
2016-10-20,90,78.0,,0.78,70.2
2016-10-21,90,78.0,,0.78,70.2
2016-10-22,93,78.0,,0.78,72.54
2016-10-23,92,78.0,,0.78,71.76
2016-10-24,92,78.0,,0.78,71.76
2016-10-25,89,78.0,,0.78,69.42
2016-10-26,91,78.0,,0.78,70.98
2016-10-27,93,78.0,,0.78,72.54
2016-10-28,92,78.0,,0.78,71.76
2016-10-29,97,78.0,,0.78,75.66
2016-10-30,100,78.0,,0.78,78.0
2016-10-31,96,78.0,,0.78,74.88
2016-11-01,84,77.0,False,0.77,64.68
2016-11-02,85,77.0,,0.77,65.45
2016-11-03,78,77.0,,0.77,60.06
2016-11-04,79,77.0,,0.77,60.83
2016-11-05,83,77.0,,0.77,63.910000000000004
2016-11-06,83,77.0,,0.77,63.910000000000004
2016-11-07,78,77.0,,0.77,60.06
2016-11-08,79,77.0,,0.77,60.83
2016-11-09,70,77.0,,0.77,53.9
2016-11-10,81,77.0,,0.77,62.370000000000005
2016-11-11,77,77.0,,0.77,59.29
2016-11-12,82,77.0,,0.77,63.14
2016-11-13,80,77.0,,0.77,61.6
2016-11-14,77,77.0,,0.77,59.29
2016-11-15,79,77.0,,0.77,60.83
2016-11-16,83,77.0,,0.77,63.910000000000004
2016-11-17,81,77.0,,0.77,62.370000000000005
2016-11-18,78,77.0,,0.77,60.06
2016-11-19,81,77.0,,0.77,62.370000000000005
2016-11-20,81,77.0,,0.77,62.370000000000005
2016-11-21,74,77.0,,0.77,56.980000000000004
2016-11-22,80,77.0,,0.77,61.6
2016-11-23,83,77.0,,0.77,63.910000000000004
2016-11-24,100,77.0,,0.77,77.0
2016-11-25,76,77.0,,0.77,58.52
2016-11-26,78,77.0,,0.77,60.06
2016-11-27,84,77.0,,0.77,64.68
2016-11-28,76,77.0,,0.77,58.52
2016-11-29,79,77.0,,0.77,60.83
2016-11-30,82,77.0,,0.77,63.14
2016-12-01,94,73.0,False,0.73,68.62
2016-12-02,88,73.0,,0.73,64.24
2016-12-03,94,73.0,,0.73,68.62
2016-12-04,99,73.0,,0.73,72.27
2016-12-05,94,73.0,,0.73,68.62
2016-12-06,99,73.0,,0.73,72.27
2016-12-07,95,73.0,,0.73,69.35
2016-12-08,96,73.0,,0.73,70.08
2016-12-09,91,73.0,,0.73,66.42999999999999
2016-12-10,99,73.0,,0.73,72.27
2016-12-11,98,73.0,,0.73,71.53999999999999
2016-12-12,98,73.0,,0.73,71.53999999999999
2016-12-13,95,73.0,,0.73,69.35
2016-12-14,93,73.0,,0.73,67.89
2016-12-15,91,73.0,,0.73,66.42999999999999
2016-12-16,90,73.0,,0.73,65.7
2016-12-17,92,73.0,,0.73,67.16
2016-12-18,94,73.0,,0.73,68.62
2016-12-19,88,73.0,,0.73,64.24
2016-12-20,92,73.0,,0.73,67.16
2016-12-21,92,73.0,,0.73,67.16
2016-12-22,90,73.0,,0.73,65.7
2016-12-23,91,73.0,,0.73,66.42999999999999
2016-12-24,100,73.0,,0.73,73.0
2016-12-25,96,73.0,,0.73,70.08
2016-12-26,91,73.0,,0.73,66.42999999999999
2016-12-27,93,73.0,,0.73,67.89
2016-12-28,88,73.0,,0.73,64.24
2016-12-29,89,73.0,,0.73,64.97
2016-12-30,88,73.0,,0.73,64.24
2016-12-31,93,73.0,,0.73,67.89
2017-01-01,88,75.0,False,0.75,66.0
2017-01-02,92,75.0,,0.75,69.0
2017-01-03,88,75.0,,0.75,66.0
2017-01-04,90,75.0,,0.75,67.5
2017-01-05,92,75.0,,0.75,69.0
2017-01-06,94,75.0,,0.75,70.5
2017-01-07,95,75.0,,0.75,71.25
2017-01-08,95,75.0,,0.75,71.25
2017-01-09,92,75.0,,0.75,69.0
2017-01-10,91,75.0,,0.75,68.25
2017-01-11,90,75.0,,0.75,67.5
2017-01-12,93,75.0,,0.75,69.75
2017-01-13,93,75.0,,0.75,69.75
2017-01-14,95,75.0,,0.75,71.25
2017-01-15,92,75.0,,0.75,69.0
2017-01-16,93,75.0,,0.75,69.75
2017-01-17,92,75.0,,0.75,69.0
2017-01-18,97,75.0,,0.75,72.75
2017-01-19,98,75.0,,0.75,73.5
2017-01-20,95,75.0,,0.75,71.25
2017-01-21,95,75.0,,0.75,71.25
2017-01-22,100,75.0,,0.75,75.0
2017-01-23,92,75.0,,0.75,69.0
2017-01-24,94,75.0,,0.75,70.5
2017-01-25,92,75.0,,0.75,69.0
2017-01-26,94,75.0,,0.75,70.5
2017-01-27,93,75.0,,0.75,69.75
2017-01-28,94,75.0,,0.75,70.5
2017-01-29,99,75.0,,0.75,74.25
2017-01-30,91,75.0,,0.75,68.25
2017-01-31,92,75.0,,0.75,69.0
2017-02-01,80,74.0,False,0.74,59.2
2017-02-02,83,74.0,,0.74,61.42
2017-02-03,80,74.0,,0.74,59.2
2017-02-04,84,74.0,,0.74,62.16
2017-02-05,83,74.0,,0.74,61.42
2017-02-06,76,74.0,,0.74,56.24
2017-02-07,83,74.0,,0.74,61.42
2017-02-08,82,74.0,,0.74,60.68
2017-02-09,82,74.0,,0.74,60.68
2017-02-10,81,74.0,,0.74,59.94
2017-02-11,86,74.0,,0.74,63.64
2017-02-12,86,74.0,,0.74,63.64
2017-02-13,78,74.0,,0.74,57.72
2017-02-14,100,74.0,,0.74,74.0
2017-02-15,82,74.0,,0.74,60.68
2017-02-16,80,74.0,,0.74,59.2
2017-02-17,79,74.0,,0.74,58.46
2017-02-18,85,74.0,,0.74,62.9
2017-02-19,86,74.0,,0.74,63.64
2017-02-20,81,74.0,,0.74,59.94
2017-02-21,82,74.0,,0.74,60.68
2017-02-22,79,74.0,,0.74,58.46
2017-02-23,79,74.0,,0.74,58.46
2017-02-24,78,74.0,,0.74,57.72
2017-02-25,81,74.0,,0.74,59.94
2017-02-26,81,74.0,,0.74,59.94
2017-02-27,74,74.0,,0.74,54.76
2017-02-28,77,74.0,,0.74,56.98
2017-03-01,97,76.0,False,0.76,73.72
2017-03-02,92,76.0,,0.76,69.92
2017-03-03,94,76.0,,0.76,71.44
2017-03-04,95,76.0,,0.76,72.2
2017-03-05,100,76.0,,0.76,76.0
2017-03-06,94,76.0,,0.76,71.44
2017-03-07,95,76.0,,0.76,72.2
2017-03-08,99,76.0,,0.76,75.24
2017-03-09,95,76.0,,0.76,72.2
2017-03-10,92,76.0,,0.76,69.92
2017-03-11,96,76.0,,0.76,72.96000000000001
2017-03-12,98,76.0,,0.76,74.48
2017-03-13,94,76.0,,0.76,71.44
2017-03-14,95,76.0,,0.76,72.2
2017-03-15,93,76.0,,0.76,70.68
2017-03-16,94,76.0,,0.76,71.44
2017-03-17,93,76.0,,0.76,70.68
2017-03-18,95,76.0,,0.76,72.2
2017-03-19,97,76.0,,0.76,73.72
2017-03-20,91,76.0,,0.76,69.16
2017-03-21,94,76.0,,0.76,71.44
2017-03-22,95,76.0,,0.76,72.2
2017-03-23,93,76.0,,0.76,70.68
2017-03-24,95,76.0,,0.76,72.2
2017-03-25,93,76.0,,0.76,70.68
2017-03-26,93,76.0,,0.76,70.68
2017-03-27,91,76.0,,0.76,69.16
2017-03-28,94,76.0,,0.76,71.44
2017-03-29,97,76.0,,0.76,73.72
2017-03-30,94,76.0,,0.76,71.44
2017-03-31,92,76.0,,0.76,69.92
2017-04-01,95,73.0,False,0.73,69.35
2017-04-02,96,73.0,,0.73,70.08
2017-04-03,90,73.0,,0.73,65.7
2017-04-04,91,73.0,,0.73,66.42999999999999
2017-04-05,91,73.0,,0.73,66.42999999999999
2017-04-06,91,73.0,,0.73,66.42999999999999
2017-04-07,91,73.0,,0.73,66.42999999999999
2017-04-08,97,73.0,,0.73,70.81
2017-04-09,97,73.0,,0.73,70.81
2017-04-10,91,73.0,,0.73,66.42999999999999
2017-04-11,92,73.0,,0.73,67.16
2017-04-12,91,73.0,,0.73,66.42999999999999
2017-04-13,89,73.0,,0.73,64.97
2017-04-14,90,73.0,,0.73,65.7
2017-04-15,95,73.0,,0.73,69.35
2017-04-16,100,73.0,,0.73,73.0
2017-04-17,87,73.0,,0.73,63.51
2017-04-18,90,73.0,,0.73,65.7
2017-04-19,89,73.0,,0.73,64.97
2017-04-20,92,73.0,,0.73,67.16
2017-04-21,92,73.0,,0.73,67.16
2017-04-22,94,73.0,,0.73,68.62
2017-04-23,99,73.0,,0.73,72.27
2017-04-24,89,73.0,,0.73,64.97
2017-04-25,94,73.0,,0.73,68.62
2017-04-26,93,73.0,,0.73,67.89
2017-04-27,95,73.0,,0.73,69.35
2017-04-28,93,73.0,,0.73,67.89
2017-04-29,96,73.0,,0.73,70.08
2017-04-30,99,73.0,,0.73,72.27
2017-05-01,49,78.0,False,0.78,38.22
2017-05-02,52,78.0,,0.78,40.56
2017-05-03,57,78.0,,0.78,44.46
2017-05-04,61,78.0,,0.78,47.58
2017-05-05,100,78.0,,0.78,78.0
2017-05-06,67,78.0,,0.78,52.260000000000005
2017-05-07,58,78.0,,0.78,45.24
2017-05-08,52,78.0,,0.78,40.56
2017-05-09,51,78.0,,0.78,39.78
2017-05-10,65,78.0,,0.78,50.7
2017-05-11,51,78.0,,0.78,39.78
2017-05-12,51,78.0,,0.78,39.78
2017-05-13,52,78.0,,0.78,40.56
2017-05-14,63,78.0,,0.78,49.14
2017-05-15,49,78.0,,0.78,38.22
2017-05-16,50,78.0,,0.78,39.0
2017-05-17,51,78.0,,0.78,39.78
2017-05-18,49,78.0,,0.78,38.22
2017-05-19,49,78.0,,0.78,38.22
2017-05-20,51,78.0,,0.78,39.78
2017-05-21,54,78.0,,0.78,42.120000000000005
2017-05-22,50,78.0,,0.78,39.0
2017-05-23,50,78.0,,0.78,39.0
2017-05-24,53,78.0,,0.78,41.34
2017-05-25,50,78.0,,0.78,39.0
2017-05-26,51,78.0,,0.78,39.78
2017-05-27,54,78.0,,0.78,42.120000000000005
2017-05-28,54,78.0,,0.78,42.120000000000005
2017-05-29,54,78.0,,0.78,42.120000000000005
2017-05-30,50,78.0,,0.78,39.0
2017-05-31,52,78.0,,0.78,40.56
2017-06-01,90,75.0,False,0.75,67.5
2017-06-02,89,75.0,,0.75,66.75
2017-06-03,93,75.0,,0.75,69.75
2017-06-04,93,75.0,,0.75,69.75
2017-06-05,92,75.0,,0.75,69.0
2017-06-06,88,75.0,,0.75,66.0
2017-06-07,91,75.0,,0.75,68.25
2017-06-08,89,75.0,,0.75,66.75
2017-06-09,90,75.0,,0.75,67.5
2017-06-10,89,75.0,,0.75,66.75
2017-06-11,93,75.0,,0.75,69.75
2017-06-12,88,75.0,,0.75,66.0
2017-06-13,90,75.0,,0.75,67.5
2017-06-14,92,75.0,,0.75,69.0
2017-06-15,96,75.0,,0.75,72.0
2017-06-16,91,75.0,,0.75,68.25
2017-06-17,96,75.0,,0.75,72.0
2017-06-18,100,75.0,,0.75,75.0
2017-06-19,91,75.0,,0.75,68.25
2017-06-20,88,75.0,,0.75,66.0
2017-06-21,95,75.0,,0.75,71.25
2017-06-22,97,75.0,,0.75,72.75
2017-06-23,94,75.0,,0.75,70.5
2017-06-24,100,75.0,,0.75,75.0
2017-06-25,99,75.0,,0.75,74.25
2017-06-26,89,75.0,,0.75,66.75
2017-06-27,93,75.0,,0.75,69.75
2017-06-28,93,75.0,,0.75,69.75
2017-06-29,95,75.0,,0.75,71.25
2017-06-30,91,75.0,,0.75,68.25
2017-07-01,90,78.0,False,0.78,70.2
2017-07-02,91,78.0,,0.78,70.98
2017-07-03,87,78.0,,0.78,67.86
2017-07-04,100,78.0,,0.78,78.0
2017-07-05,88,78.0,,0.78,68.64
2017-07-06,82,78.0,,0.78,63.96
2017-07-07,85,78.0,,0.78,66.3
2017-07-08,91,78.0,,0.78,70.98
2017-07-09,94,78.0,,0.78,73.32000000000001
2017-07-10,87,78.0,,0.78,67.86
2017-07-11,86,78.0,,0.78,67.08
2017-07-12,86,78.0,,0.78,67.08
2017-07-13,86,78.0,,0.78,67.08
2017-07-14,92,78.0,,0.78,71.76
2017-07-15,90,78.0,,0.78,70.2
2017-07-16,92,78.0,,0.78,71.76
2017-07-17,86,78.0,,0.78,67.08
2017-07-18,83,78.0,,0.78,64.74000000000001
2017-07-19,85,78.0,,0.78,66.3
2017-07-20,88,78.0,,0.78,68.64
2017-07-21,88,78.0,,0.78,68.64
2017-07-22,92,78.0,,0.78,71.76
2017-07-23,90,78.0,,0.78,70.2
2017-07-24,84,78.0,,0.78,65.52
2017-07-25,81,78.0,,0.78,63.18
2017-07-26,82,78.0,,0.78,63.96
2017-07-27,82,78.0,,0.78,63.96
2017-07-28,82,78.0,,0.78,63.96
2017-07-29,85,78.0,,0.78,66.3
2017-07-30,87,78.0,,0.78,67.86
2017-07-31,79,78.0,,0.78,61.620000000000005
2017-08-01,89,78.0,False,0.78,69.42
2017-08-02,93,78.0,,0.78,72.54
2017-08-03,91,78.0,,0.78,70.98
2017-08-04,97,78.0,,0.78,75.66
2017-08-05,100,78.0,,0.78,78.0
2017-08-06,94,78.0,,0.78,73.32000000000001
2017-08-07,93,78.0,,0.78,72.54
2017-08-08,96,78.0,,0.78,74.88
2017-08-09,94,78.0,,0.78,73.32000000000001
2017-08-10,93,78.0,,0.78,72.54
2017-08-11,91,78.0,,0.78,70.98
2017-08-12,93,78.0,,0.78,72.54
2017-08-13,100,78.0,,0.78,78.0
2017-08-14,88,78.0,,0.78,68.64
2017-08-15,93,78.0,,0.78,72.54
2017-08-16,89,78.0,,0.78,69.42
2017-08-17,92,78.0,,0.78,71.76
2017-08-18,89,78.0,,0.78,69.42
2017-08-19,97,78.0,,0.78,75.66
2017-08-20,94,78.0,,0.78,73.32000000000001
2017-08-21,88,78.0,,0.78,68.64
2017-08-22,90,78.0,,0.78,70.2
2017-08-23,91,78.0,,0.78,70.98
2017-08-24,92,78.0,,0.78,71.76
2017-08-25,93,78.0,,0.78,72.54
2017-08-26,95,78.0,,0.78,74.10000000000001
2017-08-27,92,78.0,,0.78,71.76
2017-08-28,88,78.0,,0.78,68.64
2017-08-29,90,78.0,,0.78,70.2
2017-08-30,90,78.0,,0.78,70.2
2017-08-31,90,78.0,,0.78,70.2
2017-09-01,95,75.0,False,0.75,71.25
2017-09-02,100,75.0,,0.75,75.0
2017-09-03,99,75.0,,0.75,74.25
2017-09-04,98,75.0,,0.75,73.5
2017-09-05,97,75.0,,0.75,72.75
2017-09-06,96,75.0,,0.75,72.0
2017-09-07,88,75.0,,0.75,66.0
2017-09-08,88,75.0,,0.75,66.0
2017-09-09,99,75.0,,0.75,74.25
2017-09-10,90,75.0,,0.75,67.5
2017-09-11,85,75.0,,0.75,63.75
2017-09-12,91,75.0,,0.75,68.25
2017-09-13,90,75.0,,0.75,67.5
2017-09-14,93,75.0,,0.75,69.75
2017-09-15,92,75.0,,0.75,69.0
2017-09-16,100,75.0,,0.75,75.0
2017-09-17,100,75.0,,0.75,75.0
2017-09-18,89,75.0,,0.75,66.75
2017-09-19,97,75.0,,0.75,72.75
2017-09-20,100,75.0,,0.75,75.0
2017-09-21,93,75.0,,0.75,69.75
2017-09-22,93,75.0,,0.75,69.75
2017-09-23,99,75.0,,0.75,74.25
2017-09-24,91,75.0,,0.75,68.25
2017-09-25,88,75.0,,0.75,66.0
2017-09-26,92,75.0,,0.75,69.0
2017-09-27,94,75.0,,0.75,70.5
2017-09-28,94,75.0,,0.75,70.5
2017-09-29,94,75.0,,0.75,70.5
2017-09-30,95,75.0,,0.75,71.25
2017-10-01,92,76.0,False,0.76,69.92
2017-10-02,80,76.0,,0.76,60.8
2017-10-03,86,76.0,,0.76,65.36
2017-10-04,93,76.0,,0.76,70.68
2017-10-05,98,76.0,,0.76,74.48
2017-10-06,97,76.0,,0.76,73.72
2017-10-07,94,76.0,,0.76,71.44
2017-10-08,96,76.0,,0.76,72.96000000000001
2017-10-09,89,76.0,,0.76,67.64
2017-10-10,91,76.0,,0.76,69.16
2017-10-11,90,76.0,,0.76,68.4
2017-10-12,92,76.0,,0.76,69.92
2017-10-13,91,76.0,,0.76,69.16
2017-10-14,92,76.0,,0.76,69.92
2017-10-15,92,76.0,,0.76,69.92
2017-10-16,88,76.0,,0.76,66.88
2017-10-17,91,76.0,,0.76,69.16
2017-10-18,88,76.0,,0.76,66.88
2017-10-19,96,76.0,,0.76,72.96000000000001
2017-10-20,94,76.0,,0.76,71.44
2017-10-21,94,76.0,,0.76,71.44
2017-10-22,92,76.0,,0.76,69.92
2017-10-23,91,76.0,,0.76,69.16
2017-10-24,90,76.0,,0.76,68.4
2017-10-25,90,76.0,,0.76,68.4
2017-10-26,95,76.0,,0.76,72.2
2017-10-27,93,76.0,,0.76,70.68
2017-10-28,95,76.0,,0.76,72.2
2017-10-29,100,76.0,,0.76,76.0
2017-10-30,91,76.0,,0.76,69.16
2017-10-31,94,76.0,,0.76,71.44
2017-11-01,94,74.0,False,0.74,69.56
2017-11-02,92,74.0,,0.74,68.08
2017-11-03,90,74.0,,0.74,66.6
2017-11-04,92,74.0,,0.74,68.08
2017-11-05,91,74.0,,0.74,67.34
2017-11-06,83,74.0,,0.74,61.42
2017-11-07,87,74.0,,0.74,64.38
2017-11-08,86,74.0,,0.74,63.64
2017-11-09,86,74.0,,0.74,63.64
2017-11-10,87,74.0,,0.74,64.38
2017-11-11,87,74.0,,0.74,64.38
2017-11-12,86,74.0,,0.74,63.64
2017-11-13,85,74.0,,0.74,62.9
2017-11-14,84,74.0,,0.74,62.16
2017-11-15,84,74.0,,0.74,62.16
2017-11-16,86,74.0,,0.74,63.64
2017-11-17,82,74.0,,0.74,60.68
2017-11-18,86,74.0,,0.74,63.64
2017-11-19,84,74.0,,0.74,62.16
2017-11-20,79,74.0,,0.74,58.46
2017-11-21,83,74.0,,0.74,61.42
2017-11-22,85,74.0,,0.74,62.9
2017-11-23,100,74.0,,0.74,74.0
2017-11-24,81,74.0,,0.74,59.94
2017-11-25,83,74.0,,0.74,61.42
2017-11-26,84,74.0,,0.74,62.16
2017-11-27,77,74.0,,0.74,56.98
2017-11-28,82,74.0,,0.74,60.68
2017-11-29,80,74.0,,0.74,59.2
2017-11-30,83,74.0,,0.74,61.42
2017-12-01,85,71.0,False,0.71,60.349999999999994
2017-12-02,92,71.0,,0.71,65.32
2017-12-03,89,71.0,,0.71,63.19
2017-12-04,87,71.0,,0.71,61.769999999999996
2017-12-05,86,71.0,,0.71,61.059999999999995
2017-12-06,88,71.0,,0.71,62.48
2017-12-07,87,71.0,,0.71,61.769999999999996
2017-12-08,87,71.0,,0.71,61.769999999999996
2017-12-09,89,71.0,,0.71,63.19
2017-12-10,89,71.0,,0.71,63.19
2017-12-11,84,71.0,,0.71,59.64
2017-12-12,91,71.0,,0.71,64.61
2017-12-13,84,71.0,,0.71,59.64
2017-12-14,83,71.0,,0.71,58.93
2017-12-15,83,71.0,,0.71,58.93
2017-12-16,89,71.0,,0.71,63.19
2017-12-17,90,71.0,,0.71,63.9
2017-12-18,84,71.0,,0.71,59.64
2017-12-19,98,71.0,,0.71,69.58
2017-12-20,94,71.0,,0.71,66.74
2017-12-21,92,71.0,,0.71,65.32
2017-12-22,89,71.0,,0.71,63.19
2017-12-23,96,71.0,,0.71,68.16
2017-12-24,100,71.0,,0.71,71.0
2017-12-25,93,71.0,,0.71,66.03
2017-12-26,87,71.0,,0.71,61.769999999999996
2017-12-27,89,71.0,,0.71,63.19
2017-12-28,90,71.0,,0.71,63.9
2017-12-29,85,71.0,,0.71,60.349999999999994
2017-12-30,91,71.0,,0.71,64.61
2017-12-31,95,71.0,,0.71,67.45
2018-01-01,85,75.0,False,0.75,63.75
2018-01-02,83,75.0,,0.75,62.25
2018-01-03,85,75.0,,0.75,63.75
2018-01-04,88,75.0,,0.75,66.0
2018-01-05,89,75.0,,0.75,66.75
2018-01-06,100,75.0,,0.75,75.0
2018-01-07,93,75.0,,0.75,69.75
2018-01-08,88,75.0,,0.75,66.0
2018-01-09,89,75.0,,0.75,66.75
2018-01-10,92,75.0,,0.75,69.0
2018-01-11,91,75.0,,0.75,68.25
2018-01-12,93,75.0,,0.75,69.75
