date,GM_unscaled,GM_monthly,isPartial,scale,GM
2016-08-31,100,66.0,,0.66,66.0
2016-09-01,78,69.0,False,0.69,53.81999999999999
2016-09-02,74,69.0,,0.69,51.059999999999995
2016-09-03,62,69.0,,0.69,42.779999999999994
2016-09-04,59,69.0,,0.69,40.709999999999994
2016-09-05,62,69.0,,0.69,42.779999999999994
2016-09-06,85,69.0,,0.69,58.65
2016-09-07,82,69.0,,0.69,56.58
2016-09-08,84,69.0,,0.69,57.959999999999994
2016-09-09,100,69.0,,0.69,69.0
2016-09-10,75,69.0,,0.69,51.74999999999999
2016-09-11,61,69.0,,0.69,42.089999999999996
2016-09-12,92,69.0,,0.69,63.48
2016-09-13,87,69.0,,0.69,60.029999999999994
2016-09-14,81,69.0,,0.69,55.88999999999999
2016-09-15,86,69.0,,0.69,59.339999999999996
2016-09-16,85,69.0,,0.69,58.65
2016-09-17,64,69.0,,0.69,44.16
2016-09-18,57,69.0,,0.69,39.33
2016-09-19,92,69.0,,0.69,63.48
2016-09-20,82,69.0,,0.69,56.58
2016-09-21,84,69.0,,0.69,57.959999999999994
2016-09-22,81,69.0,,0.69,55.88999999999999
2016-09-23,78,69.0,,0.69,53.81999999999999
2016-09-24,61,69.0,,0.69,42.089999999999996
2016-09-25,58,69.0,,0.69,40.019999999999996
2016-09-26,84,69.0,,0.69,57.959999999999994
2016-09-27,79,69.0,,0.69,54.51
2016-09-28,84,69.0,,0.69,57.959999999999994
2016-09-29,77,69.0,,0.69,53.129999999999995
2016-09-30,84,69.0,,0.69,57.959999999999994
2016-10-01,72,65.0,False,0.65,46.800000000000004
2016-10-02,67,65.0,,0.65,43.550000000000004
2016-10-03,86,65.0,,0.65,55.9
2016-10-04,92,65.0,,0.65,59.800000000000004
2016-10-05,82,65.0,,0.65,53.300000000000004
2016-10-06,84,65.0,,0.65,54.6
2016-10-07,83,65.0,,0.65,53.95
2016-10-08,70,65.0,,0.65,45.5
2016-10-09,62,65.0,,0.65,40.300000000000004
2016-10-10,87,65.0,,0.65,56.550000000000004
2016-10-11,91,65.0,,0.65,59.15
2016-10-12,92,65.0,,0.65,59.800000000000004
2016-10-13,93,65.0,,0.65,60.45
2016-10-14,87,65.0,,0.65,56.550000000000004
2016-10-15,74,65.0,,0.65,48.1
2016-10-16,67,65.0,,0.65,43.550000000000004
2016-10-17,95,65.0,,0.65,61.75
2016-10-18,95,65.0,,0.65,61.75
2016-10-19,95,65.0,,0.65,61.75
2016-10-20,90,65.0,,0.65,58.5
2016-10-21,88,65.0,,0.65,57.2
2016-10-22,73,65.0,,0.65,47.45
2016-10-23,76,65.0,,0.65,49.4
2016-10-24,99,65.0,,0.65,64.35000000000001
2016-10-25,100,65.0,,0.65,65.0
2016-10-26,93,65.0,,0.65,60.45
2016-10-27,93,65.0,,0.65,60.45
2016-10-28,92,65.0,,0.65,59.800000000000004
2016-10-29,66,65.0,,0.65,42.9
2016-10-30,65,65.0,,0.65,42.25
2016-10-31,92,65.0,,0.65,59.800000000000004
2016-11-01,97,64.0,False,0.64,62.08
2016-11-02,91,64.0,,0.64,58.24
2016-11-03,100,64.0,,0.64,64.0
2016-11-04,87,64.0,,0.64,55.68
2016-11-05,70,64.0,,0.64,44.800000000000004
2016-11-06,67,64.0,,0.64,42.88
2016-11-07,95,64.0,,0.64,60.800000000000004
2016-11-08,81,64.0,,0.64,51.84
2016-11-09,71,64.0,,0.64,45.44
2016-11-10,94,64.0,,0.64,60.160000000000004
2016-11-11,91,64.0,,0.64,58.24
2016-11-12,67,64.0,,0.64,42.88
2016-11-13,62,64.0,,0.64,39.68
2016-11-14,95,64.0,,0.64,60.800000000000004
2016-11-15,99,64.0,,0.64,63.36
2016-11-16,93,64.0,,0.64,59.52
2016-11-17,96,64.0,,0.64,61.44
2016-11-18,92,64.0,,0.64,58.88
2016-11-19,73,64.0,,0.64,46.72
2016-11-20,63,64.0,,0.64,40.32
2016-11-21,95,64.0,,0.64,60.800000000000004
2016-11-22,92,64.0,,0.64,58.88
2016-11-23,83,64.0,,0.64,53.120000000000005
2016-11-24,58,64.0,,0.64,37.12
2016-11-25,68,64.0,,0.64,43.52
2016-11-26,65,64.0,,0.64,41.6
2016-11-27,66,64.0,,0.64,42.24
2016-11-28,92,64.0,,0.64,58.88
2016-11-29,94,64.0,,0.64,60.160000000000004
2016-11-30,92,64.0,,0.64,58.88
2016-12-01,98,62.0,False,0.62,60.76
2016-12-02,94,62.0,,0.62,58.28
2016-12-03,79,62.0,,0.62,48.98
2016-12-04,68,62.0,,0.62,42.16
2016-12-05,96,62.0,,0.62,59.519999999999996
2016-12-06,96,62.0,,0.62,59.519999999999996
2016-12-07,96,62.0,,0.62,59.519999999999996
2016-12-08,94,62.0,,0.62,58.28
2016-12-09,90,62.0,,0.62,55.8
2016-12-10,77,62.0,,0.62,47.74
2016-12-11,69,62.0,,0.62,42.78
2016-12-12,95,62.0,,0.62,58.9
2016-12-13,94,62.0,,0.62,58.28
2016-12-14,100,62.0,,0.62,62.0
2016-12-15,95,62.0,,0.62,58.9
2016-12-16,97,62.0,,0.62,60.14
2016-12-17,70,62.0,,0.62,43.4
2016-12-18,67,62.0,,0.62,41.54
2016-12-19,93,62.0,,0.62,57.66
2016-12-20,99,62.0,,0.62,61.38
2016-12-21,90,62.0,,0.62,55.8
2016-12-22,93,62.0,,0.62,57.66
2016-12-23,83,62.0,,0.62,51.46
2016-12-24,65,62.0,,0.62,40.3
2016-12-25,55,62.0,,0.62,34.1
2016-12-26,72,62.0,,0.62,44.64
2016-12-27,95,62.0,,0.62,58.9
2016-12-28,94,62.0,,0.62,58.28
2016-12-29,94,62.0,,0.62,58.28
2016-12-30,81,62.0,,0.62,50.22
2016-12-31,70,62.0,,0.62,43.4
2017-01-01,56,70.0,False,0.7,39.199999999999996
2017-01-02,79,70.0,,0.7,55.3
2017-01-03,100,70.0,,0.7,70.0
2017-01-04,89,70.0,,0.7,62.3
2017-01-05,83,70.0,,0.7,58.099999999999994
2017-01-06,87,70.0,,0.7,60.9
2017-01-07,75,70.0,,0.7,52.5
2017-01-08,61,70.0,,0.7,42.699999999999996
2017-01-09,83,70.0,,0.7,58.099999999999994
2017-01-10,86,70.0,,0.7,60.199999999999996
2017-01-11,76,70.0,,0.7,53.199999999999996
2017-01-12,86,70.0,,0.7,60.199999999999996
2017-01-13,83,70.0,,0.7,58.099999999999994
2017-01-14,68,70.0,,0.7,47.599999999999994
2017-01-15,63,70.0,,0.7,44.099999999999994
2017-01-16,78,70.0,,0.7,54.599999999999994
2017-01-17,96,70.0,,0.7,67.19999999999999
2017-01-18,92,70.0,,0.7,64.39999999999999
2017-01-19,86,70.0,,0.7,60.199999999999996
2017-01-20,82,70.0,,0.7,57.4
2017-01-21,67,70.0,,0.7,46.9
2017-01-22,72,70.0,,0.7,50.4
2017-01-23,82,70.0,,0.7,57.4
2017-01-24,95,70.0,,0.7,66.5
2017-01-25,80,70.0,,0.7,56.0
2017-01-26,90,70.0,,0.7,62.99999999999999
2017-01-27,85,70.0,,0.7,59.49999999999999
2017-01-28,69,70.0,,0.7,48.3
2017-01-29,65,70.0,,0.7,45.5
2017-01-30,94,70.0,,0.7,65.8
2017-01-31,97,70.0,,0.7,67.89999999999999
2017-02-01,89,69.0,False,0.69,61.41
2017-02-02,87,69.0,,0.69,60.029999999999994
2017-02-03,84,69.0,,0.69,57.959999999999994
2017-02-04,75,69.0,,0.69,51.74999999999999
2017-02-05,58,69.0,,0.69,40.019999999999996
2017-02-06,84,69.0,,0.69,57.959999999999994
2017-02-07,100,69.0,,0.69,69.0
2017-02-08,97,69.0,,0.69,66.92999999999999
2017-02-09,81,69.0,,0.69,55.88999999999999
2017-02-10,85,69.0,,0.69,58.65
2017-02-11,69,69.0,,0.69,47.61
2017-02-12,63,69.0,,0.69,43.47
2017-02-13,84,69.0,,0.69,57.959999999999994
2017-02-14,90,69.0,,0.69,62.099999999999994
2017-02-15,89,69.0,,0.69,61.41
2017-02-16,85,69.0,,0.69,58.65
2017-02-17,84,69.0,,0.69,57.959999999999994
2017-02-18,76,69.0,,0.69,52.44
2017-02-19,62,69.0,,0.69,42.779999999999994
2017-02-20,86,69.0,,0.69,59.339999999999996
2017-02-21,99,69.0,,0.69,68.30999999999999
2017-02-22,94,69.0,,0.69,64.86
2017-02-23,91,69.0,,0.69,62.78999999999999
2017-02-24,93,69.0,,0.69,64.17
2017-02-25,70,69.0,,0.69,48.3
2017-02-26,69,69.0,,0.69,47.61
2017-02-27,88,69.0,,0.69,60.72
2017-02-28,91,69.0,,0.69,62.78999999999999
2017-03-01,93,70.0,False,0.7,65.1
2017-03-02,95,70.0,,0.7,66.5
2017-03-03,98,70.0,,0.7,68.6
2017-03-04,80,70.0,,0.7,56.0
2017-03-05,77,70.0,,0.7,53.9
2017-03-06,100,70.0,,0.7,70.0
2017-03-07,96,70.0,,0.7,67.19999999999999
2017-03-08,96,70.0,,0.7,67.19999999999999
2017-03-09,86,70.0,,0.7,60.199999999999996
2017-03-10,97,70.0,,0.7,67.89999999999999
2017-03-11,71,70.0,,0.7,49.699999999999996
2017-03-12,65,70.0,,0.7,45.5
2017-03-13,89,70.0,,0.7,62.3
2017-03-14,84,70.0,,0.7,58.8
2017-03-15,91,70.0,,0.7,63.699999999999996
2017-03-16,86,70.0,,0.7,60.199999999999996
2017-03-17,85,70.0,,0.7,59.49999999999999
2017-03-18,69,70.0,,0.7,48.3
2017-03-19,68,70.0,,0.7,47.599999999999994
2017-03-20,93,70.0,,0.7,65.1
2017-03-21,91,70.0,,0.7,63.699999999999996
2017-03-22,90,70.0,,0.7,62.99999999999999
2017-03-23,86,70.0,,0.7,60.199999999999996
2017-03-24,82,70.0,,0.7,57.4
2017-03-25,64,70.0,,0.7,44.8
2017-03-26,66,70.0,,0.7,46.199999999999996
2017-03-27,94,70.0,,0.7,65.8
2017-03-28,97,70.0,,0.7,67.89999999999999
2017-03-29,87,70.0,,0.7,60.9
2017-03-30,89,70.0,,0.7,62.3
2017-03-31,84,70.0,,0.7,58.8
2017-04-01,68,71.0,False,0.71,48.28
2017-04-02,64,71.0,,0.71,45.44
2017-04-03,88,71.0,,0.71,62.48
2017-04-04,93,71.0,,0.71,66.03
2017-04-05,85,71.0,,0.71,60.349999999999994
2017-04-06,81,71.0,,0.71,57.51
2017-04-07,78,71.0,,0.71,55.379999999999995
2017-04-08,67,71.0,,0.71,47.57
2017-04-09,65,71.0,,0.71,46.15
2017-04-10,92,71.0,,0.71,65.32
2017-04-11,90,71.0,,0.71,63.9
2017-04-12,83,71.0,,0.71,58.93
2017-04-13,82,71.0,,0.71,58.22
2017-04-14,78,71.0,,0.71,55.379999999999995
2017-04-15,65,71.0,,0.71,46.15
2017-04-16,61,71.0,,0.71,43.309999999999995
2017-04-17,90,71.0,,0.71,63.9
2017-04-18,81,71.0,,0.71,57.51
2017-04-19,83,71.0,,0.71,58.93
2017-04-20,99,71.0,,0.71,70.28999999999999
2017-04-21,90,71.0,,0.71,63.9
2017-04-22,69,71.0,,0.71,48.989999999999995
2017-04-23,60,71.0,,0.71,42.599999999999994
2017-04-24,91,71.0,,0.71,64.61
2017-04-25,86,71.0,,0.71,61.059999999999995
2017-04-26,91,71.0,,0.71,64.61
2017-04-27,84,71.0,,0.71,59.64
2017-04-28,100,71.0,,0.71,71.0
2017-04-29,75,71.0,,0.71,53.25
2017-04-30,69,71.0,,0.71,48.989999999999995
2017-05-01,100,68.0,False,0.68,68.0
2017-05-02,99,68.0,,0.68,67.32000000000001
2017-05-03,89,68.0,,0.68,60.52
2017-05-04,90,68.0,,0.68,61.2
2017-05-05,87,68.0,,0.68,59.160000000000004
2017-05-06,70,68.0,,0.68,47.6
2017-05-07,67,68.0,,0.68,45.56
2017-05-08,96,68.0,,0.68,65.28
2017-05-09,90,68.0,,0.68,61.2
2017-05-10,86,68.0,,0.68,58.480000000000004
2017-05-11,84,68.0,,0.68,57.120000000000005
2017-05-12,87,68.0,,0.68,59.160000000000004
2017-05-13,69,68.0,,0.68,46.92
2017-05-14,66,68.0,,0.68,44.88
2017-05-15,90,68.0,,0.68,61.2
2017-05-16,87,68.0,,0.68,59.160000000000004
2017-05-17,84,68.0,,0.68,57.120000000000005
2017-05-18,88,68.0,,0.68,59.84
2017-05-19,77,68.0,,0.68,52.36000000000001
2017-05-20,61,68.0,,0.68,41.480000000000004
2017-05-21,63,68.0,,0.68,42.84
2017-05-22,89,68.0,,0.68,60.52
2017-05-23,89,68.0,,0.68,60.52
2017-05-24,84,68.0,,0.68,57.120000000000005
2017-05-25,87,68.0,,0.68,59.160000000000004
2017-05-26,84,68.0,,0.68,57.120000000000005
2017-05-27,63,68.0,,0.68,42.84
2017-05-28,53,68.0,,0.68,36.04
2017-05-29,60,68.0,,0.68,40.800000000000004
2017-05-30,86,68.0,,0.68,58.480000000000004
2017-05-31,85,68.0,,0.68,57.800000000000004
2017-06-01,98,67.0,False,0.67,65.66000000000001
2017-06-02,94,67.0,,0.67,62.980000000000004
2017-06-03,69,67.0,,0.67,46.230000000000004
2017-06-04,69,67.0,,0.67,46.230000000000004
2017-06-05,93,67.0,,0.67,62.31
2017-06-06,95,67.0,,0.67,63.650000000000006
2017-06-07,96,67.0,,0.67,64.32000000000001
2017-06-08,92,67.0,,0.67,61.64
2017-06-09,95,67.0,,0.67,63.650000000000006
2017-06-10,70,67.0,,0.67,46.900000000000006
2017-06-11,65,67.0,,0.67,43.550000000000004
2017-06-12,93,67.0,,0.67,62.31
2017-06-13,88,67.0,,0.67,58.96
2017-06-14,91,67.0,,0.67,60.970000000000006
2017-06-15,96,67.0,,0.67,64.32000000000001
2017-06-16,93,67.0,,0.67,62.31
2017-06-17,71,67.0,,0.67,47.57
2017-06-18,70,67.0,,0.67,46.900000000000006
2017-06-19,96,67.0,,0.67,64.32000000000001
2017-06-20,97,67.0,,0.67,64.99000000000001
2017-06-21,97,67.0,,0.67,64.99000000000001
2017-06-22,100,67.0,,0.67,67.0
2017-06-23,98,67.0,,0.67,65.66000000000001
2017-06-24,75,67.0,,0.67,50.25
2017-06-25,70,67.0,,0.67,46.900000000000006
2017-06-26,95,67.0,,0.67,63.650000000000006
2017-06-27,90,67.0,,0.67,60.300000000000004
2017-06-28,97,67.0,,0.67,64.99000000000001
2017-06-29,95,67.0,,0.67,63.650000000000006
2017-06-30,99,67.0,,0.67,66.33
2017-07-01,74,64.0,False,0.64,47.36
2017-07-02,59,64.0,,0.64,37.76
2017-07-03,87,64.0,,0.64,55.68
2017-07-04,68,64.0,,0.64,43.52
2017-07-05,94,64.0,,0.64,60.160000000000004
2017-07-06,84,64.0,,0.64,53.76
2017-07-07,83,64.0,,0.64,53.120000000000005
2017-07-08,67,64.0,,0.64,42.88
2017-07-09,64,64.0,,0.64,40.96
2017-07-10,88,64.0,,0.64,56.32
2017-07-11,85,64.0,,0.64,54.4
2017-07-12,87,64.0,,0.64,55.68
2017-07-13,90,64.0,,0.64,57.6
2017-07-14,91,64.0,,0.64,58.24
2017-07-15,72,64.0,,0.64,46.08
2017-07-16,69,64.0,,0.64,44.160000000000004
2017-07-17,87,64.0,,0.64,55.68
2017-07-18,93,64.0,,0.64,59.52
2017-07-19,90,64.0,,0.64,57.6
2017-07-20,92,64.0,,0.64,58.88
2017-07-21,91,64.0,,0.64,58.24
2017-07-22,73,64.0,,0.64,46.72
2017-07-23,68,64.0,,0.64,43.52
2017-07-24,92,64.0,,0.64,58.88
2017-07-25,100,64.0,,0.64,64.0
2017-07-26,91,64.0,,0.64,58.24
2017-07-27,89,64.0,,0.64,56.96
2017-07-28,89,64.0,,0.64,56.96
2017-07-29,68,64.0,,0.64,43.52
2017-07-30,62,64.0,,0.64,39.68
2017-07-31,98,64.0,,0.64,62.72
2017-08-01,96,64.0,False,0.64,61.44
2017-08-02,89,64.0,,0.64,56.96
2017-08-03,84,64.0,,0.64,53.76
2017-08-04,86,64.0,,0.64,55.04
2017-08-05,66,64.0,,0.64,42.24
2017-08-06,69,64.0,,0.64,44.160000000000004
2017-08-07,93,64.0,,0.64,59.52
2017-08-08,85,64.0,,0.64,54.4
2017-08-09,81,64.0,,0.64,51.84
2017-08-10,87,64.0,,0.64,55.68
2017-08-11,83,64.0,,0.64,53.120000000000005
2017-08-12,68,64.0,,0.64,43.52
2017-08-13,61,64.0,,0.64,39.04
2017-08-14,90,64.0,,0.64,57.6
2017-08-15,100,64.0,,0.64,64.0
2017-08-16,91,64.0,,0.64,58.24
2017-08-17,85,64.0,,0.64,54.4
2017-08-18,93,64.0,,0.64,59.52
2017-08-19,68,64.0,,0.64,43.52
2017-08-20,60,64.0,,0.64,38.4
2017-08-21,74,64.0,,0.64,47.36
2017-08-22,92,64.0,,0.64,58.88
2017-08-23,87,64.0,,0.64,55.68
2017-08-24,79,64.0,,0.64,50.56
2017-08-25,81,64.0,,0.64,51.84
2017-08-26,67,64.0,,0.64,42.88
2017-08-27,56,64.0,,0.64,35.84
2017-08-28,85,64.0,,0.64,54.4
2017-08-29,85,64.0,,0.64,54.4
2017-08-30,81,64.0,,0.64,51.84
2017-08-31,86,64.0,,0.64,55.04
2017-09-01,91,65.0,False,0.65,59.15
2017-09-02,65,65.0,,0.65,42.25
2017-09-03,60,65.0,,0.65,39.0
2017-09-04,66,65.0,,0.65,42.9
2017-09-05,91,65.0,,0.65,59.15
2017-09-06,86,65.0,,0.65,55.9
2017-09-07,84,65.0,,0.65,54.6
2017-09-08,96,65.0,,0.65,62.400000000000006
2017-09-09,68,65.0,,0.65,44.2
2017-09-10,64,65.0,,0.65,41.6
2017-09-11,89,65.0,,0.65,57.85
2017-09-12,96,65.0,,0.65,62.400000000000006
2017-09-13,100,65.0,,0.65,65.0
2017-09-14,97,65.0,,0.65,63.050000000000004
2017-09-15,93,65.0,,0.65,60.45
2017-09-16,68,65.0,,0.65,44.2
2017-09-17,67,65.0,,0.65,43.550000000000004
2017-09-18,99,65.0,,0.65,64.35000000000001
2017-09-19,96,65.0,,0.65,62.400000000000006
2017-09-20,92,65.0,,0.65,59.800000000000004
2017-09-21,92,65.0,,0.65,59.800000000000004
2017-09-22,93,65.0,,0.65,60.45
2017-09-23,68,65.0,,0.65,44.2
2017-09-24,68,65.0,,0.65,44.2
2017-09-25,98,65.0,,0.65,63.7
2017-09-26,99,65.0,,0.65,64.35000000000001
2017-09-27,97,65.0,,0.65,63.050000000000004
2017-09-28,97,65.0,,0.65,63.050000000000004
2017-09-29,94,65.0,,0.65,61.1
2017-09-30,77,65.0,,0.65,50.050000000000004
2017-10-01,66,70.0,False,0.7,46.199999999999996
2017-10-02,90,70.0,,0.7,62.99999999999999
2017-10-03,100,70.0,,0.7,70.0
2017-10-04,92,70.0,,0.7,64.39999999999999
2017-10-05,88,70.0,,0.7,61.599999999999994
2017-10-06,83,70.0,,0.7,58.099999999999994
2017-10-07,63,70.0,,0.7,44.099999999999994
2017-10-08,53,70.0,,0.7,37.099999999999994
2017-10-09,87,70.0,,0.7,60.9
2017-10-10,87,70.0,,0.7,60.9
2017-10-11,89,70.0,,0.7,62.3
2017-10-12,82,70.0,,0.7,57.4
2017-10-13,80,70.0,,0.7,56.0
2017-10-14,62,70.0,,0.7,43.4
2017-10-15,57,70.0,,0.7,39.9
2017-10-16,91,70.0,,0.7,63.699999999999996
2017-10-17,86,70.0,,0.7,60.199999999999996
2017-10-18,81,70.0,,0.7,56.699999999999996
2017-10-19,79,70.0,,0.7,55.3
2017-10-20,82,70.0,,0.7,57.4
2017-10-21,63,70.0,,0.7,44.099999999999994
2017-10-22,60,70.0,,0.7,42.0
2017-10-23,88,70.0,,0.7,61.599999999999994
2017-10-24,91,70.0,,0.7,63.699999999999996
2017-10-25,81,70.0,,0.7,56.699999999999996
2017-10-26,82,70.0,,0.7,57.4
2017-10-27,76,70.0,,0.7,53.199999999999996
2017-10-28,60,70.0,,0.7,42.0
2017-10-29,56,70.0,,0.7,39.199999999999996
2017-10-30,84,70.0,,0.7,58.8
2017-10-31,81,70.0,,0.7,56.699999999999996
2017-11-01,98,63.0,False,0.63,61.74
2017-11-02,90,63.0,,0.63,56.7
2017-11-03,90,63.0,,0.63,56.7
2017-11-04,67,63.0,,0.63,42.21
2017-11-05,69,63.0,,0.63,43.47
2017-11-06,94,63.0,,0.63,59.22
2017-11-07,88,63.0,,0.63,55.44
2017-11-08,87,63.0,,0.63,54.81
2017-11-09,84,63.0,,0.63,52.92
2017-11-10,90,63.0,,0.63,56.7
2017-11-11,67,63.0,,0.63,42.21
2017-11-12,63,63.0,,0.63,39.69
2017-11-13,100,63.0,,0.63,63.0
2017-11-14,94,63.0,,0.63,59.22
2017-11-15,94,63.0,,0.63,59.22
2017-11-16,93,63.0,,0.63,58.59
2017-11-17,93,63.0,,0.63,58.59
2017-11-18,66,63.0,,0.63,41.58
2017-11-19,65,63.0,,0.63,40.95
2017-11-20,89,63.0,,0.63,56.07
2017-11-21,94,63.0,,0.63,59.22
2017-11-22,81,63.0,,0.63,51.03
2017-11-23,63,63.0,,0.63,39.69
2017-11-24,75,63.0,,0.63,47.25
2017-11-25,65,63.0,,0.63,40.95
2017-11-26,66,63.0,,0.63,41.58
2017-11-27,86,63.0,,0.63,54.18
2017-11-28,95,63.0,,0.63,59.85
2017-11-29,90,63.0,,0.63,56.7
2017-11-30,96,63.0,,0.63,60.480000000000004
2017-12-01,100,61.0,False,0.61,61.0
2017-12-02,75,61.0,,0.61,45.75
2017-12-03,70,61.0,,0.61,42.699999999999996
2017-12-04,98,61.0,,0.61,59.78
2017-12-05,99,61.0,,0.61,60.39
2017-12-06,91,61.0,,0.61,55.51
2017-12-07,90,61.0,,0.61,54.9
2017-12-08,90,61.0,,0.61,54.9
2017-12-09,71,61.0,,0.61,43.31
2017-12-10,70,61.0,,0.61,42.699999999999996
2017-12-11,90,61.0,,0.61,54.9
2017-12-12,94,61.0,,0.61,57.339999999999996
2017-12-13,88,61.0,,0.61,53.68
2017-12-14,89,61.0,,0.61,54.29
2017-12-15,93,61.0,,0.61,56.73
