date,GPL_unscaled,GPL_monthly,isPartial,scale,GPL
2016-08-23,66,65.0,,0.65,42.9
2016-08-24,53,65.0,,0.65,34.45
2016-08-25,61,65.0,,0.65,39.65
2016-08-26,35,65.0,,0.65,22.75
2016-08-27,7,65.0,,0.65,4.55
2016-08-28,53,65.0,,0.65,34.45
2016-08-29,60,65.0,,0.65,39.0
2016-08-30,55,65.0,,0.65,35.75
2016-08-31,49,65.0,,0.65,31.85
2016-09-01,68,55.0,False,0.55,37.400000000000006
2016-09-02,71,55.0,,0.55,39.050000000000004
2016-09-03,57,55.0,,0.55,31.35
2016-09-04,42,55.0,,0.55,23.1
2016-09-05,54,55.0,,0.55,29.700000000000003
2016-09-06,95,55.0,,0.55,52.25000000000001
2016-09-07,66,55.0,,0.55,36.300000000000004
2016-09-08,60,55.0,,0.55,33.0
2016-09-09,42,55.0,,0.55,23.1
2016-09-10,24,55.0,,0.55,13.200000000000001
2016-09-11,54,55.0,,0.55,29.700000000000003
2016-09-12,33,55.0,,0.55,18.150000000000002
2016-09-13,60,55.0,,0.55,33.0
2016-09-14,94,55.0,,0.55,51.7
2016-09-15,41,55.0,,0.55,22.55
2016-09-16,69,55.0,,0.55,37.95
2016-09-17,0,55.0,,0.55,0.0
2016-09-18,45,55.0,,0.55,24.750000000000004
2016-09-19,52,55.0,,0.55,28.6
2016-09-20,60,55.0,,0.55,33.0
2016-09-21,80,55.0,,0.55,44.0
2016-09-22,75,55.0,,0.55,41.25
2016-09-23,35,55.0,,0.55,19.25
2016-09-24,32,55.0,,0.55,17.6
2016-09-25,16,55.0,,0.55,8.8
2016-09-26,100,55.0,,0.55,55.00000000000001
2016-09-27,33,55.0,,0.55,18.150000000000002
2016-09-28,74,55.0,,0.55,40.7
2016-09-29,47,55.0,,0.55,25.85
2016-09-30,49,55.0,,0.55,26.950000000000003
2016-10-01,30,56.0,False,0.56,16.8
2016-10-02,51,56.0,,0.56,28.560000000000002
2016-10-03,67,56.0,,0.56,37.52
2016-10-04,61,56.0,,0.56,34.160000000000004
2016-10-05,73,56.0,,0.56,40.88
2016-10-06,37,56.0,,0.56,20.720000000000002
2016-10-07,100,56.0,,0.56,56.00000000000001
2016-10-08,37,56.0,,0.56,20.720000000000002
2016-10-09,14,56.0,,0.56,7.840000000000001
2016-10-10,56,56.0,,0.56,31.360000000000003
2016-10-11,37,56.0,,0.56,20.720000000000002
2016-10-12,62,56.0,,0.56,34.720000000000006
2016-10-13,62,56.0,,0.56,34.720000000000006
2016-10-14,52,56.0,,0.56,29.120000000000005
2016-10-15,8,56.0,,0.56,4.48
2016-10-16,58,56.0,,0.56,32.480000000000004
2016-10-17,49,56.0,,0.56,27.44
2016-10-18,67,56.0,,0.56,37.52
2016-10-19,25,56.0,,0.56,14.000000000000002
2016-10-20,62,56.0,,0.56,34.720000000000006
2016-10-21,50,56.0,,0.56,28.000000000000004
2016-10-22,39,56.0,,0.56,21.840000000000003
2016-10-23,22,56.0,,0.56,12.32
2016-10-24,48,56.0,,0.56,26.880000000000003
2016-10-25,42,56.0,,0.56,23.520000000000003
2016-10-26,73,56.0,,0.56,40.88
2016-10-27,49,56.0,,0.56,27.44
2016-10-28,51,56.0,,0.56,28.560000000000002
2016-10-29,52,56.0,,0.56,29.120000000000005
2016-10-30,73,56.0,,0.56,40.88
2016-10-31,55,56.0,,0.56,30.800000000000004
2016-11-01,64,48.0,False,0.48,30.72
2016-11-02,91,48.0,,0.48,43.68
2016-11-03,45,48.0,,0.48,21.599999999999998
2016-11-04,72,48.0,,0.48,34.56
2016-11-05,57,48.0,,0.48,27.36
2016-11-06,27,48.0,,0.48,12.959999999999999
2016-11-07,52,48.0,,0.48,24.96
2016-11-08,59,48.0,,0.48,28.32
2016-11-09,67,48.0,,0.48,32.16
2016-11-10,63,48.0,,0.48,30.24
2016-11-11,40,48.0,,0.48,19.2
2016-11-12,37,48.0,,0.48,17.759999999999998
2016-11-13,36,48.0,,0.48,17.28
2016-11-14,53,48.0,,0.48,25.439999999999998
2016-11-15,84,48.0,,0.48,40.32
2016-11-16,46,48.0,,0.48,22.08
2016-11-17,47,48.0,,0.48,22.56
2016-11-18,56,48.0,,0.48,26.88
2016-11-19,46,48.0,,0.48,22.08
2016-11-20,36,48.0,,0.48,17.28
2016-11-21,84,48.0,,0.48,40.32
2016-11-22,56,48.0,,0.48,26.88
2016-11-23,100,48.0,,0.48,48.0
2016-11-24,9,48.0,,0.48,4.32
2016-11-25,25,48.0,,0.48,12.0
2016-11-26,9,48.0,,0.48,4.32
2016-11-27,80,48.0,,0.48,38.4
2016-11-28,63,48.0,,0.48,30.24
2016-11-29,78,48.0,,0.48,37.44
2016-11-30,72,48.0,,0.48,34.56
2016-12-01,59,55.0,False,0.55,32.45
2016-12-02,67,55.0,,0.55,36.85
2016-12-03,63,55.0,,0.55,34.650000000000006
2016-12-04,45,55.0,,0.55,24.750000000000004
2016-12-05,100,55.0,,0.55,55.00000000000001
2016-12-06,80,55.0,,0.55,44.0
2016-12-07,91,55.0,,0.55,50.050000000000004
2016-12-08,72,55.0,,0.55,39.6
2016-12-09,55,55.0,,0.55,30.250000000000004
2016-12-10,82,55.0,,0.55,45.1
2016-12-11,46,55.0,,0.55,25.3
2016-12-12,76,55.0,,0.55,41.800000000000004
2016-12-13,26,55.0,,0.55,14.3
2016-12-14,26,55.0,,0.55,14.3
2016-12-15,40,55.0,,0.55,22.0
2016-12-16,98,55.0,,0.55,53.900000000000006
2016-12-17,33,55.0,,0.55,18.150000000000002
2016-12-18,40,55.0,,0.55,22.0
2016-12-19,62,55.0,,0.55,34.1
2016-12-20,35,55.0,,0.55,19.25
2016-12-21,65,55.0,,0.55,35.75
2016-12-22,82,55.0,,0.55,45.1
2016-12-23,45,55.0,,0.55,24.750000000000004
2016-12-24,26,55.0,,0.55,14.3
2016-12-25,9,55.0,,0.55,4.95
2016-12-26,24,55.0,,0.55,13.200000000000001
2016-12-27,50,55.0,,0.55,27.500000000000004
2016-12-28,95,55.0,,0.55,52.25000000000001
2016-12-29,78,55.0,,0.55,42.900000000000006
2016-12-30,59,55.0,,0.55,32.45
2016-12-31,38,55.0,,0.55,20.900000000000002
2017-01-01,13,71.0,False,0.71,9.23
2017-01-02,45,71.0,,0.71,31.95
2017-01-03,63,71.0,,0.71,44.73
2017-01-04,95,71.0,,0.71,67.45
2017-01-05,76,71.0,,0.71,53.959999999999994
2017-01-06,64,71.0,,0.71,45.44
2017-01-07,73,71.0,,0.71,51.83
2017-01-08,36,71.0,,0.71,25.56
2017-01-09,61,71.0,,0.71,43.309999999999995
2017-01-10,36,71.0,,0.71,25.56
2017-01-11,67,71.0,,0.71,47.57
2017-01-12,99,71.0,,0.71,70.28999999999999
2017-01-13,47,71.0,,0.71,33.37
2017-01-14,67,71.0,,0.71,47.57
2017-01-15,35,71.0,,0.71,24.849999999999998
2017-01-16,53,71.0,,0.71,37.629999999999995
2017-01-17,40,71.0,,0.71,28.4
2017-01-18,55,71.0,,0.71,39.05
2017-01-19,61,71.0,,0.71,43.309999999999995
2017-01-20,55,71.0,,0.71,39.05
2017-01-21,71,71.0,,0.71,50.41
2017-01-22,46,71.0,,0.71,32.66
2017-01-23,48,71.0,,0.71,34.08
2017-01-24,66,71.0,,0.71,46.86
2017-01-25,75,71.0,,0.71,53.25
2017-01-26,40,71.0,,0.71,28.4
2017-01-27,62,71.0,,0.71,44.019999999999996
2017-01-28,67,71.0,,0.71,47.57
2017-01-29,36,71.0,,0.71,25.56
2017-01-30,69,71.0,,0.71,48.989999999999995
2017-01-31,100,71.0,,0.71,71.0
2017-02-01,40,61.0,False,0.61,24.4
2017-02-02,50,61.0,,0.61,30.5
2017-02-03,58,61.0,,0.61,35.38
2017-02-04,55,61.0,,0.61,33.55
2017-02-05,24,61.0,,0.61,14.64
2017-02-06,44,61.0,,0.61,26.84
2017-02-07,100,61.0,,0.61,61.0
2017-02-08,51,61.0,,0.61,31.11
2017-02-09,82,61.0,,0.61,50.019999999999996
2017-02-10,90,61.0,,0.61,54.9
2017-02-11,50,61.0,,0.61,30.5
2017-02-12,37,61.0,,0.61,22.57
2017-02-13,44,61.0,,0.61,26.84
2017-02-14,51,61.0,,0.61,31.11
2017-02-15,62,61.0,,0.61,37.82
2017-02-16,61,61.0,,0.61,37.21
2017-02-17,57,61.0,,0.61,34.769999999999996
2017-02-18,42,61.0,,0.61,25.62
2017-02-19,13,61.0,,0.61,7.93
2017-02-20,48,61.0,,0.61,29.28
2017-02-21,40,61.0,,0.61,24.4
2017-02-22,40,61.0,,0.61,24.4
2017-02-23,61,61.0,,0.61,37.21
2017-02-24,57,61.0,,0.61,34.769999999999996
2017-02-25,60,61.0,,0.61,36.6
2017-02-26,35,61.0,,0.61,21.349999999999998
2017-02-27,80,61.0,,0.61,48.8
2017-02-28,29,61.0,,0.61,17.69
2017-03-01,72,61.0,False,0.61,43.92
2017-03-02,42,61.0,,0.61,25.62
2017-03-03,56,61.0,,0.61,34.16
2017-03-04,13,61.0,,0.61,7.93
2017-03-05,65,61.0,,0.61,39.65
2017-03-06,93,61.0,,0.61,56.73
2017-03-07,81,61.0,,0.61,49.41
2017-03-08,49,61.0,,0.61,29.89
2017-03-09,70,61.0,,0.61,42.699999999999996
2017-03-10,83,61.0,,0.61,50.629999999999995
2017-03-11,65,61.0,,0.61,39.65
2017-03-12,18,61.0,,0.61,10.98
2017-03-13,56,61.0,,0.61,34.16
2017-03-14,38,61.0,,0.61,23.18
2017-03-15,33,61.0,,0.61,20.13
2017-03-16,50,61.0,,0.61,30.5
2017-03-17,52,61.0,,0.61,31.72
2017-03-18,33,61.0,,0.61,20.13
2017-03-19,46,61.0,,0.61,28.06
2017-03-20,71,61.0,,0.61,43.31
2017-03-21,55,61.0,,0.61,33.55
2017-03-22,72,61.0,,0.61,43.92
2017-03-23,39,61.0,,0.61,23.79
2017-03-24,57,61.0,,0.61,34.769999999999996
2017-03-25,60,61.0,,0.61,36.6
2017-03-26,46,61.0,,0.61,28.06
2017-03-27,38,61.0,,0.61,23.18
2017-03-28,56,61.0,,0.61,34.16
2017-03-29,100,61.0,,0.61,61.0
2017-03-30,73,61.0,,0.61,44.53
2017-03-31,56,61.0,,0.61,34.16
2017-04-01,17,59.0,False,0.59,10.03
2017-04-02,35,59.0,,0.59,20.65
2017-04-03,37,59.0,,0.59,21.83
2017-04-04,67,59.0,,0.59,39.53
2017-04-05,71,59.0,,0.59,41.89
2017-04-06,48,59.0,,0.59,28.32
2017-04-07,49,59.0,,0.59,28.91
2017-04-08,59,59.0,,0.59,34.809999999999995
2017-04-09,18,59.0,,0.59,10.62
2017-04-10,34,59.0,,0.59,20.06
2017-04-11,78,59.0,,0.59,46.019999999999996
2017-04-12,39,59.0,,0.59,23.009999999999998
2017-04-13,44,59.0,,0.59,25.959999999999997
2017-04-14,58,59.0,,0.59,34.22
2017-04-15,30,59.0,,0.59,17.7
2017-04-16,31,59.0,,0.59,18.29
2017-04-17,54,59.0,,0.59,31.86
2017-04-18,71,59.0,,0.59,41.89
2017-04-19,62,59.0,,0.59,36.58
2017-04-20,77,59.0,,0.59,45.43
2017-04-21,30,59.0,,0.59,17.7
2017-04-22,41,59.0,,0.59,24.189999999999998
2017-04-23,23,59.0,,0.59,13.569999999999999
2017-04-24,43,59.0,,0.59,25.369999999999997
2017-04-25,28,59.0,,0.59,16.52
2017-04-26,47,59.0,,0.59,27.729999999999997
2017-04-27,100,59.0,,0.59,59.0
2017-04-28,29,59.0,,0.59,17.11
2017-04-29,47,59.0,,0.59,27.729999999999997
2017-04-30,41,59.0,,0.59,24.189999999999998
2017-05-01,33,73.0,False,0.73,24.09
2017-05-02,21,73.0,,0.73,15.33
2017-05-03,100,73.0,,0.73,73.0
2017-05-04,29,73.0,,0.73,21.169999999999998
2017-05-05,33,73.0,,0.73,24.09
2017-05-06,9,73.0,,0.73,6.57
2017-05-07,18,73.0,,0.73,13.14
2017-05-08,32,73.0,,0.73,23.36
2017-05-09,27,73.0,,0.73,19.71
2017-05-10,31,73.0,,0.73,22.63
2017-05-11,32,73.0,,0.73,23.36
2017-05-12,43,73.0,,0.73,31.39
2017-05-13,15,73.0,,0.73,10.95
2017-05-14,19,73.0,,0.73,13.87
2017-05-15,46,73.0,,0.73,33.58
2017-05-16,18,73.0,,0.73,13.14
2017-05-17,26,73.0,,0.73,18.98
2017-05-18,34,73.0,,0.73,24.82
2017-05-19,34,73.0,,0.73,24.82
2017-05-20,35,73.0,,0.73,25.55
2017-05-21,22,73.0,,0.73,16.06
2017-05-22,26,73.0,,0.73,18.98
2017-05-23,18,73.0,,0.73,13.14
2017-05-24,34,73.0,,0.73,24.82
2017-05-25,26,73.0,,0.73,18.98
2017-05-26,17,73.0,,0.73,12.41
2017-05-27,30,73.0,,0.73,21.9
2017-05-28,10,73.0,,0.73,7.3
2017-05-29,15,73.0,,0.73,10.95
2017-05-30,21,73.0,,0.73,15.33
2017-05-31,28,73.0,,0.73,20.439999999999998
2017-06-01,100,53.0,False,0.53,53.0
2017-06-02,57,53.0,,0.53,30.21
2017-06-03,28,53.0,,0.53,14.84
2017-06-04,54,53.0,,0.53,28.62
2017-06-05,89,53.0,,0.53,47.17
2017-06-06,88,53.0,,0.53,46.64
2017-06-07,75,53.0,,0.53,39.75
2017-06-08,60,53.0,,0.53,31.8
2017-06-09,72,53.0,,0.53,38.160000000000004
2017-06-10,28,53.0,,0.53,14.84
2017-06-11,37,53.0,,0.53,19.61
2017-06-12,30,53.0,,0.53,15.9
2017-06-13,59,53.0,,0.53,31.270000000000003
2017-06-14,52,53.0,,0.53,27.560000000000002
2017-06-15,62,53.0,,0.53,32.86
2017-06-16,70,53.0,,0.53,37.1
2017-06-17,28,53.0,,0.53,14.84
2017-06-18,37,53.0,,0.53,19.61
2017-06-19,83,53.0,,0.53,43.99
2017-06-20,72,53.0,,0.53,38.160000000000004
2017-06-21,73,53.0,,0.53,38.690000000000005
2017-06-22,66,53.0,,0.53,34.980000000000004
2017-06-23,96,53.0,,0.53,50.88
2017-06-24,35,53.0,,0.53,18.55
2017-06-25,37,53.0,,0.53,19.61
2017-06-26,62,53.0,,0.53,32.86
2017-06-27,55,53.0,,0.53,29.150000000000002
2017-06-28,81,53.0,,0.53,42.93
2017-06-29,57,53.0,,0.53,30.21
2017-06-30,58,53.0,,0.53,30.740000000000002
2017-07-01,59,59.0,False,0.59,34.809999999999995
2017-07-02,44,59.0,,0.59,25.959999999999997
2017-07-03,39,59.0,,0.59,23.009999999999998
2017-07-04,60,59.0,,0.59,35.4
2017-07-05,68,59.0,,0.59,40.12
2017-07-06,57,59.0,,0.59,33.629999999999995
2017-07-07,58,59.0,,0.59,34.22
2017-07-08,66,59.0,,0.59,38.94
2017-07-09,67,59.0,,0.59,39.53
2017-07-10,78,59.0,,0.59,46.019999999999996
2017-07-11,78,59.0,,0.59,46.019999999999996
2017-07-12,100,59.0,,0.59,59.0
2017-07-13,93,59.0,,0.59,54.87
2017-07-14,73,59.0,,0.59,43.07
2017-07-15,25,59.0,,0.59,14.75
2017-07-16,34,59.0,,0.59,20.06
2017-07-17,71,59.0,,0.59,41.89
2017-07-18,100,59.0,,0.59,59.0
2017-07-19,57,59.0,,0.59,33.629999999999995
2017-07-20,56,59.0,,0.59,33.04
2017-07-21,66,59.0,,0.59,38.94
2017-07-22,49,59.0,,0.59,28.91
2017-07-23,33,59.0,,0.59,19.47
2017-07-24,57,59.0,,0.59,33.629999999999995
2017-07-25,43,59.0,,0.59,25.369999999999997
2017-07-26,77,59.0,,0.59,45.43
2017-07-27,56,59.0,,0.59,33.04
2017-07-28,65,59.0,,0.59,38.35
2017-07-29,25,59.0,,0.59,14.75
2017-07-30,50,59.0,,0.59,29.5
2017-07-31,99,59.0,,0.59,58.41
2017-08-01,56,57.0,False,0.57,31.919999999999998
2017-08-02,54,57.0,,0.57,30.779999999999998
2017-08-03,100,57.0,,0.57,56.99999999999999
2017-08-04,85,57.0,,0.57,48.449999999999996
2017-08-05,22,57.0,,0.57,12.54
2017-08-06,46,57.0,,0.57,26.22
2017-08-07,93,57.0,,0.57,53.01
2017-08-08,54,57.0,,0.57,30.779999999999998
2017-08-09,63,57.0,,0.57,35.91
2017-08-10,66,57.0,,0.57,37.62
2017-08-11,53,57.0,,0.57,30.209999999999997
2017-08-12,37,57.0,,0.57,21.09
2017-08-13,22,57.0,,0.57,12.54
2017-08-14,77,57.0,,0.57,43.88999999999999
2017-08-15,45,57.0,,0.57,25.65
2017-08-16,51,57.0,,0.57,29.069999999999997
2017-08-17,70,57.0,,0.57,39.9
2017-08-18,71,57.0,,0.57,40.47
2017-08-19,52,57.0,,0.57,29.639999999999997
2017-08-20,44,57.0,,0.57,25.08
2017-08-21,18,57.0,,0.57,10.26
2017-08-22,63,57.0,,0.57,35.91
2017-08-23,57,57.0,,0.57,32.489999999999995
2017-08-24,69,57.0,,0.57,39.33
2017-08-25,77,57.0,,0.57,43.88999999999999
2017-08-26,58,57.0,,0.57,33.059999999999995
2017-08-27,42,57.0,,0.57,23.939999999999998
2017-08-28,69,57.0,,0.57,39.33
2017-08-29,55,57.0,,0.57,31.349999999999998
2017-08-30,50,57.0,,0.57,28.499999999999996
2017-08-31,31,57.0,,0.57,17.669999999999998
2017-09-01,65,53.0,False,0.53,34.45
2017-09-02,52,53.0,,0.53,27.560000000000002
2017-09-03,8,53.0,,0.53,4.24
2017-09-04,28,53.0,,0.53,14.84
2017-09-05,48,53.0,,0.53,25.44
2017-09-06,100,53.0,,0.53,53.0
2017-09-07,73,53.0,,0.53,38.690000000000005
2017-09-08,55,53.0,,0.53,29.150000000000002
2017-09-09,43,53.0,,0.53,22.790000000000003
2017-09-10,49,53.0,,0.53,25.970000000000002
2017-09-11,61,53.0,,0.53,32.33
2017-09-12,98,53.0,,0.53,51.940000000000005
2017-09-13,79,53.0,,0.53,41.870000000000005
2017-09-14,56,53.0,,0.53,29.68
2017-09-15,82,53.0,,0.53,43.46
2017-09-16,15,53.0,,0.53,7.95
2017-09-17,36,53.0,,0.53,19.080000000000002
2017-09-18,18,53.0,,0.53,9.540000000000001
2017-09-19,49,53.0,,0.53,25.970000000000002
2017-09-20,79,53.0,,0.53,41.870000000000005
2017-09-21,74,53.0,,0.53,39.22
2017-09-22,70,53.0,,0.53,37.1
2017-09-23,30,53.0,,0.53,15.9
2017-09-24,29,53.0,,0.53,15.370000000000001
2017-09-25,92,53.0,,0.53,48.760000000000005
2017-09-26,43,53.0,,0.53,22.790000000000003
2017-09-27,62,53.0,,0.53,32.86
2017-09-28,19,53.0,,0.53,10.07
2017-09-29,63,53.0,,0.53,33.39
2017-09-30,38,53.0,,0.53,20.14
2017-10-01,27,62.0,False,0.62,16.74
2017-10-02,30,62.0,,0.62,18.6
2017-10-03,31,62.0,,0.62,19.22
2017-10-04,71,62.0,,0.62,44.02
2017-10-05,27,62.0,,0.62,16.74
2017-10-06,59,62.0,,0.62,36.58
2017-10-07,37,62.0,,0.62,22.94
2017-10-08,26,62.0,,0.62,16.12
2017-10-09,22,62.0,,0.62,13.64
2017-10-10,26,62.0,,0.62,16.12
2017-10-11,52,62.0,,0.62,32.24
2017-10-12,35,62.0,,0.62,21.7
2017-10-13,100,62.0,,0.62,62.0
2017-10-14,32,62.0,,0.62,19.84
2017-10-15,63,62.0,,0.62,39.06
2017-10-16,40,62.0,,0.62,24.8
2017-10-17,49,62.0,,0.62,30.38
2017-10-18,49,62.0,,0.62,30.38
2017-10-19,46,62.0,,0.62,28.52
2017-10-20,32,62.0,,0.62,19.84
2017-10-21,43,62.0,,0.62,26.66
2017-10-22,31,62.0,,0.62,19.22
2017-10-23,35,62.0,,0.62,21.7
2017-10-24,48,62.0,,0.62,29.759999999999998
2017-10-25,53,62.0,,0.62,32.86
2017-10-26,53,62.0,,0.62,32.86
2017-10-27,96,62.0,,0.62,59.519999999999996
2017-10-28,43,62.0,,0.62,26.66
2017-10-29,31,62.0,,0.62,19.22
2017-10-30,52,62.0,,0.62,32.24
2017-10-31,50,62.0,,0.62,31.0
2017-11-01,63,46.0,False,0.46,28.98
2017-11-02,75,46.0,,0.46,34.5
2017-11-03,95,46.0,,0.46,43.7
2017-11-04,55,46.0,,0.46,25.3
2017-11-05,62,46.0,,0.46,28.52
2017-11-06,46,46.0,,0.46,21.16
2017-11-07,91,46.0,,0.46,41.86
2017-11-08,83,46.0,,0.46,38.18
2017-11-09,69,46.0,,0.46,31.740000000000002
2017-11-10,90,46.0,,0.46,41.4
2017-11-11,46,46.0,,0.46,21.16
2017-11-12,73,46.0,,0.46,33.58
2017-11-13,45,46.0,,0.46,20.7
2017-11-14,98,46.0,,0.46,45.080000000000005
2017-11-15,76,46.0,,0.46,34.96
2017-11-16,76,46.0,,0.46,34.96
2017-11-17,31,46.0,,0.46,14.26
2017-11-18,27,46.0,,0.46,12.42
2017-11-19,18,46.0,,0.46,8.280000000000001
2017-11-20,86,46.0,,0.46,39.56
2017-11-21,56,46.0,,0.46,25.76
2017-11-22,67,46.0,,0.46,30.82
2017-11-23,18,46.0,,0.46,8.280000000000001
2017-11-24,26,46.0,,0.46,11.96
2017-11-25,36,46.0,,0.46,16.560000000000002
2017-11-26,27,46.0,,0.46,12.42
2017-11-27,100,46.0,,0.46,46.0
2017-11-28,22,46.0,,0.46,10.120000000000001
2017-11-29,45,46.0,,0.46,20.7
2017-11-30,61,46.0,,0.46,28.060000000000002
2017-12-01,63,44.0,False,0.44,27.72
2017-12-02,28,44.0,,0.44,12.32
2017-12-03,28,44.0,,0.44,12.32
2017-12-04,69,44.0,,0.44,30.36
2017-12-05,38,44.0,,0.44,16.72
2017-12-06,70,44.0,,0.44,30.8
2017-12-07,63,44.0,,0.44,27.72
2017-12-08,64,44.0,,0.44,28.16
2017-12-09,57,44.0,,0.44,25.080000000000002
2017-12-10,47,44.0,,0.44,20.68
2017-12-11,100,44.0,,0.44,44.0
2017-12-12,46,44.0,,0.44,20.24
2017-12-13,70,44.0,,0.44,30.8
2017-12-14,96,44.0,,0.44,42.24
2017-12-15,58,44.0,,0.44,25.52
2017-12-16,67,44.0,,0.44,29.48
2017-12-17,19,44.0,,0.44,8.36
2017-12-18,97,44.0,,0.44,42.68
2017-12-19,90,44.0,,0.44,39.6
2017-12-20,93,44.0,,0.44,40.92
2017-12-21,61,44.0,,0.44,26.84
2017-12-22,27,44.0,,0.44,11.88
