date,ZM_unscaled,ZM_monthly,isPartial,scale,ZM
2016-11-01,39,3.0,False,0.03,1.17
2016-11-02,37,3.0,,0.03,1.1099999999999999
2016-11-03,44,3.0,,0.03,1.3199999999999998
2016-11-04,39,3.0,,0.03,1.17
2016-11-05,18,3.0,,0.03,0.54
2016-11-06,36,3.0,,0.03,1.08
2016-11-07,37,3.0,,0.03,1.1099999999999999
2016-11-08,29,3.0,,0.03,0.87
2016-11-09,30,3.0,,0.03,0.8999999999999999
2016-11-10,100,3.0,,0.03,3.0
2016-11-11,47,3.0,,0.03,1.41
2016-11-12,0,3.0,,0.03,0.0
2016-11-13,53,3.0,,0.03,1.5899999999999999
2016-11-14,52,3.0,,0.03,1.56
2016-11-15,60,3.0,,0.03,1.7999999999999998
2016-11-16,23,3.0,,0.03,0.69
2016-11-17,23,3.0,,0.03,0.69
2016-11-18,23,3.0,,0.03,0.69
2016-11-19,46,3.0,,0.03,1.38
2016-11-20,18,3.0,,0.03,0.54
2016-11-21,8,3.0,,0.03,0.24
2016-11-22,47,3.0,,0.03,1.41
2016-11-23,16,3.0,,0.03,0.48
2016-11-24,9,3.0,,0.03,0.27
2016-11-25,67,3.0,,0.03,2.01
2016-11-26,60,3.0,,0.03,1.7999999999999998
2016-11-27,35,3.0,,0.03,1.05
2016-11-28,48,3.0,,0.03,1.44
2016-11-29,28,3.0,,0.03,0.84
2016-11-30,21,3.0,,0.03,0.63
2016-12-01,25,3.0,False,0.03,0.75
2016-12-02,26,3.0,,0.03,0.78
2016-12-03,40,3.0,,0.03,1.2
2016-12-04,19,3.0,,0.03,0.57
2016-12-05,68,3.0,,0.03,2.04
2016-12-06,32,3.0,,0.03,0.96
2016-12-07,33,3.0,,0.03,0.99
2016-12-08,34,3.0,,0.03,1.02
2016-12-09,26,3.0,,0.03,0.78
2016-12-10,73,3.0,,0.03,2.19
2016-12-11,0,3.0,,0.03,0.0
2016-12-12,65,3.0,,0.03,1.95
2016-12-13,65,3.0,,0.03,1.95
2016-12-14,59,3.0,,0.03,1.77
2016-12-15,51,3.0,,0.03,1.53
2016-12-16,36,3.0,,0.03,1.08
2016-12-17,31,3.0,,0.03,0.9299999999999999
2016-12-18,41,3.0,,0.03,1.23
2016-12-19,79,3.0,,0.03,2.37
2016-12-20,45,3.0,,0.03,1.3499999999999999
2016-12-21,37,3.0,,0.03,1.1099999999999999
2016-12-22,38,3.0,,0.03,1.14
2016-12-23,77,3.0,,0.03,2.31
2016-12-24,11,3.0,,0.03,0.32999999999999996
2016-12-25,23,3.0,,0.03,0.69
2016-12-26,30,3.0,,0.03,0.8999999999999999
2016-12-27,100,3.0,,0.03,3.0
2016-12-28,75,3.0,,0.03,2.25
2016-12-29,45,3.0,,0.03,1.3499999999999999
2016-12-30,47,3.0,,0.03,1.41
2016-12-31,29,3.0,,0.03,0.87
2017-01-01,61,4.0,False,0.04,2.44
2017-01-02,18,4.0,,0.04,0.72
2017-01-03,33,4.0,,0.04,1.32
2017-01-04,100,4.0,,0.04,4.0
2017-01-05,34,4.0,,0.04,1.36
2017-01-06,59,4.0,,0.04,2.36
2017-01-07,10,4.0,,0.04,0.4
2017-01-08,38,4.0,,0.04,1.52
2017-01-09,89,4.0,,0.04,3.56
2017-01-10,24,4.0,,0.04,0.96
2017-01-11,41,4.0,,0.04,1.6400000000000001
2017-01-12,66,4.0,,0.04,2.64
2017-01-13,67,4.0,,0.04,2.68
2017-01-14,39,4.0,,0.04,1.56
2017-01-15,65,4.0,,0.04,2.6
2017-01-16,42,4.0,,0.04,1.68
2017-01-17,64,4.0,,0.04,2.56
2017-01-18,64,4.0,,0.04,2.56
2017-01-19,48,4.0,,0.04,1.92
2017-01-20,96,4.0,,0.04,3.84
2017-01-21,38,4.0,,0.04,1.52
2017-01-22,18,4.0,,0.04,0.72
2017-01-23,38,4.0,,0.04,1.52
2017-01-24,48,4.0,,0.04,1.92
2017-01-25,95,4.0,,0.04,3.8000000000000003
2017-01-26,55,4.0,,0.04,2.2
2017-01-27,25,4.0,,0.04,1.0
2017-01-28,38,4.0,,0.04,1.52
2017-01-29,48,4.0,,0.04,1.92
2017-01-30,70,4.0,,0.04,2.8000000000000003
2017-01-31,63,4.0,,0.04,2.52
2017-02-01,52,4.0,False,0.04,2.08
2017-02-02,45,4.0,,0.04,1.8
2017-02-03,47,4.0,,0.04,1.8800000000000001
2017-02-04,46,4.0,,0.04,1.84
2017-02-05,45,4.0,,0.04,1.8
2017-02-06,29,4.0,,0.04,1.16
2017-02-07,60,4.0,,0.04,2.4
2017-02-08,46,4.0,,0.04,1.84
2017-02-09,61,4.0,,0.04,2.44
2017-02-10,16,4.0,,0.04,0.64
2017-02-11,9,4.0,,0.04,0.36
2017-02-12,46,4.0,,0.04,1.84
2017-02-13,37,4.0,,0.04,1.48
2017-02-14,8,4.0,,0.04,0.32
2017-02-15,70,4.0,,0.04,2.8000000000000003
2017-02-16,46,4.0,,0.04,1.84
2017-02-17,54,4.0,,0.04,2.16
2017-02-18,100,4.0,,0.04,4.0
2017-02-19,38,4.0,,0.04,1.52
2017-02-20,48,4.0,,0.04,1.92
2017-02-21,38,4.0,,0.04,1.52
2017-02-22,45,4.0,,0.04,1.8
2017-02-23,91,4.0,,0.04,3.64
2017-02-24,39,4.0,,0.04,1.56
2017-02-25,27,4.0,,0.04,1.08
2017-02-26,78,4.0,,0.04,3.12
2017-02-27,14,4.0,,0.04,0.56
2017-02-28,50,4.0,,0.04,2.0
2017-03-01,87,4.0,False,0.04,3.48
2017-03-02,100,4.0,,0.04,4.0
2017-03-03,84,4.0,,0.04,3.36
2017-03-04,37,4.0,,0.04,1.48
2017-03-05,61,4.0,,0.04,2.44
2017-03-06,97,4.0,,0.04,3.88
2017-03-07,48,4.0,,0.04,1.92
2017-03-08,41,4.0,,0.04,1.6400000000000001
2017-03-09,71,4.0,,0.04,2.84
2017-03-10,52,4.0,,0.04,2.08
2017-03-11,74,4.0,,0.04,2.96
2017-03-12,58,4.0,,0.04,2.32
2017-03-13,77,4.0,,0.04,3.08
2017-03-14,72,4.0,,0.04,2.88
2017-03-15,63,4.0,,0.04,2.52
2017-03-16,52,4.0,,0.04,2.08
2017-03-17,98,4.0,,0.04,3.92
2017-03-18,86,4.0,,0.04,3.44
2017-03-19,37,4.0,,0.04,1.48
2017-03-20,72,4.0,,0.04,2.88
2017-03-21,52,4.0,,0.04,2.08
2017-03-22,73,4.0,,0.04,2.92
2017-03-23,63,4.0,,0.04,2.52
2017-03-24,75,4.0,,0.04,3.0
2017-03-25,38,4.0,,0.04,1.52
2017-03-26,62,4.0,,0.04,2.48
2017-03-27,72,4.0,,0.04,2.88
2017-03-28,73,4.0,,0.04,2.92
2017-03-29,84,4.0,,0.04,3.36
2017-03-30,74,4.0,,0.04,2.96
2017-03-31,84,4.0,,0.04,3.36
2017-04-01,30,3.0,False,0.03,0.8999999999999999
2017-04-02,70,3.0,,0.03,2.1
2017-04-03,72,3.0,,0.03,2.16
2017-04-04,41,3.0,,0.03,1.23
2017-04-05,8,3.0,,0.03,0.24
2017-04-06,41,3.0,,0.03,1.23
2017-04-07,59,3.0,,0.03,1.77
2017-04-08,61,3.0,,0.03,1.8299999999999998
2017-04-09,100,3.0,,0.03,3.0
2017-04-10,41,3.0,,0.03,1.23
2017-04-11,25,3.0,,0.03,0.75
2017-04-12,33,3.0,,0.03,0.99
2017-04-13,34,3.0,,0.03,1.02
2017-04-14,27,3.0,,0.03,0.8099999999999999
2017-04-15,31,3.0,,0.03,0.9299999999999999
2017-04-16,75,3.0,,0.03,2.25
2017-04-17,67,3.0,,0.03,2.01
2017-04-18,8,3.0,,0.03,0.24
2017-04-19,24,3.0,,0.03,0.72
2017-04-20,41,3.0,,0.03,1.23
2017-04-21,35,3.0,,0.03,1.05
2017-04-22,60,3.0,,0.03,1.7999999999999998
2017-04-23,60,3.0,,0.03,1.7999999999999998
