date,AN_unscaled,AN_monthly,isPartial,scale,AN
2016-06-12,83,61.0,,0.61,50.629999999999995
2016-06-13,96,61.0,,0.61,58.56
2016-06-14,98,61.0,,0.61,59.78
2016-06-15,100,61.0,,0.61,61.0
2016-06-16,96,61.0,,0.61,58.56
2016-06-17,89,61.0,,0.61,54.29
2016-06-18,80,61.0,,0.61,48.8
2016-06-19,82,61.0,,0.61,50.019999999999996
2016-06-20,94,61.0,,0.61,57.339999999999996
2016-06-21,96,61.0,,0.61,58.56
2016-06-22,93,61.0,,0.61,56.73
2016-06-23,91,61.0,,0.61,55.51
2016-06-24,82,61.0,,0.61,50.019999999999996
2016-06-25,78,61.0,,0.61,47.58
2016-06-26,83,61.0,,0.61,50.629999999999995
2016-06-27,89,61.0,,0.61,54.29
2016-06-28,91,61.0,,0.61,55.51
2016-06-29,93,61.0,,0.61,56.73
2016-06-30,93,61.0,,0.61,56.73
2016-07-01,88,56.0,False,0.56,49.28
2016-07-02,79,56.0,,0.56,44.24
2016-07-03,83,56.0,,0.56,46.480000000000004
2016-07-04,85,56.0,,0.56,47.6
2016-07-05,93,56.0,,0.56,52.080000000000005
2016-07-06,100,56.0,,0.56,56.00000000000001
2016-07-07,94,56.0,,0.56,52.64000000000001
2016-07-08,90,56.0,,0.56,50.400000000000006
2016-07-09,84,56.0,,0.56,47.040000000000006
2016-07-10,86,56.0,,0.56,48.160000000000004
2016-07-11,95,56.0,,0.56,53.2
2016-07-12,98,56.0,,0.56,54.88
2016-07-13,98,56.0,,0.56,54.88
2016-07-14,96,56.0,,0.56,53.760000000000005
2016-07-15,89,56.0,,0.56,49.84
2016-07-16,82,56.0,,0.56,45.92
2016-07-17,87,56.0,,0.56,48.720000000000006
2016-07-18,99,56.0,,0.56,55.440000000000005
2016-07-19,95,56.0,,0.56,53.2
2016-07-20,98,56.0,,0.56,54.88
2016-07-21,98,56.0,,0.56,54.88
2016-07-22,88,56.0,,0.56,49.28
2016-07-23,82,56.0,,0.56,45.92
2016-07-24,86,56.0,,0.56,48.160000000000004
2016-07-25,97,56.0,,0.56,54.32000000000001
2016-07-26,98,56.0,,0.56,54.88
2016-07-27,94,56.0,,0.56,52.64000000000001
2016-07-28,95,56.0,,0.56,53.2
2016-07-29,88,56.0,,0.56,49.28
2016-07-30,82,56.0,,0.56,45.92
2016-07-31,83,56.0,,0.56,46.480000000000004
2016-08-01,79,59.0,False,0.59,46.61
2016-08-02,81,59.0,,0.59,47.79
2016-08-03,81,59.0,,0.59,47.79
2016-08-04,78,59.0,,0.59,46.019999999999996
2016-08-05,74,59.0,,0.59,43.66
2016-08-06,70,59.0,,0.59,41.3
2016-08-07,70,59.0,,0.59,41.3
2016-08-08,78,59.0,,0.59,46.019999999999996
2016-08-09,79,59.0,,0.59,46.61
2016-08-10,79,59.0,,0.59,46.61
2016-08-11,80,59.0,,0.59,47.199999999999996
2016-08-12,76,59.0,,0.59,44.839999999999996
2016-08-13,69,59.0,,0.59,40.71
2016-08-14,72,59.0,,0.59,42.48
2016-08-15,80,59.0,,0.59,47.199999999999996
2016-08-16,81,59.0,,0.59,47.79
2016-08-17,80,59.0,,0.59,47.199999999999996
2016-08-18,83,59.0,,0.59,48.97
2016-08-19,80,59.0,,0.59,47.199999999999996
2016-08-20,68,59.0,,0.59,40.12
2016-08-21,72,59.0,,0.59,42.48
2016-08-22,84,59.0,,0.59,49.559999999999995
2016-08-23,87,59.0,,0.59,51.33
2016-08-24,91,59.0,,0.59,53.69
2016-08-25,92,59.0,,0.59,54.279999999999994
2016-08-26,90,59.0,,0.59,53.099999999999994
2016-08-27,75,59.0,,0.59,44.25
2016-08-28,84,59.0,,0.59,49.559999999999995
2016-08-29,93,59.0,,0.59,54.87
2016-08-30,99,59.0,,0.59,58.41
2016-08-31,100,59.0,,0.59,59.0
2016-09-01,86,71.0,False,0.71,61.059999999999995
2016-09-02,79,71.0,,0.71,56.089999999999996
2016-09-03,63,71.0,,0.71,44.73
2016-09-04,69,71.0,,0.71,48.989999999999995
2016-09-05,75,71.0,,0.71,53.25
2016-09-06,90,71.0,,0.71,63.9
2016-09-07,94,71.0,,0.71,66.74
2016-09-08,97,71.0,,0.71,68.86999999999999
2016-09-09,87,71.0,,0.71,61.769999999999996
2016-09-10,69,71.0,,0.71,48.989999999999995
2016-09-11,76,71.0,,0.71,53.959999999999994
2016-09-12,91,71.0,,0.71,64.61
2016-09-13,95,71.0,,0.71,67.45
2016-09-14,98,71.0,,0.71,69.58
2016-09-15,95,71.0,,0.71,67.45
2016-09-16,88,71.0,,0.71,62.48
2016-09-17,70,71.0,,0.71,49.699999999999996
2016-09-18,80,71.0,,0.71,56.8
2016-09-19,98,71.0,,0.71,69.58
2016-09-20,99,71.0,,0.71,70.28999999999999
2016-09-21,94,71.0,,0.71,66.74
2016-09-22,95,71.0,,0.71,67.45
2016-09-23,88,71.0,,0.71,62.48
2016-09-24,68,71.0,,0.71,48.28
2016-09-25,75,71.0,,0.71,53.25
2016-09-26,99,71.0,,0.71,70.28999999999999
2016-09-27,99,71.0,,0.71,70.28999999999999
2016-09-28,100,71.0,,0.71,71.0
2016-09-29,97,71.0,,0.71,68.86999999999999
2016-09-30,88,71.0,,0.71,62.48
2016-10-01,68,71.0,False,0.71,48.28
2016-10-02,76,71.0,,0.71,53.959999999999994
2016-10-03,93,71.0,,0.71,66.03
2016-10-04,100,71.0,,0.71,71.0
2016-10-05,93,71.0,,0.71,66.03
2016-10-06,92,71.0,,0.71,65.32
2016-10-07,82,71.0,,0.71,58.22
2016-10-08,67,71.0,,0.71,47.57
2016-10-09,70,71.0,,0.71,49.699999999999996
2016-10-10,88,71.0,,0.71,62.48
2016-10-11,97,71.0,,0.71,68.86999999999999
2016-10-12,96,71.0,,0.71,68.16
2016-10-13,96,71.0,,0.71,68.16
2016-10-14,84,71.0,,0.71,59.64
2016-10-15,67,71.0,,0.71,47.57
2016-10-16,74,71.0,,0.71,52.54
2016-10-17,93,71.0,,0.71,66.03
2016-10-18,98,71.0,,0.71,69.58
2016-10-19,95,71.0,,0.71,67.45
2016-10-20,96,71.0,,0.71,68.16
2016-10-21,84,71.0,,0.71,59.64
2016-10-22,66,71.0,,0.71,46.86
2016-10-23,72,71.0,,0.71,51.12
2016-10-24,98,71.0,,0.71,69.58
2016-10-25,100,71.0,,0.71,71.0
2016-10-26,96,71.0,,0.71,68.16
2016-10-27,96,71.0,,0.71,68.16
2016-10-28,88,71.0,,0.71,62.48
2016-10-29,68,71.0,,0.71,48.28
2016-10-30,76,71.0,,0.71,53.959999999999994
2016-10-31,90,71.0,,0.71,63.9
2016-11-01,94,70.0,False,0.7,65.8
2016-11-02,97,70.0,,0.7,67.89999999999999
2016-11-03,94,70.0,,0.7,65.8
2016-11-04,90,70.0,,0.7,62.99999999999999
2016-11-05,69,70.0,,0.7,48.3
2016-11-06,77,70.0,,0.7,53.9
2016-11-07,92,70.0,,0.7,64.39999999999999
2016-11-08,90,70.0,,0.7,62.99999999999999
2016-11-09,78,70.0,,0.7,54.599999999999994
2016-11-10,94,70.0,,0.7,65.8
2016-11-11,82,70.0,,0.7,57.4
2016-11-12,72,70.0,,0.7,50.4
2016-11-13,74,70.0,,0.7,51.8
2016-11-14,95,70.0,,0.7,66.5
2016-11-15,100,70.0,,0.7,70.0
2016-11-16,94,70.0,,0.7,65.8
2016-11-17,97,70.0,,0.7,67.89999999999999
2016-11-18,89,70.0,,0.7,62.3
2016-11-19,69,70.0,,0.7,48.3
2016-11-20,73,70.0,,0.7,51.099999999999994
2016-11-21,87,70.0,,0.7,60.9
2016-11-22,87,70.0,,0.7,60.9
2016-11-23,73,70.0,,0.7,51.099999999999994
2016-11-24,63,70.0,,0.7,44.099999999999994
2016-11-25,56,70.0,,0.7,39.199999999999996
2016-11-26,63,70.0,,0.7,44.099999999999994
2016-11-27,72,70.0,,0.7,50.4
2016-11-28,87,70.0,,0.7,60.9
2016-11-29,99,70.0,,0.7,69.3
2016-11-30,100,70.0,,0.7,70.0
2016-12-01,100,65.0,False,0.65,65.0
2016-12-02,86,65.0,,0.65,55.9
2016-12-03,72,65.0,,0.65,46.800000000000004
2016-12-04,80,65.0,,0.65,52.0
2016-12-05,97,65.0,,0.65,63.050000000000004
2016-12-06,97,65.0,,0.65,63.050000000000004
2016-12-07,98,65.0,,0.65,63.7
2016-12-08,95,65.0,,0.65,61.75
2016-12-09,85,65.0,,0.65,55.25
2016-12-10,69,65.0,,0.65,44.85
2016-12-11,73,65.0,,0.65,47.45
2016-12-12,93,65.0,,0.65,60.45
2016-12-13,98,65.0,,0.65,63.7
2016-12-14,94,65.0,,0.65,61.1
2016-12-15,89,65.0,,0.65,57.85
2016-12-16,79,65.0,,0.65,51.35
2016-12-17,65,65.0,,0.65,42.25
2016-12-18,67,65.0,,0.65,43.550000000000004
2016-12-19,76,65.0,,0.65,49.4
2016-12-20,78,65.0,,0.65,50.7
2016-12-21,76,65.0,,0.65,49.4
2016-12-22,72,65.0,,0.65,46.800000000000004
2016-12-23,62,65.0,,0.65,40.300000000000004
2016-12-24,56,65.0,,0.65,36.4
2016-12-25,61,65.0,,0.65,39.65
2016-12-26,61,65.0,,0.65,39.65
2016-12-27,66,65.0,,0.65,42.9
2016-12-28,69,65.0,,0.65,44.85
2016-12-29,66,65.0,,0.65,42.9
2016-12-30,68,65.0,,0.65,44.2
2016-12-31,61,65.0,,0.65,39.65
2017-01-01,56,70.0,False,0.7,39.199999999999996
2017-01-02,63,70.0,,0.7,44.099999999999994
2017-01-03,71,70.0,,0.7,49.699999999999996
2017-01-04,80,70.0,,0.7,56.0
2017-01-05,82,70.0,,0.7,57.4
2017-01-06,77,70.0,,0.7,53.9
2017-01-07,65,70.0,,0.7,45.5
2017-01-08,68,70.0,,0.7,47.599999999999994
2017-01-09,77,70.0,,0.7,53.9
2017-01-10,82,70.0,,0.7,57.4
2017-01-11,89,70.0,,0.7,62.3
2017-01-12,88,70.0,,0.7,61.599999999999994
2017-01-13,82,70.0,,0.7,57.4
2017-01-14,67,70.0,,0.7,46.9
2017-01-15,67,70.0,,0.7,46.9
2017-01-16,75,70.0,,0.7,52.5
2017-01-17,86,70.0,,0.7,60.199999999999996
2017-01-18,90,70.0,,0.7,62.99999999999999
2017-01-19,94,70.0,,0.7,65.8
2017-01-20,85,70.0,,0.7,59.49999999999999
2017-01-21,68,70.0,,0.7,47.599999999999994
2017-01-22,76,70.0,,0.7,53.199999999999996
2017-01-23,91,70.0,,0.7,63.699999999999996
2017-01-24,100,70.0,,0.7,70.0
2017-01-25,96,70.0,,0.7,67.19999999999999
2017-01-26,96,70.0,,0.7,67.19999999999999
2017-01-27,89,70.0,,0.7,62.3
2017-01-28,72,70.0,,0.7,50.4
2017-01-29,81,70.0,,0.7,56.699999999999996
2017-01-30,97,70.0,,0.7,67.89999999999999
2017-01-31,97,70.0,,0.7,67.89999999999999
2017-02-01,98,76.0,False,0.76,74.48
2017-02-02,94,76.0,,0.76,71.44
2017-02-03,88,76.0,,0.76,66.88
2017-02-04,74,76.0,,0.76,56.24
2017-02-05,76,76.0,,0.76,57.76
2017-02-06,88,76.0,,0.76,66.88
2017-02-07,95,76.0,,0.76,72.2
2017-02-08,100,76.0,,0.76,76.0
2017-02-09,93,76.0,,0.76,70.68
2017-02-10,88,76.0,,0.76,66.88
2017-02-11,72,76.0,,0.76,54.72
2017-02-12,78,76.0,,0.76,59.28
2017-02-13,89,76.0,,0.76,67.64
2017-02-14,91,76.0,,0.76,69.16
2017-02-15,94,76.0,,0.76,71.44
2017-02-16,95,76.0,,0.76,72.2
2017-02-17,89,76.0,,0.76,67.64
2017-02-18,68,76.0,,0.76,51.68
2017-02-19,74,76.0,,0.76,56.24
2017-02-20,86,76.0,,0.76,65.36
2017-02-21,92,76.0,,0.76,69.92
2017-02-22,94,76.0,,0.76,71.44
2017-02-23,95,76.0,,0.76,72.2
2017-02-24,89,76.0,,0.76,67.64
2017-02-25,71,76.0,,0.76,53.96
2017-02-26,76,76.0,,0.76,57.76
2017-02-27,97,76.0,,0.76,73.72
2017-02-28,98,76.0,,0.76,74.48
2017-03-01,95,73.0,False,0.73,69.35
2017-03-02,100,73.0,,0.73,73.0
2017-03-03,92,73.0,,0.73,67.16
2017-03-04,71,73.0,,0.73,51.83
2017-03-05,78,73.0,,0.73,56.94
2017-03-06,93,73.0,,0.73,67.89
2017-03-07,98,73.0,,0.73,71.53999999999999
2017-03-08,94,73.0,,0.73,68.62
2017-03-09,93,73.0,,0.73,67.89
2017-03-10,84,73.0,,0.73,61.32
2017-03-11,70,73.0,,0.73,51.1
2017-03-12,76,73.0,,0.73,55.48
2017-03-13,89,73.0,,0.73,64.97
2017-03-14,86,73.0,,0.73,62.78
2017-03-15,91,73.0,,0.73,66.42999999999999
2017-03-16,86,73.0,,0.73,62.78
2017-03-17,82,73.0,,0.73,59.86
2017-03-18,69,73.0,,0.73,50.37
2017-03-19,75,73.0,,0.73,54.75
2017-03-20,90,73.0,,0.73,65.7
2017-03-21,95,73.0,,0.73,69.35
2017-03-22,96,73.0,,0.73,70.08
2017-03-23,94,73.0,,0.73,68.62
2017-03-24,86,73.0,,0.73,62.78
2017-03-25,70,73.0,,0.73,51.1
2017-03-26,78,73.0,,0.73,56.94
2017-03-27,93,73.0,,0.73,67.89
2017-03-28,97,73.0,,0.73,70.81
2017-03-29,92,73.0,,0.73,67.16
2017-03-30,93,73.0,,0.73,67.89
2017-03-31,84,73.0,,0.73,61.32
2017-04-01,68,73.0,False,0.73,49.64
2017-04-02,76,73.0,,0.73,55.48
2017-04-03,93,73.0,,0.73,67.89
2017-04-04,97,73.0,,0.73,70.81
2017-04-05,94,73.0,,0.73,68.62
2017-04-06,93,73.0,,0.73,67.89
2017-04-07,88,73.0,,0.73,64.24
2017-04-08,70,73.0,,0.73,51.1
2017-04-09,76,73.0,,0.73,55.48
2017-04-10,94,73.0,,0.73,68.62
2017-04-11,92,73.0,,0.73,67.16
2017-04-12,94,73.0,,0.73,68.62
2017-04-13,89,73.0,,0.73,64.97
2017-04-14,78,73.0,,0.73,56.94
2017-04-15,70,73.0,,0.73,51.1
2017-04-16,77,73.0,,0.73,56.21
2017-04-17,91,73.0,,0.73,66.42999999999999
2017-04-18,99,73.0,,0.73,72.27
2017-04-19,93,73.0,,0.73,67.89
2017-04-20,92,73.0,,0.73,67.16
2017-04-21,90,73.0,,0.73,65.7
2017-04-22,70,73.0,,0.73,51.1
2017-04-23,77,73.0,,0.73,56.21
2017-04-24,95,73.0,,0.73,69.35
2017-04-25,100,73.0,,0.73,73.0
2017-04-26,95,73.0,,0.73,69.35
2017-04-27,95,73.0,,0.73,69.35
2017-04-28,87,73.0,,0.73,63.51
2017-04-29,71,73.0,,0.73,51.83
2017-04-30,79,73.0,,0.73,57.67
2017-05-01,99,69.0,False,0.69,68.30999999999999
2017-05-02,100,69.0,,0.69,69.0
2017-05-03,98,69.0,,0.69,67.61999999999999
2017-05-04,96,69.0,,0.69,66.24
2017-05-05,90,69.0,,0.69,62.099999999999994
2017-05-06,72,69.0,,0.69,49.67999999999999
2017-05-07,77,69.0,,0.69,53.129999999999995
2017-05-08,95,69.0,,0.69,65.55
2017-05-09,98,69.0,,0.69,67.61999999999999
2017-05-10,94,69.0,,0.69,64.86
2017-05-11,94,69.0,,0.69,64.86
2017-05-12,86,69.0,,0.69,59.339999999999996
2017-05-13,71,69.0,,0.69,48.989999999999995
2017-05-14,74,69.0,,0.69,51.059999999999995
2017-05-15,92,69.0,,0.69,63.48
2017-05-16,92,69.0,,0.69,63.48
2017-05-17,91,69.0,,0.69,62.78999999999999
2017-05-18,88,69.0,,0.69,60.72
2017-05-19,80,69.0,,0.69,55.199999999999996
2017-05-20,68,69.0,,0.69,46.919999999999995
2017-05-21,74,69.0,,0.69,51.059999999999995
2017-05-22,88,69.0,,0.69,60.72
2017-05-23,86,69.0,,0.69,59.339999999999996
2017-05-24,86,69.0,,0.69,59.339999999999996
2017-05-25,84,69.0,,0.69,57.959999999999994
2017-05-26,77,69.0,,0.69,53.129999999999995
2017-05-27,68,69.0,,0.69,46.919999999999995
2017-05-28,68,69.0,,0.69,46.919999999999995
2017-05-29,70,69.0,,0.69,48.3
2017-05-30,83,69.0,,0.69,57.269999999999996
2017-05-31,87,69.0,,0.69,60.029999999999994
2017-06-01,96,63.0,False,0.63,60.480000000000004
2017-06-02,95,63.0,,0.63,59.85
2017-06-03,81,63.0,,0.63,51.03
2017-06-04,88,63.0,,0.63,55.44
2017-06-05,94,63.0,,0.63,59.22
2017-06-06,100,63.0,,0.63,63.0
2017-06-07,99,63.0,,0.63,62.37
2017-06-08,95,63.0,,0.63,59.85
2017-06-09,90,63.0,,0.63,56.7
2017-06-10,81,63.0,,0.63,51.03
2017-06-11,86,63.0,,0.63,54.18
2017-06-12,95,63.0,,0.63,59.85
2017-06-13,96,63.0,,0.63,60.480000000000004
2017-06-14,95,63.0,,0.63,59.85
2017-06-15,94,63.0,,0.63,59.22
2017-06-16,87,63.0,,0.63,54.81
2017-06-17,83,63.0,,0.63,52.29
2017-06-18,85,63.0,,0.63,53.55
2017-06-19,94,63.0,,0.63,59.22
2017-06-20,94,63.0,,0.63,59.22
2017-06-21,97,63.0,,0.63,61.11
2017-06-22,93,63.0,,0.63,58.59
2017-06-23,85,63.0,,0.63,53.55
2017-06-24,79,63.0,,0.63,49.77
2017-06-25,85,63.0,,0.63,53.55
2017-06-26,93,63.0,,0.63,58.59
2017-06-27,94,63.0,,0.63,59.22
2017-06-28,94,63.0,,0.63,59.22
2017-06-29,93,63.0,,0.63,58.59
2017-06-30,86,63.0,,0.63,54.18
2017-07-01,78,59.0,False,0.59,46.019999999999996
2017-07-02,82,59.0,,0.59,48.379999999999995
2017-07-03,87,59.0,,0.59,51.33
2017-07-04,82,59.0,,0.59,48.379999999999995
2017-07-05,91,59.0,,0.59,53.69
2017-07-06,96,59.0,,0.59,56.64
2017-07-07,90,59.0,,0.59,53.099999999999994
2017-07-08,84,59.0,,0.59,49.559999999999995
2017-07-09,86,59.0,,0.59,50.739999999999995
2017-07-10,93,59.0,,0.59,54.87
2017-07-11,96,59.0,,0.59,56.64
2017-07-12,100,59.0,,0.59,59.0
2017-07-13,96,59.0,,0.59,56.64
2017-07-14,89,59.0,,0.59,52.51
2017-07-15,81,59.0,,0.59,47.79
2017-07-16,87,59.0,,0.59,51.33
2017-07-17,94,59.0,,0.59,55.459999999999994
2017-07-18,96,59.0,,0.59,56.64
2017-07-19,95,59.0,,0.59,56.05
2017-07-20,95,59.0,,0.59,56.05
2017-07-21,87,59.0,,0.59,51.33
2017-07-22,80,59.0,,0.59,47.199999999999996
2017-07-23,85,59.0,,0.59,50.15
2017-07-24,95,59.0,,0.59,56.05
2017-07-25,95,59.0,,0.59,56.05
2017-07-26,93,59.0,,0.59,54.87
2017-07-27,93,59.0,,0.59,54.87
2017-07-28,91,59.0,,0.59,53.69
2017-07-29,84,59.0,,0.59,49.559999999999995
2017-07-30,86,59.0,,0.59,50.739999999999995
2017-07-31,92,59.0,,0.59,54.279999999999994
2017-08-01,76,62.0,False,0.62,47.12
2017-08-02,77,62.0,,0.62,47.74
2017-08-03,73,62.0,,0.62,45.26
2017-08-04,69,62.0,,0.62,42.78
2017-08-05,65,62.0,,0.62,40.3
2017-08-06,64,62.0,,0.62,39.68
2017-08-07,75,62.0,,0.62,46.5
2017-08-08,73,62.0,,0.62,45.26
2017-08-09,74,62.0,,0.62,45.88
2017-08-10,77,62.0,,0.62,47.74
2017-08-11,71,62.0,,0.62,44.02
2017-08-12,63,62.0,,0.62,39.06
2017-08-13,65,62.0,,0.62,40.3
2017-08-14,73,62.0,,0.62,45.26
2017-08-15,79,62.0,,0.62,48.98
2017-08-16,76,62.0,,0.62,47.12
2017-08-17,78,62.0,,0.62,48.36
2017-08-18,74,62.0,,0.62,45.88
2017-08-19,68,62.0,,0.62,42.16
2017-08-20,73,62.0,,0.62,45.26
2017-08-21,100,62.0,,0.62,62.0
2017-08-22,84,62.0,,0.62,52.08
2017-08-23,80,62.0,,0.62,49.6
2017-08-24,83,62.0,,0.62,51.46
2017-08-25,77,62.0,,0.62,47.74
2017-08-26,64,62.0,,0.62,39.68
2017-08-27,66,62.0,,0.62,40.92
2017-08-28,81,62.0,,0.62,50.22
2017-08-29,85,62.0,,0.62,52.7
2017-08-30,89,62.0,,0.62,55.18
2017-08-31,86,62.0,,0.62,53.32
2017-09-01,74,71.0,False,0.71,52.54
2017-09-02,62,71.0,,0.71,44.019999999999996
2017-09-03,65,71.0,,0.71,46.15
2017-09-04,71,71.0,,0.71,50.41
2017-09-05,80,71.0,,0.71,56.8
2017-09-06,84,71.0,,0.71,59.64
2017-09-07,85,71.0,,0.71,60.349999999999994
2017-09-08,77,71.0,,0.71,54.669999999999995
2017-09-09,62,71.0,,0.71,44.019999999999996
2017-09-10,68,71.0,,0.71,48.28
2017-09-11,81,71.0,,0.71,57.51
2017-09-12,90,71.0,,0.71,63.9
2017-09-13,90,71.0,,0.71,63.9
2017-09-14,92,71.0,,0.71,65.32
2017-09-15,86,71.0,,0.71,61.059999999999995
2017-09-16,68,71.0,,0.71,48.28
2017-09-17,73,71.0,,0.71,51.83
2017-09-18,93,71.0,,0.71,66.03
2017-09-19,98,71.0,,0.71,69.58
2017-09-20,96,71.0,,0.71,68.16
2017-09-21,92,71.0,,0.71,65.32
2017-09-22,88,71.0,,0.71,62.48
2017-09-23,68,71.0,,0.71,48.28
2017-09-24,76,71.0,,0.71,53.959999999999994
2017-09-25,96,71.0,,0.71,68.16
2017-09-26,100,71.0,,0.71,71.0
2017-09-27,96,71.0,,0.71,68.16
2017-09-28,96,71.0,,0.71,68.16
2017-09-29,87,71.0,,0.71,61.769999999999996
2017-09-30,68,71.0,,0.71,48.28
2017-10-01,76,74.0,False,0.74,56.24
2017-10-02,91,74.0,,0.74,67.34
2017-10-03,96,74.0,,0.74,71.03999999999999
2017-10-04,96,74.0,,0.74,71.03999999999999
2017-10-05,94,74.0,,0.74,69.56
2017-10-06,89,74.0,,0.74,65.86
2017-10-07,65,74.0,,0.74,48.1
2017-10-08,75,74.0,,0.74,55.5
2017-10-09,89,74.0,,0.74,65.86
2017-10-10,94,74.0,,0.74,69.56
2017-10-11,92,74.0,,0.74,68.08
2017-10-12,96,74.0,,0.74,71.03999999999999
2017-10-13,87,74.0,,0.74,64.38
2017-10-14,67,74.0,,0.74,49.58
2017-10-15,77,74.0,,0.74,56.98
2017-10-16,94,74.0,,0.74,69.56
2017-10-17,99,74.0,,0.74,73.26
2017-10-18,95,74.0,,0.74,70.3
2017-10-19,96,74.0,,0.74,71.03999999999999
2017-10-20,86,74.0,,0.74,63.64
2017-10-21,69,74.0,,0.74,51.06
2017-10-22,78,74.0,,0.74,57.72
2017-10-23,97,74.0,,0.74,71.78
2017-10-24,100,74.0,,0.74,74.0
2017-10-25,96,74.0,,0.74,71.03999999999999
2017-10-26,100,74.0,,0.74,74.0
2017-10-27,89,74.0,,0.74,65.86
2017-10-28,67,74.0,,0.74,49.58
2017-10-29,75,74.0,,0.74,55.5
2017-10-30,95,74.0,,0.74,70.3
2017-10-31,93,74.0,,0.74,68.82
2017-11-01,92,72.0,False,0.72,66.24
2017-11-02,95,72.0,,0.72,68.39999999999999
2017-11-03,87,72.0,,0.72,62.64
2017-11-04,71,72.0,,0.72,51.12
2017-11-05,79,72.0,,0.72,56.879999999999995
2017-11-06,99,72.0,,0.72,71.28
2017-11-07,96,72.0,,0.72,69.12
2017-11-08,94,72.0,,0.72,67.67999999999999
2017-11-09,95,72.0,,0.72,68.39999999999999
2017-11-10,85,72.0,,0.72,61.199999999999996
2017-11-11,68,72.0,,0.72,48.96
2017-11-12,75,72.0,,0.72,54.0
2017-11-13,98,72.0,,0.72,70.56
2017-11-14,98,72.0,,0.72,70.56
2017-11-15,100,72.0,,0.72,72.0
2017-11-16,98,72.0,,0.72,70.56
2017-11-17,88,72.0,,0.72,63.36
2017-11-18,67,72.0,,0.72,48.239999999999995
2017-11-19,75,72.0,,0.72,54.0
2017-11-20,91,72.0,,0.72,65.52
2017-11-21,88,72.0,,0.72,63.36
2017-11-22,73,72.0,,0.72,52.559999999999995
2017-11-23,62,72.0,,0.72,44.64
2017-11-24,59,72.0,,0.72,42.48
2017-11-25,64,72.0,,0.72,46.08
2017-11-26,72,72.0,,0.72,51.839999999999996
2017-11-27,88,72.0,,0.72,63.36
2017-11-28,100,72.0,,0.72,72.0
2017-11-29,100,72.0,,0.72,72.0
2017-11-30,97,72.0,,0.72,69.84
2017-12-01,92,63.0,False,0.63,57.96
2017-12-02,72,63.0,,0.63,45.36
2017-12-03,78,63.0,,0.63,49.14
2017-12-04,96,63.0,,0.63,60.480000000000004
2017-12-05,100,63.0,,0.63,63.0
2017-12-06,100,63.0,,0.63,63.0
2017-12-07,97,63.0,,0.63,61.11
2017-12-08,91,63.0,,0.63,57.33
2017-12-09,74,63.0,,0.63,46.62
2017-12-10,76,63.0,,0.63,47.88
2017-12-11,96,63.0,,0.63,60.480000000000004
2017-12-12,98,63.0,,0.63,61.74
2017-12-13,94,63.0,,0.63,59.22
2017-12-14,93,63.0,,0.63,58.59
2017-12-15,83,63.0,,0.63,52.29
2017-12-16,62,63.0,,0.63,39.06
2017-12-17,68,63.0,,0.63,42.84
2017-12-18,82,63.0,,0.63,51.660000000000004
2017-12-19,82,63.0,,0.63,51.660000000000004
2017-12-20,78,63.0,,0.63,49.14
2017-12-21,71,63.0,,0.63,44.73
2017-12-22,63,63.0,,0.63,39.69
2017-12-23,58,63.0,,0.63,36.54
2017-12-24,57,63.0,,0.63,35.910000000000004
2017-12-25,64,63.0,,0.63,40.32
