date,ED_unscaled,ED_monthly,isPartial,scale,ED
2016-07-22,73,52.0,,0.52,37.96
2016-07-23,64,52.0,,0.52,33.28
2016-07-24,74,52.0,,0.52,38.480000000000004
2016-07-25,81,52.0,,0.52,42.120000000000005
2016-07-26,98,52.0,,0.52,50.96
2016-07-27,99,52.0,,0.52,51.480000000000004
2016-07-28,100,52.0,,0.52,52.0
2016-07-29,88,52.0,,0.52,45.760000000000005
2016-07-30,78,52.0,,0.52,40.56
2016-07-31,79,52.0,,0.52,41.08
2016-08-01,86,54.0,False,0.54,46.440000000000005
2016-08-02,81,54.0,,0.54,43.74
2016-08-03,82,54.0,,0.54,44.28
2016-08-04,81,54.0,,0.54,43.74
2016-08-05,77,54.0,,0.54,41.580000000000005
2016-08-06,63,54.0,,0.54,34.02
2016-08-07,66,54.0,,0.54,35.64
2016-08-08,74,54.0,,0.54,39.96
2016-08-09,80,54.0,,0.54,43.2
2016-08-10,79,54.0,,0.54,42.660000000000004
2016-08-11,81,54.0,,0.54,43.74
2016-08-12,76,54.0,,0.54,41.040000000000006
2016-08-13,72,54.0,,0.54,38.88
2016-08-14,68,54.0,,0.54,36.72
2016-08-15,79,54.0,,0.54,42.660000000000004
2016-08-16,85,54.0,,0.54,45.900000000000006
2016-08-17,85,54.0,,0.54,45.900000000000006
2016-08-18,80,54.0,,0.54,43.2
2016-08-19,79,54.0,,0.54,42.660000000000004
2016-08-20,65,54.0,,0.54,35.1
2016-08-21,68,54.0,,0.54,36.72
2016-08-22,89,54.0,,0.54,48.06
2016-08-23,90,54.0,,0.54,48.6
2016-08-24,92,54.0,,0.54,49.68000000000001
2016-08-25,86,54.0,,0.54,46.440000000000005
2016-08-26,90,54.0,,0.54,48.6
2016-08-27,75,54.0,,0.54,40.5
2016-08-28,75,54.0,,0.54,40.5
2016-08-29,91,54.0,,0.54,49.14
2016-08-30,96,54.0,,0.54,51.84
2016-08-31,100,54.0,,0.54,54.0
2016-09-01,80,60.0,False,0.6,48.0
2016-09-02,80,60.0,,0.6,48.0
2016-09-03,69,60.0,,0.6,41.4
2016-09-04,64,60.0,,0.6,38.4
2016-09-05,73,60.0,,0.6,43.8
2016-09-06,87,60.0,,0.6,52.199999999999996
2016-09-07,85,60.0,,0.6,51.0
2016-09-08,83,60.0,,0.6,49.8
2016-09-09,85,60.0,,0.6,51.0
2016-09-10,68,60.0,,0.6,40.8
2016-09-11,66,60.0,,0.6,39.6
2016-09-12,87,60.0,,0.6,52.199999999999996
2016-09-13,86,60.0,,0.6,51.6
2016-09-14,88,60.0,,0.6,52.8
2016-09-15,82,60.0,,0.6,49.199999999999996
2016-09-16,87,60.0,,0.6,52.199999999999996
2016-09-17,63,60.0,,0.6,37.8
2016-09-18,71,60.0,,0.6,42.6
2016-09-19,88,60.0,,0.6,52.8
2016-09-20,87,60.0,,0.6,52.199999999999996
2016-09-21,88,60.0,,0.6,52.8
2016-09-22,85,60.0,,0.6,51.0
2016-09-23,83,60.0,,0.6,49.8
2016-09-24,67,60.0,,0.6,40.199999999999996
2016-09-25,81,60.0,,0.6,48.6
2016-09-26,100,60.0,,0.6,60.0
2016-09-27,89,60.0,,0.6,53.4
2016-09-28,86,60.0,,0.6,51.6
2016-09-29,88,60.0,,0.6,52.8
2016-09-30,87,60.0,,0.6,52.199999999999996
2016-10-01,71,60.0,False,0.6,42.6
2016-10-02,83,60.0,,0.6,49.8
2016-10-03,87,60.0,,0.6,52.199999999999996
2016-10-04,88,60.0,,0.6,52.8
2016-10-05,84,60.0,,0.6,50.4
2016-10-06,80,60.0,,0.6,48.0
2016-10-07,81,60.0,,0.6,48.6
2016-10-08,64,60.0,,0.6,38.4
2016-10-09,62,60.0,,0.6,37.199999999999996
2016-10-10,80,60.0,,0.6,48.0
2016-10-11,87,60.0,,0.6,52.199999999999996
2016-10-12,84,60.0,,0.6,50.4
2016-10-13,79,60.0,,0.6,47.4
2016-10-14,83,60.0,,0.6,49.8
2016-10-15,68,60.0,,0.6,40.8
2016-10-16,71,60.0,,0.6,42.6
2016-10-17,88,60.0,,0.6,52.8
2016-10-18,87,60.0,,0.6,52.199999999999996
2016-10-19,86,60.0,,0.6,51.6
2016-10-20,100,60.0,,0.6,60.0
2016-10-21,89,60.0,,0.6,53.4
2016-10-22,71,60.0,,0.6,42.6
2016-10-23,73,60.0,,0.6,43.8
2016-10-24,89,60.0,,0.6,53.4
2016-10-25,89,60.0,,0.6,53.4
2016-10-26,91,60.0,,0.6,54.6
2016-10-27,87,60.0,,0.6,52.199999999999996
2016-10-28,85,60.0,,0.6,51.0
2016-10-29,69,60.0,,0.6,41.4
2016-10-30,69,60.0,,0.6,41.4
2016-10-31,84,60.0,,0.6,50.4
2016-11-01,100,58.0,False,0.58,57.99999999999999
2016-11-02,88,58.0,,0.58,51.04
2016-11-03,86,58.0,,0.58,49.879999999999995
2016-11-04,90,58.0,,0.58,52.199999999999996
2016-11-05,74,58.0,,0.58,42.919999999999995
2016-11-06,84,58.0,,0.58,48.72
2016-11-07,96,58.0,,0.58,55.67999999999999
2016-11-08,92,58.0,,0.58,53.36
2016-11-09,70,58.0,,0.58,40.599999999999994
2016-11-10,87,58.0,,0.58,50.459999999999994
2016-11-11,74,58.0,,0.58,42.919999999999995
2016-11-12,60,58.0,,0.58,34.8
2016-11-13,70,58.0,,0.58,40.599999999999994
2016-11-14,86,58.0,,0.58,49.879999999999995
2016-11-15,90,58.0,,0.58,52.199999999999996
2016-11-16,89,58.0,,0.58,51.62
2016-11-17,92,58.0,,0.58,53.36
2016-11-18,87,58.0,,0.58,50.459999999999994
2016-11-19,71,58.0,,0.58,41.18
2016-11-20,71,58.0,,0.58,41.18
2016-11-21,84,58.0,,0.58,48.72
2016-11-22,81,58.0,,0.58,46.98
2016-11-23,67,58.0,,0.58,38.86
2016-11-24,57,58.0,,0.58,33.059999999999995
2016-11-25,65,58.0,,0.58,37.699999999999996
2016-11-26,94,58.0,,0.58,54.519999999999996
2016-11-27,84,58.0,,0.58,48.72
2016-11-28,92,58.0,,0.58,53.36
2016-11-29,92,58.0,,0.58,53.36
2016-11-30,92,58.0,,0.58,53.36
2016-12-01,97,52.0,False,0.52,50.440000000000005
2016-12-02,88,52.0,,0.52,45.760000000000005
2016-12-03,75,52.0,,0.52,39.0
2016-12-04,72,52.0,,0.52,37.44
2016-12-05,96,52.0,,0.52,49.92
2016-12-06,94,52.0,,0.52,48.88
2016-12-07,96,52.0,,0.52,49.92
2016-12-08,94,52.0,,0.52,48.88
2016-12-09,89,52.0,,0.52,46.28
2016-12-10,74,52.0,,0.52,38.480000000000004
2016-12-11,75,52.0,,0.52,39.0
2016-12-12,91,52.0,,0.52,47.32
2016-12-13,100,52.0,,0.52,52.0
2016-12-14,93,52.0,,0.52,48.36
2016-12-15,89,52.0,,0.52,46.28
2016-12-16,82,52.0,,0.52,42.64
2016-12-17,72,52.0,,0.52,37.44
2016-12-18,68,52.0,,0.52,35.36
2016-12-19,82,52.0,,0.52,42.64
2016-12-20,82,52.0,,0.52,42.64
2016-12-21,78,52.0,,0.52,40.56
2016-12-22,73,52.0,,0.52,37.96
2016-12-23,67,52.0,,0.52,34.84
2016-12-24,62,52.0,,0.52,32.24
2016-12-25,60,52.0,,0.52,31.200000000000003
2016-12-26,67,52.0,,0.52,34.84
2016-12-27,66,52.0,,0.52,34.32
2016-12-28,72,52.0,,0.52,37.44
2016-12-29,74,52.0,,0.52,38.480000000000004
2016-12-30,75,52.0,,0.52,39.0
2016-12-31,69,52.0,,0.52,35.88
2017-01-01,42,73.0,False,0.73,30.66
2017-01-02,48,73.0,,0.73,35.04
2017-01-03,55,73.0,,0.73,40.15
2017-01-04,53,73.0,,0.73,38.69
2017-01-05,55,73.0,,0.73,40.15
2017-01-06,84,73.0,,0.73,61.32
2017-01-07,68,73.0,,0.73,49.64
2017-01-08,59,73.0,,0.73,43.07
2017-01-09,64,73.0,,0.73,46.72
2017-01-10,66,73.0,,0.73,48.18
2017-01-11,61,73.0,,0.73,44.53
2017-01-12,62,73.0,,0.73,45.26
2017-01-13,63,73.0,,0.73,45.99
2017-01-14,56,73.0,,0.73,40.879999999999995
2017-01-15,48,73.0,,0.73,35.04
2017-01-16,50,73.0,,0.73,36.5
2017-01-17,59,73.0,,0.73,43.07
2017-01-18,60,73.0,,0.73,43.8
2017-01-19,61,73.0,,0.73,44.53
2017-01-20,56,73.0,,0.73,40.879999999999995
2017-01-21,49,73.0,,0.73,35.769999999999996
2017-01-22,53,73.0,,0.73,38.69
2017-01-23,100,73.0,,0.73,73.0
2017-01-24,77,73.0,,0.73,56.21
2017-01-25,67,73.0,,0.73,48.91
2017-01-26,70,73.0,,0.73,51.1
2017-01-27,62,73.0,,0.73,45.26
2017-01-28,57,73.0,,0.73,41.61
2017-01-29,56,73.0,,0.73,40.879999999999995
2017-01-30,63,73.0,,0.73,45.99
2017-01-31,63,73.0,,0.73,45.99
2017-02-01,56,75.0,False,0.75,42.0
2017-02-02,55,75.0,,0.75,41.25
2017-02-03,54,75.0,,0.75,40.5
2017-02-04,49,75.0,,0.75,36.75
2017-02-05,47,75.0,,0.75,35.25
2017-02-06,49,75.0,,0.75,36.75
2017-02-07,55,75.0,,0.75,41.25
2017-02-08,54,75.0,,0.75,40.5
2017-02-09,53,75.0,,0.75,39.75
2017-02-10,55,75.0,,0.75,41.25
2017-02-11,53,75.0,,0.75,39.75
2017-02-12,77,75.0,,0.75,57.75
2017-02-13,100,75.0,,0.75,75.0
2017-02-14,63,75.0,,0.75,47.25
2017-02-15,66,75.0,,0.75,49.5
2017-02-16,60,75.0,,0.75,45.0
2017-02-17,64,75.0,,0.75,48.0
2017-02-18,59,75.0,,0.75,44.25
2017-02-19,52,75.0,,0.75,39.0
2017-02-20,52,75.0,,0.75,39.0
2017-02-21,55,75.0,,0.75,41.25
2017-02-22,56,75.0,,0.75,42.0
2017-02-23,57,75.0,,0.75,42.75
2017-02-24,66,75.0,,0.75,49.5
2017-02-25,63,75.0,,0.75,47.25
2017-02-26,53,75.0,,0.75,39.75
2017-02-27,54,75.0,,0.75,40.5
2017-02-28,61,75.0,,0.75,45.75
2017-03-01,46,100.0,False,1.0,46.0
2017-03-02,49,100.0,,1.0,49.0
2017-03-03,71,100.0,,1.0,71.0
2017-03-04,68,100.0,,1.0,68.0
2017-03-05,64,100.0,,1.0,64.0
2017-03-06,73,100.0,,1.0,73.0
2017-03-07,63,100.0,,1.0,63.0
2017-03-08,100,100.0,,1.0,100.0
2017-03-09,76,100.0,,1.0,76.0
2017-03-10,63,100.0,,1.0,63.0
2017-03-11,59,100.0,,1.0,59.0
2017-03-12,56,100.0,,1.0,56.0
2017-03-13,84,100.0,,1.0,84.0
2017-03-14,63,100.0,,1.0,63.0
2017-03-15,58,100.0,,1.0,58.0
2017-03-16,59,100.0,,1.0,59.0
2017-03-17,75,100.0,,1.0,75.0
2017-03-18,56,100.0,,1.0,56.0
2017-03-19,54,100.0,,1.0,54.0
2017-03-20,55,100.0,,1.0,55.0
2017-03-21,52,100.0,,1.0,52.0
2017-03-22,54,100.0,,1.0,54.0
2017-03-23,52,100.0,,1.0,52.0
2017-03-24,52,100.0,,1.0,52.0
2017-03-25,48,100.0,,1.0,48.0
2017-03-26,46,100.0,,1.0,46.0
2017-03-27,49,100.0,,1.0,49.0
2017-03-28,50,100.0,,1.0,50.0
2017-03-29,48,100.0,,1.0,48.0
2017-03-30,48,100.0,,1.0,48.0
2017-03-31,47,100.0,,1.0,47.0
2017-04-01,80,73.0,False,0.73,58.4
2017-04-02,88,73.0,,0.73,64.24
2017-04-03,86,73.0,,0.73,62.78
2017-04-04,89,73.0,,0.73,64.97
2017-04-05,84,73.0,,0.73,61.32
2017-04-06,87,73.0,,0.73,63.51
2017-04-07,88,73.0,,0.73,64.24
2017-04-08,79,73.0,,0.73,57.67
2017-04-09,73,73.0,,0.73,53.29
2017-04-10,86,73.0,,0.73,62.78
2017-04-11,82,73.0,,0.73,59.86
2017-04-12,83,73.0,,0.73,60.589999999999996
2017-04-13,79,73.0,,0.73,57.67
2017-04-14,75,73.0,,0.73,54.75
2017-04-15,70,73.0,,0.73,51.1
2017-04-16,72,73.0,,0.73,52.56
2017-04-17,81,73.0,,0.73,59.129999999999995
2017-04-18,81,73.0,,0.73,59.129999999999995
2017-04-19,84,73.0,,0.73,61.32
2017-04-20,83,73.0,,0.73,60.589999999999996
2017-04-21,84,73.0,,0.73,61.32
2017-04-22,70,73.0,,0.73,51.1
2017-04-23,74,73.0,,0.73,54.019999999999996
2017-04-24,84,73.0,,0.73,61.32
2017-04-25,84,73.0,,0.73,61.32
2017-04-26,100,73.0,,0.73,73.0
2017-04-27,92,73.0,,0.73,67.16
2017-04-28,87,73.0,,0.73,63.51
2017-04-29,71,73.0,,0.73,51.83
2017-04-30,75,73.0,,0.73,54.75
2017-05-01,84,67.0,False,0.67,56.28
2017-05-02,82,67.0,,0.67,54.940000000000005
2017-05-03,82,67.0,,0.67,54.940000000000005
2017-05-04,88,67.0,,0.67,58.96
2017-05-05,84,67.0,,0.67,56.28
2017-05-06,75,67.0,,0.67,50.25
2017-05-07,69,67.0,,0.67,46.230000000000004
2017-05-08,83,67.0,,0.67,55.61000000000001
2017-05-09,87,67.0,,0.67,58.290000000000006
2017-05-10,86,67.0,,0.67,57.620000000000005
2017-05-11,86,67.0,,0.67,57.620000000000005
2017-05-12,83,67.0,,0.67,55.61000000000001
2017-05-13,70,67.0,,0.67,46.900000000000006
2017-05-14,72,67.0,,0.67,48.24
2017-05-15,82,67.0,,0.67,54.940000000000005
2017-05-16,84,67.0,,0.67,56.28
2017-05-17,83,67.0,,0.67,55.61000000000001
2017-05-18,82,67.0,,0.67,54.940000000000005
2017-05-19,76,67.0,,0.67,50.92
2017-05-20,66,67.0,,0.67,44.220000000000006
2017-05-21,74,67.0,,0.67,49.580000000000005
2017-05-22,100,67.0,,0.67,67.0
2017-05-23,77,67.0,,0.67,51.59
2017-05-24,78,67.0,,0.67,52.260000000000005
2017-05-25,79,67.0,,0.67,52.93
2017-05-26,77,67.0,,0.67,51.59
2017-05-27,64,67.0,,0.67,42.88
2017-05-28,73,67.0,,0.67,48.910000000000004
2017-05-29,68,67.0,,0.67,45.56
2017-05-30,79,67.0,,0.67,52.93
2017-05-31,80,67.0,,0.67,53.6
2017-06-01,89,64.0,False,0.64,56.96
2017-06-02,82,64.0,,0.64,52.480000000000004
2017-06-03,74,64.0,,0.64,47.36
2017-06-04,74,64.0,,0.64,47.36
2017-06-05,85,64.0,,0.64,54.4
2017-06-06,82,64.0,,0.64,52.480000000000004
2017-06-07,98,64.0,,0.64,62.72
2017-06-08,100,64.0,,0.64,64.0
2017-06-09,93,64.0,,0.64,59.52
2017-06-10,76,64.0,,0.64,48.64
2017-06-11,79,64.0,,0.64,50.56
2017-06-12,84,64.0,,0.64,53.76
2017-06-13,81,64.0,,0.64,51.84
2017-06-14,84,64.0,,0.64,53.76
2017-06-15,83,64.0,,0.64,53.120000000000005
2017-06-16,79,64.0,,0.64,50.56
2017-06-17,76,64.0,,0.64,48.64
2017-06-18,73,64.0,,0.64,46.72
2017-06-19,83,64.0,,0.64,53.120000000000005
2017-06-20,79,64.0,,0.64,50.56
2017-06-21,77,64.0,,0.64,49.28
2017-06-22,79,64.0,,0.64,50.56
2017-06-23,77,64.0,,0.64,49.28
2017-06-24,71,64.0,,0.64,45.44
2017-06-25,71,64.0,,0.64,45.44
2017-06-26,84,64.0,,0.64,53.76
2017-06-27,81,64.0,,0.64,51.84
2017-06-28,78,64.0,,0.64,49.92
2017-06-29,79,64.0,,0.64,50.56
2017-06-30,82,64.0,,0.64,52.480000000000004
2017-07-01,25,76.0,False,0.76,19.0
2017-07-02,23,76.0,,0.76,17.48
2017-07-03,23,76.0,,0.76,17.48
2017-07-04,24,76.0,,0.76,18.240000000000002
2017-07-05,26,76.0,,0.76,19.76
2017-07-06,32,76.0,,0.76,24.32
2017-07-07,26,76.0,,0.76,19.76
2017-07-08,25,76.0,,0.76,19.0
2017-07-09,28,76.0,,0.76,21.28
2017-07-10,29,76.0,,0.76,22.04
2017-07-11,27,76.0,,0.76,20.52
2017-07-12,29,76.0,,0.76,22.04
2017-07-13,26,76.0,,0.76,19.76
2017-07-14,26,76.0,,0.76,19.76
2017-07-15,25,76.0,,0.76,19.0
2017-07-16,26,76.0,,0.76,19.76
2017-07-17,100,76.0,,0.76,76.0
2017-07-18,46,76.0,,0.76,34.96
2017-07-19,37,76.0,,0.76,28.12
2017-07-20,30,76.0,,0.76,22.8
2017-07-21,29,76.0,,0.76,22.04
2017-07-22,27,76.0,,0.76,20.52
2017-07-23,26,76.0,,0.76,19.76
2017-07-24,28,76.0,,0.76,21.28
2017-07-25,28,76.0,,0.76,21.28
2017-07-26,28,76.0,,0.76,21.28
2017-07-27,28,76.0,,0.76,21.28
2017-07-28,27,76.0,,0.76,20.52
2017-07-29,27,76.0,,0.76,20.52
2017-07-30,30,76.0,,0.76,22.8
2017-07-31,27,76.0,,0.76,20.52
2017-08-01,76,68.0,False,0.68,51.68000000000001
2017-08-02,82,68.0,,0.68,55.760000000000005
2017-08-03,77,68.0,,0.68,52.36000000000001
2017-08-04,67,68.0,,0.68,45.56
2017-08-05,68,68.0,,0.68,46.24
2017-08-06,69,68.0,,0.68,46.92
2017-08-07,75,68.0,,0.68,51.00000000000001
2017-08-08,72,68.0,,0.68,48.96
2017-08-09,75,68.0,,0.68,51.00000000000001
2017-08-10,76,68.0,,0.68,51.68000000000001
2017-08-11,74,68.0,,0.68,50.32
2017-08-12,73,68.0,,0.68,49.64
2017-08-13,71,68.0,,0.68,48.28
2017-08-14,74,68.0,,0.68,50.32
2017-08-15,79,68.0,,0.68,53.720000000000006
2017-08-16,79,68.0,,0.68,53.720000000000006
2017-08-17,78,68.0,,0.68,53.040000000000006
2017-08-18,78,68.0,,0.68,53.040000000000006
2017-08-19,72,68.0,,0.68,48.96
2017-08-20,71,68.0,,0.68,48.28
2017-08-21,68,68.0,,0.68,46.24
2017-08-22,78,68.0,,0.68,53.040000000000006
2017-08-23,81,68.0,,0.68,55.080000000000005
2017-08-24,75,68.0,,0.68,51.00000000000001
2017-08-25,77,68.0,,0.68,52.36000000000001
2017-08-26,67,68.0,,0.68,45.56
2017-08-27,69,68.0,,0.68,46.92
2017-08-28,100,68.0,,0.68,68.0
2017-08-29,99,68.0,,0.68,67.32000000000001
2017-08-30,94,68.0,,0.68,63.92
2017-08-31,99,68.0,,0.68,67.32000000000001
2017-09-01,96,69.0,False,0.69,66.24
2017-09-02,76,69.0,,0.69,52.44
2017-09-03,82,69.0,,0.69,56.58
2017-09-04,84,69.0,,0.69,57.959999999999994
2017-09-05,91,69.0,,0.69,62.78999999999999
2017-09-06,87,69.0,,0.69,60.029999999999994
2017-09-07,89,69.0,,0.69,61.41
2017-09-08,88,69.0,,0.69,60.72
2017-09-09,76,69.0,,0.69,52.44
2017-09-10,72,69.0,,0.69,49.67999999999999
2017-09-11,87,69.0,,0.69,60.029999999999994
2017-09-12,99,69.0,,0.69,68.30999999999999
2017-09-13,100,69.0,,0.69,69.0
2017-09-14,95,69.0,,0.69,65.55
2017-09-15,95,69.0,,0.69,65.55
2017-09-16,86,69.0,,0.69,59.339999999999996
2017-09-17,85,69.0,,0.69,58.65
2017-09-18,90,69.0,,0.69,62.099999999999994
2017-09-19,95,69.0,,0.69,65.55
2017-09-20,94,69.0,,0.69,64.86
2017-09-21,94,69.0,,0.69,64.86
2017-09-22,100,69.0,,0.69,69.0
2017-09-23,91,69.0,,0.69,62.78999999999999
2017-09-24,82,69.0,,0.69,56.58
2017-09-25,98,69.0,,0.69,67.61999999999999
2017-09-26,98,69.0,,0.69,67.61999999999999
2017-09-27,95,69.0,,0.69,65.55
2017-09-28,94,69.0,,0.69,64.86
2017-09-29,91,69.0,,0.69,62.78999999999999
2017-09-30,82,69.0,,0.69,56.58
2017-10-01,69,77.0,False,0.77,53.13
2017-10-02,72,77.0,,0.77,55.44
2017-10-03,73,77.0,,0.77,56.21
2017-10-04,77,77.0,,0.77,59.29
2017-10-05,78,77.0,,0.77,60.06
2017-10-06,70,77.0,,0.77,53.9
2017-10-07,64,77.0,,0.77,49.28
2017-10-08,71,77.0,,0.77,54.67
2017-10-09,71,77.0,,0.77,54.67
2017-10-10,72,77.0,,0.77,55.44
2017-10-11,75,77.0,,0.77,57.75
2017-10-12,76,77.0,,0.77,58.52
2017-10-13,78,77.0,,0.77,60.06
2017-10-14,71,77.0,,0.77,54.67
2017-10-15,76,77.0,,0.77,58.52
2017-10-16,100,77.0,,0.77,77.0
2017-10-17,93,77.0,,0.77,71.61
2017-10-18,88,77.0,,0.77,67.76
2017-10-19,87,77.0,,0.77,66.99
2017-10-20,86,77.0,,0.77,66.22
2017-10-21,82,77.0,,0.77,63.14
2017-10-22,77,77.0,,0.77,59.29
2017-10-23,81,77.0,,0.77,62.370000000000005
2017-10-24,87,77.0,,0.77,66.99
2017-10-25,80,77.0,,0.77,61.6
2017-10-26,82,77.0,,0.77,63.14
2017-10-27,79,77.0,,0.77,60.83
2017-10-28,67,77.0,,0.77,51.59
2017-10-29,69,77.0,,0.77,53.13
2017-10-30,75,77.0,,0.77,57.75
2017-10-31,79,77.0,,0.77,60.83
2017-11-01,73,74.0,False,0.74,54.019999999999996
2017-11-02,73,74.0,,0.74,54.019999999999996
2017-11-03,74,74.0,,0.74,54.76
2017-11-04,61,74.0,,0.74,45.14
2017-11-05,63,74.0,,0.74,46.62
2017-11-06,74,74.0,,0.74,54.76
2017-11-07,97,74.0,,0.74,71.78
2017-11-08,100,74.0,,0.74,74.0
2017-11-09,88,74.0,,0.74,65.12
2017-11-10,87,74.0,,0.74,64.38
2017-11-11,76,74.0,,0.74,56.24
2017-11-12,74,74.0,,0.74,54.76
2017-11-13,76,74.0,,0.74,56.24
2017-11-14,79,74.0,,0.74,58.46
2017-11-15,80,74.0,,0.74,59.2
2017-11-16,77,74.0,,0.74,56.98
2017-11-17,75,74.0,,0.74,55.5
2017-11-18,65,74.0,,0.74,48.1
2017-11-19,66,74.0,,0.74,48.839999999999996
2017-11-20,70,74.0,,0.74,51.8
2017-11-21,70,74.0,,0.74,51.8
2017-11-22,63,74.0,,0.74,46.62
2017-11-23,57,74.0,,0.74,42.18
2017-11-24,53,74.0,,0.74,39.22
2017-11-25,58,74.0,,0.74,42.92
2017-11-26,58,74.0,,0.74,42.92
2017-11-27,66,74.0,,0.74,48.839999999999996
2017-11-28,70,74.0,,0.74,51.8
2017-11-29,74,74.0,,0.74,54.76
2017-11-30,79,74.0,,0.74,58.46
2017-12-01,65,85.0,False,0.85,55.25
2017-12-02,57,85.0,,0.85,48.449999999999996
2017-12-03,53,85.0,,0.85,45.05
2017-12-04,57,85.0,,0.85,48.449999999999996
2017-12-05,56,85.0,,0.85,47.6
2017-12-06,55,85.0,,0.85,46.75
2017-12-07,54,85.0,,0.85,45.9
2017-12-08,58,85.0,,0.85,49.3
2017-12-09,53,85.0,,0.85,45.05
2017-12-10,54,85.0,,0.85,45.9
2017-12-11,53,85.0,,0.85,45.05
2017-12-12,100,85.0,,0.85,85.0
2017-12-13,63,85.0,,0.85,53.55
2017-12-14,63,85.0,,0.85,53.55
2017-12-15,64,85.0,,0.85,54.4
2017-12-16,57,85.0,,0.85,48.449999999999996
2017-12-17,56,85.0,,0.85,47.6
2017-12-18,59,85.0,,0.85,50.15
2017-12-19,57,85.0,,0.85,48.449999999999996
2017-12-20,56,85.0,,0.85,47.6
2017-12-21,53,85.0,,0.85,45.05
2017-12-22,50,85.0,,0.85,42.5
2017-12-23,50,85.0,,0.85,42.5
2017-12-24,45,85.0,,0.85,38.25
2017-12-25,50,85.0,,0.85,42.5
2017-12-26,48,85.0,,0.85,40.8
2017-12-27,47,85.0,,0.85,39.949999999999996
2017-12-28,49,85.0,,0.85,41.65
