date,BAC_unscaled,BAC_monthly,isPartial,scale,BAC
2016-08-15,90,80.0,,0.8,72.0
2016-08-16,96,80.0,,0.8,76.80000000000001
2016-08-17,89,80.0,,0.8,71.2
2016-08-18,83,80.0,,0.8,66.4
2016-08-19,85,80.0,,0.8,68.0
2016-08-20,66,80.0,,0.8,52.800000000000004
2016-08-21,64,80.0,,0.8,51.2
2016-08-22,86,80.0,,0.8,68.8
2016-08-23,90,80.0,,0.8,72.0
2016-08-24,86,80.0,,0.8,68.8
2016-08-25,88,80.0,,0.8,70.4
2016-08-26,99,80.0,,0.8,79.2
2016-08-27,60,80.0,,0.8,48.0
2016-08-28,67,80.0,,0.8,53.6
2016-08-29,87,80.0,,0.8,69.60000000000001
2016-08-30,100,80.0,,0.8,80.0
2016-08-31,96,80.0,,0.8,76.80000000000001
2016-09-01,91,70.0,False,0.7,63.699999999999996
2016-09-02,100,70.0,,0.7,70.0
2016-09-03,67,70.0,,0.7,46.9
2016-09-04,63,70.0,,0.7,44.099999999999994
2016-09-05,64,70.0,,0.7,44.8
2016-09-06,96,70.0,,0.7,67.19999999999999
2016-09-07,83,70.0,,0.7,58.099999999999994
2016-09-08,90,70.0,,0.7,62.99999999999999
2016-09-09,95,70.0,,0.7,66.5
2016-09-10,62,70.0,,0.7,43.4
2016-09-11,53,70.0,,0.7,37.099999999999994
2016-09-12,86,70.0,,0.7,60.199999999999996
2016-09-13,92,70.0,,0.7,64.39999999999999
2016-09-14,85,70.0,,0.7,59.49999999999999
2016-09-15,80,70.0,,0.7,56.0
2016-09-16,81,70.0,,0.7,56.699999999999996
2016-09-17,64,70.0,,0.7,44.8
2016-09-18,61,70.0,,0.7,42.699999999999996
2016-09-19,77,70.0,,0.7,53.9
2016-09-20,85,70.0,,0.7,59.49999999999999
2016-09-21,90,70.0,,0.7,62.99999999999999
2016-09-22,86,70.0,,0.7,60.199999999999996
2016-09-23,89,70.0,,0.7,62.3
2016-09-24,48,70.0,,0.7,33.599999999999994
2016-09-25,59,70.0,,0.7,41.3
2016-09-26,82,70.0,,0.7,57.4
2016-09-27,78,70.0,,0.7,54.599999999999994
2016-09-28,83,70.0,,0.7,58.099999999999994
2016-09-29,74,70.0,,0.7,51.8
2016-09-30,86,70.0,,0.7,60.199999999999996
2016-10-01,64,70.0,False,0.7,44.8
2016-10-02,46,70.0,,0.7,32.199999999999996
2016-10-03,71,70.0,,0.7,49.699999999999996
2016-10-04,69,70.0,,0.7,48.3
2016-10-05,79,70.0,,0.7,55.3
2016-10-06,76,70.0,,0.7,53.199999999999996
2016-10-07,74,70.0,,0.7,51.8
2016-10-08,56,70.0,,0.7,39.199999999999996
2016-10-09,49,70.0,,0.7,34.3
2016-10-10,69,70.0,,0.7,48.3
2016-10-11,73,70.0,,0.7,51.099999999999994
2016-10-12,66,70.0,,0.7,46.199999999999996
2016-10-13,82,70.0,,0.7,57.4
2016-10-14,82,70.0,,0.7,57.4
2016-10-15,57,70.0,,0.7,39.9
2016-10-16,51,70.0,,0.7,35.699999999999996
2016-10-17,100,70.0,,0.7,70.0
2016-10-18,87,70.0,,0.7,60.9
2016-10-19,81,70.0,,0.7,56.699999999999996
2016-10-20,77,70.0,,0.7,53.9
2016-10-21,78,70.0,,0.7,54.599999999999994
2016-10-22,53,70.0,,0.7,37.099999999999994
2016-10-23,59,70.0,,0.7,41.3
2016-10-24,81,70.0,,0.7,56.699999999999996
2016-10-25,79,70.0,,0.7,55.3
2016-10-26,83,70.0,,0.7,58.099999999999994
2016-10-27,87,70.0,,0.7,60.9
2016-10-28,70,70.0,,0.7,49.0
2016-10-29,67,70.0,,0.7,46.9
2016-10-30,49,70.0,,0.7,34.3
2016-10-31,85,70.0,,0.7,59.49999999999999
2016-11-01,62,85.0,False,0.85,52.699999999999996
2016-11-02,59,85.0,,0.85,50.15
2016-11-03,61,85.0,,0.85,51.85
2016-11-04,56,85.0,,0.85,47.6
2016-11-05,37,85.0,,0.85,31.45
2016-11-06,41,85.0,,0.85,34.85
2016-11-07,55,85.0,,0.85,46.75
2016-11-08,61,85.0,,0.85,51.85
2016-11-09,69,85.0,,0.85,58.65
2016-11-10,92,85.0,,0.85,78.2
2016-11-11,79,85.0,,0.85,67.14999999999999
2016-11-12,40,85.0,,0.85,34.0
2016-11-13,39,85.0,,0.85,33.15
2016-11-14,86,85.0,,0.85,73.1
2016-11-15,100,85.0,,0.85,85.0
2016-11-16,87,85.0,,0.85,73.95
2016-11-17,83,85.0,,0.85,70.55
2016-11-18,77,85.0,,0.85,65.45
2016-11-19,47,85.0,,0.85,39.949999999999996
2016-11-20,36,85.0,,0.85,30.599999999999998
2016-11-21,69,85.0,,0.85,58.65
2016-11-22,78,85.0,,0.85,66.3
2016-11-23,83,85.0,,0.85,70.55
2016-11-24,46,85.0,,0.85,39.1
2016-11-25,58,85.0,,0.85,49.3
2016-11-26,40,85.0,,0.85,34.0
2016-11-27,47,85.0,,0.85,39.949999999999996
2016-11-28,64,85.0,,0.85,54.4
2016-11-29,72,85.0,,0.85,61.199999999999996
2016-11-30,78,85.0,,0.85,66.3
2016-12-01,94,90.0,False,0.9,84.60000000000001
2016-12-02,82,90.0,,0.9,73.8
2016-12-03,41,90.0,,0.9,36.9
2016-12-04,37,90.0,,0.9,33.300000000000004
2016-12-05,73,90.0,,0.9,65.7
2016-12-06,85,90.0,,0.9,76.5
2016-12-07,93,90.0,,0.9,83.7
2016-12-08,98,90.0,,0.9,88.2
2016-12-09,93,90.0,,0.9,83.7
2016-12-10,54,90.0,,0.9,48.6
2016-12-11,46,90.0,,0.9,41.4
2016-12-12,77,90.0,,0.9,69.3
2016-12-13,76,90.0,,0.9,68.4
2016-12-14,94,90.0,,0.9,84.60000000000001
2016-12-15,83,90.0,,0.9,74.7
2016-12-16,80,90.0,,0.9,72.0
2016-12-17,46,90.0,,0.9,41.4
2016-12-18,42,90.0,,0.9,37.800000000000004
2016-12-19,67,90.0,,0.9,60.300000000000004
2016-12-20,74,90.0,,0.9,66.60000000000001
2016-12-21,100,90.0,,0.9,90.0
2016-12-22,92,90.0,,0.9,82.8
2016-12-23,72,90.0,,0.9,64.8
2016-12-24,40,90.0,,0.9,36.0
2016-12-25,41,90.0,,0.9,36.9
2016-12-26,41,90.0,,0.9,36.9
2016-12-27,70,90.0,,0.9,63.0
2016-12-28,70,90.0,,0.9,63.0
2016-12-29,67,90.0,,0.9,60.300000000000004
2016-12-30,65,90.0,,0.9,58.5
2016-12-31,42,90.0,,0.9,37.800000000000004
2017-01-01,41,79.0,False,0.79,32.39
2017-01-02,46,79.0,,0.79,36.34
2017-01-03,63,79.0,,0.79,49.77
2017-01-04,69,79.0,,0.79,54.510000000000005
2017-01-05,71,79.0,,0.79,56.09
2017-01-06,72,79.0,,0.79,56.88
2017-01-07,43,79.0,,0.79,33.97
2017-01-08,36,79.0,,0.79,28.44
2017-01-09,58,79.0,,0.79,45.82
2017-01-10,66,79.0,,0.79,52.14
2017-01-11,66,79.0,,0.79,52.14
2017-01-12,73,79.0,,0.79,57.67
2017-01-13,100,79.0,,0.79,79.0
2017-01-14,44,79.0,,0.79,34.760000000000005
2017-01-15,38,79.0,,0.79,30.020000000000003
2017-01-16,42,79.0,,0.79,33.18
2017-01-17,79,79.0,,0.79,62.410000000000004
2017-01-18,83,79.0,,0.79,65.57000000000001
2017-01-19,70,79.0,,0.79,55.300000000000004
2017-01-20,65,79.0,,0.79,51.35
2017-01-21,43,79.0,,0.79,33.97
2017-01-22,38,79.0,,0.79,30.020000000000003
2017-01-23,67,79.0,,0.79,52.93
2017-01-24,76,79.0,,0.79,60.040000000000006
2017-01-25,80,79.0,,0.79,63.2
2017-01-26,72,79.0,,0.79,56.88
2017-01-27,64,79.0,,0.79,50.56
2017-01-28,47,79.0,,0.79,37.13
2017-01-29,36,79.0,,0.79,28.44
2017-01-30,69,79.0,,0.79,54.510000000000005
2017-01-31,65,79.0,,0.79,51.35
2017-02-01,80,82.0,False,0.82,65.6
2017-02-02,76,82.0,,0.82,62.31999999999999
2017-02-03,97,82.0,,0.82,79.53999999999999
2017-02-04,58,82.0,,0.82,47.559999999999995
2017-02-05,42,82.0,,0.82,34.44
2017-02-06,69,82.0,,0.82,56.58
2017-02-07,80,82.0,,0.82,65.6
2017-02-08,76,82.0,,0.82,62.31999999999999
2017-02-09,90,82.0,,0.82,73.8
2017-02-10,95,82.0,,0.82,77.89999999999999
2017-02-11,51,82.0,,0.82,41.82
2017-02-12,50,82.0,,0.82,41.0
2017-02-13,84,82.0,,0.82,68.88
2017-02-14,91,82.0,,0.82,74.61999999999999
2017-02-15,94,82.0,,0.82,77.08
2017-02-16,100,82.0,,0.82,82.0
2017-02-17,92,82.0,,0.82,75.44
2017-02-18,61,82.0,,0.82,50.019999999999996
2017-02-19,60,82.0,,0.82,49.199999999999996
2017-02-20,58,82.0,,0.82,47.559999999999995
2017-02-21,99,82.0,,0.82,81.17999999999999
2017-02-22,92,82.0,,0.82,75.44
2017-02-23,95,82.0,,0.82,77.89999999999999
2017-02-24,80,82.0,,0.82,65.6
2017-02-25,55,82.0,,0.82,45.099999999999994
2017-02-26,45,82.0,,0.82,36.9
2017-02-27,81,82.0,,0.82,66.42
2017-02-28,93,82.0,,0.82,76.25999999999999
2017-03-01,98,92.0,False,0.92,90.16000000000001
2017-03-02,100,92.0,,0.92,92.0
2017-03-03,83,92.0,,0.92,76.36
2017-03-04,49,92.0,,0.92,45.080000000000005
2017-03-05,42,92.0,,0.92,38.64
2017-03-06,77,92.0,,0.92,70.84
2017-03-07,80,92.0,,0.92,73.60000000000001
2017-03-08,80,92.0,,0.92,73.60000000000001
2017-03-09,86,92.0,,0.92,79.12
2017-03-10,83,92.0,,0.92,76.36
2017-03-11,45,92.0,,0.92,41.4
2017-03-12,43,92.0,,0.92,39.56
2017-03-13,77,92.0,,0.92,70.84
2017-03-14,73,92.0,,0.92,67.16
2017-03-15,97,92.0,,0.92,89.24000000000001
2017-03-16,81,92.0,,0.92,74.52000000000001
2017-03-17,77,92.0,,0.92,70.84
2017-03-18,48,92.0,,0.92,44.160000000000004
2017-03-19,52,92.0,,0.92,47.84
2017-03-20,76,92.0,,0.92,69.92
2017-03-21,100,92.0,,0.92,92.0
2017-03-22,94,92.0,,0.92,86.48
2017-03-23,91,92.0,,0.92,83.72
2017-03-24,82,92.0,,0.92,75.44
2017-03-25,47,92.0,,0.92,43.24
2017-03-26,50,92.0,,0.92,46.0
2017-03-27,77,92.0,,0.92,70.84
2017-03-28,77,92.0,,0.92,70.84
2017-03-29,88,92.0,,0.92,80.96000000000001
2017-03-30,83,92.0,,0.92,76.36
2017-03-31,81,92.0,,0.92,74.52000000000001
2017-04-01,44,80.0,False,0.8,35.2
2017-04-02,46,80.0,,0.8,36.800000000000004
2017-04-03,77,80.0,,0.8,61.6
2017-04-04,76,80.0,,0.8,60.800000000000004
2017-04-05,70,80.0,,0.8,56.0
2017-04-06,72,80.0,,0.8,57.6
2017-04-07,71,80.0,,0.8,56.800000000000004
2017-04-08,48,80.0,,0.8,38.400000000000006
2017-04-09,42,80.0,,0.8,33.6
2017-04-10,73,80.0,,0.8,58.400000000000006
2017-04-11,73,80.0,,0.8,58.400000000000006
2017-04-12,75,80.0,,0.8,60.0
2017-04-13,79,80.0,,0.8,63.2
2017-04-14,56,80.0,,0.8,44.800000000000004
2017-04-15,49,80.0,,0.8,39.2
2017-04-16,40,80.0,,0.8,32.0
2017-04-17,80,80.0,,0.8,64.0
2017-04-18,100,80.0,,0.8,80.0
2017-04-19,77,80.0,,0.8,61.6
2017-04-20,79,80.0,,0.8,63.2
2017-04-21,81,80.0,,0.8,64.8
2017-04-22,43,80.0,,0.8,34.4
2017-04-23,51,80.0,,0.8,40.800000000000004
2017-04-24,81,80.0,,0.8,64.8
2017-04-25,89,80.0,,0.8,71.2
2017-04-26,83,80.0,,0.8,66.4
2017-04-27,79,80.0,,0.8,63.2
2017-04-28,65,80.0,,0.8,52.0
2017-04-29,44,80.0,,0.8,35.2
2017-04-30,40,80.0,,0.8,32.0
2017-05-01,94,80.0,False,0.8,75.2
2017-05-02,85,80.0,,0.8,68.0
2017-05-03,81,80.0,,0.8,64.8
2017-05-04,87,80.0,,0.8,69.60000000000001
2017-05-05,78,80.0,,0.8,62.400000000000006
2017-05-06,50,80.0,,0.8,40.0
2017-05-07,48,80.0,,0.8,38.400000000000006
2017-05-08,83,80.0,,0.8,66.4
2017-05-09,83,80.0,,0.8,66.4
2017-05-10,89,80.0,,0.8,71.2
2017-05-11,92,80.0,,0.8,73.60000000000001
2017-05-12,82,80.0,,0.8,65.60000000000001
2017-05-13,55,80.0,,0.8,44.0
2017-05-14,51,80.0,,0.8,40.800000000000004
2017-05-15,90,80.0,,0.8,72.0
2017-05-16,81,80.0,,0.8,64.8
2017-05-17,98,80.0,,0.8,78.4
2017-05-18,100,80.0,,0.8,80.0
2017-05-19,90,80.0,,0.8,72.0
2017-05-20,49,80.0,,0.8,39.2
2017-05-21,49,80.0,,0.8,39.2
2017-05-22,90,80.0,,0.8,72.0
2017-05-23,84,80.0,,0.8,67.2
2017-05-24,79,80.0,,0.8,63.2
2017-05-25,80,80.0,,0.8,64.0
2017-05-26,84,80.0,,0.8,67.2
2017-05-27,54,80.0,,0.8,43.2
2017-05-28,50,80.0,,0.8,40.0
2017-05-29,66,80.0,,0.8,52.800000000000004
2017-05-30,100,80.0,,0.8,80.0
2017-05-31,93,80.0,,0.8,74.4
2017-06-01,72,79.0,False,0.79,56.88
2017-06-02,67,79.0,,0.79,52.93
2017-06-03,44,79.0,,0.79,34.760000000000005
2017-06-04,41,79.0,,0.79,32.39
2017-06-05,61,79.0,,0.79,48.190000000000005
2017-06-06,69,79.0,,0.79,54.510000000000005
2017-06-07,51,79.0,,0.79,40.29
2017-06-08,64,79.0,,0.79,50.56
2017-06-09,73,79.0,,0.79,57.67
2017-06-10,42,79.0,,0.79,33.18
2017-06-11,41,79.0,,0.79,32.39
2017-06-12,66,79.0,,0.79,52.14
2017-06-13,66,79.0,,0.79,52.14
2017-06-14,77,79.0,,0.79,60.830000000000005
2017-06-15,76,79.0,,0.79,60.040000000000006
2017-06-16,67,79.0,,0.79,52.93
2017-06-17,49,79.0,,0.79,38.71
2017-06-18,32,79.0,,0.79,25.28
2017-06-19,62,79.0,,0.79,48.980000000000004
2017-06-20,71,79.0,,0.79,56.09
2017-06-21,69,79.0,,0.79,54.510000000000005
2017-06-22,67,79.0,,0.79,52.93
2017-06-23,73,79.0,,0.79,57.67
2017-06-24,45,79.0,,0.79,35.550000000000004
2017-06-25,38,79.0,,0.79,30.020000000000003
2017-06-26,66,79.0,,0.79,52.14
2017-06-27,67,79.0,,0.79,52.93
2017-06-28,88,79.0,,0.79,69.52000000000001
2017-06-29,100,79.0,,0.79,79.0
2017-06-30,88,79.0,,0.79,69.52000000000001
2017-07-01,40,82.0,False,0.82,32.8
2017-07-02,38,82.0,,0.82,31.159999999999997
2017-07-03,74,82.0,,0.82,60.68
2017-07-04,55,82.0,,0.82,45.099999999999994
2017-07-05,85,82.0,,0.82,69.7
2017-07-06,78,82.0,,0.82,63.959999999999994
2017-07-07,70,82.0,,0.82,57.4
2017-07-08,49,82.0,,0.82,40.18
2017-07-09,47,82.0,,0.82,38.54
2017-07-10,81,82.0,,0.82,66.42
2017-07-11,75,82.0,,0.82,61.49999999999999
2017-07-12,83,82.0,,0.82,68.06
2017-07-13,76,82.0,,0.82,62.31999999999999
2017-07-14,85,82.0,,0.82,69.7
2017-07-15,52,82.0,,0.82,42.64
2017-07-16,44,82.0,,0.82,36.08
2017-07-17,79,82.0,,0.82,64.78
2017-07-18,100,82.0,,0.82,82.0
2017-07-19,81,82.0,,0.82,66.42
2017-07-20,78,82.0,,0.82,63.959999999999994
2017-07-21,73,82.0,,0.82,59.86
2017-07-22,47,82.0,,0.82,38.54
2017-07-23,35,82.0,,0.82,28.7
2017-07-24,66,82.0,,0.82,54.12
2017-07-25,79,82.0,,0.82,64.78
2017-07-26,79,82.0,,0.82,64.78
2017-07-27,71,82.0,,0.82,58.22
2017-07-28,78,82.0,,0.82,63.959999999999994
2017-07-29,54,82.0,,0.82,44.279999999999994
2017-07-30,49,82.0,,0.82,40.18
2017-07-31,68,82.0,,0.82,55.76
2017-08-01,77,81.0,False,0.81,62.370000000000005
2017-08-02,100,81.0,,0.81,81.0
2017-08-03,80,81.0,,0.81,64.80000000000001
2017-08-04,94,81.0,,0.81,76.14
2017-08-05,70,81.0,,0.81,56.7
2017-08-06,64,81.0,,0.81,51.84
2017-08-07,92,81.0,,0.81,74.52000000000001
2017-08-08,93,81.0,,0.81,75.33
2017-08-09,93,81.0,,0.81,75.33
2017-08-10,93,81.0,,0.81,75.33
2017-08-11,77,81.0,,0.81,62.370000000000005
2017-08-12,54,81.0,,0.81,43.74
2017-08-13,54,81.0,,0.81,43.74
2017-08-14,89,81.0,,0.81,72.09
2017-08-15,92,81.0,,0.81,74.52000000000001
2017-08-16,92,81.0,,0.81,74.52000000000001
2017-08-17,82,81.0,,0.81,66.42
2017-08-18,78,81.0,,0.81,63.18000000000001
2017-08-19,62,81.0,,0.81,50.220000000000006
2017-08-20,52,81.0,,0.81,42.120000000000005
2017-08-21,83,81.0,,0.81,67.23
2017-08-22,87,81.0,,0.81,70.47
2017-08-23,87,81.0,,0.81,70.47
2017-08-24,76,81.0,,0.81,61.56
2017-08-25,85,81.0,,0.81,68.85000000000001
2017-08-26,57,81.0,,0.81,46.17
2017-08-27,54,81.0,,0.81,43.74
2017-08-28,75,81.0,,0.81,60.75000000000001
2017-08-29,79,81.0,,0.81,63.99
2017-08-30,85,81.0,,0.81,68.85000000000001
2017-08-31,80,81.0,,0.81,64.80000000000001
2017-09-01,93,70.0,False,0.7,65.1
2017-09-02,62,70.0,,0.7,43.4
2017-09-03,54,70.0,,0.7,37.8
2017-09-04,69,70.0,,0.7,48.3
2017-09-05,83,70.0,,0.7,58.099999999999994
2017-09-06,89,70.0,,0.7,62.3
2017-09-07,85,70.0,,0.7,59.49999999999999
2017-09-08,85,70.0,,0.7,59.49999999999999
2017-09-09,52,70.0,,0.7,36.4
2017-09-10,55,70.0,,0.7,38.5
2017-09-11,95,70.0,,0.7,66.5
2017-09-12,87,70.0,,0.7,60.9
2017-09-13,90,70.0,,0.7,62.99999999999999
2017-09-14,90,70.0,,0.7,62.99999999999999
2017-09-15,91,70.0,,0.7,63.699999999999996
2017-09-16,63,70.0,,0.7,44.099999999999994
2017-09-17,52,70.0,,0.7,36.4
2017-09-18,83,70.0,,0.7,58.099999999999994
2017-09-19,89,70.0,,0.7,62.3
2017-09-20,95,70.0,,0.7,66.5
2017-09-21,100,70.0,,0.7,70.0
2017-09-22,88,70.0,,0.7,61.599999999999994
2017-09-23,65,70.0,,0.7,45.5
2017-09-24,57,70.0,,0.7,39.9
2017-09-25,90,70.0,,0.7,62.99999999999999
2017-09-26,81,70.0,,0.7,56.699999999999996
2017-09-27,97,70.0,,0.7,67.89999999999999
2017-09-28,100,70.0,,0.7,70.0
2017-09-29,88,70.0,,0.7,61.599999999999994
2017-09-30,54,70.0,,0.7,37.8
2017-10-01,41,81.0,False,0.81,33.21
2017-10-02,71,81.0,,0.81,57.510000000000005
2017-10-03,74,81.0,,0.81,59.940000000000005
2017-10-04,67,81.0,,0.81,54.27
2017-10-05,78,81.0,,0.81,63.18000000000001
2017-10-06,75,81.0,,0.81,60.75000000000001
2017-10-07,51,81.0,,0.81,41.31
2017-10-08,48,81.0,,0.81,38.88
2017-10-09,68,81.0,,0.81,55.080000000000005
2017-10-10,78,81.0,,0.81,63.18000000000001
2017-10-11,86,81.0,,0.81,69.66000000000001
2017-10-12,93,81.0,,0.81,75.33
2017-10-13,100,81.0,,0.81,81.0
2017-10-14,49,81.0,,0.81,39.690000000000005
2017-10-15,50,81.0,,0.81,40.5
2017-10-16,71,81.0,,0.81,57.510000000000005
2017-10-17,84,81.0,,0.81,68.04
2017-10-18,74,81.0,,0.81,59.940000000000005
2017-10-19,75,81.0,,0.81,60.75000000000001
2017-10-20,89,81.0,,0.81,72.09
2017-10-21,47,81.0,,0.81,38.07
2017-10-22,56,81.0,,0.81,45.36
2017-10-23,80,81.0,,0.81,64.80000000000001
2017-10-24,80,81.0,,0.81,64.80000000000001
2017-10-25,83,81.0,,0.81,67.23
2017-10-26,84,81.0,,0.81,68.04
2017-10-27,75,81.0,,0.81,60.75000000000001
2017-10-28,54,81.0,,0.81,43.74
2017-10-29,49,81.0,,0.81,39.690000000000005
2017-10-30,71,81.0,,0.81,57.510000000000005
2017-10-31,73,81.0,,0.81,59.13
2017-11-01,75,73.0,False,0.73,54.75
2017-11-02,82,73.0,,0.73,59.86
2017-11-03,85,73.0,,0.73,62.05
2017-11-04,57,73.0,,0.73,41.61
2017-11-05,43,73.0,,0.73,31.39
2017-11-06,76,73.0,,0.73,55.48
2017-11-07,76,73.0,,0.73,55.48
2017-11-08,86,73.0,,0.73,62.78
2017-11-09,83,73.0,,0.73,60.589999999999996
2017-11-10,84,73.0,,0.73,61.32
2017-11-11,61,73.0,,0.73,44.53
2017-11-12,44,73.0,,0.73,32.12
2017-11-13,74,73.0,,0.73,54.019999999999996
2017-11-14,79,73.0,,0.73,57.67
2017-11-15,84,73.0,,0.73,61.32
2017-11-16,90,73.0,,0.73,65.7
2017-11-17,67,73.0,,0.73,48.91
2017-11-18,58,73.0,,0.73,42.339999999999996
2017-11-19,47,73.0,,0.73,34.31
2017-11-20,75,73.0,,0.73,54.75
2017-11-21,84,73.0,,0.73,61.32
2017-11-22,68,73.0,,0.73,49.64
2017-11-23,52,73.0,,0.73,37.96
2017-11-24,55,73.0,,0.73,40.15
2017-11-25,32,73.0,,0.73,23.36
2017-11-26,49,73.0,,0.73,35.769999999999996
2017-11-27,69,73.0,,0.73,50.37
2017-11-28,88,73.0,,0.73,64.24
2017-11-29,99,73.0,,0.73,72.27
2017-11-30,100,73.0,,0.73,73.0
2017-12-01,96,80.0,False,0.8,76.80000000000001
2017-12-02,53,80.0,,0.8,42.400000000000006
2017-12-03,47,80.0,,0.8,37.6
2017-12-04,96,80.0,,0.8,76.80000000000001
2017-12-05,100,80.0,,0.8,80.0
2017-12-06,78,80.0,,0.8,62.400000000000006
2017-12-07,78,80.0,,0.8,62.400000000000006
2017-12-08,82,80.0,,0.8,65.60000000000001
2017-12-09,44,80.0,,0.8,35.2
2017-12-10,36,80.0,,0.8,28.8
2017-12-11,73,80.0,,0.8,58.400000000000006
2017-12-12,75,80.0,,0.8,60.0
2017-12-13,78,80.0,,0.8,62.400000000000006
2017-12-14,81,80.0,,0.8,64.8
2017-12-15,77,80.0,,0.8,61.6
2017-12-16,55,80.0,,0.8,44.0
