,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,TW_unscaled,TW_monthly,isPartial,scale,TW,Stock_Price_Change,Stock_Price_Change_Percent
11,2019-04-24,4,0.204125,0.008578094976667616,TW,39.09000015258789,40.04999923706055,38.27000045776367,39.9900016784668,39.464935302734375,704200,68,48.0,,0.48,32.64,-0.7000007629394531,-0.017177932832870058
12,2019-04-25,3,0.20325694444444445,-0.004252568551404989,TW,39.869998931884766,40.29999923706055,39.19900131225586,39.79999923706055,39.27742004394531,627800,70,48.0,,0.48,33.6,0.25,0.006242197372344993
13,2019-04-26,17,0.2154097222222222,0.05979022173630799,TW,39.93000030517578,41.060001373291016,39.93000030517578,40.22999954223633,39.701778411865234,822000,94,48.0,,0.48,45.12,0.7600021362304688,0.018858614159266818
14,2019-05-02,1,0.20152083333333334,-0.012757705654215079,TW,40.060001373291016,40.290000915527344,38.95000076293945,39.45000076293945,38.93202590942383,619700,89,49.0,,0.49,43.61,-0.7700004577636719,-0.01875305484681611
15,2019-05-03,2,0.2023888888888889,0.004307522657569063,TW,39.47999954223633,39.98500061035156,38.36000061035156,39.16999816894531,38.65569686889648,754800,81,49.0,,0.49,39.69,-0.30500030517578125,-0.007570124056716976
16,2019-05-06,2,0.2023888888888889,0.004307522657569063,TW,38.34000015258789,41.04999923706055,37.5099983215332,40.25,39.72151565551758,612400,78,49.0,,0.49,38.22,1.0649986267089844,0.026634953368820824
17,2019-05-08,12,0.21106944444444445,0.04289047488333786,TW,39.5099983215332,41.178001403808594,38.77000045776367,39.88999938964844,39.366241455078125,791800,77,49.0,,0.49,37.73,0.12800216674804688,0.0031182014403665637
18,2019-05-09,9,0.2084652777777778,-0.01233796143975785,TW,41.459999084472656,42.20000076293945,40.38999938964844,41.08000183105469,40.540618896484375,1464100,82,49.0,,0.49,40.18,1.0219993591308594,0.024819061739026926
19,2019-05-10,9,0.2084652777777778,0.0,TW,41.09000015258789,43.9900016784668,41.09000015258789,43.0,42.43540191650391,1237500,100,49.0,,0.49,49.0,1.7900009155273438,0.04241708253947096
20,2019-05-13,5,0.20499305555555555,0.017230090630276695,TW,42.16999816894531,43.5,41.54999923706055,42.97999954223633,42.41566467285156,700500,99,49.0,,0.49,48.51,-0.4900016784667969,-0.01113893293408652
21,2019-05-14,5,0.20499305555555555,0.0,TW,43.0099983215332,44.95000076293945,42.15999984741211,43.43000030517578,42.85976028442383,988200,93,49.0,,0.49,45.57,1.4500007629394531,0.033333350872171374
22,2019-05-15,2,0.2023888888888889,-0.012703682374064162,TW,43.20000076293945,46.33000183105469,42.16999816894531,42.470001220703125,41.9123649597168,1022000,100,49.0,,0.49,49.0,1.3800010681152344,0.030700801884146367
23,2019-05-16,3,0.20325694444444445,0.004289047488333697,TW,42.38999938964844,44.150001525878906,40.290000915527344,44.0099983215332,43.43214416503906,907600,87,49.0,,0.49,42.63,-2.1800003051757812,-0.04705374960107478
24,2019-05-17,13,0.2119375,0.04270730124021993,TW,43.34999847412109,44.380001068115234,42.75,43.290000915527344,42.72159957885742,535900,75,49.0,,0.49,36.75,0.22999954223632812,0.005209502475362671
25,2019-05-21,5,0.20499305555555555,0.017230090630276695,TW,44.9900016784668,45.16699981689453,43.20100021362305,43.459999084472656,42.88936614990234,335200,80,49.0,,0.49,39.2,0.7869987487792969,0.017733184538941238
26,2019-05-22,9,0.2084652777777778,0.01693824316541903,TW,43.470001220703125,43.97999954223633,42.80500030517578,43.47999954223633,42.90909957885742,373200,92,49.0,,0.49,45.08,-1.1870002746582031,-0.02628025504173981
27,2019-05-23,2,0.2023888888888889,-0.029148206136113797,TW,42.90999984741211,44.07500076293945,42.80099868774414,44.0099983215332,43.43214416503906,392200,85,49.0,,0.49,41.65,0.095001220703125,0.0021601005386979732
28,2019-05-24,7,0.20672916666666666,0.02144523744166893,TW,44.060001373291016,44.40999984741211,43.150001525878906,44.25,43.66899108886719,402400,89,49.0,,0.49,43.61,0.33499908447265625,0.007600659754368966
29,2019-05-29,7,0.20672916666666666,-0.05925293894577177,TW,43.06999969482422,43.33000183105469,42.33000183105469,43.0099983215332,42.445274353027344,448600,94,49.0,,0.49,46.06,-1.0799980163574219,-0.024318802523489724
30,2019-05-30,5,0.20499305555555555,-0.008397997917296451,TW,43.470001220703125,44.27999877929688,43.02999877929688,43.970001220703125,43.47353363037109,353400,86,49.0,,0.49,42.14,0.9499969482421946,0.02192469208624237
31,2019-05-31,17,0.2154097222222222,0.05081472949625665,TW,44.2599983215332,45.18999862670898,43.5,45.09000015258789,44.58088684082031,783700,90,49.0,,0.49,44.1,0.9099998474120952,0.020551035964291087
32,2019-06-04,7,0.20672916666666666,0.01708292049608806,TW,44.09999847412109,44.560001373291016,42.27999877929688,43.52000045776367,43.02861022949219,439000,83,47.0,,0.47,39.01,-0.6299972534179616,-0.013941077064906326
33,2019-06-06,2,0.2023888888888889,-0.020994994793241184,TW,43.22999954223633,44.27899932861328,43.04999923706055,43.59000015258789,43.09782409667969,388000,93,47.0,,0.47,43.71,-0.2810020446777344,-0.006306149820860751
34,2019-06-07,1,0.20152083333333334,-0.004289047488333808,TW,43.70000076293945,44.060001373291016,42.38999938964844,42.900001525878906,42.415618896484375,317800,82,47.0,,0.47,38.54,-0.21899795532226562,-0.00494586505212069
35,2019-06-10,1,0.20152083333333334,-0.004289047488333808,TW,43.09999847412109,43.77999877929688,43.09999847412109,43.40999984741211,42.91985702514648,339900,88,47.0,,0.47,41.36,-0.2800025939941335,-0.006355029170831306
36,2019-06-11,1,0.20152083333333334,0.0,TW,43.4900016784668,43.80500030517578,40.619998931884766,42.75,42.26730728149414,493100,86,47.0,,0.47,40.42,0.025001525878899145,0.0005710718724534214
37,2019-06-13,8,0.2075972222222222,0.030152658602984106,TW,42.70000076293945,43.21799850463867,41.650001525878906,41.84000015258789,41.367584228515625,301200,96,47.0,,0.47,45.12,-0.5870018005371094,-0.013400337779880145
38,2019-06-14,2,0.2023888888888889,-0.025088646551147287,TW,42.040000915527344,42.33000183105469,41.04999923706055,41.43999862670898,40.97209930419922,222900,81,47.0,,0.47,38.07,-0.8879966735839844,-0.02054691805055886
39,2019-06-17,1,0.20152083333333334,0.0,TW,41.380001068115234,42.65999984741211,41.0,41.81999969482422,41.34780883789063,375500,70,47.0,,0.47,32.9,0.3299980163574219,0.0077958422415027595
40,2019-06-18,2,0.2023888888888889,0.004307522657569063,TW,42.0,42.9900016784668,41.209999084472656,42.22999954223633,41.753173828125,422600,87,47.0,,0.47,40.89,0.3300018310546875,0.007735626634670645
41,2019-06-19,-2,0.19891666666666666,-0.017156189953335232,TW,42.04999923706055,43.3380012512207,41.93000030517578,43.02999877929688,42.54414367675781,459600,91,47.0,,0.47,42.77,0.34799957275390625,0.008094895537727131
42,2019-06-20,2,0.2023888888888889,0.017455662616953083,TW,43.4900016784668,43.70000076293945,42.869998931884766,42.95000076293945,42.46504974365234,678400,88,47.0,,0.47,41.36,0.36199951171875,0.00835293509777535
43,2019-06-21,7,0.20672916666666666,0.02144523744166893,TW,42.81999969482422,43.5099983215332,42.50400161743164,43.209999084472656,42.72211456298828,2290700,98,47.0,,0.47,46.06,-0.19000244140625,-0.004347881878468685
44,2019-06-24,1,0.20152083333333334,-0.08656237212376838,TW,43.4900016784668,43.4900016784668,41.27999877929688,41.5099983215332,41.04130554199219,698900,74,47.0,,0.47,34.78,-0.01999664306640625,-0.00045958730953366
45,2019-06-25,1,0.20152083333333334,0.0,TW,41.40999984741211,41.86000061035156,40.5099983215332,41.09000015258789,40.62604904174805,591900,84,47.0,,0.47,39.48,-1.6300010681152344,-0.03747990354579123
46,2019-06-26,2,0.2023888888888889,0.004307522657569063,TW,41.040000915527344,41.755001068115234,40.52000045776367,41.52000045776367,41.05119323730469,597800,92,47.0,,0.47,43.24,-0.10499954223632812,-0.0025083502318526962
47,2019-06-27,6,0.2058611111111111,0.01715618995333501,TW,41.70000076293945,42.5,41.70000076293945,42.43000030517578,41.9509162902832,618100,82,47.0,,0.47,38.54,0.7449989318847656,0.017842148552922987
48,2019-06-28,1,0.20152083333333334,-0.021083524490622008,TW,42.720001220703125,44.5,42.70000076293945,43.810001373291016,43.315338134765625,779200,79,47.0,,0.47,37.13,2.0,0.04705882352941182
49,2019-07-10,1,0.20152083333333334,-0.004289047488333808,TW,47.06999969482422,48.29999923706055,46.65999984741211,47.880001068115234,47.3393783569336,401400,74,46.0,,0.46,34.04,3.799999237060547,0.08539324128225956
50,2019-07-15,2,0.2023888888888889,0.004307522657569063,TW,48.45000076293945,48.720001220703125,47.20000076293945,47.38999938964844,46.85491561889648,306700,90,46.0,,0.46,41.4,0.4200019836425781,0.00869569338047338
51,2019-07-18,7,0.20672916666666666,0.02144523744166893,TW,48.20000076293945,49.77999877929688,48.20000076293945,49.709999084472656,49.14872360229492,226200,72,46.0,,0.46,33.120000000000005,1.059997558593757,0.02175692799743456
52,2019-07-19,1,0.20152083333333334,-0.025193993751889465,TW,49.88999938964844,50.47999954223633,49.130001068115234,49.5,48.94108963012695,353000,73,46.0,,0.46,33.58,0.700000762939446,0.014061887908895843
53,2019-07-22,1,0.20152083333333334,0.0,TW,49.59999847412109,50.22999954223633,49.25,50.0,49.43545150756836,179100,75,46.0,,0.46,34.5,-0.25,-0.004952456463293453
54,2019-07-24,1,0.20152083333333334,0.0,TW,50.06999969482422,50.06999969482422,46.26599884033203,46.43000030517578,45.90576171875,833400,83,46.0,,0.46,38.18,-0.15999984741210938,-0.0031853443931961767
55,2019-07-25,93,0.2813819444444444,0.3962920844963642,TW,46.43000030517578,47.13999938964844,46.0099983215332,46.61000061035156,46.08372497558594,372300,83,46.0,,0.46,38.18,-2.9300003051757812,-0.058518081147075796
56,2019-07-26,5,0.20499305555555555,-0.2714775784200004,TW,46.79999923706055,48.48899841308594,46.79999923706055,48.16999816894531,47.62610626220703,330700,75,46.0,,0.46,34.5,1.3489990234375,0.02861686552617404
57,2019-07-31,7,0.20672916666666666,0.008469121582709516,TW,47.400001525878906,48.18000030517578,46.5099983215332,47.36000061035156,46.82525634765625,498600,87,46.0,,0.46,40.02,-0.30899810791015625,-0.006372540535437565
58,2019-08-01,0,0.2006527777777778,-0.029392992710537746,TW,46.72999954223633,47.36000061035156,45.516998291015625,45.70000076293945,45.18399810791016,672000,58,45.0,False,0.45,26.1,-0.8199996948242188,-0.017019503728316288
59,2019-08-05,1,0.20152083333333334,-0.045239191945778745,TW,45.77999877929688,46.5,44.77999877929688,45.310001373291016,44.79840469360352,433800,100,45.0,,0.45,45.0,-0.8600006103515625,-0.018158796437253266
60,2019-08-06,11,0.2102013888888889,0.04307522657569174,TW,45.68999862670898,46.0,44.56999969482422,45.400001525878906,44.88738632202149,342200,82,45.0,,0.45,36.9,-0.5,-0.010752688172043001
61,2019-08-07,4,0.204125,-0.028907463081040086,TW,44.79999923706055,46.22999954223633,44.5099983215332,45.86000061035156,45.342193603515625,455600,72,45.0,,0.45,32.4,0.22999954223632812,0.004999990048615732
62,2019-08-08,4,0.204125,0.0,TW,47.20000076293945,48.74599838256836,43.56800079345703,44.2400016784668,43.74049377441406,947700,76,45.0,,0.45,34.2,2.5159988403320312,0.05442350995555123
63,2019-08-09,1,0.20152083333333334,-0.012757705654215079,TW,44.33000183105469,45.57500076293945,44.33000183105469,45.22999954223633,44.71929931640625,416100,71,45.0,,0.45,31.95,-3.1709976196289062,-0.06505144473075064
64,2019-08-12,2,0.2023888888888889,-0.025088646551147287,TW,44.900001525878906,46.41999816894531,44.709999084472656,45.97999954223633,45.46083831787109,304100,78,45.0,,0.45,35.1,0.8449974060058594,0.0185408094758166
65,2019-08-14,3,0.20325694444444445,0.004289047488333697,TW,45.29999923706055,45.5629997253418,44.209999084472656,44.209999084472656,43.710819244384766,211800,75,45.0,,0.45,33.75,-0.8569984436035156,-0.01846183708332938
66,2019-08-15,4,0.204125,0.004270730124021904,TW,44.56999969482422,45.25,44.220001220703125,44.9900016784668,44.48202133178711,370600,77,45.0,,0.45,34.65,-0.3129997253417969,-0.006869603125970403
67,2019-08-16,2,0.2023888888888889,-0.00850513710281009,TW,45.27999877929688,45.47999954223633,44.665000915527344,44.880001068115234,44.37326431274414,386800,72,45.0,,0.45,32.4,0.22999954223632812,0.005082862811852662
68,2019-08-19,4,0.204125,0.01292256797270741,TW,45.2599983215332,45.45000076293945,44.52999877929688,44.9900016784668,44.48202133178711,226900,80,45.0,,0.45,36.0,-0.029998779296875,-0.0006596037730610682
69,2019-08-21,2,0.2023888888888889,-0.00850513710281009,TW,45.959999084472656,46.25400161743164,45.72999954223633,45.84999847412109,45.33230209350586,295800,80,45.0,,0.45,36.0,0.8040008544921875,0.01768978748065897
70,2019-08-22,23,0.22061805555555555,0.09006999725500964,TW,46.02999877929688,46.34999847412109,44.70000076293945,45.0099983215332,44.50178909301758,274200,87,45.0,,0.45,39.15,0.09599685668944602,0.0020754281431354382
71,2019-08-23,10,0.20933333333333334,-0.05115049261859039,TW,44.75,45.34999847412109,43.76499938964844,44.209999084472656,43.710819244384766,279800,76,45.0,,0.45,34.2,-1.0,-0.02157497374154904
72,2019-08-26,4,0.204125,-0.008433409796248736,TW,44.13999938964844,44.56999969482422,42.29999923706055,42.900001525878906,42.415618896484375,593200,74,45.0,,0.45,33.300000000000004,-0.7799987792968679,-0.01719953264699603
73,2019-08-28,14,0.21280555555555555,0.04252568551405056,TW,42.52999877929688,43.20000076293945,42.459999084472656,42.72999954223633,42.24753189086914,261900,74,45.0,,0.45,33.300000000000004,-1.3699989318847656,-0.030738140930341107
74,2019-08-29,4,0.204125,-0.040791019449158084,TW,42.81999969482422,43.845001220703125,42.5,43.7400016784668,43.24613952636719,358700,70,45.0,,0.45,31.5,0.6450004577636719,0.014930565888253478
75,2019-08-30,36,0.2319027777777778,0.13608219364496166,TW,43.75,44.25,42.33000183105469,42.59000015258789,42.18627166748047,657000,73,45.0,,0.45,32.85,0.404998779296875,0.009237057087950085
76,2019-09-04,4,0.204125,0.01292256797270741,TW,40.790000915527344,42.290000915527344,40.04999923706055,42.119998931884766,41.72072219848633,741000,90,46.0,,0.46,41.4,-1.9599990844726562,-0.044293764620850995
77,2019-09-06,1,0.20152083333333334,-0.012757705654215079,TW,42.709999084472656,43.36800003051758,41.84000015258789,41.9900016784668,41.59196090698242,403700,87,46.0,,0.46,40.02,1.0779991149902344,0.025490638251427278
78,2019-09-09,9,0.2084652777777778,0.012650114694373382,TW,42.060001373291016,42.54999923706055,40.57500076293945,41.47999954223633,41.0867919921875,800500,87,46.0,,0.46,40.02,-0.8180007934570312,-0.01886185189267231
79,2019-09-10,2,0.2023888888888889,-0.029148206136113797,TW,41.369998931884766,41.43000030517578,40.27999877929688,40.75,40.363712310791016,633700,91,46.0,,0.46,41.86,-1.1199989318847656,-0.02632194951743405
80,2019-09-12,6,0.2058611111111111,0.01715618995333501,TW,40.720001220703125,41.369998931884766,39.56999969482422,39.77000045776367,39.39300155639648,614500,87,46.0,,0.46,40.02,-0.060001373291015625,-0.0014482590598369205
81,2019-09-13,10,0.20933333333333334,0.016866819592497695,TW,40.540000915527344,40.9900016784668,39.060001373291016,39.130001068115234,38.759071350097656,813000,73,46.0,,0.46,33.58,-0.37999725341796875,-0.009185333894826342
82,2019-09-16,2,0.2023888888888889,-0.03317409766454349,TW,38.93000030517578,39.66999816894531,38.34999847412109,39.5099983215332,39.13546752929688,947300,89,46.0,,0.46,40.940000000000005,-1.3200035095214844,-0.03220306063600187
83,2019-09-17,0,0.2006527777777778,-0.008578094976667505,TW,39.380001068115234,40.470001220703125,39.060001373291016,39.09000015258789,38.71944808959961,557100,92,46.0,,0.46,42.32,0.8000030517578125,0.020166450433165783
84,2019-09-18,2,0.2023888888888889,0.008652315359590101,TW,39.20000076293945,40.744998931884766,38.9900016784668,40.15999984741211,39.7793083190918,1134000,79,46.0,,0.46,36.34,0.2749977111816406,0.006795100145461808
85,2019-09-23,7,0.20672916666666666,0.02144523744166893,TW,39.9900016784668,40.28499984741211,39.59999847412109,40.150001525878906,39.76940155029297,556800,97,46.0,,0.46,44.620000000000005,-0.45999908447265625,-0.011289706627349738
86,2019-09-25,1,0.20152083333333334,-0.025193993751889465,TW,39.43999862670898,39.83000183105469,38.93000030517578,39.75,39.373191833496094,496000,91,46.0,,0.46,41.86,-0.4549980163574219,-0.011294477301249106
87,2019-09-27,2,0.2023888888888889,0.004307522657569063,TW,37.380001068115234,37.57400131225586,36.13999938964844,36.52000045776367,36.1738166809082,1695500,82,46.0,,0.46,37.72,-2.256000518798828,-0.05664073349451537
88,2019-09-30,10,0.20933333333333334,0.016866819592497695,TW,36.41999816894531,37.09000015258789,35.560001373291016,36.97999954223633,36.62945175170898,1872100,81,46.0,,0.46,37.260000000000005,-0.48400115966796875,-0.012881278084963976
89,2019-10-01,74,0.2648888888888889,0.26539278131634814,TW,37.400001525878906,38.79999923706055,37.27999877929688,37.81999969482422,37.46149063110352,1663500,93,44.0,False,0.44,40.92,1.7099990844726562,0.04610404630460341
90,2019-10-02,16,0.21454166666666666,-0.19006921140939603,TW,37.66999816894531,39.130001068115234,36.880001068115234,38.58000183105469,38.21428298950195,1483800,90,44.0,,0.44,39.6,0.3300018310546875,0.00850520199854743
91,2019-10-03,2,0.2023888888888889,-0.05664530329513817,TW,38.25,39.29999923706055,37.22999954223633,39.150001525878906,38.77887725830078,631100,91,44.0,,0.44,40.04,0.1699981689453125,0.004344445803857511
92,2019-10-09,10,0.20933333333333334,0.02551541130843038,TW,38.81999969482422,39.8849983215332,38.55899810791016,39.83000183105469,39.45243835449219,435300,91,44.0,,0.44,40.04,0.5849990844726562,0.014885473176319941
93,2019-10-11,4,0.204125,-0.024880573248407645,TW,41.36000061035156,41.999000549316406,38.31999969482422,40.27000045776367,39.88826370239258,1079700,77,44.0,,0.44,33.88,2.114002227783203,0.053002439933459655
94,2019-10-15,14,0.21280555555555555,0.04252568551405056,TW,39.93999862670898,40.88999938964844,39.25299835205078,39.90999984741211,39.53167724609375,332700,72,44.0,,0.44,31.68,-1.1090011596679688,-0.026405417870974057
95,2019-10-16,1,0.20152083333333334,-0.05302832528390544,TW,40.66999816894531,42.58000183105469,40.470001220703125,42.27000045776367,41.86930465698242,1468000,76,44.0,,0.44,33.44,1.69000244140625,0.04133045895408061
96,2019-10-17,2,0.2023888888888889,0.004307522657569063,TW,43.06999969482422,44.18999862670898,42.0,43.25,42.84001922607422,1505700,80,44.0,,0.44,35.2,1.6099967956542898,0.03781110207656391
97,2019-10-18,9,0.2084652777777778,0.030023332418336546,TW,43.0,43.2599983215332,40.22999954223633,41.5,41.10660552978516,10169300,86,44.0,,0.44,37.84,-0.9300003051757741,-0.0210454929639593
98,2019-10-21,1,0.20152083333333334,-0.00854146024804403,TW,41.40999984741211,42.75,41.35499954223633,42.65999984741211,42.25560760498047,2610400,80,44.0,,0.44,35.2,-0.5099983215332031,-0.011789143349997477
99,2019-10-25,16,0.21454166666666666,0.0646128398635375,TW,41.310001373291016,41.869998931884766,40.52000045776367,40.84999847412109,40.46276473999024,687300,92,44.0,,0.44,40.48,-0.8800010681152344,-0.020584820306789098
100,2019-11-01,1,0.20152083333333334,-0.03732085987261147,TW,41.95000076293945,42.33000183105469,41.47999954223633,41.650001525878906,41.25518035888672,1388700,90,43.0,False,0.43,38.7,0.4600028991699219,0.010986455956644825
101,2019-11-04,4,0.204125,0.01292256797270741,TW,41.68999862670898,41.93999862670898,40.52000045776367,40.7400016784668,40.35380935668945,876900,76,43.0,,0.43,32.68,-0.39000320434571023,-0.009213399184395787
102,2019-11-05,2,0.2023888888888889,-0.00850513710281009,TW,40.84999847412109,41.0,39.744998931884766,40.13999938964844,39.75949478149414,1207800,98,43.0,,0.43,42.14,-0.9399986267089773,-0.02241293890053564
103,2019-11-06,1,0.20152083333333334,-0.004289047488333808,TW,39.88999938964844,41.08000183105469,39.88999938964844,40.58000183105469,40.1953239440918,618100,99,43.0,,0.43,42.57,0.0800018310546875,0.001951264172065592
104,2019-11-07,1,0.20152083333333334,0.0,TW,41.0,42.18999862670898,40.52000045776367,41.470001220703125,41.0768928527832,908500,88,43.0,,0.43,37.84,1.1099967956542898,0.02702036869957447
105,2019-11-08,2,0.2023888888888889,0.004307522657569063,TW,41.59999847412109,43.0099983215332,41.380001068115234,42.68999862670898,42.28532028198242,760300,87,43.0,,0.43,37.41,0.8199996948242259,0.019435878680145624
106,2019-11-12,6,0.2058611111111111,0.01715618995333501,TW,43.02000045776367,43.75,42.45199966430664,43.06999969482422,42.66172409057617,617800,89,43.0,,0.43,38.27,0.7400016784667969,0.017205340789244072
107,2019-11-13,13,0.2119375,0.029516934286870855,TW,42.88999938964844,44.0099983215332,42.84000015258789,43.33000183105469,42.91925811767578,478000,92,43.0,,0.43,39.56,0.2599983215332031,0.005942818777901815
108,2019-11-19,3,0.20325694444444445,-0.04095809168059239,TW,43.75,43.9900016784668,43.15999984741211,43.27000045776367,42.85982894897461,522700,83,43.0,,0.43,35.69,-0.01999664306640625,-0.000454365912952559
109,2019-11-21,4,0.204125,0.004270730124021904,TW,44.52999877929688,45.45000076293945,44.06999969482422,44.45000076293945,44.02863693237305,712700,89,43.0,,0.43,38.27,1.4599990844726562,0.0331893391399285
110,2019-11-22,1,0.20152083333333334,-0.012757705654215079,TW,44.4900016784668,45.0,44.209999084472656,44.59000015258789,44.16731262207031,432400,86,43.0,,0.43,36.98,-0.4500007629394531,-0.009901006719154726
111,2019-11-25,6,0.2058611111111111,0.008505137102809979,TW,44.83000183105469,45.59999847412109,44.72999954223633,45.27000045776367,44.84086608886719,1275200,87,43.0,,0.43,37.41,0.5999984741210866,0.013333299424913125
112,2019-11-26,2,0.2023888888888889,-0.016866819592497584,TW,45.369998931884766,45.79999923706055,44.2599983215332,44.720001220703125,44.296085357666016,1596900,98,43.0,,0.43,42.14,0.20000076293946023,0.004385981790174132
113,2019-12-02,17,0.2154097222222222,0.05979022173630799,TW,44.7599983215332,45.04999923706055,44.0,44.16999816894531,43.82999420166016,391400,95,46.0,,0.46,43.7,-0.75,-0.016375546124313356
114,2019-12-12,9,0.2084652777777778,0.03446018126055339,TW,45.060001373291016,45.75,44.61000061035156,44.68000030517578,44.3360710144043,439100,73,46.0,,0.46,33.58,0.7000007629394531,0.015538307986553646
115,2019-12-13,2,0.2023888888888889,-0.029148206136113797,TW,44.59999847412109,45.0,44.40999984741211,44.81999969482422,44.47499847412109,553600,79,46.0,,0.46,36.34,-0.75,-0.016393442622950838
116,2019-12-17,1,0.20152083333333334,-0.029270087643005205,TW,46.0,46.58000183105469,45.59000015258789,45.880001068115234,45.52683639526367,805500,83,46.0,,0.46,38.18,1.5800018310546875,0.03511115180121527
117,2019-12-19,1,0.20152083333333334,0.0,TW,46.0,47.04999923706055,45.709999084472656,46.79999923706055,46.43975830078125,611400,88,46.0,,0.46,40.48,0.4699974060058594,0.010090111368190602
118,2019-12-20,3,0.20325694444444445,0.008615045315138348,TW,46.95000076293945,47.16999816894531,46.06999969482422,46.7599983215332,46.40006256103516,1032200,100,46.0,,0.46,46.0,0.11999893188476562,0.002550455554316766
119,2019-12-26,5,0.20499305555555555,-0.008397997917296451,TW,46.95000076293945,47.310001373291016,46.61100006103516,46.869998931884766,46.50921630859375,600000,71,46.0,,0.46,32.660000000000004,0.14000320434570312,0.0029680561751193046
120,2019-12-27,3,0.20325694444444445,-0.008469121582709405,TW,46.83000183105469,47.08000183105469,46.54999923706055,46.75,46.39014434814453,229800,77,46.0,,0.46,35.42,-0.22999954223632812,-0.004861541652082413
121,2020-01-02,2,0.2023888888888889,0.0,TW,46.630001068115234,47.04999923706055,46.380001068115234,46.72999954223633,46.37029647827149,442200,77,44.0,,0.44,33.88,-0.030002593994140625,-0.0006372683268323076
122,2020-01-03,2,0.2023888888888889,0.0,TW,46.27000045776367,47.40999984741211,46.2599983215332,46.66999816894531,46.31075286865234,388200,69,44.0,,0.44,30.36,0.3600006103515625,0.007651447740470774
123,2020-01-06,4,0.204125,0.01292256797270741,TW,46.54999923706055,46.584999084472656,45.45000076293945,46.11000061035156,45.75506591796875,419100,89,44.0,,0.44,39.16,-0.8250007629394531,-0.017401408259748896
124,2020-01-07,5,0.20499305555555555,0.004252568551404989,TW,46.130001068115234,46.43999862670898,45.27999877929688,45.400001525878906,45.05053329467773,637600,91,44.0,,0.44,40.04,-0.14500045776367898,-0.003112599777038705
125,2020-01-08,3,0.20325694444444445,-0.008469121582709405,TW,45.65999984741211,46.33000183105469,45.08000183105469,46.18999862670898,45.834449768066406,1510900,77,44.0,,0.44,33.88,-0.10999679565428977,-0.0023685787878345854
126,2020-01-09,7,0.20672916666666666,0.01708292049608806,TW,46.65999984741211,47.0099983215332,46.16999816894531,46.66999816894531,46.31075286865234,999400,80,44.0,,0.44,35.2,0.6799964904785156,0.014677238584150487
127,2020-01-10,2,0.2023888888888889,-0.020994994793241184,TW,46.619998931884766,46.77000045776367,45.88999938964844,46.16999816894531,45.81460571289063,316500,79,44.0,,0.44,34.76,-0.23999786376953125,-0.0051052514856100295
