,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,SPXS_unscaled,SPXS_monthly,isPartial,scale,SPXS,Stock_Price_Change,Stock_Price_Change_Percent
15,2016-06-10,2,0.023613065326633167,-0.17546938059308648,SPXS,710.0,720.0,705.5,713.0,698.661376953125,120768,48,16.0,,0.16,7.68,18.0,0.02564102564102555
16,2016-06-13,1,0.02235678391959799,-0.14425851125216393,SPXS,720.5,731.0,710.0,729.5,714.82958984375,147142,32,16.0,,0.16,5.12,11.0,0.015277777777777724
17,2016-06-14,4,0.02612562814070352,0.16857720836142964,SPXS,734.5,746.0,727.0,734.0,719.2390747070312,143566,38,16.0,,0.16,6.08,15.0,0.020519835841313228
18,2016-06-15,1,0.02235678391959799,-0.14425851125216393,SPXS,728.0,739.5,721.0,737.0,722.1787719726562,139232,26,16.0,,0.16,4.16,-6.5,-0.00871313672922247
19,2016-06-17,2,0.023613065326633167,0.056192402787143214,SPXS,731.0,746.5,731.0,737.5,722.668701171875,99728,27,16.0,,0.16,4.32,7.0,0.009465855307640325
20,2016-06-20,1,0.02235678391959799,-0.05320280910832098,SPXS,714.0,725.5,705.5,724.0,709.4401245117188,113260,20,16.0,,0.16,3.2,-21.0,-0.028131279303415968
21,2016-06-22,3,0.024869346733668342,0.11238480557428643,SPXS,716.0,723.5,707.5,721.5,706.9905395507812,93604,26,16.0,,0.16,4.16,-2.0,-0.002756719503790528
22,2016-06-24,1,0.02235678391959799,-0.10103051121438678,SPXS,763.0,773.0,731.5,767.0,751.575439453125,430658,100,16.0,,0.16,16.0,49.5,0.06841741534208712
23,2016-06-27,18,0.04371356783919598,0.6732063858434312,SPXS,786.0,820.0,786.0,810.0,793.7108154296875,340012,45,16.0,,0.16,7.2,47.0,0.060802069857697205
24,2016-06-28,2,0.023613065326633167,-0.4598229681572594,SPXS,786.0,790.5,765.5,766.0,750.5955810546875,205970,26,16.0,,0.16,4.16,-29.5,-0.03597560975609759
25,2016-06-29,20,0.046226130653266334,0.9576505639497765,SPXS,747.0,748.5,723.5,727.0,712.3798217773438,183430,47,16.0,,0.16,7.52,-42.0,-0.05313092979127132
26,2016-06-30,1,0.02235678391959799,-0.5163604739645614,SPXS,721.0,727.5,696.0,696.5,682.4932250976562,211934,54,16.0,,0.16,8.64,-21.0,-0.028056112224448926
27,2016-07-01,1,0.02235678391959799,0.0,SPXS,698.0,699.5,686.5,693.0,679.0635986328125,146494,82,14.0,False,0.14,11.48,-28.0,-0.03848797250859104
28,2016-07-06,1,0.02235678391959799,0.0,SPXS,713.5,721.0,693.0,694.5,680.533447265625,176926,80,14.0,,0.14,11.2,21.5,0.030736240171551188
29,2016-07-07,1,0.02235678391959799,0.0,SPXS,692.5,704.5,685.0,696.0,682.0032958984375,117970,50,14.0,,0.14,7.000000000000001,-16.5,-0.02288488210818307
30,2016-07-12,2,0.023613065326633167,-0.17546938059308648,SPXS,647.5,649.5,640.0,644.0,631.0490112304688,119818,30,14.0,,0.14,4.2,-55.0,-0.078069552874379
31,2016-07-13,2,0.023613065326633167,0.0,SPXS,639.0,649.0,639.0,643.5,630.5590209960938,95432,31,14.0,,0.14,4.340000000000001,-0.5,-0.0007698229407235857
32,2016-07-14,1,0.02235678391959799,-0.05320280910832098,SPXS,630.0,637.0,627.5,633.0,620.2702026367188,105356,39,14.0,,0.14,5.460000000000001,-12.0,-0.018489984591679498
33,2016-07-21,3,0.024869346733668342,0.05320280910832076,SPXS,625.0,635.5,623.0,631.0,618.3104248046875,62358,41,14.0,,0.14,5.74,-1.5,-0.0023547880690737433
34,2016-08-03,1,0.02235678391959799,-0.10103051121438678,SPXS,638.0,641.0,631.0,631.0,618.3104248046875,76656,38,10.0,,0.1,3.8,5.5,0.008654602675058909
35,2016-08-12,4,0.02612562814070352,0.10640561821664196,SPXS,612.5,615.5,609.5,612.0,599.6925659179688,79976,20,10.0,,0.1,2.0,-25.5,-0.03978159126365055
36,2016-08-17,6,0.028638190954773872,0.09617234083477588,SPXS,615.5,623.5,610.5,612.5,600.182373046875,83002,100,10.0,,0.1,10.0,8.0,0.012997562956945652
37,2016-08-22,2,0.023613065326633167,-0.09617234083477588,SPXS,613.0,617.0,608.5,610.5,598.2227172851562,68914,40,10.0,,0.1,4.0,-6.5,-0.010425020048115519
38,2016-08-23,4,0.02612562814070352,0.10640561821664196,SPXS,605.5,607.5,601.5,607.0,594.7930908203125,69230,20,10.0,,0.1,2.0,-9.5,-0.015397082658022643
39,2016-08-24,3,0.024869346733668342,-0.04808617041738805,SPXS,608.0,620.0,607.5,615.5,603.1221313476562,79820,49,10.0,,0.1,4.9,12.5,0.020576131687242816
40,2016-08-26,1,0.02235678391959799,-0.10103051121438678,SPXS,616.0,630.0,605.5,621.0,608.5115356445312,177332,10,10.0,,0.1,1.0,10.0,0.016129032258064502
41,2016-09-09,2,0.023613065326633167,0.0,SPXS,623.0,654.0,622.5,653.5,640.3580322265625,253090,85,10.0,,0.1,8.5,24.0,0.03809523809523818
42,2016-09-12,2,0.023613065326633167,-0.1376399339328317,SPXS,662.0,663.0,621.5,625.5,612.9210205078125,245480,95,10.0,,0.1,9.5,9.0,0.013761467889908285
43,2016-09-13,2,0.023613065326633167,0.0,SPXS,639.0,658.5,636.5,653.5,640.3580322265625,213162,82,10.0,,0.1,8.200000000000001,-4.5,-0.006787330316742057
44,2016-09-14,1,0.02235678391959799,-0.05320280910832098,SPXS,652.0,659.5,639.5,653.0,639.8679809570312,141524,28,10.0,,0.1,2.8000000000000003,1.0,0.0015186028853455547
45,2016-09-20,-6,0.013562814070351759,-0.3933468195100023,SPXS,632.5,641.5,630.0,640.5,627.6194458007812,56318,27,10.0,,0.1,2.7,-18.0,-0.027293404094010598
46,2016-09-22,2,0.023613065326633167,0.7410151908114118,SPXS,609.0,611.5,604.5,607.5,595.2830200195312,118164,42,10.0,,0.1,4.2,-30.0,-0.046765393608729555
47,2016-09-26,2,0.023613065326633167,0.0,SPXS,626.0,634.5,624.0,632.0,619.2902221679688,82504,14,10.0,,0.1,1.4,23.0,0.03761242845461976
48,2016-09-30,12,0.036175879396984925,0.5320280910832091,SPXS,620.0,622.0,606.5,614.0,601.65234375,142728,100,10.0,,0.1,10.0,-12.5,-0.01970055161544526
49,2016-10-10,8,0.03115075376884422,0.3933468195100023,SPXS,615.0,616.0,610.0,614.5,602.1422729492188,65740,15,8.0,,0.08,1.2,-6.0,-0.009646302250803873
50,2016-10-11,-1,0.019844221105527637,-0.3629617680271011,SPXS,619.0,645.0,618.5,637.0,624.1897583007812,148376,44,8.0,,0.08,3.52,29.0,0.04707792207792205
51,2016-10-12,2,0.023613065326633167,0.1899214991136997,SPXS,636.5,641.5,629.5,635.5,622.719970703125,82748,59,8.0,,0.08,4.72,-3.5,-0.005426356589147252
52,2016-10-18,20,0.046226130653266334,0.9576505639497765,SPXS,630.0,639.5,630.0,636.0,623.2099609375,78454,14,8.0,,0.08,1.12,-2.0,-0.003117692907248615
53,2016-11-01,2,0.023613065326633167,-0.4891836069137949,SPXS,642.5,672.0,641.5,659.0,645.747314453125,166764,31,9.0,False,0.09,2.79,32.5,0.05082095387021113
54,2016-11-02,2,0.023613065326633167,0.0,SPXS,663.0,676.0,658.5,671.5,657.9960327148438,127396,22,9.0,,0.09,1.98,4.0,0.005952380952380931
55,2016-11-04,1,0.02235678391959799,-0.05320280910832098,SPXS,679.5,684.5,669.5,683.5,669.7546997070312,144578,23,9.0,,0.09,2.07,8.5,0.012573964497041512
56,2016-11-07,3,0.024869346733668342,0.11238480557428643,SPXS,653.0,655.5,637.5,638.5,625.65966796875,172692,14,9.0,,0.09,1.26,-29.0,-0.04236669101533963
57,2016-11-08,1,0.02235678391959799,-0.10103051121438678,SPXS,641.5,644.5,623.0,630.0,617.3305053710938,112770,14,9.0,,0.09,1.26,-11.0,-0.016781083142639153
58,2016-11-09,5,0.027381909547738694,0.22476961114857286,SPXS,645.5,646.5,602.5,609.0,596.7528076171875,357306,100,9.0,,0.09,9.0,2.0,0.003103180760279267
59,2016-11-10,1,0.02235678391959799,-0.18351991191044237,SPXS,601.0,618.5,592.5,605.0,592.8333740234375,221658,15,9.0,,0.09,1.35,-28.0,-0.04331013147718488
60,2016-11-11,3,0.024869346733668342,0.11238480557428643,SPXS,611.5,618.0,606.0,608.5,596.262939453125,103600,23,9.0,,0.09,2.07,-0.5,-0.0008084074373484462
61,2016-12-06,6,0.028638190954773872,0.15154576682158027,SPXS,569.0,573.5,565.0,566.0,554.61767578125,38564,40,7.0,,0.07,2.8000000000000003,-44.5,-0.07200647249190939
62,2016-12-07,1,0.02235678391959799,-0.2193367257413582,SPXS,567.0,567.5,542.5,544.0,533.0599975585938,135676,14,7.0,,0.07,0.98,-6.0,-0.010462074978204061
63,2016-12-12,4,0.02612562814070352,0.16857720836142964,SPXS,530.5,534.5,526.0,531.0,520.3214111328125,55742,41,7.0,,0.07,2.87,-33.0,-0.058149779735682805
64,2016-12-14,9,0.032407035175879395,0.2404308520869396,SPXS,523.0,536.5,517.0,532.5,521.7911987304688,175058,100,7.0,,0.07,7.000000000000001,2.0,0.00374181478016844
65,2016-12-22,1,0.02235678391959799,-0.3101256008683516,SPXS,525.5,530.0,525.0,526.5,515.9119873046875,56638,16,7.0,,0.07,1.12,-6.5,-0.012115563839701804
66,2016-12-23,2,0.023613065326633167,0.056192402787143214,SPXS,527.0,528.5,525.0,525.5,514.9320678710938,28248,0,7.0,,0.07,0.0,-1.5,-0.002830188679245338
67,2016-12-30,4,0.02612562814070352,0.10640561821664196,SPXS,531.5,546.0,530.5,540.0,529.1405639648438,92208,32,7.0,,0.07,2.24,17.5,0.0331125827814569
68,2017-01-05,10,0.033663316582914576,0.28851702250432787,SPXS,521.0,526.0,518.5,519.5,509.05267333984375,48962,35,7.0,,0.07,2.45,-20.0,-0.03663003663003661
69,2017-01-17,2,0.023613065326633167,-0.29855202268995373,SPXS,521.0,524.0,517.5,521.0,510.5226440429688,52054,32,7.0,,0.07,2.24,-2.0,-0.0038022813688213253
70,2017-01-27,2,0.023613065326633167,0.0,SPXS,499.5,503.5,498.0,502.0,491.9046325683594,36380,0,7.0,,0.07,0.0,-20.5,-0.03912213740458015
71,2017-02-13,2,0.023613065326633167,0.0,SPXS,482.0,482.5,476.0,478.0,468.3873291015625,89598,65,7.0,,0.07,4.550000000000001,-21.0,-0.04170804369414105
72,2017-02-24,1,0.02235678391959799,-0.05320280910832098,SPXS,462.0,462.0,454.0,454.0,444.8699645996094,90256,11,7.0,,0.07,0.77,-20.5,-0.042487046632124326
73,2017-03-01,1,0.02235678391959799,0.0,SPXS,444.0,444.5,433.5,436.5,427.7218933105469,197558,39,10.0,False,0.1,3.9,-17.5,-0.037878787878787845
74,2017-03-06,-3,0.01733165829145729,-0.22476961114857263,SPXS,449.5,452.0,445.5,448.0,438.9906311035156,68008,53,10.0,,0.1,5.300000000000001,7.5,0.01687289088863886
75,2017-03-07,6,0.028638190954773872,0.6523630037692083,SPXS,450.0,453.0,447.5,451.5,442.4202575683594,57968,52,10.0,,0.1,5.2,1.0,0.0022123893805310324
76,2017-03-14,39,0.07009547738693467,1.4476223898929632,SPXS,451.0,456.5,450.5,452.0,442.91021728515625,50942,69,10.0,,0.1,6.9,3.5,0.007726269315673218
77,2017-03-15,1,0.02235678391959799,-0.6810524051903362,SPXS,449.0,450.5,438.0,441.5,432.6213073730469,101248,42,10.0,,0.1,4.2,-6.0,-0.013143483023001057
78,2017-03-21,4,0.02612562814070352,0.16857720836142964,SPXS,443.0,465.5,442.5,464.5,455.1588134765625,143784,70,10.0,,0.1,7.0,15.0,0.03329633740288562
79,2017-03-22,1,0.02235678391959799,-0.14425851125216393,SPXS,464.5,468.5,459.5,461.0,451.7291870117188,148542,56,10.0,,0.1,5.6000000000000005,3.0,0.0064446831364124435
80,2017-03-23,2,0.023613065326633167,0.056192402787143214,SPXS,462.5,465.0,455.0,462.5,453.1990356445313,130600,71,10.0,,0.1,7.1000000000000005,-3.5,-0.007470651013874119
81,2017-03-27,3,0.024869346733668342,0.11238480557428643,SPXS,476.0,477.0,463.5,465.5,456.1387023925781,160646,69,10.0,,0.1,6.9,12.0,0.02580645161290329
82,2017-03-28,1,0.02235678391959799,-0.10103051121438678,SPXS,467.0,468.0,452.5,455.0,445.849853515625,112736,14,10.0,,0.1,1.4,-9.0,-0.018867924528301883
83,2017-03-29,1,0.02235678391959799,0.0,SPXS,456.5,458.5,452.0,453.0,443.8901062011719,43738,14,10.0,,0.1,1.4,-9.5,-0.020299145299145338
84,2017-04-03,7,0.029894472361809046,0.26601404554160446,SPXS,452.0,463.0,451.0,454.5,445.35986328125,96144,16,6.0,,0.06,0.96,4.5,0.009814612868048078
85,2017-04-05,9,0.032407035175879395,0.08404773911581764,SPXS,449.5,459.5,443.0,458.0,448.78955078125,118744,48,6.0,,0.06,2.88,-3.5,-0.0075593952483801186
86,2017-04-06,11,0.03491959798994975,0.07753140021708815,SPXS,457.0,460.5,451.5,455.0,445.849853515625,77406,16,6.0,,0.06,0.96,1.0,0.0021762785636560977
87,2017-04-10,6,0.028638190954773872,-0.17988199740969923,SPXS,455.0,459.0,450.0,455.5,446.3398132324219,71342,65,6.0,,0.06,3.9,-1.5,-0.0032573289902280145
88,2017-04-18,8,0.03115075376884422,0.08773469029654324,SPXS,465.0,468.0,460.0,464.0,454.6688537597656,69648,48,6.0,,0.06,2.88,9.0,0.019607843137254832
89,2017-04-21,6,0.028638190954773872,-0.0806581706726891,SPXS,455.5,462.0,455.0,460.0,450.7493286132813,57864,34,6.0,,0.06,2.04,-6.0,-0.012820512820512775
90,2017-04-28,1,0.02235678391959799,-0.2193367257413582,SPXS,435.0,440.0,435.0,438.5,429.68170166015625,39456,17,6.0,,0.06,1.02,-22.0,-0.04761904761904767
91,2017-05-17,1,0.02235678391959799,-0.10103051121438678,SPXS,439.5,451.8999938964844,436.5,451.5,442.4202575683594,242440,60,7.0,,0.07,4.2,11.899993896484375,0.02704544067382808
92,2017-05-18,3,0.024869346733668342,0.11238480557428643,SPXS,452.6000061035156,453.7000122070313,440.7000122070313,446.3999938964844,437.4227600097656,216040,48,7.0,,0.07,3.3600000000000003,1.8000183105469318,0.003983222692760746
93,2017-05-25,1,0.02235678391959799,-0.10103051121438678,SPXS,422.0,423.2000122070313,417.2999877929688,419.3999938964844,410.96575927734375,161680,37,7.0,,0.07,2.5900000000000003,-30.5,-0.06722503676301939
94,2017-05-31,4,0.02612562814070352,-0.08773469029654324,SPXS,418.6000061035156,425.0,418.3999938964844,421.0,412.5335998535156,116790,0,7.0,,0.07,0.0,1.7999877929686932,0.004253279161268386
95,2017-06-06,6,0.028638190954773872,0.09617234083477588,SPXS,411.1000061035156,412.2000122070313,407.8999938964844,411.6000061035156,403.3226318359375,93510,31,4.0,,0.04,1.24,-12.799987792968693,-0.030117618336396923
96,2017-06-07,1,0.02235678391959799,-0.2193367257413582,SPXS,409.7000122070313,413.7000122070313,408.2000122070313,409.6000061035156,401.3628540039063,132220,93,4.0,,0.04,3.72,1.5,0.0036390100814616133
97,2017-07-13,1,0.02235678391959799,0.0,SPXS,401.3999938964844,402.7999877929688,398.8999938964844,399.6000061035156,391.56396484375,73290,67,3.0,,0.03,2.01,-10.9000244140625,-0.0263476531120036
98,2017-07-20,2,0.023613065326633167,0.056192402787143214,SPXS,385.8999938964844,389.7999877929688,385.5,386.8999938964844,379.1193542480469,93670,65,3.0,,0.03,1.95,-13.0,-0.03227408240807028
99,2017-08-16,2,0.023613065326633167,-0.3691770707477513,SPXS,387.0,390.2999877929688,385.0,387.8999938964844,380.0992431640625,136970,43,6.0,,0.06,2.58,0.5,0.00128270912174977
100,2017-08-17,1,0.02235678391959799,-0.05320280910832098,SPXS,391.2000122070313,406.0,389.5,405.8999938964844,397.73724365234375,309620,58,6.0,,0.06,3.48,15.700012207031193,0.040225500123149294
101,2017-08-23,2,0.023613065326633167,0.056192402787143214,SPXS,399.8999938964844,400.6000061035156,396.5,398.7000122070313,390.68206787109375,114820,0,6.0,,0.06,0.0,-5.399993896484375,-0.013300477577547709
102,2017-08-28,2,0.023613065326633167,0.056192402787143214,SPXS,396.2999877929688,401.2999877929688,396.0,398.7999877929688,390.7799987792969,99960,29,6.0,,0.06,1.74,0.6999816894531818,0.001747333197174905
103,2017-08-29,2,0.023613065326633167,0.0,SPXS,406.2000122070313,407.0,396.2999877929688,397.7000122070313,389.7021789550781,236760,42,6.0,,0.06,2.52,5.700012207031193,0.0142038683788146
104,2017-09-05,2,0.023613065326633167,0.0,SPXS,386.2999877929688,397.1000061035156,385.0,391.6000061035156,383.724853515625,281800,97,2.0,,0.02,1.94,-9.899993896484375,-0.02432430932797147
105,2017-09-15,3,0.024869346733668342,0.05320280910832076,SPXS,374.2000122070313,374.6000061035156,371.5,371.5,364.0290222167969,110730,34,2.0,,0.02,0.68,-22.5,-0.05666078986192391
106,2017-09-19,2,0.023613065326633167,-0.05051525560719328,SPXS,368.2999877929688,370.0,368.0,368.2999877929688,360.8934020996094,89100,0,2.0,,0.02,0.0,-4.600006103515625,-0.012279781176096627
107,2017-10-26,1,0.02235678391959799,-0.05320280910832098,SPXS,343.8999938964844,345.6000061035156,342.6000061035156,345.6000061035156,338.64990234375,122530,40,3.0,,0.03,1.2,-24.399993896484375,-0.06594592944995781
108,2017-11-06,2,0.023613065326633167,0.056192402787143214,SPXS,335.1000061035156,335.20001220703125,332.20001220703125,333.0,326.3033447265625,90040,0,3.0,,0.03,0.0,-10.399993896484375,-0.03009257440050317
109,2017-12-07,2,0.023613065326633167,0.0,SPXS,317.20001220703125,317.70001220703125,312.3999938964844,313.79998779296875,307.48944091796875,179760,50,3.0,,0.03,1.5,-17.5,-0.05220763533024986
110,2018-01-10,2,0.023613065326633167,0.0,SPXS,278.1000061035156,280.3999938964844,275.8999938964844,276.8999938964844,271.3314819335937,149880,15,6.0,,0.06,0.8999999999999999,-37.300018310546875,-0.11740641132314489
111,2018-01-16,4,0.02612562814070352,0.10640561821664196,SPXS,261.5,270.6000061035156,259.3999938964844,268.5,263.1003723144531,346940,44,6.0,,0.06,2.64,-9.79998779296875,-0.03495002855309126
112,2018-01-18,2,0.023613065326633167,-0.09617234083477588,SPXS,261.1000061035156,263.6000061035156,259.79998779296875,262.0,256.7311096191406,294560,29,6.0,,0.06,1.74,-7.0,-0.025868439919111474
113,2018-01-24,0,0.021100502512562815,-0.10640561821664185,SPXS,248.8000030517578,254.6000061035156,247.1000061035156,251.0,245.9523162841797,389590,15,6.0,,0.06,0.8999999999999999,-9.000000000000028,-0.03414263957363395
114,2018-01-30,4,0.02612562814070352,0.2381519409383186,SPXS,252.6999969482422,256.1000061035156,250.6999969482422,254.8000030517578,249.67593383789065,582240,100,6.0,,0.06,6.0,1.5000000000000284,0.005891594517048571
115,2018-01-31,2,0.023613065326633167,-0.09617234083477588,SPXS,252.1999969482422,257.70001220703125,250.3999938964844,254.3999938964844,249.28396606445312,552160,73,6.0,,0.06,4.38,1.600006103515625,0.006247583230704512
116,2018-02-01,1,0.02235678391959799,-0.05320280910832098,SPXS,256.79998779296875,257.5,251.1999969482422,255.1999969482422,250.06788635253903,468110,16,12.0,False,0.12,1.92,-0.20001220703125,-0.0007761435683230067
117,2018-02-02,2,0.023613065326633167,0.056192402787143214,SPXS,259.6000061035156,272.0,258.8999938964844,271.70001220703125,266.2360534667969,686480,25,12.0,,0.12,3.0,14.5,0.056310679611650594
118,2018-02-05,3,0.024869346733668342,-0.28781119585551884,SPXS,278.3999938964844,308.1000061035156,270.8999938964844,305.3999938964844,299.25836181640625,1383780,71,12.0,,0.12,8.52,36.100006103515625,0.13272061067468988
119,2018-02-06,6,0.028638190954773872,0.15154576682158027,SPXS,321.0,324.70001220703125,286.3999938964844,288.0,282.208251953125,1040160,89,12.0,,0.12,10.68,16.600006103515625,0.05387862958346834
120,2018-02-07,8,0.03115075376884422,0.08773469029654324,SPXS,290.70001220703125,293.29998779296875,278.0,293.29998779296875,287.4016418457031,840270,24,12.0,,0.12,2.88,-31.4000244140625,-0.09670472200056957
121,2018-02-08,87,0.13039698492462312,3.1859977415712217,SPXS,292.1000061035156,326.29998779296875,291.6000061035156,326.0,319.44403076171875,1056990,66,12.0,,0.12,7.92,33.0,0.11251279022655014
122,2018-02-09,23,0.04999497487437186,-0.6165940884041774,SPXS,314.3999938964844,344.20001220703125,303.70001220703125,310.79998779296875,304.5497131347656,1330790,100,12.0,,0.12,12.0,17.9000244140625,0.054857569977660336
123,2018-02-12,20,0.046226130653266334,1.0676556529557204,SPXS,303.5,310.29998779296875,292.20001220703125,298.20001220703125,292.203125,860500,48,12.0,,0.12,5.76,-33.9000244140625,-0.09848931787274928
124,2018-02-13,3,0.024869346733668342,-0.46200673986302865,SPXS,302.79998779296875,304.79998779296875,293.70001220703125,295.3999938964844,289.4594116210937,570320,32,12.0,,0.12,3.84,-5.5,-0.017724783165862013
125,2018-02-14,1,0.02235678391959799,-0.10103051121438678,SPXS,301.29998779296875,301.3999938964844,282.5,283.29998779296875,277.6027526855469,722890,25,12.0,,0.12,3.0,-3.399993896484375,-0.011154836065130569
126,2018-02-15,2,0.023613065326633167,0.056192402787143214,SPXS,278.0,286.5,273.20001220703125,273.29998779296875,267.8038635253906,662780,17,12.0,,0.12,2.04,-14.899993896484375,-0.04943594624491521
127,2018-02-16,13,0.0374321608040201,0.5852309001915299,SPXS,275.5,275.5,266.3999938964844,272.79998779296875,267.3139038085937,587640,8,12.0,,0.12,0.96,-11.0,-0.03839441535776611
128,2018-02-21,4,0.02612562814070352,-0.30205396697543285,SPXS,276.70001220703125,282.79998779296875,268.1000061035156,282.79998779296875,277.11279296875,610880,25,12.0,,0.12,3.0,7.29998779296875,0.02649723336830756
129,2018-02-22,1,0.02235678391959799,-0.14425851125216393,SPXS,278.79998779296875,283.70001220703125,273.1000061035156,281.70001220703125,276.0349426269531,897230,16,12.0,,0.12,1.92,0.9000244140625,0.0031825475704101436
130,2018-02-23,7,0.029894472361809046,0.33715441672285906,SPXS,277.0,278.70001220703125,268.1000061035156,268.1000061035156,262.7084045410156,548800,17,12.0,,0.12,2.04,-5.0,-0.017624250210998338
131,2018-02-26,12,0.036175879396984925,0.6181164306585749,SPXS,264.5,266.20001220703125,258.29998779296875,258.3999938964844,253.20350646972656,506670,56,12.0,,0.12,6.72,-12.5,-0.04485109240222929
132,2018-03-01,8,0.03115075376884422,-0.13890818169190167,SPXS,277.1000061035156,294.0,271.8999938964844,288.3999938964844,282.6002197265625,1081330,47,8.0,False,0.08,3.76,27.79998779296875,0.10443270667977256
133,2018-03-02,3,0.024869346733668342,-0.2016454266817228,SPXS,295.1000061035156,298.1000061035156,282.29998779296875,284.0,278.2886657714844,800710,65,8.0,,0.08,5.2,4.100006103515625,0.01394559899154979
134,2018-03-05,15,0.039944723618090455,0.7866936390200046,SPXS,288.79998779296875,289.1000061035156,272.29998779296875,274.5,268.9797668457031,639900,32,8.0,,0.08,2.56,-9.0,-0.030191210384862388
135,2018-03-07,2,0.023613065326633167,-0.408856459932067,SPXS,280.1000061035156,280.70001220703125,271.6000061035156,272.79998779296875,267.3139038085937,515450,81,8.0,,0.08,6.48,-8.399993896484375,-0.029055668347086283
136,2018-03-08,1,0.02235678391959799,-0.05320280910832098,SPXS,270.5,274.0,268.5,268.8999938964844,263.4923400878906,442780,49,8.0,,0.08,3.92,-6.70001220703125,-0.023868941630432294
137,2018-03-09,6,0.028638190954773872,0.28096201393571607,SPXS,264.3999938964844,265.3999938964844,255.0,255.1000061035156,249.9698944091797,583950,0,8.0,,0.08,0.0,-8.600006103515625,-0.03138688358947306
138,2018-03-14,8,0.03115075376884422,0.08773469029654324,SPXS,258.0,266.79998779296875,257.3999938964844,265.29998779296875,259.9647216796875,629350,65,8.0,,0.08,5.2,1.399993896484375,0.005275033642353488
139,2018-03-22,5,0.027381909547738694,0.15960842732496272,SPXS,284.0,297.70001220703125,280.8999938964844,296.79998779296875,291.1370849609375,858800,67,8.0,,0.08,5.36,30.9000244140625,0.1158171882602943
140,2018-03-23,9,0.032407035175879395,0.18351991191044226,SPXS,295.0,316.5,293.8999938964844,315.8999938964844,309.8726806640625,855790,52,8.0,,0.08,4.16,18.79998779296875,0.06315077938221436
141,2018-03-26,2,0.023613065326633167,0.0,SPXS,301.0,310.8999938964844,288.79998779296875,289.6000061035156,284.0744323730469,824080,84,8.0,,0.08,6.72,-5.600006103515625,-0.01769354219120256
142,2018-03-27,27,0.05502010050251256,1.3300702277080227,SPXS,286.5,310.6000061035156,284.6000061035156,305.0,299.1806335449219,847050,0,8.0,,0.08,0.0,-0.29998779296875,-0.0009649012507495502
143,2018-03-28,3,0.024869346733668342,-0.5479952507078272,SPXS,304.5,312.1000061035156,298.0,307.70001220703125,301.8291015625,837300,51,8.0,,0.08,4.08,1.5,0.004829362429246364
